,1,2,bool
[R1],2877,2877,True
[C],2800,2800,True
[CH],3151,3151,True
[CH2],1985,1985,True
[N],617,617,True
[O],1227,1227,True
[R1][C],1333,1333,True
[R1]C(=[C])[CH],443,443,True
[CH]=C[C],1991,1991,True
[CH]=C[CH],920,920,True
[CH2]C(=[C])[CH],349,349,True
[C]C[N],162,162,True
[CH2]N([CH2])[CH2],120,120,True
[CH2]C[N],174,174,True
[CH2]C[O],76,76,True
[CH2]O[CH2],50,50,True
[R1]C(=C([CH2])[CH])C=[CH],104,104,True
[R1]C(=[C])C=C[CH],340,340,True
[CH]=CC=C[C],474,474,True
[CH2]C(=[C])C=C[CH],201,201,True
[R1]C(=C(C[N])C=[CH])[CH],44,44,True
[CH2]N([CH2])CC(=[C])[CH],20,20,True
[CH2]CN(C[CH2])C[C],9,9,True
[CH2]N([CH2])CC[O],10,10,True
[CH2]OCC[N],15,15,True
[CH2]COC[CH2],24,24,True
[CH3],1445,1445,True
[CH2]C(=[CH])[C],119,119,True
[CH2]C(=[C])[C],98,98,True
[CH]C[C],340,340,True
[CH2]C([CH2])[N],16,16,True
[CH2]C[CH],254,254,True
[CH2]C[C],302,302,True
CN(C)[CH],16,16,True
C[N],152,152,True
[R1]C(=C([CH2])[C])C=[CH],95,95,True
[C]=CC=C[C],289,289,True
[CH2]C(=CC=[CH])[C],113,113,True
[CH2]CC(=C[CH])C(=[C])[CH2],85,85,True
[R1]C(=C(C[CH])C(=[CH])[CH2])[CH],45,45,True
[CH2]C(CC(=[C])[C])[N],16,16,True
CN(C)C(C[CH2])C[C],16,16,True
[CH2]C(CC[C])[N],16,16,True
[CH]CCC(=[CH])[C],45,45,True
CN(C)C([CH2])[CH2],16,16,True
[N+],37,37,True
[O-],37,37,True
[R1]C(=[CH])[CH],544,544,True
[CH]=C([CH])[N+],37,37,True
[C][N+](=O)[O-],37,37,True
[N+]=O,37,37,True
[N+][O-],37,37,True
[R1]C(=C[CH])C=[CH],316,316,True
[R1]C(=[CH])C=C[C],330,330,True
[CH]=C(C=C[C])[N+],37,37,True
[CH]=CC(=C[CH])[N+](=O)[O-],37,37,True
[CH]=C([CH])[N+](=O)[O-],37,37,True
[CH]=C[N],106,106,True
[CH]=N[CH],140,140,True
[R1]C(=[CH])C=C[N],38,38,True
[CH]=NC=C[C],43,43,True
[CH]=CN=C[CH],43,43,True
[Cl],498,498,True
[R1][CH2],380,380,True
[R1]C[C],186,186,True
[CH2]C(=[CH])[CH],453,453,True
[CH]=C([CH])Cl,431,431,True
[C]Cl,498,498,True
[R1]CC(=[CH])[CH],111,111,True
[R1]CC(=C[CH])C=[CH],90,90,True
[CH2]C(=[CH])C=C[C],293,293,True
[CH]=C(C=C[C])Cl,391,391,True
[CH]=CC(=C[CH])Cl,233,233,True
[CH]C(=[C])[O],240,240,True
[C]=C[C],591,591,True
CO[C],414,414,True
C[O],498,498,True
[R1]CC(=C[C])C=[CH],10,10,True
[C]C=CC(=[C])[O],84,84,True
COC(=C([CH])[O])C=[CH],4,4,True
COC(=C([CH])[O])C=[C],4,4,True
[CH2]C(=CC(=[C])[O])[CH],27,27,True
COC(=[C])[CH],194,194,True
[F],341,341,True
[CH]=C([CH])F,102,102,True
[C]F,354,354,True
[CH]=C(C=C[C])F,77,77,True
[CH]=CC(=C[CH])F,51,51,True
[NH],706,706,True
[R1][NH],353,353,True
[R1]N[C],191,191,True
[CH]=C([CH])[NH],144,144,True
[CH]=C([CH])[O],272,272,True
[R1]NC(=[CH])[CH],122,122,True
[R1]NC(=C[CH])C=[CH],112,112,True
[CH]=C(C=C[C])[NH],129,129,True
[CH]=C(C=C[C])[O],204,204,True
COC(=C[CH])C=[CH],127,127,True
COC(=[CH])[CH],210,210,True
[CH]=C([CH])[N],41,41,True
CN(C)[C],32,32,True
[CH]=C(C=C[C])[N],41,41,True
CN(C)C(=C[CH])C=[CH],32,32,True
CN(C)C(=[CH])[CH],32,32,True
[CH2]N([CH2])[C],20,20,True
CC(=O)[N],12,12,True
[C]=O,388,388,True
C[C],269,269,True
[R1]C(=C(C[N])C(=[CH])[CH2])[CH],37,37,True
[CH2]N([C])CC(=[C])[C],11,11,True
CC(=O)N(C[CH2])C[C],11,11,True
[CH2]N([C])CC[C],11,11,True
[CH]=C([C])CC[N],37,37,True
CC(=O)N([CH2])[CH2],11,11,True
[C]=C([C])[NH],10,10,True
[CH2]N[C],19,19,True
[CH2]C[NH],112,112,True
[CH2]C[CH2],257,257,True
[R1]C(=C([C])[NH])C=[CH],10,10,True
[CH2]CC(=C[CH])C(=[C])[NH],4,4,True
[R1]C(=C(C(=[CH])[CH2])N[CH2])[CH],4,4,True
[CH2]CNC(=[C])[C],4,4,True
[CH2]CCN[C],5,5,True
[C]CCC[NH],4,4,True
[CH2]CCC(=[CH])[C],8,8,True
[CH]=C([CH])[C],205,205,True
[CH]N[C],74,74,True
[CH]=C[NH],18,18,True
[CH]=CC=C([CH])[C],34,34,True
[CH]C=c1cc[nH]c1=[C],2,2,True
[R1]C(=c1c(=[CH])cc[nH]1)[CH],2,2,True
[C]=C1[C]C=CN1,2,2,True
C1=CN[C][C]1,11,11,True
[CH]=C1C=CN[C]1,2,2,True
[CH]C=C1CCNC1=[C],4,4,True
[R1]C(=C1C(=[CH])CCN1)[CH],4,4,True
[C]=C1[C]CCN1,4,4,True
