	id	chembl_cid1	chembl_cid2	core	sub1	sub2	pot1	pot2	dpot	thres	class	core_id	CGR	smi1	smi2
0	CHEMBL1221547-CHEMBL1221645	CHEMBL1221547	CHEMBL1221645	[R1]CCNC(=O)CC(C(C)C)C(=O)NC(CC(=O)O)C=O	[R1]Oc1ccccc1	[R1]n1ccc2c1cccc2	7.772113295386326	8.39469495385889	0.6225816584725639	1.2819351734744466	-1	0.0	CC(C)C(CC(=O)NCC(Oc1ccccc1)~[nH]1ccc2ccccc21)C(=O)NC(C=O)CC(=O)O	CC(C)C(CC(=O)NCCOc1ccccc1)C(=O)NC(C=O)CC(=O)O	CC(C)C(CC(=O)NCCn1ccc2ccccc21)C(=O)NC(C=O)CC(=O)O
1	CHEMBL1221547-CHEMBL1221646	CHEMBL1221646	CHEMBL1221547	[R1]CCNC(=O)CC(C(C)C)C(=O)NC(CC(=O)O)C=O	[R1]n1cnc2c1cccc2	[R1]Oc1ccccc1	7.698970004336019	7.772113295386326	0.0731432910503073	1.2819351734744466	-1	0.0	CC(C)C(CC(=O)NCC(~Oc1ccccc1)n1cnc2ccccc21)C(=O)NC(C=O)CC(=O)O	CC(C)C(CC(=O)NCCn1cnc2ccccc21)C(=O)NC(C=O)CC(=O)O	CC(C)C(CC(=O)NCCOc1ccccc1)C(=O)NC(C=O)CC(=O)O
2	CHEMBL1221547-CHEMBL1221647	CHEMBL1221547	CHEMBL1221647	[R1]CCNC(=O)CC(C(C)C)C(=O)NC(CC(=O)O)C=O	[R1]Oc1ccccc1	[R1]n1cnc2c1ccc(c2)C	7.772113295386326	8.314258261397736	0.5421449660114099	1.2819351734744466	-1	0.0	Cc1ccc2c(c1)nc[nH]2~C(CNC(=O)CC(C(=O)NC(C=O)CC(=O)O)C(C)C)Oc1ccccc1	CC(C)C(CC(=O)NCCOc1ccccc1)C(=O)NC(C=O)CC(=O)O	Cc1ccc2c(c1)ncn2CCNC(=O)CC(C(=O)NC(C=O)CC(=O)O)C(C)C
3	CHEMBL1221547-CHEMBL1221689	CHEMBL1221547	CHEMBL1221689	[R1]CCNC(=O)CC(C(C)C)C(=O)NC(CC(=O)O)C=O	[R1]Oc1ccccc1	[R1]n1c(nc2c1cccc2)C	7.772113295386326	8.329754146925875	0.5576408515395492	1.2819351734744466	-1	0.0	Cc1nc2ccccc2[nH]1~C(CNC(=O)CC(C(=O)NC(C=O)CC(=O)O)C(C)C)Oc1ccccc1	CC(C)C(CC(=O)NCCOc1ccccc1)C(=O)NC(C=O)CC(=O)O	Cc1nc2ccccc2n1CCNC(=O)CC(C(=O)NC(C=O)CC(=O)O)C(C)C
4	CHEMBL1221595-CHEMBL1221645	CHEMBL1221645	CHEMBL1221595	[R1]CCNC(=O)CC(C(C)C)C(=O)NC(CC(=O)O)C=O	[R1]n1ccc2c1cccc2	[R1]Nc1cccc(c1)Cl	8.39469495385889	9.022276394711152	0.6275814408522624	1.2819351734744466	-1	0.0	CC(C)C(CC(=O)NCC(~Nc1cccc(Cl)c1)n1ccc2ccccc21)C(=O)NC(C=O)CC(=O)O	CC(C)C(CC(=O)NCCn1ccc2ccccc21)C(=O)NC(C=O)CC(=O)O	CC(C)C(CC(=O)NCCNc1cccc(Cl)c1)C(=O)NC(C=O)CC(=O)O
5	CHEMBL1221595-CHEMBL1221646	CHEMBL1221646	CHEMBL1221595	[R1]CCNC(=O)CC(C(C)C)C(=O)NC(CC(=O)O)C=O	[R1]n1cnc2c1cccc2	[R1]Nc1cccc(c1)Cl	7.698970004336019	9.022276394711152	1.3233063903751336	1.2819351734744466	1	0.0	CC(C)C(CC(=O)NCC(~Nc1cccc(Cl)c1)n1cnc2ccccc21)C(=O)NC(C=O)CC(=O)O	CC(C)C(CC(=O)NCCn1cnc2ccccc21)C(=O)NC(C=O)CC(=O)O	CC(C)C(CC(=O)NCCNc1cccc(Cl)c1)C(=O)NC(C=O)CC(=O)O
6	CHEMBL1221595-CHEMBL1221647	CHEMBL1221647	CHEMBL1221595	[R1]CCNC(=O)CC(C(C)C)C(=O)NC(CC(=O)O)C=O	[R1]n1cnc2c1ccc(c2)C	[R1]Nc1cccc(c1)Cl	8.314258261397736	9.022276394711152	0.7080181333134163	1.2819351734744466	-1	0.0	Cc1ccc2c(c1)ncn2C(CNC(=O)CC(C(=O)NC(C=O)CC(=O)O)C(C)C)~Nc1cccc(Cl)c1	Cc1ccc2c(c1)ncn2CCNC(=O)CC(C(=O)NC(C=O)CC(=O)O)C(C)C	CC(C)C(CC(=O)NCCNc1cccc(Cl)c1)C(=O)NC(C=O)CC(=O)O
7	CHEMBL1221595-CHEMBL1221689	CHEMBL1221689	CHEMBL1221595	[R1]CCNC(=O)CC(C(C)C)C(=O)NC(CC(=O)O)C=O	[R1]n1c(nc2c1cccc2)C	[R1]Nc1cccc(c1)Cl	8.329754146925875	9.022276394711152	0.6925222477852769	1.2819351734744466	-1	0.0	Cc1nc2ccccc2n1C(CNC(=O)CC(C(=O)NC(C=O)CC(=O)O)C(C)C)~Nc1cccc(Cl)c1	Cc1nc2ccccc2n1CCNC(=O)CC(C(=O)NC(C=O)CC(=O)O)C(C)C	CC(C)C(CC(=O)NCCNc1cccc(Cl)c1)C(=O)NC(C=O)CC(=O)O
8	CHEMBL1221645-CHEMBL1221646	CHEMBL1221646	CHEMBL1221645	[R1]CCNC(=O)CC(C(C)C)C(=O)NC(CC(=O)O)C=O	[R1]n1cnc2c1cccc2	[R1]n1ccc2c1cccc2	7.698970004336019	8.39469495385889	0.6957249495228712	1.2819351734744466	-1	0.0	CC(C)C(CC(=O)NCC(n1cnc2ccccc21)~[nH]1ccc2ccccc21)C(=O)NC(C=O)CC(=O)O	CC(C)C(CC(=O)NCCn1cnc2ccccc21)C(=O)NC(C=O)CC(=O)O	CC(C)C(CC(=O)NCCn1ccc2ccccc21)C(=O)NC(C=O)CC(=O)O
9	CHEMBL1221645-CHEMBL1221647	CHEMBL1221647	CHEMBL1221645	[R1]CCNC(=O)CC(C(C)C)C(=O)NC(CC(=O)O)C=O	[R1]n1cnc2c1ccc(c2)C	[R1]n1ccc2c1cccc2	8.314258261397736	8.39469495385889	0.0804366924611539	1.2819351734744466	-1	0.0	Cc1ccc2c(c1)ncn2C(CNC(=O)CC(C(=O)NC(C=O)CC(=O)O)C(C)C)~[nH]1ccc2ccccc21	Cc1ccc2c(c1)ncn2CCNC(=O)CC(C(=O)NC(C=O)CC(=O)O)C(C)C	CC(C)C(CC(=O)NCCn1ccc2ccccc21)C(=O)NC(C=O)CC(=O)O
