	id	funatsu_lab_id1	funatsu_lab_id2	core	sub1	sub2	pot1	pot2	dpot	class	core_id
0	1044952-1044960	1044952	1044960	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]C(=O)OC(C)(C)C	[R1]Cc1ccc(cc1)F	5.27	6.18	0.91	-1	1016.0
1	1044952-1044963	1044952	1044963	[R1]C(=O)N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]OC(C)(C)C	[R1]Cc1ccc(cc1)Br	5.27	6.0	0.7300000000000004	-1	381.0
2	1044952-1044965	1044952	1044965	[R1]C(=O)N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]OC(C)(C)C	[R1]Cc1ccccc1	5.27	5.45	0.1800000000000006	-1	381.0
3	1044952-1044972	1044952	1044972	[R1]C(=O)N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]OC(C)(C)C	[R1]Cc1ccc(cc1)Cl	5.27	6.0	0.7300000000000004	-1	381.0
4	254533-1044952	1044952	254533	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]C(=O)OC(C)(C)C	[R1]Cc1cccc(c1)Cl	5.27	5.82	0.5500000000000007	-1	1016.0
5	268840-1044952	1044952	268840	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]C(=O)OC(C)(C)C	[R1]Cc1ccccc1	5.27	6.01	0.7400000000000002	-1	1016.0
6	1044953-1044977	1044977	1044953	[R1]c1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]NCCCCCN	[R1]N1CCCC1	5.53	5.71	0.17999999999999972	-1	380.0
7	1044953-1045157	1045157	1044953	[R1]c1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]O	[R1]N1CCCC1	5.51	5.71	0.20000000000000015	-1	380.0
8	1044953-1045158	1044953	1045158	[R1]c1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]N1CCCC1	[R1]N	5.71	5.85	0.13999999999999968	-1	380.0
9	1044953-1591572	1591572	1044953	[R1]c1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]NC	[R1]N1CCCC1	5.59	5.71	0.1200000000000001	-1	380.0
10	1044953-1591583	1591583	1044953	[R1]c1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]NC(C)C	[R1]N1CCCC1	5.37	5.71	0.33999999999999986	-1	380.0
11	1044955-1044962	1044955	1044962	[R1]CCNc1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]NC(=O)OC(C)(C)C	[R1]OCCOCCN	5.43	6.11	0.6800000000000006	-1	379.0
12	1044955-1044977	1044955	1044977	[R1]CCNc1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]NC(=O)OC(C)(C)C	[R1]CCCN	5.43	5.53	0.10000000000000052	-1	379.0
