	id	funatsu_lab_id1	funatsu_lab_id2	core	sub1	sub2	pot1	pot2	dpot	class	core_id
0	1044952-1044960	1044960	1044952	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]Cc1ccc(cc1)F	[R1]C(=O)OC(C)(C)C	7.28	7.68	0.39999999999999947	-1	1142.0
1	1044952-1044961	1044961	1044952	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]Cc1ccc(cc1)Br	[R1]C(=O)OC(C)(C)C	7.56	7.68	0.1200000000000001	-1	1142.0
2	1044952-1044963	1044963	1044952	[R1]C(=O)N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]Cc1ccc(cc1)Br	[R1]OC(C)(C)C	7.06	7.68	0.6200000000000001	-1	25.0
3	1044952-1044964	1044964	1044952	[R1]C(=O)N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]CCCC	[R1]OC(C)(C)C	6.91	7.68	0.7699999999999996	-1	25.0
4	1044952-1044965	1044965	1044952	[R1]C(=O)N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]Cc1ccccc1	[R1]OC(C)(C)C	7.02	7.68	0.6600000000000001	-1	25.0
5	1044952-1044966	1044966	1044952	[R1]C(=O)N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]CCC(=O)OC	[R1]OC(C)(C)C	7.18	7.68	0.5	-1	25.0
6	1044952-1044971	1044971	1044952	[R1]C(=O)N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]c1cccc2c1cccc2	[R1]OC(C)(C)C	5.11	7.68	2.5699999999999994	1	25.0
7	1044952-1044972	1044972	1044952	[R1]C(=O)N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]Cc1ccc(cc1)Cl	[R1]OC(C)(C)C	7.41	7.68	0.2699999999999996	-1	25.0
8	1044952-1045153	1045153	1044952	[R1]C(=O)N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]C(C)(C)C	[R1]OC(C)(C)C	7.23	7.68	0.4499999999999993	-1	25.0
9	1044952-1045154	1044952	1045154	[R1]C(=O)N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]OC(C)(C)C	[R1]CC(C)(C)C	7.68	7.95	0.2700000000000005	-1	25.0
10	254533-1044952	254533	1044952	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]Cc1cccc(c1)Cl	[R1]C(=O)OC(C)(C)C	7.29	7.68	0.3899999999999997	-1	1142.0
11	268662-1044952	268662	1044952	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]Cc1ccc(cc1)Cl	[R1]C(=O)OC(C)(C)C	6.99	7.68	0.6899999999999995	-1	1142.0
12	268840-1044952	1044952	268840	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]C(=O)OC(C)(C)C	[R1]Cc1ccccc1	7.68	7.69	0.010000000000000677	-1	1142.0
13	1044953-1044974	1044974	1044953	[R1]c1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]NCCN	[R1]N1CCCC1	6.25	7.23	0.9800000000000004	-1	430.0
14	1044953-1044976	1044976	1044953	[R1]c1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]NCCCN	[R1]N1CCCC1	6.57	7.23	0.6600000000000001	-1	430.0
15	1044953-1044977	1044977	1044953	[R1]c1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]NCCCCCN	[R1]N1CCCC1	7.05	7.23	0.1800000000000006	-1	430.0
16	1044953-1045157	1045157	1044953	[R1]c1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]O	[R1]N1CCCC1	6.7	7.23	0.5300000000000002	-1	430.0
17	1044953-1045158	1045158	1044953	[R1]c1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]N	[R1]N1CCCC1	6.8	7.23	0.4300000000000006	-1	430.0
18	1044953-1591572	1044953	1591572	[R1]c1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]N1CCCC1	[R1]NC	7.23	7.31	0.07999999999999917	-1	430.0
19	1044953-1591583	1591583	1044953	[R1]c1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]NC(C)C	[R1]N1CCCC1	7.19	7.23	0.040000000000000036	-1	430.0
20	268807-1044953	268807	1044953	[R1]c1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]N1CCNCC1	[R1]N1CCCC1	6.82	7.23	0.41000000000000014	-1	430.0
21	550578-1044953	1044953	550578	[R1]c1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]N1CCCC1	[R1]Oc1ccccc1	7.23	7.74	0.5099999999999998	-1	430.0
22	1044955-1044957	1044955	1044957	[R1]CCNc1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]NC(=O)OC(C)(C)C	[R1]CNC(=O)OC(C)(C)C	7.39	7.41	0.020000000000000462	-1	429.0
23	1044955-1044962	1044955	1044962	[R1]CCNc1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]NC(=O)OC(C)(C)C	[R1]OCCOCCN	7.39	7.94	0.5500000000000007	-1	429.0
24	1044955-1044976	1044976	1044955	[R1]CCNc1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]CN	[R1]NC(=O)OC(C)(C)C	6.57	7.39	0.8199999999999994	-1	429.0
25	1044955-1044977	1044977	1044955	[R1]CCNc1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]CCCN	[R1]NC(=O)OC(C)(C)C	7.05	7.39	0.33999999999999986	-1	429.0
26	1044957-1044962	1044957	1044962	[R1]CCNc1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]CNC(=O)OC(C)(C)C	[R1]OCCOCCN	7.41	7.94	0.5300000000000002	-1	429.0
27	1044957-1044977	1044977	1044957	[R1]CCCNc1nc(n2c(n1)nc(n2)c3ccco3)N	[R1]CCN	[R1]NC(=O)OC(C)(C)C	7.05	7.41	0.3600000000000003	-1	428.0
28	1044960-1044961	1044960	1044961	[R1]c1ccc(cc1)CN2CCN(CC2)c3nc(n4c(n3)nc(n4)c5ccco5)N	[R1]F	[R1]Br	7.28	7.56	0.27999999999999936	-1	427.0
29	1044960-1044963	1044963	1044960	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]C(=O)Cc1ccc(cc1)Br	[R1]Cc1ccc(cc1)F	7.06	7.28	0.22000000000000064	-1	1142.0
30	1044960-1044964	1044964	1044960	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]C(=O)CCCC	[R1]Cc1ccc(cc1)F	6.91	7.28	0.3700000000000001	-1	1142.0
31	1044960-1044965	1044965	1044960	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]C(=O)Cc1ccccc1	[R1]Cc1ccc(cc1)F	7.02	7.28	0.2600000000000007	-1	1142.0
32	1044960-1044966	1044966	1044960	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]C(=O)CCC(=O)OC	[R1]Cc1ccc(cc1)F	7.18	7.28	0.10000000000000052	-1	1142.0
33	1044960-1044967	1044967	1044960	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]C(=O)C(Cl)Cl	[R1]Cc1ccc(cc1)F	6.55	7.28	0.7300000000000004	-1	1142.0
34	1044960-1044970	1044970	1044960	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]C(=O)c1ccccc1	[R1]Cc1ccc(cc1)F	6.46	7.28	0.8200000000000003	-1	1142.0
35	1044960-1044972	1044960	1044972	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]Cc1ccc(cc1)F	[R1]C(=O)Cc1ccc(cc1)Cl	7.28	7.41	0.1299999999999999	-1	1142.0
36	1044960-1045153	1045153	1044960	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]C(=O)C(C)(C)C	[R1]Cc1ccc(cc1)F	7.23	7.28	0.049999999999999815	-1	1142.0
37	1044960-1045154	1044960	1045154	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]Cc1ccc(cc1)F	[R1]C(=O)CC(C)(C)C	7.28	7.95	0.6699999999999999	-1	1142.0
38	254533-1044960	1044960	254533	[R1]CN1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]c1ccc(cc1)F	[R1]c1cccc(c1)Cl	7.28	7.29	0.009999999999999787	-1	426.0
39	268662-1044960	268662	1044960	[R1]c1ccc(cc1)CN2CCN(CC2)c3nc(n4c(n3)nc(n4)c5ccco5)N	[R1]Cl	[R1]F	6.99	7.28	0.29000000000000004	-1	427.0
40	268667-1044960	268667	1044960	[R1]CN1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]c1c(nn(c1Cl)C)C(F)(F)F	[R1]c1ccc(cc1)F	7.0	7.28	0.28000000000000025	-1	426.0
41	1044961-1044963	1044963	1044961	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]C(=O)Cc1ccc(cc1)Br	[R1]Cc1ccc(cc1)Br	7.06	7.56	0.5	-1	1142.0
42	1044961-1044964	1044964	1044961	[R1]N1CCN(CC1)c2nc(n3c(n2)nc(n3)c4ccco4)N	[R1]C(=O)CCCC	[R1]Cc1ccc(cc1)Br	6.91	7.56	0.6499999999999995	-1	1142.0
