	id	funatsu_lab_id1	funatsu_lab_id2	core	sub1	sub2	pot1	pot2	dpot	class	core_id
0	101212-500599	101212	500599	[R1]C(=O)NCc1ccc(cc1)S(=O)(=O)N	[R1]C(CC)CC	[R1]Cc1cccs1	7.09	7.22	0.1299999999999999	-1	735.0
1	101212-500618	101212	500618	[R1]C(=O)NCc1ccc(cc1)S(=O)(=O)N	[R1]C(CC)CC	[R1]Cc1ccccc1	7.09	7.12	0.03000000000000025	-1	735.0
2	101212-558361	558361	101212	[R1]C(=O)NCc1ccc(cc1)S(=O)(=O)N	[R1]C(C)(C)C	[R1]C(CC)CC	6.47	7.09	0.6200000000000001	-1	735.0
3	1027898-1255140	1027898	1255140	[R1]CC(=O)NCCc1ccc(cc1)S(=O)(=O)N	[R1]c1ccc(cc1)Cl	[R1]c1ccccc1Br	8.01	8.09	0.08000000000000007	-1	16.0
4	1027898-1278691	1278691	1027898	[R1]CC(=O)NCCc1ccc(cc1)S(=O)(=O)N	[R1]n1ccnc1[N+](=O)[O-]	[R1]c1ccc(cc1)Cl	7.1	8.01	0.91	-1	16.0
5	1027898-1369858	1369858	1027898	[R1]CC(=O)NCCc1ccc(cc1)S(=O)(=O)N	[R1]CCNC(=N)N	[R1]c1ccc(cc1)Cl	5.67	8.01	2.34	1	16.0
6	500567-1027898	500567	1027898	[R1]CC(=O)NCCc1ccc(cc1)S(=O)(=O)N	[R1]c1ccncc1	[R1]c1ccc(cc1)Cl	7.14	8.01	0.8700000000000001	-1	16.0
7	500600-1027898	500600	1027898	[R1]CC(=O)NCCc1ccc(cc1)S(=O)(=O)N	[R1]c1cccs1	[R1]c1ccc(cc1)Cl	7.17	8.01	0.8399999999999999	-1	16.0
8	802906-1027898	1027898	802906	[R1]c1ccc(cc1)CC(=O)NCCc2ccc(cc2)S(=O)(=O)N	[R1]Cl	[R1]OC	8.01	8.43	0.4199999999999999	-1	287.0
9	103366-262394	103366	262394	[R1]c1ccc(cc1)S(=O)(=O)Nc2cccc3c2[nH]cc3Cl	[R1]S(=O)(=O)N	[R1]S(=O)N	7.5	7.51	0.009999999999999787	-1	286.0
10	103966-104983	104983	103966	[R1]COc1ccc2ccc(=O)oc2c1	[R1]C#C	[R1]C=C	4.14	4.14	0.0	-1	285.0
11	103966-1059122	103966	1059122	[R1]COc1ccc2ccc(=O)oc2c1	[R1]C=C	[R1]CO	4.14	4.61	0.4700000000000006	-1	285.0
