	id	funatsu_lab_id1	funatsu_lab_id2	core	sub1	sub2	pot1	pot2	dpot	class	core_id
0	10224-276619	276619	10224	[R1]N1CCN(CC1)CCN2C(=O)CC3(CCCC3)CC2=O	[R1]c1ccc(c(c1)F)F	[R1]c1ccccc1OC	5.66	7.85	2.1899999999999995	1	23.0
1	10224-73696	73696	10224	[R1]N1CCN(CC1)CCN2C(=O)CC3(CCCC3)CC2=O	[R1]c1cc(ccc1F)F	[R1]c1ccccc1OC	6.92	7.85	0.9299999999999996	-1	23.0
2	10224-74232	74232	10224	[R1]N1CCN(CC1)CCN2C(=O)CC3(CCCC3)CC2=O	[R1]c1ccc(cc1)F	[R1]c1ccccc1OC	5.66	7.85	2.1899999999999995	1	23.0
3	1023531-1337654	1023531	1337654	[R1]c1ccc(cc1)CNC(=O)c2ccc3c(c2)N(C(=O)c4ccccc4[S+]3[O-])CC	[R1]F	[R1]C#N	7.05	7.64	0.5899999999999999	-1	401.0
4	1023531-1337684	1337684	1023531	[R1]NC(=O)c1ccc2c(c1)N(C(=O)c3ccccc3[S+]2[O-])CC	[R1]C(C)c1ccc(cc1)Br	[R1]Cc1ccc(cc1)F	6.28	7.05	0.7699999999999996	-1	400.0
5	788085-1023531	788085	1023531	[R1]c1ccc(cc1)CNC(=O)c2ccc3c(c2)N(C(=O)c4ccccc4[S+]3[O-])CC	[R1]OC	[R1]F	6.52	7.05	0.5300000000000002	-1	401.0
6	30956-1036227	30956	1036227	[R1]CCCN1c2ccccc2Sc3c1cc(cc3)Cl	[R1]N1CCN(CC1)C	[R1]N1CCC(CC1)C(=O)N	8.44	8.87	0.4299999999999997	-1	399.0
7	103631-387912	103631	387912	[R1]N1CCN(CC1)Cc2cc3ccccn3n2	[R1]c1ccc(cc1)Cl	[R1]c1cccc(n1)F	5.46	5.62	0.16000000000000014	-1	398.0
8	103631-388070	103631	388070	[R1]N1CCN(CC1)Cc2cc3ccccn3n2	[R1]c1ccc(cc1)Cl	[R1]c1cccc(n1)Br	5.46	6.16	0.7000000000000002	-1	398.0
9	1040726-1488775	1040726	1488775	[R1]N(CCC)CCCCNC(=O)c1ccc(c(c1)OC)OCCCc2cn(nn2)CCCC	[R1]C1Cc2ccccc2C1	[R1]C1CC=C(OC1)C#C	8.15	8.67	0.5199999999999996	-1	397.0
10	1043530-1043641	1043641	1043530	[R1]CN1CCN(CC1)c2ccc3c(c2)OCCO3	[R1]c1ccc(nc1)F	[R1]c1ccc(cc1)F	4.44	5.18	0.7399999999999993	-1	396.0
11	1043640-1043641	1043641	1043640	[R1]CN1CCN(CC1)c2ccc3c(c2)OCCO3	[R1]c1ccc(nc1)F	[R1]c1ccc(c(c1)O)F	4.44	5.13	0.6899999999999995	-1	396.0
12	353973-1045649	353973	1045649	[R1]c1cccc(c1)C(=O)NCCCCN2CCN(CC2)c3ccccc3OC	[R1]C#C	[R1]OCCOCC	6.98	7.19	0.21	-1	395.0
13	353974-1045649	353974	1045649	[R1]c1cccc(c1)C(=O)NCCCCN2CCN(CC2)c3ccccc3OC	[R1]C#Cc1ccccc1	[R1]OCCOCC	6.24	7.19	0.9500000000000002	-1	395.0
14	455912-1045663	1045663	455912	[R1]c1ccc(cc1)C(=O)NCCCN2CCN(CC2)c3ccccc3OC	[R1]COCCOCC	[R1]n1ccnc1	6.3	6.92	0.6200000000000001	-1	394.0
15	180558-1045664	1045664	180558	[R1]c1ccc(cc1)C(=O)NCCCCN2CCN(CC2)c3ccccc3OC	[R1]COCCOCC	[R1]c1ccccc1	6.81	7.35	0.54	-1	393.0
16	282111-1045664	1045664	282111	[R1]c1ccc(cc1)C(=O)NCCCCN2CCN(CC2)c3ccccc3OC	[R1]COCCOCC	[R1]F	6.81	6.93	0.1200000000000001	-1	393.0
17	290142-1045664	1045664	290142	[R1]c1ccc(cc1)C(=O)NCCCCN2CCN(CC2)c3ccccc3OC	[R1]COCCOCC	[R1]N1CCOCC1	6.81	6.85	0.040000000000000036	-1	393.0
18	290143-1045664	1045664	290143	[R1]c1ccc(cc1)C(=O)NCCCCN2CCN(CC2)c3ccccc3OC	[R1]COCCOCC	[R1]n1ccnc1	6.81	7.43	0.6200000000000001	-1	393.0
19	318552-1045664	1045664	318552	[R1]c1ccc(cc1)C(=O)NCCCCN2CCN(CC2)c3ccccc3OC	[R1]COCCOCC	[R1]c1cccc(n1)F	6.81	7.68	0.8700000000000001	-1	393.0
20	338247-1045664	1045664	338247	[R1]c1ccc(cc1)C(=O)NCCCCN2CCN(CC2)c3ccccc3OC	[R1]COCCOCC	[R1]c1ccccn1	6.81	7.55	0.7400000000000002	-1	393.0
