	id	funatsu_lab_id1	funatsu_lab_id2	core	sub1	sub2	pot1	pot2	dpot	class	core_id
0	116424-954431	954431	116424	[R1]CN1CCC(C1=O)NS(=O)(=O)c2ccc3ccc(cc3c2)OC	[R1]c1ccc(c(c1)C(=N)N)O	[R1]c1cc(ccc1N)C(=N)N	6.0	8.2	2.1999999999999997	1	27.0
1	116424-954463	954463	116424	[R1]CN1CCC(C1=O)NS(=O)(=O)c2ccc3ccc(cc3c2)OC	[R1]c1cc(cc(c1)N)C(=N)N	[R1]c1cc(ccc1N)C(=N)N	5.9	8.2	2.299999999999999	1	27.0
2	116424-954464	116424	954464	[R1]c1ccc(cc1CN2CCC(C2=O)NS(=O)(=O)c3ccc4ccc(cc4c3)OC)C(=N)N	[R1]N	[R1]O	8.2	8.5	0.3000000000000007	-1	73.0
3	116424-954465	954465	116424	[R1]c1ccc(cc1CN2CCC(C2=O)NS(=O)(=O)c3ccc4ccc(cc4c3)OC)C(=N)N	[R1]OCC(=O)OC	[R1]N	8.1	8.2	0.09999999999999963	-1	73.0
4	116424-954466	954466	116424	[R1]c1ccc(cc1CN2CCC(C2=O)NS(=O)(=O)c3ccc4ccc(cc4c3)OC)C(=N)N	[R1]OCC(=O)O	[R1]N	5.9	8.2	2.299999999999999	1	73.0
5	1219479-1219513	1219479	1219513	[R1]Nc1c(=O)n2c(c(n1)Cl)C(CC2C(=O)NCc3ccc(cc3)C(=N)N)(C)C	[R1]C(C)(C)C	[R1]CC(=O)OC(C)(C)C	5.55	6.54	0.9900000000000002	-1	211.0
6	1219502-1219524	1219502	1219524	[R1]C1(CC(n2c1c(nc(c2=O)NC3CCC3)Cl)C(=O)NCc4ccc(cc4)C(=N)N)C	[R1]C(=O)NC	[R1]CC=C	5.96	6.19	0.23000000000000045	-1	212.0
7	1219502-1219525	1219502	1219525	[R1]C1(CC(n2c1c(nc(c2=O)NC3CCC3)Cl)C(=O)NCc4ccc(cc4)C(=N)N)C	[R1]C(=O)NC	[R1]CCC	5.96	6.0	0.040000000000000036	-1	212.0
8	1219503-1219524	1219503	1219524	[R1]C1(CC(n2c1c(nc(c2=O)NC3CCC3)Cl)C(=O)NCc4ccc(cc4)C(=N)N)C	[R1]C(=O)NCc1ccccc1	[R1]CC=C	5.43	6.19	0.7600000000000007	-1	212.0
9	1219503-1219525	1219503	1219525	[R1]C1(CC(n2c1c(nc(c2=O)NC3CCC3)Cl)C(=O)NCc4ccc(cc4)C(=N)N)C	[R1]C(=O)NCc1ccccc1	[R1]CCC	5.43	6.0	0.5700000000000003	-1	212.0
10	1219524-1219525	1219525	1219524	[R1]CC1(CC(n2c1c(nc(c2=O)NC3CCC3)Cl)C(=O)NCc4ccc(cc4)C(=N)N)C	[R1]CC	[R1]C=C	6.0	6.19	0.1900000000000004	-1	213.0
