	id	funatsu_lab_id1	funatsu_lab_id2	core	sub1	sub2	pot1	pot2	dpot	class	core_id
0	102657-102712	102712	102657	[R1]N1CNC(=O)C12CCN(CC2)C3Cc4cccc5c4c3ccc5	[R1]c1ccc(cc1)Cl	[R1]c1cccc(c1)Cl	7.1	7.3	0.20000000000000015	-1	560.0
1	102657-102796	102796	102657	[R1]c1cccc(c1)N2CNC(=O)C23CCN(CC3)C4Cc5cccc6c5c4ccc6	[R1]Br	[R1]Cl	7.1	7.3	0.20000000000000015	-1	202.0
2	102657-102797	102657	102797	[R1]c1cccc(c1)N2CNC(=O)C23CCN(CC3)C4Cc5cccc6c5c4ccc6	[R1]Cl	[R1]F	7.3	7.9	0.6000000000000005	-1	202.0
3	102657-103189	103189	102657	[R1]N1CNC(=O)C12CCN(CC2)C3Cc4cccc5c4c3ccc5	[R1]c1ccccc1F	[R1]c1cccc(c1)Cl	6.8	7.3	0.5	-1	560.0
4	102657-103441	103441	102657	[R1]N1CNC(=O)C12CCN(CC2)C3Cc4cccc5c4c3ccc5	[R1]c1ccc(cc1)C	[R1]c1cccc(c1)Cl	6.7	7.3	0.5999999999999996	-1	560.0
5	102657-103656	103656	102657	[R1]N1CNC(=O)C12CCN(CC2)C3Cc4cccc5c4c3ccc5	[R1]c1ccc(cc1)F	[R1]c1cccc(c1)Cl	7.2	7.3	0.09999999999999963	-1	560.0
6	102657-103783	102657	103783	[R1]c1cccc(c1)N2CNC(=O)C23CCN(CC3)C4Cc5cccc6c5c4ccc6	[R1]Cl	[R1]C	7.3	7.7	0.4000000000000004	-1	202.0
7	102712-102796	102712	102796	[R1]N1CNC(=O)C12CCN(CC2)C3Cc4cccc5c4c3ccc5	[R1]c1ccc(cc1)Cl	[R1]c1cccc(c1)Br	7.1	7.1	0.0	-1	560.0
8	102712-102797	102712	102797	[R1]N1CNC(=O)C12CCN(CC2)C3Cc4cccc5c4c3ccc5	[R1]c1ccc(cc1)Cl	[R1]c1cccc(c1)F	7.1	7.9	0.8000000000000007	-1	560.0
9	102712-103189	103189	102712	[R1]N1CNC(=O)C12CCN(CC2)C3Cc4cccc5c4c3ccc5	[R1]c1ccccc1F	[R1]c1ccc(cc1)Cl	6.8	7.1	0.2999999999999998	-1	560.0
10	102712-103441	103441	102712	[R1]c1ccc(cc1)N2CNC(=O)C23CCN(CC3)C4Cc5cccc6c5c4ccc6	[R1]C	[R1]Cl	6.7	7.1	0.39999999999999947	-1	203.0
11	102712-103656	102712	103656	[R1]c1ccc(cc1)N2CNC(=O)C23CCN(CC3)C4Cc5cccc6c5c4ccc6	[R1]Cl	[R1]F	7.1	7.2	0.10000000000000052	-1	203.0
12	102712-103783	102712	103783	[R1]N1CNC(=O)C12CCN(CC2)C3Cc4cccc5c4c3ccc5	[R1]c1ccc(cc1)Cl	[R1]c1cccc(c1)C	7.1	7.7	0.6000000000000005	-1	560.0
13	102796-102797	102796	102797	[R1]c1cccc(c1)N2CNC(=O)C23CCN(CC3)C4Cc5cccc6c5c4ccc6	[R1]Br	[R1]F	7.1	7.9	0.8000000000000007	-1	202.0
14	102796-103189	103189	102796	[R1]N1CNC(=O)C12CCN(CC2)C3Cc4cccc5c4c3ccc5	[R1]c1ccccc1F	[R1]c1cccc(c1)Br	6.8	7.1	0.2999999999999998	-1	560.0
15	102796-103441	103441	102796	[R1]N1CNC(=O)C12CCN(CC2)C3Cc4cccc5c4c3ccc5	[R1]c1ccc(cc1)C	[R1]c1cccc(c1)Br	6.7	7.1	0.39999999999999947	-1	560.0
16	102796-103656	102796	103656	[R1]N1CNC(=O)C12CCN(CC2)C3Cc4cccc5c4c3ccc5	[R1]c1cccc(c1)Br	[R1]c1ccc(cc1)F	7.1	7.2	0.10000000000000052	-1	560.0
17	102796-103783	102796	103783	[R1]c1cccc(c1)N2CNC(=O)C23CCN(CC3)C4Cc5cccc6c5c4ccc6	[R1]Br	[R1]C	7.1	7.7	0.6000000000000005	-1	202.0
18	102797-103656	103656	102797	[R1]N1CNC(=O)C12CCN(CC2)C3Cc4cccc5c4c3ccc5	[R1]c1ccc(cc1)F	[R1]c1cccc(c1)F	7.2	7.9	0.7000000000000002	-1	560.0
19	102797-103783	103783	102797	[R1]c1cccc(c1)N2CNC(=O)C23CCN(CC3)C4Cc5cccc6c5c4ccc6	[R1]C	[R1]F	7.7	7.9	0.20000000000000015	-1	202.0
20	103189-103441	103441	103189	[R1]N1CNC(=O)C12CCN(CC2)C3Cc4cccc5c4c3ccc5	[R1]c1ccc(cc1)C	[R1]c1ccccc1F	6.7	6.8	0.09999999999999963	-1	560.0
21	103189-103656	103189	103656	[R1]N1CNC(=O)C12CCN(CC2)C3Cc4cccc5c4c3ccc5	[R1]c1ccccc1F	[R1]c1ccc(cc1)F	6.8	7.2	0.4000000000000004	-1	560.0
22	103189-103783	103189	103783	[R1]N1CNC(=O)C12CCN(CC2)C3Cc4cccc5c4c3ccc5	[R1]c1ccccc1F	[R1]c1cccc(c1)C	6.8	7.7	0.9000000000000004	-1	560.0
23	103441-103656	103441	103656	[R1]c1ccc(cc1)N2CNC(=O)C23CCN(CC3)C4Cc5cccc6c5c4ccc6	[R1]C	[R1]F	6.7	7.2	0.5	-1	203.0
24	103656-103783	103656	103783	[R1]N1CNC(=O)C12CCN(CC2)C3Cc4cccc5c4c3ccc5	[R1]c1ccc(cc1)F	[R1]c1cccc(c1)C	7.2	7.7	0.5	-1	560.0
25	1042111-1042113	1042111	1042113	[R1]C1CCCN1Cc2ccc(cc2)Oc3ccc(cn3)C(=O)N	[R1]c1ccccc1	[R1]c1cccnc1	8.04	8.83	0.7900000000000009	-1	204.0
26	1052467-1105302	1105302	1052467	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]C(=O)c1ccccc1	[R1]c1cc(oc1Br)Br	7.15	7.4	0.25	-1	4.0
27	1052467-1105304	1105304	1052467	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]C(=O)c1cccc(c1)OC	[R1]c1cc(oc1Br)Br	6.54	7.4	0.8600000000000003	-1	4.0
28	1052467-1105584	1105584	1052467	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]C(=O)c1cccc(c1)O	[R1]c1cc(oc1Br)Br	6.96	7.4	0.4400000000000004	-1	4.0
29	1052467-1105585	1105585	1052467	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]C(=O)c1ccc(cc1)O	[R1]c1cc(oc1Br)Br	5.07	7.4	2.33	1	4.0
30	1052467-1105586	1105586	1052467	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]C(=O)c1cccc(c1)C(=O)N	[R1]c1cc(oc1Br)Br	7.4	7.4	0.0	-1	4.0
31	1052467-1105587	1105587	1052467	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]C(=O)c1cccc(c1)C#N	[R1]c1cc(oc1Br)Br	6.66	7.4	0.7400000000000002	-1	4.0
32	1052467-1105590	1105590	1052467	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]C(=O)c1ccco1	[R1]c1cc(oc1Br)Br	7.1	7.4	0.3000000000000007	-1	4.0
33	1052467-1105591	1105591	1052467	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]C(=O)c1ccoc1	[R1]c1cc(oc1Br)Br	6.82	7.4	0.5800000000000001	-1	4.0
34	1052467-1105592	1052467	1105592	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]c1cc(oc1Br)Br	[R1]C(=O)c1ccsc1	7.4	7.51	0.10999999999999943	-1	4.0
35	1052467-1105594	1105594	1052467	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]C(=O)c1cc2ccccc2s1	[R1]c1cc(oc1Br)Br	5.04	7.4	2.3600000000000003	1	4.0
36	1052467-1105596	1105596	1052467	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]C(=O)C=CC	[R1]c1cc(oc1Br)Br	6.49	7.4	0.91	-1	4.0
37	1052467-1105597	1052467	1105597	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]c1cc(oc1Br)Br	[R1]c1ccco1	7.4	7.52	0.11999999999999922	-1	4.0
38	1052467-1331119	1331119	1052467	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]C(=O)N1CCCCC1	[R1]c1cc(oc1Br)Br	6.85	7.4	0.5500000000000007	-1	4.0
39	301581-1052467	301581	1052467	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]c1nc(co1)C(=O)OC	[R1]c1cc(oc1Br)Br	5.07	7.4	2.33	1	4.0
40	301586-1052467	301586	1052467	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]c1nc(no1)C	[R1]c1cc(oc1Br)Br	7.25	7.4	0.15000000000000036	-1	4.0
41	333152-1052467	333152	1052467	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]C1=NCCO1	[R1]c1cc(oc1Br)Br	6.52	7.4	0.8800000000000008	-1	4.0
42	333156-1052467	333156	1052467	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]C1=CC(OC1OC)OC	[R1]c1cc(oc1Br)Br	6.74	7.4	0.6600000000000001	-1	4.0
43	333157-1052467	1052467	333157	[R1]C1CC2(C(CCC3(C2C(=O)C(CC3C(=O)OC)OC(=O)C)C)C(=O)O1)C	[R1]c1cc(oc1Br)Br	[R1]C1CC(OC1OC)OC	7.4	7.6	0.1999999999999993	-1	4.0
