	id	funatsu_lab_id1	funatsu_lab_id2	core	sub1	sub2	pot1	pot2	dpot	class	core_id
0	1041219-1041221	1041219	1041221	[R1]CCCCCC(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc2ccccc2)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc3c[nH]c4c3cccc4)C(=O)N	[R1]N=[N+]=N	[R1]n1cc(nn1)CCCC	5.89	6.06	0.16999999999999993	-1	525.0
1	1041219-1043879	1041219	1043879	[R1]CCCC(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc2ccccc2)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc3c[nH]c4c3cccc4)C(=O)N	[R1]CCN=[N+]=N	[R1]c1ccccc1	5.89	6.8	0.91	-1	181.0
2	1041219-1043880	1041219	1043880	[R1]C(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc2ccccc2)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc3c[nH]c4c3cccc4)C(=O)N	[R1]CCCCCN=[N+]=N	[R1]C(CCc1ccccc1)NC(=O)C	5.89	6.01	0.1200000000000001	-1	182.0
3	1041221-1043879	1041221	1043879	[R1]CCCC(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc2ccccc2)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc3c[nH]c4c3cccc4)C(=O)N	[R1]CCn1cc(nn1)CCCC	[R1]c1ccccc1	6.06	6.8	0.7400000000000002	-1	181.0
4	1112329-1112350	1112350	1112329	[R1]CNC(=O)C1CN(CC1C(=O)NC2CCN(C2)Cc3ccccc3)CC4CC4	[R1]Cc1cccc(c1)Cl	[R1]c1ccc(cc1Cl)Cl	6.17	7.15	0.9800000000000004	-1	183.0
5	1112329-1112351	1112351	1112329	[R1]CNC(=O)C1CN(CC1C(=O)NC2CCN(C2)Cc3ccccc3)CC4CC4	[R1]Cc1ccc(cc1)Cl	[R1]c1ccc(cc1Cl)Cl	6.42	7.15	0.7300000000000004	-1	183.0
6	1112329-1112352	1112352	1112329	[R1]CNC(=O)C1CN(CC1C(=O)NC2CCN(C2)Cc3ccccc3)CC4CC4	[R1]Cc1ccc(cc1Cl)Cl	[R1]c1ccc(cc1Cl)Cl	6.8	7.15	0.3500000000000005	-1	183.0
7	1112329-1112353	1112353	1112329	[R1]CNC(=O)C1CN(CC1C(=O)NC2CCN(C2)Cc3ccccc3)CC4CC4	[R1]c1cccc(c1)Cl	[R1]c1ccc(cc1Cl)Cl	6.4	7.15	0.75	-1	183.0
8	1112341-1112343	1112341	1112343	[R1]CNC(=O)C1CNCC1C(=O)NCCc2c[nH]c3c2cccc3	[R1]C(=O)c1ccccc1	[R1]c1ccccc1	5.26	5.26	0.0	-1	184.0
9	1112343-1112345	1112343	1112345	[R1]CCNC(=O)C1CNCC1C(=O)NCc2ccccc2	[R1]c1c[nH]c2c1cccc2	[R1]c1ccccc1	5.26	6.0	0.7400000000000002	-1	185.0
