	id	funatsu_lab_id1	funatsu_lab_id2	core	sub1	sub2	pot1	pot2	dpot	class	core_id
0	106879-527258	527258	106879	[R1]C(=O)N1CCCC1C(=O)NCc2ccc(cc2)C(=N)N	[R1]C	[R1]C(Cc1ccccc1)N	4.25	8.68	4.43	1	2.0
1	106879-527299	527299	106879	[R1]C(=O)N1CCCC1C(=O)NCc2ccc(cc2)C(=N)N	[R1]CC	[R1]C(Cc1ccccc1)N	4.63	8.68	4.05	1	2.0
2	106879-527307	527307	106879	[R1]C(=O)N1CCCC1C(=O)NCc2ccc(cc2)C(=N)N	[R1]CCC	[R1]C(Cc1ccccc1)N	5.27	8.68	3.41	1	2.0
3	106879-527328	527328	106879	[R1]C(=O)N1CCCC1C(=O)NCc2ccc(cc2)C(=N)N	[R1]CC(C)CC	[R1]C(Cc1ccccc1)N	5.89	8.68	2.79	1	2.0
4	106879-527345	527345	106879	[R1]C(=O)N1CCCC1C(=O)NCc2ccc(cc2)C(=N)N	[R1]CC(C)C	[R1]C(Cc1ccccc1)N	5.44	8.68	3.2399999999999998	1	2.0
5	106879-527347	527347	106879	[R1]C(=O)N1CCCC1C(=O)NCc2ccc(cc2)C(=N)N	[R1]CC(C)(C)C	[R1]C(Cc1ccccc1)N	6.03	8.68	2.6499999999999995	1	2.0
6	106879-527348	527348	106879	[R1]C(=O)N1CCCC1C(=O)NCc2ccc(cc2)C(=N)N	[R1]CC1CCCC1	[R1]C(Cc1ccccc1)N	5.79	8.68	2.89	1	2.0
7	106879-527349	527349	106879	[R1]C(=O)N1CCCC1C(=O)NCc2ccc(cc2)C(=N)N	[R1]CC1CCCCC1	[R1]C(Cc1ccccc1)N	5.63	8.68	3.05	1	2.0
8	106879-527386	527386	106879	[R1]C(=O)N1CCCC1C(=O)NCc2ccc(cc2)C(=N)N	[R1]CCC1CCCC1	[R1]C(Cc1ccccc1)N	5.93	8.68	2.75	1	2.0
9	106879-527393	527393	106879	[R1]C(=O)N1CCCC1C(=O)NCc2ccc(cc2)C(=N)N	[R1]CCC1CCCCC1	[R1]C(Cc1ccccc1)N	5.93	8.68	2.75	1	2.0
10	106879-527456	527456	106879	[R1]C(C(=O)N1CCCC1C(=O)NCc2ccc(cc2)C(=N)N)N	[R1]C(C)CC	[R1]Cc1ccccc1	7.7	8.68	0.9799999999999996	-1	134.0
11	106879-527457	527457	106879	[R1]CC(C(=O)N1CCCC1C(=O)NCc2ccc(cc2)C(=N)N)N	[R1]C(C)(C)C	[R1]c1ccccc1	7.96	8.68	0.7199999999999998	-1	135.0
12	106879-527458	527458	106879	[R1]C(C(=O)N1CCCC1C(=O)NCc2ccc(cc2)C(=N)N)N	[R1]C1CCCCC1	[R1]Cc1ccccc1	7.82	8.68	0.8599999999999994	-1	134.0
13	106879-581382	581382	106879	[R1]C(=O)N1CCCC1C(=O)NCc2ccc(cc2)C(=N)N	[R1]CCC(C)C	[R1]C(Cc1ccccc1)N	6.0	8.68	2.68	1	2.0
14	106879-581408	581408	106879	[R1]CC(C(=O)N1CCCC1C(=O)NCc2ccc(cc2)C(=N)N)N	[R1]C(C)C	[R1]c1ccccc1	8.0	8.68	0.6799999999999997	-1	135.0
