nonstereo_aromatic_smiles	accession	standard_type	organism	lower_pPot_lim	pPot_mean	upper_pPot_lim	chembl_cid	chembl_tid
CC(=O)N(C)CC(O)CN1CCC(CNC(=O)c2cccc3[nH]c(C(C)C)nc23)CC1	Q13639	Kd	Homo sapiens		8.400007822415901		CHEMBL2402902	CHEMBL1875
CC(=O)N1CCC(CN2CCC(CNC(=O)c3cccc4[nH]c(C(C)C)nc34)CC2)CC1	Q13639	Kd	Homo sapiens		9.0		CHEMBL2401750	CHEMBL1875
CC(=O)N1CCN(CCN2CCC(CNC(=O)c3cccc4[nH]c(C(C)C)nc34)CC2)CC1	Q13639	Kd	Homo sapiens		8.299988937677888		CHEMBL2402899	CHEMBL1875
CC(=O)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1	Q13639	Kd	Homo sapiens		9.899974269892136		CHEMBL178669	CHEMBL1875
CC(C)(C)c1nc2c(C(=O)NCC3CCN(CC(O)CN4CCN(S(C)(=O)=O)CC4)CC3)cccc2[nH]1	Q13639	Kd	Homo sapiens		7.899974269892138		CHEMBL2402893	CHEMBL1875
CC(C)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1	Q13639	Kd	Homo sapiens		10.500038134403807		CHEMBL182999	CHEMBL1875
CC(C)S(=O)(=O)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1	Q13639	Kd	Homo sapiens		9.899974269892136		CHEMBL179833	CHEMBL1875
CC(C)c1nc2c(C(=O)NCC3CCN(CC(O)CN(C)S(C)(=O)=O)CC3)cccc2[nH]1	Q13639	Kd	Homo sapiens		8.899974269892137		CHEMBL2402900	CHEMBL1875
CC(C)c1nc2c(C(=O)NCC3CCN(CC(O)CN4CCN(S(C)(=O)=O)CC4)CC3)cc(Cl)cc2[nH]1	Q13639	Kd	Homo sapiens		9.500038134403807		CHEMBL2402896	CHEMBL1875
CC(C)c1nc2c(C(=O)NCC3CCN(CC(O)CN4CCN(S(C)(=O)=O)CC4)CC3)cccc2[nH]1	Q13639	Kd	Homo sapiens		9.299988937677886		CHEMBL2402891	CHEMBL1875
CC(C)c1nc2c(C(=O)NCC3CCN(CC4CCN(S(C)(=O)=O)CC4)CC3)cccc2[nH]1	Q13639	Kd	Homo sapiens		9.299988937677886		CHEMBL2402903	CHEMBL1875
CC(C)c1nc2c(C(=O)NCC3CCN(CCN4CCN(S(C)(=O)=O)CC4)CC3)cccc2[nH]1	Q13639	Kd	Homo sapiens		9.100015437450608		CHEMBL2402897	CHEMBL1875
CC(C)n1c(=O)c(C(=O)NCCCN2CCCCC2)c(O)c2ccsc21	Q13639	Kd	Homo sapiens		7.443697499232713		CHEMBL3291085	CHEMBL1875
CC(F)(F)c1nc2c(C(=O)NCC3CCN(CC(O)CN4CCN(S(C)(=O)=O)CC4)CC3)cccc2[nH]1	Q13639	Kd	Homo sapiens		8.700057099977233		CHEMBL2402894	CHEMBL1875
CC(N)Cn1ncc2ccc(O)cc21	Q13639	Kd	Homo sapiens		6.288192770958808		CHEMBL371300_CHEMBL437314	CHEMBL1875
CC(O)CCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1	Q13639	Kd	Homo sapiens		9.100015437450608		CHEMBL2440453	CHEMBL1875
CC1(C)CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1	Q13639	Kd	Homo sapiens		9.899974269892136		CHEMBL178285	CHEMBL1875
