	n_tr	n_ac_tr	n_cpdout	n_ac_cpdout	n_bothout	n_ac_bothout	prop_tr	prop_cpdout	prop_bothout
CHEMBL244-Seed1	2081	149	1056	65	146	8	0.6338714590313738	0.32165702101736215	0.04447151995126409
CHEMBL244-Seed2	2215	169	969	50	99	3	0.6746877855619859	0.2951568687176363	0.030155345720377702
CHEMBL244-Seed3	1992	122	1153	87	138	13	0.6067621078282059	0.3512031678342979	0.04203472433749619
CHEMBL204-Seed1	1296	102	762	46	121	9	0.5947682423129876	0.3497016980266177	0.055530059660394676
CHEMBL204-Seed2	1363	121	718	35	98	1	0.6255162918770077	0.3295089490592015	0.04497475906379073
CHEMBL204-Seed3	1282	58	777	77	120	22	0.5883432767324461	0.35658558972005505	0.05507113354749885
CHEMBL3594-Seed1	1356	99	671	36	81	6	0.6432637571157496	0.3183111954459203	0.03842504743833017
CHEMBL3594-Seed2	1304	99	725	40	79	2	0.618595825426945	0.3439278937381404	0.03747628083491461
CHEMBL3594-Seed3	1354	108	671	32	83	1	0.642314990512334	0.3183111954459203	0.03937381404174573
CHEMBL261-Seed1	1308	73	695	56	88	9	0.6255380200860832	0.3323768531802965	0.042085126733620276
CHEMBL261-Seed2	1330	85	676	49	85	4	0.6360593017694883	0.3232902917264467	0.04065040650406504
CHEMBL261-Seed3	1330	85	681	46	80	7	0.6360593017694883	0.32568149210903874	0.03825920612147298
CHEMBL205-Seed1	1346	94	665	44	80	5	0.6437111429937828	0.31802965088474416	0.03825920612147298
CHEMBL205-Seed2	1349	86	660	52	82	5	0.6451458632233381	0.31563845050215206	0.0392156862745098
CHEMBL205-Seed3	1245	92	716	41	130	10	0.5954088952654233	0.34241989478718315	0.06217120994739359
CHEMBL264-Seed1	1355	69	603	45	59	5	0.6717897868120972	0.2989588497768964	0.029251363411006447
CHEMBL264-Seed2	1281	67	659	46	77	6	0.6351016360932077	0.3267228557263262	0.03817550818046604
CHEMBL264-Seed3	1364	56	564	55	89	8	0.676251859196827	0.27962320277640057	0.044124938026772434
CHEMBL3242-Seed1	1190	76	511	21	50	1	0.6796116504854369	0.2918332381496288	0.028555111364934323
CHEMBL3242-Seed2	1117	62	558	34	76	2	0.6379211878926327	0.31867504283266707	0.043403769274700174
CHEMBL3242-Seed3	1103	58	576	35	72	5	0.6299257567104511	0.3289548829240434	0.041119360365505425
CHEMBL217-Seed1	815	37	477	31	70	3	0.5983847283406755	0.3502202643171806	0.0513950073421439
CHEMBL217-Seed2	836	43	467	26	59	2	0.6138032305433186	0.34287812041116006	0.04331864904552129
CHEMBL217-Seed3	968	40	359	28	35	3	0.71071953010279	0.263582966226138	0.02569750367107195
CHEMBL253-Seed1	706	62	372	35	47	1	0.6275555555555555	0.33066666666666666	0.041777777777777775
CHEMBL253-Seed2	824	76	274	20	27	2	0.7324444444444445	0.24355555555555555	0.024
CHEMBL253-Seed3	685	62	371	32	69	4	0.6088888888888889	0.3297777777777778	0.06133333333333333
CHEMBL3837-Seed1	683	42	375	20	44	2	0.6197822141560798	0.34029038112522686	0.039927404718693285
CHEMBL3837-Seed3	692	48	365	15	45	1	0.6279491833030852	0.3312159709618875	0.04083484573502722
