	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL1223750-CHEMBL1223749	0	695	51	-1	-1	0.0
1	CHEMBL139926-CHEMBL124444	0	695	51	-1	-1	0.0
2	CHEMBL3358105-CHEMBL124444	0	695	51	-1	-1	0.0
3	CHEMBL3358106-CHEMBL124444	0	695	51	1	-1	0.0
4	CHEMBL3358492-CHEMBL124444	0	695	51	-1	-1	0.0
5	CHEMBL3358493-CHEMBL124444	0	695	51	-1	-1	0.0
6	CHEMBL496739-CHEMBL124444	0	695	51	-1	-1	0.0
7	CHEMBL128647-CHEMBL128524	0	695	51	-1	-1	0.0
8	CHEMBL131299-CHEMBL128524	0	695	51	-1	-1	0.0
9	CHEMBL128524-CHEMBL131396	0	695	51	-1	-1	0.0
10	CHEMBL132884-CHEMBL128524	0	695	51	-1	-1	0.0
11	CHEMBL22892-CHEMBL128524	0	695	51	-1	-1	0.0
12	CHEMBL131357-CHEMBL128647	0	695	51	-1	-1	0.0
13	CHEMBL128647-CHEMBL132884	0	695	51	-1	-1	0.0
14	CHEMBL128647-CHEMBL22892	0	695	51	-1	-1	0.0
15	CHEMBL128647-CHEMBL334545	0	695	51	-1	-1	0.0
16	CHEMBL435598-CHEMBL128647	0	695	51	-1	-1	0.0
17	CHEMBL131357-CHEMBL129757	0	695	51	-1	-1	0.0
18	CHEMBL131484-CHEMBL129757	0	695	51	-1	-1	0.0
19	CHEMBL129757-CHEMBL132884	0	695	51	-1	-1	0.0
20	CHEMBL131484-CHEMBL131299	0	695	51	-1	-1	0.0
21	CHEMBL131357-CHEMBL334545	0	695	51	-1	-1	0.0
22	CHEMBL341225-CHEMBL131357	0	695	51	-1	-1	0.0
23	CHEMBL131357-CHEMBL435598	0	695	51	-1	-1	0.0
24	CHEMBL132884-CHEMBL131396	0	695	51	-1	-1	0.0
25	CHEMBL131484-CHEMBL132884	0	695	51	-1	-1	0.0
26	CHEMBL132884-CHEMBL22892	0	695	51	-1	-1	0.0
27	CHEMBL139345-CHEMBL141511	0	695	51	-1	-1	0.0
28	CHEMBL139926-CHEMBL3358105	0	695	51	-1	-1	0.0
29	CHEMBL3358106-CHEMBL139926	0	695	51	1	-1	0.0
30	CHEMBL3358493-CHEMBL139926	0	695	51	-1	-1	0.0
31	CHEMBL139926-CHEMBL3358494	0	695	51	-1	-1	0.0
32	CHEMBL496739-CHEMBL139926	0	695	51	-1	-1	0.0
33	CHEMBL345087-CHEMBL141510	0	695	51	1	-1	0.0
34	CHEMBL141510-CHEMBL65847	0	695	51	-1	-1	0.0
35	CHEMBL69985-CHEMBL141510	0	695	51	-1	-1	0.0
36	CHEMBL342630-CHEMBL141511	0	695	51	-1	-1	0.0
37	CHEMBL1631532-CHEMBL1631535	0	695	51	-1	-1	0.0
38	CHEMBL1631532-CHEMBL1632210	0	695	51	-1	-1	0.0
39	CHEMBL1631532-CHEMBL1632217	0	695	51	-1	-1	0.0
40	CHEMBL1632220-CHEMBL1631532	0	695	51	-1	-1	0.0
41	CHEMBL1632223-CHEMBL1631532	0	695	51	-1	-1	0.0
42	CHEMBL1632210-CHEMBL1631535	0	695	51	-1	-1	0.0
43	CHEMBL1632217-CHEMBL1631535	0	695	51	-1	-1	0.0
44	CHEMBL1632220-CHEMBL1631535	0	695	51	-1	-1	0.0
45	CHEMBL1632223-CHEMBL1631535	0	695	51	-1	-1	0.0
46	CHEMBL1632210-CHEMBL1632217	0	695	51	-1	-1	0.0
47	CHEMBL1632220-CHEMBL1632210	0	695	51	-1	-1	0.0
48	CHEMBL1632223-CHEMBL1632210	0	695	51	-1	-1	0.0
49	CHEMBL1632220-CHEMBL1632217	0	695	51	-1	-1	0.0
50	CHEMBL1632223-CHEMBL1632217	0	695	51	-1	-1	0.0
51	CHEMBL1632220-CHEMBL1632223	0	695	51	-1	-1	0.0
52	CHEMBL165022-CHEMBL164950	0	695	51	-1	-1	0.0
53	CHEMBL164950-CHEMBL350161	0	695	51	-1	-1	0.0
54	CHEMBL165022-CHEMBL350161	0	695	51	-1	-1	0.0
55	CHEMBL175466-CHEMBL175677	0	695	51	-1	-1	0.0
56	CHEMBL175466-CHEMBL175838	0	695	51	-1	-1	0.0
57	CHEMBL175466-CHEMBL177398	0	695	51	-1	-1	0.0
58	CHEMBL175466-CHEMBL179003	0	695	51	-1	-1	0.0
59	CHEMBL175466-CHEMBL179025	0	695	51	-1	-1	0.0
60	CHEMBL175466-CHEMBL179053	0	695	51	-1	-1	0.0
61	CHEMBL175466-CHEMBL180060	0	695	51	-1	-1	0.0
62	CHEMBL175466-CHEMBL195057	0	695	51	-1	-1	0.0
63	CHEMBL175466-CHEMBL366900	0	695	51	-1	-1	0.0
64	CHEMBL175466-CHEMBL367720	0	695	51	-1	-1	0.0
65	CHEMBL175466-CHEMBL71327_CHEMBL71865	0	695	51	-1	-1	0.0
66	CHEMBL175677-CHEMBL175838	0	695	51	-1	-1	0.0
67	CHEMBL175677-CHEMBL177398	0	695	51	-1	-1	0.0
68	CHEMBL175677-CHEMBL179003	0	695	51	-1	-1	0.0
69	CHEMBL175677-CHEMBL179025	0	695	51	-1	-1	0.0
70	CHEMBL175677-CHEMBL179053	0	695	51	-1	-1	0.0
71	CHEMBL180060-CHEMBL175677	0	695	51	-1	-1	0.0
72	CHEMBL195057-CHEMBL175677	0	695	51	-1	-1	0.0
