	ids	cid	#tr	#ac_tr	trueY	predY	prob	neighbor	distance
0	CHEMBL1086520-CHEMBL1084581	2	1364	56	-1	-1	0.0	79	0.7804878048780488
1	CHEMBL1086704-CHEMBL1098516	2	1364	56	-1	1	1.0	502	0.8095238095238095
2	CHEMBL1097065-CHEMBL1098780	2	1364	56	-1	-1	0.0	448	0.7836990595611285
3	CHEMBL1098883-CHEMBL1098493	2	1364	56	-1	-1	0.0	515	0.7714285714285715
4	CHEMBL1099132-CHEMBL1098493	2	1364	56	-1	-1	0.0	435	0.7272727272727273
5	CHEMBL1099147-CHEMBL1098493	2	1364	56	-1	-1	0.0	474	0.696969696969697
6	CHEMBL1099132-CHEMBL1098883	2	1364	56	-1	-1	0.0	515	0.8064516129032258
7	CHEMBL1099147-CHEMBL1098883	2	1364	56	-1	-1	0.0	531	0.7741935483870968
8	CHEMBL1099147-CHEMBL1099132	2	1364	56	-1	-1	0.0	474	0.5925925925925926
9	CHEMBL1823402-CHEMBL1823403	2	1364	56	-1	-1	0.0	1665	0.5957446808510638
10	CHEMBL193484-CHEMBL193541	2	1364	56	1	-1	0.0	959	0.75
11	CHEMBL193953-CHEMBL193484	2	1364	56	-1	-1	0.0	921	0.3571428571428572
12	CHEMBL193953-CHEMBL193541	2	1364	56	1	1	1.0	958	0.631578947368421
13	CHEMBL199187-CHEMBL198325	2	1364	56	-1	-1	0.0	1006	0.6388888888888888
14	CHEMBL198325-CHEMBL363645	2	1364	56	-1	-1	0.0	1041	0.6666666666666666
15	CHEMBL199187-CHEMBL363645	2	1364	56	-1	-1	0.0	1015	0.6470588235294118
16	CHEMBL2048585-CHEMBL2048583	2	1364	56	-1	-1	0.0	1078	0.90625
17	CHEMBL2048585-CHEMBL2048584	2	1364	56	-1	-1	0.0	1078	0.9
18	CHEMBL232218-CHEMBL232010	2	1364	56	-1	-1	0.0	1188	0.8235294117647058
19	CHEMBL232010-CHEMBL242817	2	1364	56	-1	-1	0.0	1637	0.8918918918918919
20	CHEMBL232010-CHEMBL242820	2	1364	56	1	1	1.0	1618	0.8518518518518519
21	CHEMBL232218-CHEMBL242817	2	1364	56	-1	-1	0.0	1188	0.9166666666666666
22	CHEMBL232218-CHEMBL242820	2	1364	56	1	1	1.0	1618	0.7741935483870968
23	CHEMBL232661-CHEMBL233053	2	1364	56	-1	-1	0.0	1219	0.7916666666666666
24	CHEMBL232661-CHEMBL233471	2	1364	56	-1	-1	0.0	1217	0.8
25	CHEMBL232661-CHEMBL394800	2	1364	56	-1	-1	0.0	1217	0.7857142857142857
26	CHEMBL232661-CHEMBL427845	2	1364	56	-1	-1	0.0	1229	0.9103641456582633
27	CHEMBL233471-CHEMBL233053	2	1364	56	-1	-1	0.0	1508	0.600907029478458
28	CHEMBL394800-CHEMBL233053	2	1364	56	-1	-1	0.0	1508	0.5588972431077694
29	CHEMBL427845-CHEMBL233053	2	1364	56	-1	-1	0.0	1515	0.7857142857142857
30	CHEMBL233471-CHEMBL394800	2	1364	56	-1	-1	0.0	1275	0.7692307692307693
31	CHEMBL427845-CHEMBL233471	2	1364	56	-1	-1	0.0	1322	0.75
32	CHEMBL394800-CHEMBL234525	2	1364	56	-1	-1	0.0	1267	0.7272727272727273
33	CHEMBL427845-CHEMBL234525	2	1364	56	1	-1	0.0	1640	0.8076923076923077
34	CHEMBL242817-CHEMBL242820	2	1364	56	1	1	1.0	1618	0.8620689655172413
35	CHEMBL2447963_CHEMBL245920-CHEMBL245516	2	1364	56	-1	-1	0.0	1480	0.7586206896551724
36	CHEMBL2447963_CHEMBL245920-CHEMBL245921	2	1364	56	-1	-1	0.0	1480	0.6551724137931034
37	CHEMBL2447963_CHEMBL245920-CHEMBL246125	2	1364	56	-1	-1	0.0	1480	0.78125
38	CHEMBL2447963_CHEMBL245920-CHEMBL394321	2	1364	56	-1	-1	0.0	1480	0.7741935483870968
39	CHEMBL2447963_CHEMBL245920-CHEMBL438490	2	1364	56	-1	-1	0.0	1480	0.6153846153846154
40	CHEMBL245516-CHEMBL245921	2	1364	56	-1	-1	0.0	1480	0.5384615384615384
41	CHEMBL245516-CHEMBL246125	2	1364	56	-1	-1	0.0	1472	0.7916666666666666
42	CHEMBL245516-CHEMBL394321	2	1364	56	-1	-1	0.0	1472	0.782608695652174
43	CHEMBL245516-CHEMBL438490	2	1364	56	-1	-1	0.0	1467	0.75
44	CHEMBL246125-CHEMBL245921	2	1364	56	-1	-1	0.0	1480	0.5862068965517241
45	CHEMBL394321-CHEMBL245921	2	1364	56	-1	-1	0.0	1480	0.5714285714285714
