	ids	cid	#tr	#ac_tr	trueY	predY	prob	neighbor	distance
0	CHEMBL1208841-CHEMBL1208840	64	386	12	-1	-1	0.0	29; 3; 1; 2; 19	0.4545454545454546; 0.4642857142857143; 0.52; 0.6428571428571429; 0.65625
1	CHEMBL1208842-CHEMBL1208841	64	386	12	-1	-1	0.0	32; 12; 18; 15; 1	0.4545454545454546; 0.5384615384615384; 0.6153846153846154; 0.6428571428571429; 0.6923076923076923
2	CHEMBL1208843-CHEMBL1208841	64	386	12	-1	-1	0.0	15; 12; 11; 2; 18	0.46153846153846156; 0.5714285714285714; 0.6086956521739131; 0.6296296296296297; 0.6428571428571429
3	CHEMBL1208841-CHEMBL1208844	64	386	12	-1	-1	0.0	12; 13; 3; 15; 35	0.5862068965517241; 0.6538461538461539; 0.65625; 0.6774193548387096; 0.7163636363636363
4	CHEMBL1208900-CHEMBL1208841	64	386	12	-1	-1	0.0	12; 34; 15; 13; 18	0.3846153846153846; 0.4545454545454546; 0.5; 0.56; 0.5714285714285714
5	CHEMBL1208841-CHEMBL1208901	64	386	12	-1	-1	0.0	14; 19; 3; 17; 5	0.4642857142857143; 0.4666666666666667; 0.5625; 0.5666666666666667; 0.6333333333333333
6	CHEMBL1214877-CHEMBL1214876	64	386	12	-1	-1	0.0	65; 80; 76; 71; 78	0.75; 0.76; 0.782608695652174; 0.782608695652174; 0.7916666666666666
7	CHEMBL1214943-CHEMBL1214876	64	386	12	-1	-1	0.0	65; 123; 131; 129; 132	0.4736842105263157; 0.6538461538461539; 0.6551724137931034; 0.6666666666666666; 0.6785714285714286
8	CHEMBL1215015-CHEMBL1214876	64	386	12	-1	-1	0.4	67; 118; 174; 170; 182	0.375; 0.5357142857142857; 0.5483870967741935; 0.5483870967741935; 0.5757575757575758
9	CHEMBL1215016-CHEMBL1214876	64	386	12	-1	-1	0.0	68; 192; 200; 198; 201	0.375; 0.5483870967741935; 0.5588235294117647; 0.5625; 0.5757575757575758
