	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL1208842-CHEMBL1208841	2	557	28	0	0.0	2.6838630219572224e-05
1	CHEMBL1208841-CHEMBL1208844	2	557	28	0	0.0	2.7919784315599827e-06
2	CHEMBL1208842-CHEMBL1208844	2	557	28	0	0.0	1.7788071318136645e-06
3	CHEMBL1215087-CHEMBL1215089	2	557	28	0	0.0	1.1598295941439574e-06
4	CHEMBL1215087-CHEMBL1215164	2	557	28	0	0.0	0.00023077301739249378
5	CHEMBL1215087-CHEMBL1215300	2	557	28	0	0.0	6.454441745518125e-07
6	CHEMBL1215087-CHEMBL1215448	2	557	28	0	0.0	1.1854955346279894e-06
7	CHEMBL1215089-CHEMBL1215090	2	557	28	0	0.0	8.408204621446203e-07
8	CHEMBL1215164-CHEMBL1215089	2	557	28	0	0.0	1.1171666756126797e-06
9	CHEMBL1215300-CHEMBL1215089	2	557	28	0	0.0	8.361272563206512e-09
10	CHEMBL1215448-CHEMBL1215089	2	557	28	0	0.0	1.286930562116595e-08
11	CHEMBL1215300-CHEMBL1215090	2	557	28	0	0.0	6.157780063631435e-08
12	CHEMBL1215448-CHEMBL1215090	2	557	28	0	0.0	1.0435609709702476e-07
13	CHEMBL1215164-CHEMBL1215300	2	557	28	0	0.0	5.869846404493728e-07
14	CHEMBL1215164-CHEMBL1215448	2	557	28	0	0.0	1.0777644092740957e-06
15	CHEMBL1215448-CHEMBL1215300	2	557	28	0	0.0	2.268623067180897e-09
16	CHEMBL1270859-CHEMBL1270560	2	557	28	0	0.0	0.00012268147838767618
17	CHEMBL206251-CHEMBL206077	2	557	28	0	0.0	0.0003744991554412991
18	CHEMBL209405-CHEMBL206573	2	557	28	1	0.0	0.00030765653355047107
19	CHEMBL206573-CHEMBL378010	2	557	28	0	0.0	0.003814439522102475
20	CHEMBL379294-CHEMBL206573	2	557	28	0	0.0	0.01155717484652996
21	CHEMBL209405-CHEMBL379294	2	557	28	1	0.0	0.00030138628790155053
22	CHEMBL2441845-CHEMBL2441832	2	557	28	1	0.0	6.474570568570925e-07
23	CHEMBL2441838_CHEMBL2441839-CHEMBL2441845	2	557	28	0	0.0	3.83868473363691e-06
24	CHEMBL2441951-CHEMBL2441838_CHEMBL2441839	2	557	28	0	0.0	0.011624027974903584
25	CHEMBL2441951-CHEMBL2441845	2	557	28	0	0.0	4.0602710214443505e-05
26	CHEMBL392431-CHEMBL246980	2	557	28	0	0.0	1.3772656757282675e-06
