	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL21-CHEMBL3402961	0	250	17	0	0.0	0.007813071832060814
1	CHEMBL21-CHEMBL4562842	0	250	17	0	0.0	0.0018348806770518422
2	CHEMBL3360590-CHEMBL3360586	0	250	17	0	0.0	9.107550795306452e-06
3	CHEMBL3360590-CHEMBL3360588	0	250	17	0	0.0	3.87094678444555e-06
4	CHEMBL3402961-CHEMBL4462614	0	250	17	0	0.0	0.005949475336819887
5	CHEMBL3889623-CHEMBL3907577	0	250	17	0	0.0	1.655925814247894e-07
6	CHEMBL3894919-CHEMBL3907577	0	250	17	0	0.0	3.047729180138958e-08
7	CHEMBL3907577-CHEMBL3897472	0	250	17	0	0.0	6.150842324359473e-08
8	CHEMBL3898548-CHEMBL3907577	0	250	17	0	0.0	1.4545142335009587e-07
9	CHEMBL3907577-CHEMBL3917491	0	250	17	0	0.0	1.8056818262834895e-08
10	CHEMBL3907577-CHEMBL3925554	0	250	17	0	0.0	4.0782886401302676e-08
11	CHEMBL3969743-CHEMBL3907577	0	250	17	0	0.0	2.1216264656231942e-07
12	CHEMBL3907577-CHEMBL3978103	0	250	17	0	0.0	1.372105344898955e-07
13	CHEMBL3907577-CHEMBL3986308	0	250	17	0	0.0	4.704120115661681e-08
14	CHEMBL3918390-CHEMBL3936291	0	250	17	0	0.0	1.6978511041543243e-08
15	CHEMBL3927339-CHEMBL3936291	0	250	17	0	0.0	2.0275319201346065e-08
16	CHEMBL3936291-CHEMBL3954963	0	250	17	0	0.0	9.584801397011233e-09
17	CHEMBL3982616-CHEMBL3936291	0	250	17	0	0.0	9.020608260357221e-09
18	CHEMBL3953934-CHEMBL3945204	0	250	17	0	0.0	4.175128243133486e-09
19	CHEMBL3974625-CHEMBL3945204	0	250	17	0	0.0	2.4463563619292472e-08
20	CHEMBL3982616-CHEMBL3945204	0	250	17	0	0.0	1.1386273257585344e-08
21	CHEMBL4069089-CHEMBL4103176	0	250	17	0	0.0	8.216279093176126e-05
22	CHEMBL4069845-CHEMBL4069467	0	250	17	1	0.0	1.568661718920339e-05
23	CHEMBL4079507-CHEMBL4087725	0	250	17	0	0.0	5.0488091801526025e-05
24	CHEMBL4203646-CHEMBL4079507	0	250	17	1	0.0	0.269634485244751
25	CHEMBL4212619-CHEMBL4103176	0	250	17	1	0.0	0.25372639298439026
26	CHEMBL4159209-CHEMBL4167060	0	250	17	0	0.0	3.658650257420959e-06
27	CHEMBL4169857-CHEMBL4159209	0	250	17	0	0.0	8.724427061679307e-06
28	CHEMBL4159209-CHEMBL4173906	0	250	17	0	0.0	1.6421934105892433e-06
29	CHEMBL4159209-CHEMBL4174349	0	250	17	0	0.0	6.850781574030407e-06
30	CHEMBL4159209-CHEMBL4174943	0	250	17	0	0.0	1.6312188790834625e-06
31	CHEMBL4174004-CHEMBL4175889	0	250	17	0	0.0	9.504781814939633e-07
32	CHEMBL4206779-CHEMBL4216972	0	250	17	0	0.0	5.6026456149993464e-06
33	CHEMBL4211657-CHEMBL4211148	0	250	17	0	0.0	4.432789410202531e-06
34	CHEMBL4437281-CHEMBL4434892	0	250	17	0	0.0	1.2765398738068257e-09
35	CHEMBL4437653-CHEMBL4434892	0	250	17	0	0.0	1.0811585404724156e-08
36	CHEMBL4445271-CHEMBL4434892	0	250	17	0	0.0	3.902485001816558e-09
37	CHEMBL4454775-CHEMBL4434892	0	250	17	0	0.0	2.3992807740569333e-09
38	CHEMBL4437281-CHEMBL4537993	0	250	17	0	0.0	7.859409123511796e-09
39	CHEMBL4537993-CHEMBL4437653	0	250	17	0	0.0	4.189974145418773e-09
40	CHEMBL4562842-CHEMBL4439864	0	250	17	0	0.0	0.001178916310891509
41	CHEMBL4440330-CHEMBL4446872	0	250	17	0	0.0	0.0012262272648513317
42	CHEMBL4440330-CHEMBL4450666	0	250	17	0	0.0	1.2092542647224036e-06
43	CHEMBL4453623-CHEMBL4440330	0	250	17	0	0.0	7.042329343676101e-06
44	CHEMBL4461778-CHEMBL4440330	0	250	17	0	0.0	4.850256800636998e-07
45	CHEMBL4462700-CHEMBL4440330	0	250	17	0	0.0	4.481605355977081e-05
46	CHEMBL4469501-CHEMBL4440330	0	250	17	0	0.0	1.4844383258605376e-05
47	CHEMBL4475435-CHEMBL4440330	0	250	17	0	0.0	2.2921822164789774e-05
48	CHEMBL4440330-CHEMBL4476050	0	250	17	0	0.0	7.877783355070278e-05
49	CHEMBL4521611-CHEMBL4440330	0	250	17	0	0.0	5.139891436556354e-05
50	CHEMBL4440330-CHEMBL4550339	0	250	17	0	0.0	4.394985444378108e-05
51	CHEMBL4569748-CHEMBL4440330	0	250	17	0	0.0	0.0015714652836322784
52	CHEMBL4573177-CHEMBL4440330	0	250	17	0	0.0	0.00011038073716918007
53	CHEMBL4440330-CHEMBL4577187	0	250	17	0	0.0	0.010527247563004494
54	CHEMBL4577408-CHEMBL4440330	0	250	17	0	0.0	0.00034328296897001565
55	CHEMBL4586708-CHEMBL4440330	0	250	17	0	0.0	0.00022097013425081968
56	CHEMBL4593200-CHEMBL4440330	0	250	17	0	0.0	1.07484515865508e-06
57	CHEMBL4443290-CHEMBL4440932	0	250	17	0	0.0	0.20119163393974304
58	CHEMBL4516972-CHEMBL4440932	0	250	17	0	0.0	0.00016377017891500145
59	CHEMBL4443290-CHEMBL4446872	0	250	17	1	0.0	0.3636717200279236
60	CHEMBL4443290-CHEMBL4462700	0	250	17	1	0.0	0.45787471532821655
61	CHEMBL4443290-CHEMBL4472013	0	250	17	0	0.0	0.4232334494590759
62	CHEMBL4443290-CHEMBL4543874	0	250	17	0	1.0	0.9098221063613892
63	CHEMBL4443290-CHEMBL4550339	0	250	17	1	0.0	0.3612712025642395
64	CHEMBL4443290-CHEMBL4569748	0	250	17	1	0.0	0.07305542379617691
65	CHEMBL4443290-CHEMBL4573177	0	250	17	1	1.0	0.6797808408737183
66	CHEMBL4443290-CHEMBL4577187	0	250	17	0	0.0	0.00014268781524151564
67	CHEMBL4443290-CHEMBL4577408	0	250	17	1	1.0	0.8805239200592041
68	CHEMBL4537993-CHEMBL4445271	0	250	17	0	0.0	2.1475983214003236e-09
69	CHEMBL4457120-CHEMBL4446872	0	250	17	0	0.0	3.14784592774231e-05
70	CHEMBL4516972-CHEMBL4446872	0	250	17	0	1.0	0.9534899592399597
71	CHEMBL4586855-CHEMBL4446872	0	250	17	0	0.0	3.304753408883698e-05
72	CHEMBL4457120-CHEMBL4450666	0	250	17	0	0.0	7.59817282869335e-07
73	CHEMBL4516972-CHEMBL4450666	0	250	17	0	0.0	0.00016850841348059475
74	CHEMBL4586855-CHEMBL4450666	0	250	17	0	0.0	9.679979484644718e-07
75	CHEMBL4452401-CHEMBL4460569	0	250	17	0	0.0	0.0019427643856033683
76	CHEMBL4453623-CHEMBL4457120	0	250	17	0	0.0	3.969832050643163e-06
77	CHEMBL4516972-CHEMBL4453623	0	250	17	0	0.0	0.0030872635543346405
78	CHEMBL4453623-CHEMBL4586855	0	250	17	0	0.0	5.670509381161537e-06
79	CHEMBL4454775-CHEMBL4537993	0	250	17	0	0.0	1.4789922175850734e-08
80	CHEMBL4461778-CHEMBL4457120	0	250	17	0	0.0	1.7979552069391502e-07
81	CHEMBL4457120-CHEMBL4462700	0	250	17	0	0.0	1.1908702617802192e-05
82	CHEMBL4469501-CHEMBL4457120	0	250	17	0	0.0	4.565696144709364e-06
83	CHEMBL4475435-CHEMBL4457120	0	250	17	0	0.0	7.1172603384184185e-06
84	CHEMBL4457120-CHEMBL4476050	0	250	17	0	0.0	7.338747673202306e-05
85	CHEMBL4521611-CHEMBL4457120	0	250	17	0	0.0	1.3763867173111066e-05
86	CHEMBL4457120-CHEMBL4550339	0	250	17	0	0.0	0.00010115877375937998
87	CHEMBL4569748-CHEMBL4457120	0	250	17	0	0.0	0.0009669150458648801
88	CHEMBL4573177-CHEMBL4457120	0	250	17	0	0.0	7.021435158094391e-05
89	CHEMBL4457120-CHEMBL4577187	0	250	17	0	0.0	0.01277732104063034
90	CHEMBL4586708-CHEMBL4457120	0	250	17	0	0.0	4.831190381082706e-05
91	CHEMBL4593200-CHEMBL4457120	0	250	17	0	0.0	5.963647708995268e-07
92	CHEMBL4541944-CHEMBL4460569	0	250	17	0	0.0	0.0010993352625519037
93	CHEMBL4516972-CHEMBL4461778	0	250	17	0	0.0	0.006936959456652403
94	CHEMBL4516972-CHEMBL4462700	0	250	17	0	1.0	0.9788793325424194
95	CHEMBL4586855-CHEMBL4462700	0	250	17	0	0.0	2.154695039280341e-06
96	CHEMBL4516972-CHEMBL4469501	0	250	17	0	1.0	0.88801509141922
97	CHEMBL4469501-CHEMBL4586855	0	250	17	0	0.0	6.528566245833645e-06
98	CHEMBL4469524-CHEMBL4522179	0	250	17	0	0.0	8.314473376458409e-08
99	CHEMBL4469524-CHEMBL4584854	0	250	17	0	0.0	7.252897660237068e-08
100	CHEMBL4469524-CHEMBL4588654	0	250	17	0	0.0	5.609000552908583e-08
101	CHEMBL4469524-CHEMBL4590611	0	250	17	0	0.0	6.857691658979093e-08
102	CHEMBL4516972-CHEMBL4472013	0	250	17	0	0.0	0.0004018256440758705
103	CHEMBL4516972-CHEMBL4475435	0	250	17	0	1.0	0.9399957060813904
104	CHEMBL4586855-CHEMBL4475435	0	250	17	0	0.0	7.235721568576992e-05
105	CHEMBL4516972-CHEMBL4476050	0	250	17	0	1.0	0.9857991933822632
106	CHEMBL4586855-CHEMBL4476050	0	250	17	0	0.0	7.541415106970817e-05
107	CHEMBL4516972-CHEMBL4550339	0	250	17	0	1.0	0.9699954390525818
