	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL2387462-CHEMBL2387469	110	233	17	0	0.0	1.820832068099477e-36
1	CHEMBL2387463-CHEMBL2387464	110	233	17	0	0.0	0.0
2	CHEMBL2387471-CHEMBL2387463	110	233	17	0	0.0	7.527872142123559e-29
3	CHEMBL2387465-CHEMBL2387464	110	233	17	0	0.0	7.113169283209959e-31
4	CHEMBL2387471-CHEMBL2387465	110	233	17	0	0.0	0.0
5	CHEMBL2387471-CHEMBL2387475	110	233	17	0	0.0	2.912495169725519e-33
6	CHEMBL3103860-CHEMBL3103863	110	233	17	0	0.0	9.321586835753237e-10
7	CHEMBL3103864-CHEMBL3103860	110	233	17	0	0.0	1.0917365900198206e-09
8	CHEMBL3103865-CHEMBL3103860	110	233	17	0	0.0	3.797395731197639e-09
9	CHEMBL3103868-CHEMBL3103860	110	233	17	1	1.0	0.9999978542327881
10	CHEMBL3103864-CHEMBL3103863	110	233	17	0	0.0	3.939684578568858e-09
11	CHEMBL3103865-CHEMBL3103863	110	233	17	0	0.0	1.3224465078565117e-08
12	CHEMBL3103868-CHEMBL3103863	110	233	17	1	1.0	0.9999868869781494
13	CHEMBL3103865-CHEMBL3103864	110	233	17	0	0.0	5.617066811680616e-10
14	CHEMBL3103868-CHEMBL3103864	110	233	17	1	1.0	0.9999845027923584
15	CHEMBL3103868-CHEMBL3103865	110	233	17	1	1.0	0.9999957084655762
16	CHEMBL3103869-CHEMBL3103868	110	233	17	0	0.0	5.701678063019244e-08
17	CHEMBL3103868-CHEMBL3792552	110	233	17	1	1.0	0.9999995231628418
18	CHEMBL3103868-CHEMBL3793221	110	233	17	1	1.0	0.9999997615814209
19	CHEMBL3103868-CHEMBL3793267	110	233	17	1	1.0	0.9999991655349731
20	CHEMBL3103868-CHEMBL3793927	110	233	17	1	1.0	1.0
21	CHEMBL3103868-CHEMBL3794146	110	233	17	1	1.0	1.0
22	CHEMBL3103869-CHEMBL3792552	110	233	17	1	1.0	0.9999996423721313
23	CHEMBL3103869-CHEMBL3793221	110	233	17	1	1.0	0.9999997615814209
24	CHEMBL3103869-CHEMBL3793267	110	233	17	1	1.0	0.9999994039535522
25	CHEMBL3103869-CHEMBL3793927	110	233	17	1	1.0	1.0
26	CHEMBL3103869-CHEMBL3794146	110	233	17	1	1.0	1.0
27	CHEMBL3103880-CHEMBL3103876	110	233	17	0	0.0	6.461610425766335e-16
28	CHEMBL3648724-CHEMBL3623150	110	233	17	0	0.0	2.6142378418745083e-36
29	CHEMBL3623150-CHEMBL3652626_CHEMBL3652638_CHEMBL4437940	110	233	17	0	0.0	7.784342159626044e-34
30	CHEMBL3623150-CHEMBL4439756	110	233	17	0	0.0	7.844369972512234e-36
31	CHEMBL3623150-CHEMBL4459538	110	233	17	0	0.0	1.2608204680914708e-36
32	CHEMBL3634757-CHEMBL3634756_CHEMBL3634758	110	233	17	0	0.0	9.052313753053475e-33
33	CHEMBL3634756_CHEMBL3634758-CHEMBL3634767	110	233	17	0	0.0	1.5959607807893822e-30
34	CHEMBL3634756_CHEMBL3634758-CHEMBL3634770	110	233	17	0	0.0	4.856951689606644e-28
35	CHEMBL3956349-CHEMBL3634756_CHEMBL3634758	110	233	17	0	0.0	4.162709818501997e-23
36	CHEMBL3634757-CHEMBL3634767	110	233	17	0	0.0	8.449224877608803e-31
37	CHEMBL3634757-CHEMBL3634770	110	233	17	0	0.0	1.39368078755073e-28
