	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL22892-CHEMBL128313	0	815	37	1	0.0	0.00313644390553236
1	CHEMBL1631532-CHEMBL1632217	0	815	37	0	0.0	0.00010791487875394523
2	CHEMBL175466-CHEMBL175677	0	815	37	0	0.0	5.8512869145488366e-05
3	CHEMBL175466-CHEMBL175838	0	815	37	0	0.0	3.611531269598345e-07
4	CHEMBL175466-CHEMBL176212	0	815	37	0	0.0	2.4613043933641165e-05
5	CHEMBL175466-CHEMBL176884	0	815	37	0	0.0	3.706525149027584e-06
6	CHEMBL175466-CHEMBL179053	0	815	37	0	0.0	1.1601913456615875e-06
7	CHEMBL175466-CHEMBL191855	0	815	37	0	0.0	1.8280790072822128e-06
8	CHEMBL175466-CHEMBL367720	0	815	37	0	0.0	1.2970743910045712e-06
9	CHEMBL175677-CHEMBL175838	0	815	37	0	0.0	1.3659401702170726e-05
10	CHEMBL175677-CHEMBL176212	0	815	37	0	0.0	3.964365168940276e-05
11	CHEMBL176884-CHEMBL175677	0	815	37	0	0.0	8.798075577942654e-05
12	CHEMBL175677-CHEMBL179053	0	815	37	0	0.0	4.391813854454085e-05
13	CHEMBL175677-CHEMBL191855	0	815	37	0	0.0	6.920150917721912e-05
14	CHEMBL175677-CHEMBL367720	0	815	37	0	0.0	4.910146162728779e-05
15	CHEMBL176212-CHEMBL175838	0	815	37	0	0.0	5.750930995418457e-06
16	CHEMBL176884-CHEMBL175838	0	815	37	0	0.0	8.660288131068228e-07
17	CHEMBL179053-CHEMBL175838	0	815	37	0	0.0	1.1417707810323918e-06
18	CHEMBL191855-CHEMBL175838	0	815	37	0	0.0	1.7990575997828273e-06
19	CHEMBL175838-CHEMBL367720	0	815	37	0	0.0	1.276483089895919e-06
20	CHEMBL176884-CHEMBL176212	0	815	37	0	0.0	3.7009107472840697e-05
21	CHEMBL179053-CHEMBL176212	0	815	37	0	0.0	1.847445309977047e-05
22	CHEMBL191855-CHEMBL176212	0	815	37	0	0.0	2.9109356546541676e-05
23	CHEMBL176212-CHEMBL367720	0	815	37	0	0.0	2.0654068066505715e-05
24	CHEMBL176884-CHEMBL179053	0	815	37	0	0.0	2.782082901831018e-06
25	CHEMBL176884-CHEMBL191855	0	815	37	0	0.0	4.383645318739582e-06
26	CHEMBL176884-CHEMBL367720	0	815	37	0	0.0	3.110324314548052e-06
27	CHEMBL179053-CHEMBL191855	0	815	37	0	0.0	6.0468217270681635e-05
28	CHEMBL179053-CHEMBL367720	0	815	37	0	0.0	4.2904750443995e-05
29	CHEMBL191855-CHEMBL367720	0	815	37	0	0.0	6.343411223497242e-05
30	CHEMBL1940411-CHEMBL1940409	0	815	37	0	0.0	0.00017151003703474998
31	CHEMBL1940411-CHEMBL3289646	0	815	37	0	0.0	0.00014170831127557904
32	CHEMBL201743-CHEMBL202774	0	815	37	0	0.0	5.0239686970598996e-06
33	CHEMBL201743-CHEMBL205498	0	815	37	0	0.0	3.6710469430545345e-05
34	CHEMBL201743-CHEMBL205961	0	815	37	0	0.0	1.3735098946199287e-05
35	CHEMBL201743-CHEMBL382568	0	815	37	0	0.0	0.0001159094026661478
36	CHEMBL201743-CHEMBL382773	0	815	37	0	0.0	0.0006850077188573778
37	CHEMBL202774-CHEMBL205498	0	815	37	0	0.0	3.1578858852299163e-06
38	CHEMBL202774-CHEMBL205961	0	815	37	0	0.0	1.1814853451141971e-06
39	CHEMBL382568-CHEMBL202774	0	815	37	0	0.0	9.971400686481502e-06
40	CHEMBL202774-CHEMBL382773	0	815	37	0	0.0	0.0041449302807450294
41	CHEMBL2037431-CHEMBL2037521	0	815	37	0	0.0	0.02405862882733345
42	CHEMBL205498-CHEMBL205961	0	815	37	0	0.0	2.9315089705050923e-05
43	CHEMBL382568-CHEMBL205498	0	815	37	0	0.0	0.0002474595094099641
44	CHEMBL205498-CHEMBL382773	0	815	37	0	0.0	0.0004310858785174787
45	CHEMBL382568-CHEMBL205961	0	815	37	0	0.0	2.080857711916906e-06
46	CHEMBL213336-CHEMBL213424	0	815	37	0	0.0	6.736972409271402e-06
47	CHEMBL222188-CHEMBL221513	0	815	37	0	0.0	0.24299867451190948
48	CHEMBL221513-CHEMBL225571	0	815	37	0	0.0	0.051757264882326126
49	CHEMBL221513-CHEMBL243743	0	815	37	0	0.0	0.00017751850828062743
50	CHEMBL221513-CHEMBL243954	0	815	37	0	0.0	0.0007597195217385888
51	CHEMBL222188-CHEMBL225571	0	815	37	0	1.0	0.6603144407272339
52	CHEMBL224820-CHEMBL225571	0	815	37	1	1.0	0.67349773645401
53	CHEMBL243743-CHEMBL224820	0	815	37	0	0.0	0.01839088462293148
54	CHEMBL224820-CHEMBL243954	0	815	37	0	0.0	0.08391951024532318
55	CHEMBL225571-CHEMBL243954	0	815	37	0	0.0	0.03018888086080551
56	CHEMBL2298801-CHEMBL2299003	0	815	37	0	1.0	0.9619636535644531
57	CHEMBL232779_CHEMBL232780-CHEMBL234669_CHEMBL391107	0	815	37	0	0.0	0.0001400980690959841
