	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL3758712_CHEMBL501451-CHEMBL109390_CHEMBL3758292	3	686	29	0	0.0	1.6134074631857231e-10
1	CHEMBL3759292_CHEMBL458631-CHEMBL109390_CHEMBL3758292	3	686	29	0	0.0	1.2348130296047088e-09
2	CHEMBL1201149_CHEMBL19019-CHEMBL1585944_CHEMBL1718_CHEMBL80	3	686	29	0	0.0	2.6487437243538636e-10
3	CHEMBL247368-CHEMBL13786	3	686	29	0	0.0	2.7253570067387045e-08
4	CHEMBL190902-CHEMBL178960_CHEMBL3664217_CHEMBL378767_CHEMBL435108_CHEMBL445332_CHEMBL458235	3	686	29	0	0.0	4.033661252234033e-11
5	CHEMBL178960_CHEMBL3664217_CHEMBL378767_CHEMBL435108_CHEMBL445332_CHEMBL458235-CHEMBL191014	3	686	29	0	0.0	5.184151176916563e-13
6	CHEMBL178960_CHEMBL3664217_CHEMBL378767_CHEMBL435108_CHEMBL445332_CHEMBL458235-CHEMBL191180	3	686	29	0	0.0	7.125065294710797e-12
7	CHEMBL178960_CHEMBL3664217_CHEMBL378767_CHEMBL435108_CHEMBL445332_CHEMBL458235-CHEMBL2381584	3	686	29	0	0.0	6.358230348474381e-12
8	CHEMBL178960_CHEMBL3664217_CHEMBL378767_CHEMBL435108_CHEMBL445332_CHEMBL458235-CHEMBL360495_CHEMBL370272_CHEMBL385846	3	686	29	0	0.0	3.2014103173994e-11
9	CHEMBL178960_CHEMBL3664217_CHEMBL378767_CHEMBL435108_CHEMBL445332_CHEMBL458235-CHEMBL363324	3	686	29	0	0.0	3.847043343607748e-12
10	CHEMBL178960_CHEMBL3664217_CHEMBL378767_CHEMBL435108_CHEMBL445332_CHEMBL458235-CHEMBL370912	3	686	29	0	0.0	1.797946687365215e-11
11	CHEMBL189643-CHEMBL190353	3	686	29	0	0.0	9.35581213196146e-12
12	CHEMBL189643-CHEMBL190600	3	686	29	0	0.0	6.699555354927611e-10
13	CHEMBL189643-CHEMBL192998	3	686	29	0	0.0	1.1516678583012308e-10
14	CHEMBL362741-CHEMBL189643	3	686	29	0	0.0	1.0905248232218057e-10
15	CHEMBL363822-CHEMBL189643	3	686	29	0	0.0	2.170215812613563e-10
16	CHEMBL189643-CHEMBL370538	3	686	29	0	0.0	9.507047232792942e-11
17	CHEMBL425897-CHEMBL189643	3	686	29	0	0.0	1.4253984659262642e-09
18	CHEMBL190353-CHEMBL190600	3	686	29	0	0.0	1.0847013391657168e-11
19	CHEMBL192998-CHEMBL190353	3	686	29	0	0.0	1.1292453951095016e-11
20	CHEMBL362741-CHEMBL190353	3	686	29	0	0.0	6.366373140470616e-12
21	CHEMBL363822-CHEMBL190353	3	686	29	0	0.0	1.0710341467878859e-11
22	CHEMBL370538-CHEMBL190353	3	686	29	0	0.0	9.366542264022115e-12
23	CHEMBL425897-CHEMBL190353	3	686	29	0	0.0	1.3830026533712125e-11
24	CHEMBL192998-CHEMBL190600	3	686	29	0	0.0	1.332166738032825e-10
25	CHEMBL362741-CHEMBL190600	3	686	29	0	0.0	3.98984928429158e-10
26	CHEMBL363822-CHEMBL190600	3	686	29	0	0.0	7.261999335206326e-10
27	CHEMBL370538-CHEMBL190600	3	686	29	0	0.0	1.0997007471313935e-10
28	CHEMBL425897-CHEMBL190600	3	686	29	0	0.0	9.742162632164764e-10
29	CHEMBL312021-CHEMBL1907858_CHEMBL281274_CHEMBL355202	3	686	29	0	0.0	1.0470720468447325e-07
30	CHEMBL78156-CHEMBL1907858_CHEMBL281274_CHEMBL355202	3	686	29	0	0.0	1.5391000474096472e-08
31	CHEMBL190785-CHEMBL363324	3	686	29	0	0.0	4.320124535883707e-10
32	CHEMBL190902-CHEMBL191014	3	686	29	0	0.0	6.870845038753348e-13
33	CHEMBL190902-CHEMBL191180	3	686	29	0	0.0	7.338294902292652e-12
34	CHEMBL190902-CHEMBL2381584	3	686	29	0	0.0	8.68088066707795e-12
35	CHEMBL190902-CHEMBL360495_CHEMBL370272_CHEMBL385846	3	686	29	0	0.0	3.011815449815991e-11
