	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL137867-CHEMBL138575	145	168	15	0	0.0	0.464520126581192
1	CHEMBL139923-CHEMBL137867	145	168	15	0	0.0	0.4589667022228241
2	CHEMBL337759-CHEMBL137867	145	168	15	0	0.0	0.4605712890625
3	CHEMBL423546-CHEMBL137867	145	168	15	0	0.0	0.46010759472846985
4	CHEMBL139590-CHEMBL139024	145	168	15	0	0.0	0.4658583104610443
5	CHEMBL212232-CHEMBL214912	145	168	15	0	0.0	0.49277201294898987
6	CHEMBL385276-CHEMBL212232	145	168	15	0	0.0	0.4776138365268707
7	CHEMBL212335-CHEMBL213662	145	168	15	0	0.0	0.46764612197875977
8	CHEMBL212335-CHEMBL214502	145	168	15	0	0.0	0.46831101179122925
9	CHEMBL212335-CHEMBL215656	145	168	15	0	0.0	0.4648163616657257
10	CHEMBL212335-CHEMBL243508	145	168	15	0	0.0	0.465530127286911
11	CHEMBL212335-CHEMBL379196	145	168	15	0	0.0	0.4790819585323334
12	CHEMBL212335-CHEMBL385896	145	168	15	0	0.0	0.479226678609848
13	CHEMBL213662-CHEMBL373883	145	168	15	0	0.0	0.4651666581630707
14	CHEMBL213758-CHEMBL373883	145	168	15	0	0.0	0.47444388270378113
15	CHEMBL214378-CHEMBL214912	145	168	15	0	0.0	0.4822804629802704
16	CHEMBL385276-CHEMBL214378	145	168	15	0	0.0	0.4775128662586212
17	CHEMBL214502-CHEMBL373883	145	168	15	0	0.0	0.4658414423465729
18	CHEMBL214912-CHEMBL214794	145	168	15	0	0.0	0.4824408292770386
19	CHEMBL385276-CHEMBL214794	145	168	15	0	0.0	0.4868149757385254
20	CHEMBL214911-CHEMBL214912	145	168	15	0	0.0	0.4907912015914917
21	CHEMBL214911-CHEMBL385276	145	168	15	0	0.0	0.48129045963287354
22	CHEMBL215335-CHEMBL214912	145	168	15	0	0.0	0.4735878109931946
23	CHEMBL386616-CHEMBL214912	145	168	15	0	0.0	0.4949430823326111
24	CHEMBL387242-CHEMBL214912	145	168	15	0	0.0	0.48255011439323425
25	CHEMBL215335-CHEMBL385276	145	168	15	0	0.0	0.47724050283432007
26	CHEMBL215656-CHEMBL373883	145	168	15	0	0.0	0.4666455388069153
27	CHEMBL230325-CHEMBL387614	145	168	15	0	0.0	0.4753866493701935
28	CHEMBL230325-CHEMBL397415	145	168	15	0	0.0	0.47713565826416016
29	CHEMBL230643-CHEMBL230645	145	168	15	0	0.0	0.48642346262931824
30	CHEMBL230752-CHEMBL230645	145	168	15	0	0.0	0.48547178506851196
31	CHEMBL230645-CHEMBL230860	145	168	15	0	0.0	0.4958374798297882
32	CHEMBL244147-CHEMBL230645	145	168	15	1	1.0	0.5138030648231506
33	CHEMBL244148-CHEMBL230645	145	168	15	0	0.0	0.4962734878063202
34	CHEMBL390244-CHEMBL230645	145	168	15	0	0.0	0.483713835477829
35	CHEMBL390245-CHEMBL230645	145	168	15	0	0.0	0.49422189593315125
36	CHEMBL396555-CHEMBL230645	145	168	15	1	1.0	0.5145068764686584
37	CHEMBL541214-CHEMBL230645	145	168	15	0	0.0	0.49256208539009094
38	CHEMBL2377805-CHEMBL2375437	145	168	15	0	0.0	0.4242522716522217
39	CHEMBL2377805-CHEMBL2375441	145	168	15	0	0.0	0.42192327976226807
40	CHEMBL2377805-CHEMBL2375442	145	168	15	0	0.0	0.42194944620132446
41	CHEMBL2377805-CHEMBL2377801	145	168	15	0	0.0	0.42550748586654663
42	CHEMBL2377805-CHEMBL2377802	145	168	15	0	0.0	0.42379266023635864
43	CHEMBL2377805-CHEMBL2377803	145	168	15	0	0.0	0.4209170937538147
44	CHEMBL2377805-CHEMBL2377804	145	168	15	0	0.0	0.4182491898536682
45	CHEMBL2377805-CHEMBL2377807	145	168	15	0	0.0	0.43180280923843384
46	CHEMBL243268-CHEMBL243267	145	168	15	0	0.0	0.4739570617675781
47	CHEMBL243268-CHEMBL387614	145	168	15	0	0.0	0.4771856665611267
48	CHEMBL243268-CHEMBL397415	145	168	15	0	0.0	0.4760989248752594
49	CHEMBL243268-CHEMBL429105	145	168	15	1	0.0	0.47875964641571045
50	CHEMBL243508-CHEMBL373883	145	168	15	0	0.0	0.46739494800567627
51	CHEMBL243509-CHEMBL243730	145	168	15	0	0.0	0.4943438768386841
52	CHEMBL243509-CHEMBL243731	145	168	15	0	0.0	0.4950568675994873
53	CHEMBL243509-CHEMBL394852	145	168	15	0	0.0	0.4974415898323059
54	CHEMBL243509-CHEMBL394853	145	168	15	0	1.0	0.502135157585144
55	CHEMBL243510-CHEMBL243730	145	168	15	0	0.0	0.48715344071388245
56	CHEMBL243510-CHEMBL243731	145	168	15	0	0.0	0.49792996048927307
57	CHEMBL243510-CHEMBL394852	145	168	15	0	1.0	0.5007465481758118
58	CHEMBL243510-CHEMBL394853	145	168	15	0	1.0	0.5062342882156372
59	CHEMBL243730-CHEMBL243940	145	168	15	0	0.0	0.49879151582717896
60	CHEMBL243730-CHEMBL243942	145	168	15	1	1.0	0.5150529742240906
61	CHEMBL243730-CHEMBL244146	145	168	15	0	0.0	0.4928323030471802
62	CHEMBL243730-CHEMBL244147	145	168	15	0	0.0	0.4940550923347473
63	CHEMBL243730-CHEMBL397254	145	168	15	0	0.0	0.4948538541793823
64	CHEMBL243730-CHEMBL397255	145	168	15	0	0.0	0.49446263909339905
65	CHEMBL243732-CHEMBL243731	145	168	15	0	0.0	0.48618191480636597
66	CHEMBL243940-CHEMBL243731	145	168	15	0	0.0	0.4898112714290619
67	CHEMBL243941-CHEMBL243731	145	168	15	0	0.0	0.4898112714290619
68	CHEMBL244146-CHEMBL243731	145	168	15	0	0.0	0.4933798611164093
69	CHEMBL244147-CHEMBL243731	145	168	15	0	0.0	0.4859640300273895
70	CHEMBL243731-CHEMBL394851	145	168	15	0	0.0	0.47675958275794983
71	CHEMBL396554-CHEMBL243731	145	168	15	0	0.0	0.48890629410743713
72	CHEMBL243731-CHEMBL397253	145	168	15	0	0.0	0.4802919924259186
73	CHEMBL397254-CHEMBL243731	145	168	15	0	0.0	0.4956318140029907
74	CHEMBL243731-CHEMBL397255	145	168	15	0	0.0	0.4863748252391815
75	CHEMBL394852-CHEMBL243732	145	168	15	0	0.0	0.4856790006160736
76	CHEMBL394853-CHEMBL243732	145	168	15	0	0.0	0.48818239569664
77	CHEMBL243940-CHEMBL394853	145	168	15	0	0.0	0.4917300045490265
78	CHEMBL243941-CHEMBL394853	145	168	15	0	0.0	0.4917300045490265
79	CHEMBL243942-CHEMBL394853	145	168	15	0	1.0	0.5042029023170471
80	CHEMBL394852-CHEMBL244146	145	168	15	0	0.0	0.4955974817276001
81	CHEMBL394852-CHEMBL244147	145	168	15	0	0.0	0.485613614320755
82	CHEMBL244147-CHEMBL394853	145	168	15	0	0.0	0.49487534165382385
83	CHEMBL394852-CHEMBL244148	145	168	15	0	0.0	0.49906572699546814
84	CHEMBL244148-CHEMBL394853	145	168	15	0	1.0	0.502794623374939
85	CHEMBL386616-CHEMBL385276	145	168	15	0	0.0	0.47438013553619385
86	CHEMBL385276-CHEMBL387242	145	168	15	0	0.0	0.47825053334236145
