	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL1223749-CHEMBL1223748	4	749	40	0	1.0	0.6622037887573242
1	CHEMBL1223750-CHEMBL1223748	4	749	40	0	1.0	0.8211230635643005
2	CHEMBL1223750-CHEMBL1223749	4	749	40	0	1.0	0.8020762801170349
3	CHEMBL128647-CHEMBL128524	4	749	40	0	0.0	0.001838223310187459
4	CHEMBL131299-CHEMBL128524	4	749	40	0	0.0	0.0018991322722285986
5	CHEMBL132884-CHEMBL128524	4	749	40	0	0.0	0.0015583534259349108
6	CHEMBL22892-CHEMBL128524	4	749	40	0	0.0	0.00159836292732507
7	CHEMBL130370-CHEMBL128647	4	749	40	0	0.0	0.0018160967156291008
8	CHEMBL131357-CHEMBL128647	4	749	40	0	0.0	0.0017688828520476818
9	CHEMBL128647-CHEMBL132884	4	749	40	0	0.0	0.0014723773347213864
10	CHEMBL128647-CHEMBL22892	4	749	40	0	0.0	0.001518126460723579
11	CHEMBL435598-CHEMBL128647	4	749	40	0	0.0	0.0016621224349364638
12	CHEMBL131357-CHEMBL129757	4	749	40	0	0.0	0.0013800510205328465
13	CHEMBL131484-CHEMBL129757	4	749	40	0	0.0	0.0014190543442964554
14	CHEMBL129757-CHEMBL132884	4	749	40	0	0.0	0.001493676914833486
15	CHEMBL130370-CHEMBL131299	4	749	40	0	0.0	0.001766961649991572
16	CHEMBL130370-CHEMBL131357	4	749	40	0	0.0	0.0016805360792204738
17	CHEMBL130370-CHEMBL131484	4	749	40	0	0.0	0.0014152774820104241
18	CHEMBL341225-CHEMBL130370	4	749	40	0	0.0	0.0011811648728325963
19	CHEMBL130370-CHEMBL435598	4	749	40	0	0.0	0.0015944207552820444
20	CHEMBL131484-CHEMBL131299	4	749	40	0	0.0	0.001488436944782734
21	CHEMBL341225-CHEMBL131357	4	749	40	0	0.0	0.0011508221505209804
22	CHEMBL131357-CHEMBL435598	4	749	40	0	0.0	0.00155296316370368
23	CHEMBL131484-CHEMBL132884	4	749	40	0	0.0	0.0015335557982325554
24	CHEMBL132884-CHEMBL22892	4	749	40	0	0.0	0.001280191820114851
25	CHEMBL139926-CHEMBL3358105	4	749	40	0	0.0	0.00017404028039891273
26	CHEMBL3358493-CHEMBL139926	4	749	40	0	0.0	0.00015577397425659
27	CHEMBL139926-CHEMBL3358494	4	749	40	0	0.0	0.00019031058764085174
28	CHEMBL496739-CHEMBL139926	4	749	40	0	0.0	0.00018342917610425502
29	CHEMBL476935-CHEMBL140872	4	749	40	0	0.0	0.01204872690141201
30	CHEMBL345087-CHEMBL141510	4	749	40	1	1.0	0.7188121676445007
31	CHEMBL69985-CHEMBL141510	4	749	40	0	1.0	0.7041485905647278
32	CHEMBL1631532-CHEMBL1631535	4	749	40	0	0.0	1.6971101309210326e-15
33	CHEMBL1632206-CHEMBL1631532	4	749	40	0	0.0	1.3437583268327558e-09
34	CHEMBL1631532-CHEMBL1632210	4	749	40	0	0.0	4.892952709667497e-10
35	CHEMBL1632223-CHEMBL1631532	4	749	40	0	0.0	1.6343923334716237e-06
36	CHEMBL1632206-CHEMBL1631535	4	749	40	0	0.0	6.798894265505964e-14
37	CHEMBL1632210-CHEMBL1631535	4	749	40	0	0.0	5.338834436390341e-14
38	CHEMBL1632223-CHEMBL1631535	4	749	40	0	0.0	1.3177233326920027e-15
39	CHEMBL1632206-CHEMBL1632210	4	749	40	0	0.0	5.281504300569395e-08
40	CHEMBL1632206-CHEMBL1632223	4	749	40	0	0.0	1.3110789121029143e-09
41	CHEMBL1632223-CHEMBL1632210	4	749	40	0	0.0	2.006992572134436e-09
42	CHEMBL165022-CHEMBL164950	4	749	40	0	0.0	0.007090521045029163
43	CHEMBL164950-CHEMBL350161	4	749	40	0	0.0	0.05973440781235695
44	CHEMBL165022-CHEMBL350161	4	749	40	0	0.0	0.07648047804832458
45	CHEMBL175466-CHEMBL175677	4	749	40	0	0.0	1.6921673480843613e-12
46	CHEMBL175466-CHEMBL175838	4	749	40	0	0.0	2.0407774862368777e-12
47	CHEMBL175466-CHEMBL176212	4	749	40	0	0.0	7.114984599751462e-13
48	CHEMBL175466-CHEMBL176884	4	749	40	0	0.0	1.3341666096552962e-12
49	CHEMBL175466-CHEMBL177398	4	749	40	0	0.0	1.2204484384908953e-12
50	CHEMBL175466-CHEMBL179025	4	749	40	0	0.0	1.9992716249889186e-12
51	CHEMBL175466-CHEMBL179053	4	749	40	0	0.0	1.362565984520947e-12
52	CHEMBL175466-CHEMBL180060	4	749	40	0	0.0	1.6386665245213261e-12
53	CHEMBL175466-CHEMBL195057	4	749	40	0	0.0	1.6563798943547425e-12
54	CHEMBL175466-CHEMBL366900	4	749	40	0	0.0	1.854434791490056e-12
55	CHEMBL175466-CHEMBL367720	4	749	40	0	0.0	2.056834520411388e-12
56	CHEMBL175466-CHEMBL372022	4	749	40	0	0.0	7.743066712979918e-13
57	CHEMBL175466-CHEMBL426994	4	749	40	0	0.0	9.347656112698721e-13
58	CHEMBL175466-CHEMBL71327_CHEMBL71865	4	749	40	0	0.0	2.060792725702698e-12
59	CHEMBL175677-CHEMBL175838	4	749	40	0	0.0	2.1627962008136103e-12
60	CHEMBL175677-CHEMBL176212	4	749	40	0	0.0	7.394787364910227e-13
61	CHEMBL176884-CHEMBL175677	4	749	40	0	0.0	1.3866232381060106e-12
62	CHEMBL175677-CHEMBL177398	4	749	40	0	0.0	1.2464866378653072e-12
63	CHEMBL175677-CHEMBL179025	4	749	40	0	0.0	2.1018952637424926e-12
64	CHEMBL175677-CHEMBL179053	4	749	40	0	0.0	1.416133920198459e-12
65	CHEMBL180060-CHEMBL175677	4	749	40	0	0.0	1.703092094434977e-12
66	CHEMBL195057-CHEMBL175677	4	749	40	0	0.0	1.6916960453999819e-12
67	CHEMBL366900-CHEMBL175677	4	749	40	0	0.0	1.893981065731465e-12
68	CHEMBL175677-CHEMBL367720	4	749	40	0	0.0	2.1804827908533664e-12
