	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL3127474-CHEMBL3124966	0	292	15	0	0.0	0.47262853384017944
1	CHEMBL3127479-CHEMBL3124966	0	292	15	0	0.0	0.4726078510284424
2	CHEMBL3127470-CHEMBL3127477	0	292	15	0	0.0	0.4729926586151123
3	CHEMBL3127475-CHEMBL3127477	0	292	15	0	0.0	0.47292834520339966
4	CHEMBL3127477-CHEMBL3127476	0	292	15	0	0.0	0.4729298949241638
5	CHEMBL3127477-CHEMBL3127478	0	292	15	0	0.0	0.47288867831230164
6	CHEMBL3127477-CHEMBL3127479	0	292	15	0	0.0	0.4730096757411957
7	CHEMBL3127480-CHEMBL3127477	0	292	15	0	0.0	0.47259390354156494
8	CHEMBL3127477-CHEMBL3127482	0	292	15	0	0.0	0.47304269671440125
9	CHEMBL3355665-CHEMBL3352850	0	292	15	0	0.0	0.4724564552307129
10	CHEMBL3355666-CHEMBL3352850	0	292	15	0	0.0	0.47255438566207886
11	CHEMBL3355667-CHEMBL3352850	0	292	15	0	0.0	0.4726104140281677
12	CHEMBL3352850-CHEMBL3355668	0	292	15	0	0.0	0.4724561870098114
13	CHEMBL3352850-CHEMBL3355669	0	292	15	0	0.0	0.47260987758636475
14	CHEMBL3355671-CHEMBL3352850	0	292	15	0	0.0	0.4725252389907837
15	CHEMBL3355672-CHEMBL3352850	0	292	15	0	0.0	0.47254908084869385
16	CHEMBL3355674-CHEMBL3352850	0	292	15	0	0.0	0.4725508391857147
17	CHEMBL3355675-CHEMBL3352850	0	292	15	0	0.0	0.4725463092327118
18	CHEMBL3352850-CHEMBL3355676	0	292	15	0	0.0	0.4725201725959778
19	CHEMBL3352850-CHEMBL3355677	0	292	15	0	0.0	0.4725503623485565
20	CHEMBL3352850-CHEMBL3355678	0	292	15	0	0.0	0.47254589200019836
21	CHEMBL3352850-CHEMBL3355682_CHEMBL3393381	0	292	15	1	0.0	0.4726579189300537
22	CHEMBL3355673-CHEMBL3355666	0	292	15	0	0.0	0.4722808003425598
23	CHEMBL3355673-CHEMBL3355667	0	292	15	0	0.0	0.4726548194885254
24	CHEMBL3355673-CHEMBL3355668	0	292	15	0	0.0	0.47251319885253906
25	CHEMBL3355673-CHEMBL3355669	0	292	15	0	0.0	0.4726543426513672
26	CHEMBL3355673-CHEMBL3355671	0	292	15	0	0.0	0.47256961464881897
27	CHEMBL3355673-CHEMBL3355672	0	292	15	0	0.0	0.4722789227962494
28	CHEMBL3355673-CHEMBL3355675	0	292	15	0	0.0	0.47259077429771423
29	CHEMBL3355673-CHEMBL3355676	0	292	15	0	0.0	0.47256460785865784
30	CHEMBL3355673-CHEMBL3355678	0	292	15	0	0.0	0.47259029746055603
31	CHEMBL3355673-CHEMBL3355682_CHEMBL3393381	0	292	15	1	0.0	0.47271493077278137
32	CHEMBL3355680-CHEMBL3393373	0	292	15	0	0.0	0.4724351763725281
33	CHEMBL3398613-CHEMBL3355683_CHEMBL3398612	0	292	15	0	0.0	0.47300514578819275
34	CHEMBL3355683_CHEMBL3398612-CHEMBL3398615	0	292	15	0	0.0	0.4727698564529419
35	CHEMBL3355683_CHEMBL3398612-CHEMBL3398619	0	292	15	1	0.0	0.4729088842868805
36	CHEMBL3355683_CHEMBL3398612-CHEMBL3398623	0	292	15	1	0.0	0.4726932942867279
37	CHEMBL3355683_CHEMBL3398612-CHEMBL3398625	0	292	15	1	0.0	0.4727674424648285
38	CHEMBL3355683_CHEMBL3398612-CHEMBL3398627	0	292	15	1	0.0	0.4727425277233124
39	CHEMBL3780389-CHEMBL3393364	0	292	15	0	0.0	0.4724184572696686
40	CHEMBL3780501-CHEMBL3393364	0	292	15	0	0.0	0.4725660979747772
41	CHEMBL3780751-CHEMBL3393364	0	292	15	0	0.0	0.4725284278392792
42	CHEMBL3780930-CHEMBL3393364	0	292	15	0	0.0	0.4724710285663605
43	CHEMBL3781468-CHEMBL3393364	0	292	15	0	0.0	0.47255897521972656
44	CHEMBL3398613-CHEMBL3398614	0	292	15	0	0.0	0.4730052351951599
45	CHEMBL3398613-CHEMBL3398620	0	292	15	1	0.0	0.47301575541496277
46	CHEMBL3398613-CHEMBL3398622	0	292	15	1	0.0	0.4730193316936493
47	CHEMBL3398614-CHEMBL3398615	0	292	15	0	0.0	0.4727589190006256
48	CHEMBL3398614-CHEMBL3398625	0	292	15	1	0.0	0.4727562665939331
49	CHEMBL3398627-CHEMBL3398614	0	292	15	1	0.0	0.47273126244544983
50	CHEMBL3398620-CHEMBL3398615	0	292	15	1	0.0	0.4727819561958313
51	CHEMBL3398622-CHEMBL3398615	0	292	15	1	0.0	0.4727745056152344
52	CHEMBL3398622-CHEMBL3398618	0	292	15	0	0.0	0.4729137122631073
53	CHEMBL3398624-CHEMBL3398618	0	292	15	0	0.0	0.4729101061820984
54	CHEMBL3398633-CHEMBL3398618	0	292	15	0	0.0	0.47298529744148254
55	CHEMBL3398622-CHEMBL3398619	0	292	15	0	0.0	0.47291573882102966
56	CHEMBL3398624-CHEMBL3398619	0	292	15	0	0.0	0.4729113280773163
57	CHEMBL3398633-CHEMBL3398619	0	292	15	0	0.0	0.47299718856811523
58	CHEMBL3398620-CHEMBL3398623	0	292	15	0	0.0	0.47270745038986206
59	CHEMBL3398620-CHEMBL3398627	0	292	15	0	0.0	0.472754567861557
60	CHEMBL3398621-CHEMBL3398622	0	292	15	0	0.0	0.4727100729942322
61	CHEMBL3398621-CHEMBL3398624	0	292	15	0	0.0	0.47271087765693665
62	CHEMBL3398621-CHEMBL3398633	0	292	15	0	0.0	0.47276702523231506
63	CHEMBL3398623-CHEMBL3398622	0	292	15	0	0.0	0.4727000594139099
64	CHEMBL3398622-CHEMBL3398625	0	292	15	0	0.0	0.47277215123176575
65	CHEMBL3398626-CHEMBL3398622	0	292	15	0	0.0	0.4728177785873413
66	CHEMBL3398627-CHEMBL3398622	0	292	15	0	0.0	0.4727468490600586
67	CHEMBL3398628-CHEMBL3398622	0	292	15	0	0.0	0.47275614738464355
68	CHEMBL3398630-CHEMBL3398622	0	292	15	0	0.0	0.4727977216243744
69	CHEMBL3398623-CHEMBL3398624	0	292	15	0	0.0	0.47270116209983826
70	CHEMBL3398633-CHEMBL3398623	0	292	15	0	0.0	0.4727572798728943
71	CHEMBL3398624-CHEMBL3398625	0	292	15	0	0.0	0.4727729558944702
72	CHEMBL3398626-CHEMBL3398624	0	292	15	0	0.0	0.47281861305236816
73	CHEMBL3398627-CHEMBL3398624	0	292	15	0	0.0	0.47274795174598694
74	CHEMBL3398628-CHEMBL3398624	0	292	15	0	0.0	0.47275689244270325
75	CHEMBL3398629-CHEMBL3398624	0	292	15	0	0.0	0.4728033244609833
76	CHEMBL3398630-CHEMBL3398624	0	292	15	0	0.0	0.4727984666824341
77	CHEMBL3398633-CHEMBL3398625	0	292	15	0	0.0	0.47282907366752625
78	CHEMBL3398633-CHEMBL3398626	0	292	15	0	0.0	0.47287577390670776
79	CHEMBL3398633-CHEMBL3398627	0	292	15	0	0.0	0.47280412912368774
80	CHEMBL3398628-CHEMBL3398633	0	292	15	0	0.0	0.4727913439273834
81	CHEMBL3398635-CHEMBL3398628	0	292	15	0	0.0	0.47281455993652344
82	CHEMBL3398629-CHEMBL3398632	0	292	15	0	0.0	0.4728718101978302
83	CHEMBL3398629-CHEMBL3398633	0	292	15	0	0.0	0.4728478193283081
84	CHEMBL3398635-CHEMBL3398629	0	292	15	0	0.0	0.47287362813949585
85	CHEMBL3398630-CHEMBL3398632	0	292	15	0	0.0	0.47286558151245117
86	CHEMBL3398630-CHEMBL3398633	0	292	15	0	0.0	0.47284165024757385
87	CHEMBL3398631-CHEMBL3398632	0	292	15	0	0.0	0.4730907082557678
88	CHEMBL3398631-CHEMBL3398633	0	292	15	0	0.0	0.47306135296821594
89	CHEMBL3398634-CHEMBL3398632	0	292	15	0	0.0	0.47293025255203247
90	CHEMBL3398634-CHEMBL3398633	0	292	15	0	0.0	0.4729044437408447
91	CHEMBL3398634-CHEMBL3398635	0	292	15	0	0.0	0.4729326069355011
92	CHEMBL3701219-CHEMBL4082288	0	292	15	0	0.0	0.47289857268333435
93	CHEMBL3701219-CHEMBL4100305	0	292	15	0	0.0	0.472857803106308
94	CHEMBL3753020-CHEMBL3752251	0	292	15	0	0.0	0.47255897521972656
