	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL1258199-CHEMBL1258084	7	375	22	0	1.0	0.60663902759552
1	CHEMBL1258427-CHEMBL1258084	7	375	22	0	1.0	0.6062947511672974
2	CHEMBL1258087-CHEMBL1258427	7	375	22	0	1.0	0.5903424620628357
3	CHEMBL1258199-CHEMBL1258427	7	375	22	0	1.0	0.6058773994445801
4	CHEMBL1258648-CHEMBL1258426	7	375	22	0	1.0	0.5882518887519836
5	CHEMBL1258532-CHEMBL1774086	7	375	22	0	1.0	0.5918304920196533
6	CHEMBL1632206-CHEMBL1632217	7	375	22	0	1.0	0.5769357085227966
7	CHEMBL1774063-CHEMBL1774067	7	375	22	1	1.0	0.5692815780639648
8	CHEMBL1774063-CHEMBL1774070	7	375	22	1	1.0	0.5699214339256287
9	CHEMBL1774063-CHEMBL1774086	7	375	22	0	1.0	0.5878116488456726
10	CHEMBL1774070-CHEMBL1774067	7	375	22	0	1.0	0.5701634287834167
11	CHEMBL1774081-CHEMBL1774067	7	375	22	0	1.0	0.5884344577789307
12	CHEMBL1774081-CHEMBL1774070	7	375	22	0	1.0	0.5891114473342896
13	CHEMBL1774086-CHEMBL1774070	7	375	22	1	1.0	0.5888944268226624
14	CHEMBL1774081-CHEMBL1774078	7	375	22	0	1.0	0.5968355536460876
15	CHEMBL1774078-CHEMBL1774086	7	375	22	0	1.0	0.5964726805686951
16	CHEMBL201117-CHEMBL380763	7	375	22	0	1.0	0.5759217739105225
17	CHEMBL209573-CHEMBL211850	7	375	22	0	1.0	0.5566560626029968
18	CHEMBL3813796-CHEMBL3813855	7	375	22	0	1.0	0.5718713402748108
19	CHEMBL3814737-CHEMBL3813796	7	375	22	0	1.0	0.5714834332466125
20	CHEMBL3814737-CHEMBL3813855	7	375	22	0	1.0	0.5721532106399536
21	CHEMBL4649697-CHEMBL4636165	7	375	22	0	1.0	0.5491738319396973
22	CHEMBL583772-CHEMBL572942	7	375	22	1	1.0	0.5698204040527344
