	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL1629808-CHEMBL241539	11	296	17	0	1.0	0.5150891542434692
1	CHEMBL241540-CHEMBL1629808	11	296	17	0	1.0	0.5151979327201843
2	CHEMBL38492-CHEMBL1629808	11	296	17	0	0.0	0.49850618839263916
3	CHEMBL40798-CHEMBL1629808	11	296	17	0	1.0	0.5022135376930237
4	CHEMBL415264-CHEMBL1629808	11	296	17	0	1.0	0.5124027729034424
5	CHEMBL1773092-CHEMBL1775047	11	296	17	0	1.0	0.5222371816635132
6	CHEMBL1775036-CHEMBL3393985	11	296	17	0	0.0	0.4993880093097687
7	CHEMBL3394081-CHEMBL1775036	11	296	17	0	0.0	0.49707818031311035
8	CHEMBL400211-CHEMBL1775036	11	296	17	0	0.0	0.49674320220947266
9	CHEMBL401447-CHEMBL1775036	11	296	17	0	0.0	0.4925483167171478
10	CHEMBL241540-CHEMBL1775038	11	296	17	0	0.0	0.49215975403785706
11	CHEMBL1775041-CHEMBL401447	11	296	17	0	1.0	0.5009492635726929
12	CHEMBL1775045-CHEMBL1775046	11	296	17	0	1.0	0.5216485857963562
13	CHEMBL406658-CHEMBL1775046	11	296	17	0	1.0	0.5196791887283325
14	CHEMBL261827-CHEMBL1775047	11	296	17	0	1.0	0.5200364589691162
15	CHEMBL1836676-CHEMBL1836675	11	296	17	0	1.0	0.516128420829773
16	CHEMBL1836677-CHEMBL1836675	11	296	17	0	1.0	0.5160534977912903
17	CHEMBL1836675-CHEMBL514140	11	296	17	0	1.0	0.5104128122329712
18	CHEMBL1836677-CHEMBL236375	11	296	17	0	1.0	0.5103175640106201
19	CHEMBL1836680-CHEMBL3394077	11	296	17	0	1.0	0.5144561529159546
20	CHEMBL203922-CHEMBL204343	11	296	17	0	0.0	0.4921491742134094
21	CHEMBL204343-CHEMBL380532	11	296	17	0	0.0	0.49133577942848206
22	CHEMBL382012-CHEMBL204343	11	296	17	0	0.0	0.49317124485969543
23	CHEMBL204343-CHEMBL382153	11	296	17	0	1.0	0.5070058107376099
24	CHEMBL382586-CHEMBL204343	11	296	17	0	0.0	0.4962242841720581
25	CHEMBL406504-CHEMBL204343	11	296	17	0	0.0	0.4957587420940399
26	CHEMBL378603-CHEMBL204379	11	296	17	0	1.0	0.5188238024711609
27	CHEMBL235756-CHEMBL241539	11	296	17	0	1.0	0.5120664834976196
28	CHEMBL235756-CHEMBL241540	11	296	17	0	1.0	0.5122015476226807
29	CHEMBL38492-CHEMBL235756	11	296	17	0	0.0	0.496072381734848
30	CHEMBL40798-CHEMBL235756	11	296	17	0	0.0	0.49918699264526367
