	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL3804875-CHEMBL3804985	0	390	14	0	0.0	0.4780052602291107
1	CHEMBL3804875-CHEMBL3805004	0	390	14	0	0.0	0.4796806871891022
2	CHEMBL3804875-CHEMBL3805027	0	390	14	0	0.0	0.47881603240966797
3	CHEMBL3804875-CHEMBL3805249	0	390	14	0	0.0	0.4784638285636902
4	CHEMBL3805286-CHEMBL3804875	0	390	14	0	0.0	0.47798827290534973
5	CHEMBL3805350-CHEMBL3804875	0	390	14	0	0.0	0.4780929386615753
6	CHEMBL3804875-CHEMBL3805858	0	390	14	1	0.0	0.4789729118347168
7	CHEMBL3804875-CHEMBL3806252	0	390	14	0	0.0	0.478005975484848
8	CHEMBL3804985-CHEMBL3805004	0	390	14	0	0.0	0.47959643602371216
9	CHEMBL3804985-CHEMBL3805027	0	390	14	0	0.0	0.4780844748020172
10	CHEMBL3804985-CHEMBL3805249	0	390	14	0	0.0	0.47773265838623047
11	CHEMBL3805286-CHEMBL3804985	0	390	14	0	0.0	0.47791969776153564
12	CHEMBL3805350-CHEMBL3804985	0	390	14	0	0.0	0.4779120683670044
13	CHEMBL3804985-CHEMBL3805858	0	390	14	0	0.0	0.4788920283317566
14	CHEMBL3804985-CHEMBL3806252	0	390	14	0	0.0	0.4779190421104431
15	CHEMBL3805027-CHEMBL3805004	0	390	14	0	0.0	0.47976377606391907
16	CHEMBL3805286-CHEMBL3805004	0	390	14	0	0.0	0.4795915186405182
17	CHEMBL3805350-CHEMBL3805004	0	390	14	0	0.0	0.4795829653739929
18	CHEMBL3805004-CHEMBL3805858	0	390	14	0	0.0	0.4790601134300232
19	CHEMBL3806252-CHEMBL3805004	0	390	14	0	0.0	0.4795909523963928
20	CHEMBL3805249-CHEMBL3805027	0	390	14	0	0.0	0.4793913662433624
21	CHEMBL3805286-CHEMBL3805027	0	390	14	0	0.0	0.4780675768852234
22	CHEMBL3805350-CHEMBL3805027	0	390	14	0	0.0	0.4781726598739624
23	CHEMBL3805027-CHEMBL3805858	0	390	14	1	0.0	0.47905388474464417
24	CHEMBL3806252-CHEMBL3805027	0	390	14	0	0.0	0.4780851900577545
25	CHEMBL3805286-CHEMBL3805249	0	390	14	0	0.0	0.4777156114578247
26	CHEMBL3805350-CHEMBL3805249	0	390	14	0	0.0	0.47782033681869507
27	CHEMBL3805249-CHEMBL3805858	0	390	14	1	0.0	0.47870078682899475
28	CHEMBL3806252-CHEMBL3805249	0	390	14	0	0.0	0.4777335822582245
29	CHEMBL3805350-CHEMBL3805286	0	390	14	0	0.0	0.47800731658935547
30	CHEMBL3805286-CHEMBL3806252	0	390	14	0	0.0	0.47792044281959534
31	CHEMBL3805350-CHEMBL3806252	0	390	14	0	0.0	0.47791287302970886
32	CHEMBL3806252-CHEMBL3805858	0	390	14	0	0.0	0.4788866639137268
