	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL257966-CHEMBL1162978	2	1992	122	0	0.0	5.9581449107781737e-08
1	CHEMBL159816-CHEMBL140072_CHEMBL153611	2	1992	122	0	0.0	0.18417485058307648
2	CHEMBL350499-CHEMBL159418	2	1992	122	0	0.0	2.1135933003790797e-09
3	CHEMBL4286727-CHEMBL1626802	2	1992	122	1	0.0	1.2984572402708237e-23
4	CHEMBL171854-CHEMBL366962	2	1992	122	0	0.0	0.00020346150267869234
5	CHEMBL369086-CHEMBL172360	2	1992	122	0	0.0	1.5945599285416279e-09
6	CHEMBL173878-CHEMBL366962	2	1992	122	0	0.0	8.639317017854198e-13
7	CHEMBL425142-CHEMBL173878	2	1992	122	0	0.0	0.0007230037590488791
8	CHEMBL173994-CHEMBL226564	2	1992	122	0	0.0	1.517838047089548e-13
9	CHEMBL226668-CHEMBL173994	2	1992	122	0	0.0	1.0342009887365222e-10
10	CHEMBL173994-CHEMBL226669	2	1992	122	0	0.0	2.3931574943958367e-08
11	CHEMBL173994-CHEMBL226775	2	1992	122	0	0.0	2.2392278253846598e-08
12	CHEMBL173994-CHEMBL226776	2	1992	122	0	0.0	7.799689782927999e-09
13	CHEMBL173994-CHEMBL226879	2	1992	122	0	0.0	1.6061520000221208e-05
14	CHEMBL173994-CHEMBL227145	2	1992	122	1	0.0	1.114226222398429e-07
15	CHEMBL173994-CHEMBL227196	2	1992	122	1	0.0	3.2811683058076024e-12
16	CHEMBL227308-CHEMBL173994	2	1992	122	0	0.0	1.8300609291865833e-11
17	CHEMBL227359-CHEMBL173994	2	1992	122	0	0.0	4.679178810101201e-20
18	CHEMBL173994-CHEMBL375264	2	1992	122	1	0.0	3.918712888364116e-14
19	CHEMBL173994-CHEMBL376791	2	1992	122	0	0.0	1.1066407018995866e-24
20	CHEMBL173994-CHEMBL387656	2	1992	122	0	0.0	3.660799094418188e-12
21	CHEMBL387856-CHEMBL173994	2	1992	122	0	0.0	1.1826791546695314e-14
22	CHEMBL173994-CHEMBL389638	2	1992	122	0	0.0	1.8347289270255234e-20
23	CHEMBL173994-CHEMBL390056	2	1992	122	1	1.0	0.8347672820091248
24	CHEMBL173994-CHEMBL390969	2	1992	122	0	0.0	1.4908871914798283e-09
25	CHEMBL173994-CHEMBL427421	2	1992	122	0	0.0	1.010001948742456e-08
26	CHEMBL173994-CHEMBL441880	2	1992	122	0	0.0	5.933902705188199e-29
27	CHEMBL174335-CHEMBL366962	2	1992	122	0	0.0	4.216466065187774e-11
28	CHEMBL174335-CHEMBL425142	2	1992	122	0	0.0	9.533635003406565e-14
29	CHEMBL369086-CHEMBL174499	2	1992	122	0	0.0	1.8037620331472334e-37
30	CHEMBL366962-CHEMBL174815	2	1992	122	0	0.0	3.379949186048929e-16
31	CHEMBL425142-CHEMBL174815	2	1992	122	0	0.0	0.0001060002323356457
32	CHEMBL369086-CHEMBL175130	2	1992	122	0	1.0	0.9977474808692932
33	CHEMBL176136-CHEMBL366962	2	1992	122	0	0.0	4.100161459064111e-05
34	CHEMBL369086-CHEMBL176243	2	1992	122	0	0.0	1.0877292176778713e-13
35	CHEMBL1766818-CHEMBL86114	2	1992	122	1	0.0	3.369393742432659e-23
36	CHEMBL86114-CHEMBL1766821	2	1992	122	0	0.0	9.109745255925322e-19
