	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL1090030_CHEMBL1091073-CHEMBL1093729_CHEMBL1094036	4	1293	68	0	1.0	0.9749116897583008
1	CHEMBL3342247-CHEMBL1090030_CHEMBL1091073	4	1293	68	0	0.0	0.35791516304016113
2	CHEMBL3342253-CHEMBL1090030_CHEMBL1091073	4	1293	68	0	0.0	0.016686558723449707
3	CHEMBL3342247-CHEMBL1093729_CHEMBL1094036	4	1293	68	0	1.0	0.5449309349060059
4	CHEMBL3342253-CHEMBL1093729_CHEMBL1094036	4	1293	68	0	0.0	0.038916345685720444
5	CHEMBL1164420-CHEMBL1163376	4	1293	68	0	0.0	0.38657182455062866
6	CHEMBL1164486-CHEMBL1163376	4	1293	68	0	0.0	0.2682841122150421
7	CHEMBL1164966-CHEMBL1163376	4	1293	68	0	1.0	0.9517541527748108
8	CHEMBL1165117-CHEMBL1163376	4	1293	68	0	1.0	0.809974193572998
9	CHEMBL1165321-CHEMBL1163376	4	1293	68	0	0.0	0.007436005398631096
10	CHEMBL1164486-CHEMBL1164420	4	1293	68	0	1.0	0.7980794310569763
11	CHEMBL1164966-CHEMBL1164420	4	1293	68	0	1.0	0.9287928342819214
12	CHEMBL1165117-CHEMBL1164420	4	1293	68	0	0.0	0.3671199679374695
13	CHEMBL1165321-CHEMBL1164420	4	1293	68	0	0.0	0.3188863694667816
14	CHEMBL1164966-CHEMBL1164486	4	1293	68	0	1.0	0.923033595085144
15	CHEMBL1165117-CHEMBL1164486	4	1293	68	0	0.0	0.27081218361854553
16	CHEMBL1165321-CHEMBL1164486	4	1293	68	0	0.0	0.2688107192516327
17	CHEMBL1164966-CHEMBL1165117	4	1293	68	0	0.0	0.00034892463008873165
18	CHEMBL1164966-CHEMBL1165321	4	1293	68	0	1.0	0.944217324256897
19	CHEMBL1165321-CHEMBL1165117	4	1293	68	0	0.0	0.007371761370450258
20	CHEMBL1240574-CHEMBL2208439	4	1293	68	0	0.0	0.241646870970726
21	CHEMBL1240574-CHEMBL2208440	4	1293	68	0	1.0	0.9052858948707581
22	CHEMBL1240574-CHEMBL2208441	4	1293	68	0	1.0	0.6873891949653625
23	CHEMBL1240574-CHEMBL2208442	4	1293	68	0	1.0	0.5188954472541809
24	CHEMBL1288558-CHEMBL1288559	4	1293	68	0	0.0	0.0018146114889532328
25	CHEMBL1288558-CHEMBL1288560	4	1293	68	0	0.0	0.0004255637468304485
26	CHEMBL1288559-CHEMBL1288560	4	1293	68	0	0.0	0.0002248217788292095
27	CHEMBL1288594-CHEMBL1288595	4	1293	68	0	0.0	0.00181099702604115
28	CHEMBL1288594-CHEMBL1288596	4	1293	68	0	0.0	0.00042481833952479064
29	CHEMBL1288594-CHEMBL1288620	4	1293	68	0	0.0	0.00023404254170600325
30	CHEMBL1288594-CHEMBL1290111	4	1293	68	0	0.0	0.04607230797410011
31	CHEMBL1288595-CHEMBL1288596	4	1293	68	0	0.0	5.947065437794663e-05
32	CHEMBL1288595-CHEMBL1288620	4	1293	68	0	0.0	3.254127659602091e-05
33	CHEMBL1288595-CHEMBL1290111	4	1293	68	0	0.0	0.004640641156584024
34	CHEMBL1288596-CHEMBL1288620	4	1293	68	0	0.0	1.6135718396981247e-05
35	CHEMBL1288596-CHEMBL1290111	4	1293	68	0	0.0	0.0010246123420074582
36	CHEMBL1288620-CHEMBL1290111	4	1293	68	0	0.0	0.0005581991863436997
37	CHEMBL2333964-CHEMBL1338403	4	1293	68	1	1.0	0.9443355202674866
38	CHEMBL2333966-CHEMBL1338403	4	1293	68	0	0.0	0.0006069624796509743
39	CHEMBL1338403-CHEMBL3359169	4	1293	68	0	0.0	2.1221687347861007e-05
40	CHEMBL3402959-CHEMBL1338403	4	1293	68	0	0.0	9.675857654656284e-06
41	CHEMBL3402960-CHEMBL1338403	4	1293	68	0	0.0	0.002734571695327759
42	CHEMBL3402961-CHEMBL1338403	4	1293	68	0	0.0	0.026720138266682625
43	CHEMBL1338403-CHEMBL4462614	4	1293	68	0	0.0	4.4869279918202665e-06
44	CHEMBL1347917-CHEMBL2337534	4	1293	68	0	0.0	1.6947843732850743e-06
45	CHEMBL2337541-CHEMBL1347917	4	1293	68	0	0.0	1.3355130249692593e-05
46	CHEMBL1441824-CHEMBL1466024	4	1293	68	0	1.0	0.8357172608375549
47	CHEMBL4160467-CHEMBL1441824	4	1293	68	0	0.0	0.018125412985682487
48	CHEMBL4168368-CHEMBL1441824	4	1293	68	0	0.0	0.0965576320886612
49	CHEMBL4160467-CHEMBL1466024	4	1293	68	0	0.0	0.04657856002449989
50	CHEMBL4168368-CHEMBL1466024	4	1293	68	0	0.0	0.23044228553771973
51	CHEMBL3633776-CHEMBL1479002	4	1293	68	0	0.0	5.257488737697713e-07
52	CHEMBL361191-CHEMBL148680	4	1293	68	0	0.0	8.418045581493061e-06
53	CHEMBL1579806-CHEMBL3759307	4	1293	68	0	0.0	0.0019303251756355166
54	CHEMBL1593568_CHEMBL419-CHEMBL4558023	4	1293	68	1	1.0	0.9232640266418457
55	CHEMBL1643294-CHEMBL1643303	4	1293	68	0	0.0	1.983714901143685e-05
56	CHEMBL1688312-CHEMBL1688306_CHEMBL1688309_CHEMBL1688310	4	1293	68	0	0.0	1.4862019270367455e-05
57	CHEMBL3609195-CHEMBL1736901	4	1293	68	0	0.0	0.4902084767818451
58	CHEMBL1736901-CHEMBL3609197	4	1293	68	1	1.0	0.5686773657798767
59	CHEMBL1736901-CHEMBL3609200	4	1293	68	0	0.0	0.05719386041164398
60	CHEMBL1736901-CHEMBL3609201	4	1293	68	0	0.0	0.002553500235080719
61	CHEMBL1736901-CHEMBL3609475	4	1293	68	0	0.0	0.3082241117954254
62	CHEMBL1736901-CHEMBL3609478	4	1293	68	0	1.0	0.8302838206291199
63	CHEMBL1813209-CHEMBL1738787	4	1293	68	0	0.0	4.3429643881154334e-08
64	CHEMBL1813209-CHEMBL1738792	4	1293	68	0	0.0	0.0022034128196537495
65	CHEMBL1738792-CHEMBL1813211	4	1293	68	0	0.0	0.007773691788315773
66	CHEMBL1738792-CHEMBL3120749	4	1293	68	0	0.0	0.17555859684944153
67	CHEMBL309431-CHEMBL1778435	4	1293	68	0	0.0	6.290583343115941e-08
68	CHEMBL180323-CHEMBL217569	4	1293	68	0	1.0	0.9370754957199097
69	CHEMBL386542-CHEMBL180323	4	1293	68	0	1.0	0.8747628927230835
70	CHEMBL4553372-CHEMBL180323	4	1293	68	1	1.0	0.8428388237953186
71	CHEMBL1813211-CHEMBL3120749	4	1293	68	0	0.0	1.1868904081779874e-08
72	CHEMBL362499-CHEMBL187372	4	1293	68	0	0.0	7.424159377544814e-12
73	CHEMBL187372-CHEMBL365507	4	1293	68	0	0.0	1.7441941174787395e-13
74	CHEMBL187372-CHEMBL427329	4	1293	68	0	0.0	3.26628963875919e-07
75	CHEMBL187974-CHEMBL187947	4	1293	68	0	0.0	5.995908054501342e-07
76	CHEMBL366082-CHEMBL187947	4	1293	68	0	0.0	6.08928774070705e-09
77	CHEMBL372888-CHEMBL187947	4	1293	68	0	0.0	5.761046963925764e-07
78	CHEMBL366082-CHEMBL187974	4	1293	68	0	0.0	2.021026190845987e-08
79	CHEMBL372888-CHEMBL187974	4	1293	68	0	0.0	5.394282425186248e-07
80	CHEMBL191109-CHEMBL188002	4	1293	68	0	0.0	1.0692308023863006e-05
81	CHEMBL189526-CHEMBL190024	4	1293	68	0	0.0	0.0006859382847324014
82	CHEMBL189526-CHEMBL190733	4	1293	68	0	0.0	0.0022674817591905594
83	CHEMBL190733-CHEMBL190024	4	1293	68	0	0.0	0.00041941794916056097
84	CHEMBL214201-CHEMBL193648	4	1293	68	0	0.0	5.671411673624505e-10
85	CHEMBL193648-CHEMBL2164729	4	1293	68	0	0.0	3.105041059825453e-07
86	CHEMBL2333966-CHEMBL193648	4	1293	68	0	0.0	1.6646150883281607e-15
87	CHEMBL23591-CHEMBL193648	4	1293	68	0	0.0	8.881996649279245e-08
88	CHEMBL4454802-CHEMBL193648	4	1293	68	0	0.0	0.13160596787929535
89	CHEMBL687-CHEMBL193648	4	1293	68	0	0.0	2.265875446028076e-05
90	CHEMBL193964-CHEMBL195194	4	1293	68	0	0.0	1.1462175203121386e-14
91	CHEMBL193964-CHEMBL195811	4	1293	68	0	0.0	1.9770360695781086e-11
92	CHEMBL193964-CHEMBL195978	4	1293	68	0	0.0	1.0503523006934992e-15
93	CHEMBL193964-CHEMBL196198	4	1293	68	0	0.0	5.3110625231056474e-08
94	CHEMBL193964-CHEMBL196435	4	1293	68	0	0.0	3.3017304168492245e-11
95	CHEMBL193964-CHEMBL2164733	4	1293	68	0	0.0	7.140107242271977e-17
96	CHEMBL193964-CHEMBL365344	4	1293	68	0	0.0	1.4137460299656901e-11
97	CHEMBL1940391-CHEMBL2074640	4	1293	68	0	0.0	1.3372154228363797e-07
98	CHEMBL1951641-CHEMBL4586124	4	1293	68	0	0.0	5.8355944929644465e-05
99	CHEMBL195194-CHEMBL195811	4	1293	68	0	0.0	1.0295683440996947e-13
100	CHEMBL195194-CHEMBL196198	4	1293	68	0	0.0	2.2967433510601154e-10
101	CHEMBL195194-CHEMBL196435	4	1293	68	0	0.0	8.305462428914723e-10
102	CHEMBL195194-CHEMBL365344	4	1293	68	0	0.0	2.898596551041514e-14
103	CHEMBL1956744_CHEMBL1956748-CHEMBL1956743_CHEMBL1956747	4	1293	68	0	1.0	0.9513103365898132
104	CHEMBL1956745_CHEMBL1956749-CHEMBL1956743_CHEMBL1956747	4	1293	68	1	1.0	0.9528391361236572
105	CHEMBL1956745_CHEMBL1956749-CHEMBL1956744_CHEMBL1956748	4	1293	68	1	1.0	0.9299333691596985
106	CHEMBL3322093-CHEMBL1957172	4	1293	68	0	1.0	0.5337187647819519
107	CHEMBL308819-CHEMBL1957186	4	1293	68	0	0.0	0.002770249964669347
108	CHEMBL432745-CHEMBL1957186	4	1293	68	0	0.0	0.009666618891060352
109	CHEMBL571514-CHEMBL1957186	4	1293	68	0	0.0	5.811322807858232e-06
110	CHEMBL195811-CHEMBL195978	4	1293	68	0	0.0	3.6651762180817116e-10
111	CHEMBL195811-CHEMBL196198	4	1293	68	0	0.0	9.30783561337023e-10
112	CHEMBL195811-CHEMBL196435	4	1293	68	0	0.0	8.848278412187938e-07
113	CHEMBL195811-CHEMBL2164733	4	1293	68	0	0.0	2.286640495008374e-11
114	CHEMBL195811-CHEMBL365344	4	1293	68	0	0.0	6.393607776544741e-08
115	CHEMBL195946-CHEMBL196433	4	1293	68	0	0.0	0.00018554957932792604
116	CHEMBL196435-CHEMBL195978	4	1293	68	0	0.0	3.858798003353314e-10
117	CHEMBL195978-CHEMBL2164733	4	1293	68	0	0.0	7.27489291030281e-10
118	CHEMBL365344-CHEMBL195978	4	1293	68	0	0.0	2.9795285683142936e-10
119	CHEMBL196198-CHEMBL196435	4	1293	68	0	0.0	0.00036229428951628506
120	CHEMBL196198-CHEMBL365344	4	1293	68	0	0.0	5.410418089013547e-05
121	CHEMBL371155-CHEMBL196202	4	1293	68	0	0.0	0.0011640447191894054
122	CHEMBL539940-CHEMBL196433	4	1293	68	0	0.0	0.007910419255495071
123	CHEMBL196435-CHEMBL2164733	4	1293	68	0	0.0	2.5237530815180875e-11
124	CHEMBL365344-CHEMBL196435	4	1293	68	0	0.0	1.2466232419683365e-06
125	CHEMBL196544-CHEMBL197042	4	1293	68	0	0.0	1.9781687115028035e-06
126	CHEMBL204740-CHEMBL205743	4	1293	68	0	0.0	0.0002932246425189078
127	CHEMBL2047802-CHEMBL2047803	4	1293	68	0	0.0	0.0038865325041115284
128	CHEMBL2048921-CHEMBL2048922	4	1293	68	0	0.0	1.645085467316676e-05
129	CHEMBL2048925-CHEMBL2048926	4	1293	68	0	0.0	0.0001221910206368193
130	CHEMBL2048930-CHEMBL2048931	4	1293	68	0	0.0	1.4087439922150224e-05
131	CHEMBL2048933-CHEMBL2048934	4	1293	68	0	0.0	0.00011149753845529631
132	CHEMBL2048933-CHEMBL2048935	4	1293	68	0	0.0	9.952984692063183e-05
133	CHEMBL2048934-CHEMBL2048935	4	1293	68	0	0.0	5.368547590478556e-06
134	CHEMBL2070207-CHEMBL2070208	4	1293	68	0	0.0	0.004621767904609442
135	CHEMBL387480-CHEMBL212811	4	1293	68	0	0.0	4.03160242967715e-07
136	CHEMBL214201-CHEMBL2164729	4	1293	68	0	0.0	0.00020266033243387938
137	CHEMBL214201-CHEMBL2333966	4	1293	68	0	0.0	1.7364640541445153e-12
138	CHEMBL23591-CHEMBL214201	4	1293	68	0	0.0	1.9728999234303046e-07
139	CHEMBL214201-CHEMBL4454802	4	1293	68	0	0.0	0.009119904600083828
140	CHEMBL687-CHEMBL214201	4	1293	68	0	0.0	2.8562891429828596e-07
141	CHEMBL3741011-CHEMBL2148104	4	1293	68	0	0.0	0.028320346027612686
142	CHEMBL215276-CHEMBL380158	4	1293	68	0	1.0	0.7546802163124084
143	CHEMBL2323125-CHEMBL215810	4	1293	68	0	0.0	1.3573115211329423e-05
144	CHEMBL4080055-CHEMBL215810	4	1293	68	0	0.0	0.0028918457683175802
145	CHEMBL386517-CHEMBL215990	4	1293	68	0	0.0	7.557380286016269e-06
146	CHEMBL2333966-CHEMBL2164729	4	1293	68	0	0.0	1.2486917695588712e-13
147	CHEMBL23591-CHEMBL2164729	4	1293	68	0	0.0	8.665907080285251e-05
148	CHEMBL4454802-CHEMBL2164729	4	1293	68	0	0.0	0.21346673369407654
149	CHEMBL687-CHEMBL2164729	4	1293	68	0	0.0	0.00011290090333204716
150	CHEMBL364081-CHEMBL2164732	4	1293	68	0	0.0	2.343393410939867e-16
151	CHEMBL365344-CHEMBL2164733	4	1293	68	0	0.0	1.9284955576903684e-11
152	CHEMBL386542-CHEMBL217569	4	1293	68	0	1.0	0.9645561575889587
153	CHEMBL21-CHEMBL2333968	4	1293	68	0	0.0	0.011339453980326653
154	CHEMBL2208444-CHEMBL2203339	4	1293	68	0	0.0	1.1630017695413164e-12
155	CHEMBL2208445-CHEMBL2203339	4	1293	68	0	0.0	1.4322626418206141e-10
156	CHEMBL2208440-CHEMBL2208439	4	1293	68	0	1.0	0.5767642259597778
157	CHEMBL2208442-CHEMBL2208439	4	1293	68	0	0.0	0.000968164938967675
158	CHEMBL2208442-CHEMBL2208440	4	1293	68	0	0.0	0.003692223457619548
159	CHEMBL2208444-CHEMBL2208445	4	1293	68	0	0.0	3.1295815716703146e-08
160	CHEMBL2323135_CHEMBL2323137-CHEMBL2323134_CHEMBL2323136	4	1293	68	0	0.0	0.015226167626678944
161	CHEMBL3329922_CHEMBL3329925-CHEMBL2323134_CHEMBL2323136	4	1293	68	0	0.0	0.00405719643458724
162	CHEMBL3329923_CHEMBL3329926-CHEMBL2323134_CHEMBL2323136	4	1293	68	0	0.0	0.0037709809839725494
