	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL173994-CHEMBL226564	0	1296	102	-1	-1	0.0
1	CHEMBL173994-CHEMBL226616	0	1296	102	-1	-1	0.0
2	CHEMBL173994-CHEMBL226827	0	1296	102	-1	-1	0.006993006993006993
3	CHEMBL226931-CHEMBL173994	0	1296	102	-1	-1	0.0
4	CHEMBL173994-CHEMBL227196	0	1296	102	-1	-1	0.0
5	CHEMBL390055-CHEMBL173994	0	1296	102	-1	-1	0.0
6	CHEMBL437546-CHEMBL173994	0	1296	102	-1	-1	0.0
7	CHEMBL1824544-CHEMBL1824546	0	1296	102	-1	-1	0.0
8	CHEMBL1824555-CHEMBL1824551	0	1296	102	-1	-1	0.0
9	CHEMBL199211-CHEMBL198843_CHEMBL371900_CHEMBL382094	0	1296	102	-1	-1	0.027972027972027972
10	CHEMBL383382-CHEMBL198843_CHEMBL371900_CHEMBL382094	0	1296	102	-1	-1	0.006993006993006993
11	CHEMBL383382-CHEMBL199211	0	1296	102	-1	-1	0.006993006993006993
12	CHEMBL226616-CHEMBL226564	0	1296	102	-1	-1	0.0
13	CHEMBL226564-CHEMBL226827	0	1296	102	-1	-1	0.006993006993006993
14	CHEMBL226564-CHEMBL227146	0	1296	102	-1	-1	0.0
15	CHEMBL226564-CHEMBL227196	0	1296	102	-1	-1	0.0
16	CHEMBL227197-CHEMBL226564	0	1296	102	-1	-1	0.0
17	CHEMBL375263-CHEMBL226564	0	1296	102	-1	-1	0.0
18	CHEMBL437546-CHEMBL226564	0	1296	102	-1	-1	0.0
19	CHEMBL226564-CHEMBL450012	0	1296	102	-1	-1	0.006993006993006993
20	CHEMBL226616-CHEMBL226827	0	1296	102	-1	-1	0.006993006993006993
21	CHEMBL226616-CHEMBL227146	0	1296	102	-1	-1	0.0
22	CHEMBL226616-CHEMBL227196	0	1296	102	-1	-1	0.0
23	CHEMBL227197-CHEMBL226616	0	1296	102	-1	-1	0.0
24	CHEMBL375263-CHEMBL226616	0	1296	102	-1	-1	0.0
25	CHEMBL437546-CHEMBL226616	0	1296	102	-1	-1	0.0
26	CHEMBL226616-CHEMBL450012	0	1296	102	-1	-1	0.006993006993006993
27	CHEMBL227146-CHEMBL226827	0	1296	102	-1	-1	0.006993006993006993
28	CHEMBL227196-CHEMBL226827	0	1296	102	-1	-1	0.006993006993006993
29	CHEMBL227197-CHEMBL226827	0	1296	102	-1	-1	0.006993006993006993
30	CHEMBL375263-CHEMBL226827	0	1296	102	-1	-1	0.006993006993006993
31	CHEMBL437546-CHEMBL226827	0	1296	102	-1	-1	0.006993006993006993
32	CHEMBL450012-CHEMBL226827	0	1296	102	-1	-1	0.0
33	CHEMBL226931-CHEMBL227197	0	1296	102	-1	-1	0.0
34	CHEMBL226931-CHEMBL375263	0	1296	102	-1	-1	0.0
35	CHEMBL226931-CHEMBL390055	0	1296	102	-1	-1	0.0
36	CHEMBL437546-CHEMBL226931	0	1296	102	-1	-1	0.0
37	CHEMBL227146-CHEMBL227196	0	1296	102	-1	-1	0.0
38	CHEMBL227197-CHEMBL227146	0	1296	102	-1	-1	0.0
39	CHEMBL375263-CHEMBL227146	0	1296	102	-1	-1	0.0
40	CHEMBL437546-CHEMBL227146	0	1296	102	-1	-1	0.0
41	CHEMBL227146-CHEMBL450012	0	1296	102	-1	-1	0.006993006993006993
42	CHEMBL227197-CHEMBL227196	0	1296	102	-1	-1	0.0
43	CHEMBL375263-CHEMBL227196	0	1296	102	-1	-1	0.0
44	CHEMBL437546-CHEMBL227196	0	1296	102	-1	-1	0.0
45	CHEMBL227196-CHEMBL450012	0	1296	102	-1	-1	0.006993006993006993
46	CHEMBL375263-CHEMBL227197	0	1296	102	-1	-1	0.0
47	CHEMBL390055-CHEMBL227197	0	1296	102	-1	-1	0.0
48	CHEMBL437546-CHEMBL227197	0	1296	102	-1	-1	0.0
49	CHEMBL227197-CHEMBL450012	0	1296	102	-1	-1	0.006993006993006993
50	CHEMBL227406-CHEMBL227902	0	1296	102	-1	-1	0.0
51	CHEMBL2334306-CHEMBL2334305	0	1296	102	-1	-1	0.006993006993006993
52	CHEMBL2334309-CHEMBL2334305	0	1296	102	-1	-1	0.0
53	CHEMBL2334305-CHEMBL2334312	0	1296	102	-1	-1	0.0
54	CHEMBL2334323-CHEMBL2334305	0	1296	102	-1	-1	0.0
55	CHEMBL2334306-CHEMBL2334309	0	1296	102	-1	-1	0.0
56	CHEMBL2334306-CHEMBL2334312	0	1296	102	-1	-1	0.0
57	CHEMBL2334306-CHEMBL2334323	0	1296	102	-1	-1	0.0
58	CHEMBL2334309-CHEMBL2334312	0	1296	102	-1	-1	0.0
59	CHEMBL2334323-CHEMBL2334309	0	1296	102	-1	-1	0.0
60	CHEMBL2334323-CHEMBL2334312	0	1296	102	-1	-1	0.0
61	CHEMBL2409314-CHEMBL2409220	0	1296	102	-1	-1	0.0
