	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL3359170-CHEMBL106848	1	1330	85	-1	-1	0.10627946374194874
1	CHEMBL3402959-CHEMBL106848	1	1330	85	-1	-1	0.11124592911343072
2	CHEMBL3402961-CHEMBL106848	1	1330	85	-1	-1	0.1133199346256718
3	CHEMBL1084951-CHEMBL2164730	1	1330	85	-1	-1	0.022249340245006057
4	CHEMBL1084951-CHEMBL3314169	1	1330	85	-1	-1	0.04070727872931557
5	CHEMBL3314184-CHEMBL1085238	1	1330	85	-1	-1	0.4328644450514414
6	CHEMBL3342249-CHEMBL1093729_CHEMBL1094036	1	1330	85	-1	-1	0.0016622836483704943
7	CHEMBL1164420-CHEMBL1163376	1	1330	85	-1	-1	0.0035750726414599593
8	CHEMBL1164486-CHEMBL1163376	1	1330	85	-1	-1	0.0021101775910670187
9	CHEMBL1164966-CHEMBL1163376	1	1330	85	-1	-1	0.026460162248008595
10	CHEMBL1165319-CHEMBL1163376	1	1330	85	-1	-1	0.016685624594472065
11	CHEMBL1165321-CHEMBL1163376	1	1330	85	-1	-1	0.009425368045275124
12	CHEMBL1165117-CHEMBL1164420	1	1330	85	-1	-1	0.0034538443229592103
13	CHEMBL1165117-CHEMBL1164486	1	1330	85	-1	-1	0.0021805927883391174
14	CHEMBL1164966-CHEMBL1165117	1	1330	85	-1	-1	0.00959784381616793
15	CHEMBL1165319-CHEMBL1165117	1	1330	85	-1	-1	0.008065838925080674
16	CHEMBL1165321-CHEMBL1165117	1	1330	85	-1	-1	0.002150183412826758
17	CHEMBL195147-CHEMBL120304	1	1330	85	1	-1	0.07272779712356606
18	CHEMBL120304-CHEMBL2164732	1	1330	85	1	-1	0.19722349081674068
19	CHEMBL1240572-CHEMBL2208439	1	1330	85	-1	-1	0.00902412857994324
20	CHEMBL1240574-CHEMBL2208439	1	1330	85	-1	-1	0.009040255198383132
21	CHEMBL1338403-CHEMBL3359170	1	1330	85	-1	-1	0.014930569262082518
22	CHEMBL3402959-CHEMBL1338403	1	1330	85	-1	-1	0.07342646637912656
23	CHEMBL3402961-CHEMBL1338403	1	1330	85	-1	-1	0.009584297887759063
24	CHEMBL2337531-CHEMBL1347917	1	1330	85	-1	-1	0.0037020458273563164
25	CHEMBL146887_CHEMBL362337-CHEMBL144982_CHEMBL189294	1	1330	85	-1	-1	0.06368805848666681
26	CHEMBL144982_CHEMBL189294-CHEMBL179218	1	1330	85	-1	-1	0.029065064741042857
27	CHEMBL361191-CHEMBL148680	1	1330	85	-1	-1	0.007168377020668192
28	CHEMBL1579806-CHEMBL3759307	1	1330	85	-1	-1	0.012818790882696897
29	CHEMBL1588015-CHEMBL1762668	1	1330	85	-1	-1	0.020077413158033738
