	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL325015-CHEMBL117296	4	65	3	1	1	0.6545454545454545
1	CHEMBL146896-CHEMBL144548	4	65	3	1	1	0.796969696969697
2	CHEMBL359424-CHEMBL144548	4	65	3	1	1	0.8106060606060606
3	CHEMBL146896-CHEMBL357675	4	65	3	0	-1	0.06363636363636363
4	CHEMBL146896-CHEMBL359424	4	65	3	0	-1	0.06212121212121212
5	CHEMBL1834419-CHEMBL1834418	4	65	3	0	-1	0.0
6	CHEMBL1834418-CHEMBL2442881	4	65	3	0	-1	0.0
7	CHEMBL1834418-CHEMBL2442885	4	65	3	0	-1	0.0
8	CHEMBL1834418-CHEMBL2442886	4	65	3	0	-1	0.0
9	CHEMBL1834418-CHEMBL2442887	4	65	3	0	-1	0.0
10	CHEMBL1834418-CHEMBL2442888	4	65	3	0	-1	0.0
11	CHEMBL1834419-CHEMBL2442881	4	65	3	0	-1	0.0
12	CHEMBL1834419-CHEMBL2442886	4	65	3	0	-1	0.0
13	CHEMBL1834419-CHEMBL2442887	4	65	3	0	-1	0.0
14	CHEMBL1834419-CHEMBL2442888	4	65	3	0	-1	0.0
15	CHEMBL191318-CHEMBL370032	4	65	3	0	-1	0.0
16	CHEMBL2063275-CHEMBL2063276	4	65	3	0	-1	0.0
17	CHEMBL2063275-CHEMBL2063277	4	65	3	0	-1	0.0
18	CHEMBL2442890-CHEMBL2063275	4	65	3	0	-1	0.0
19	CHEMBL2442891-CHEMBL2063275	4	65	3	0	-1	0.0
20	CHEMBL2442892-CHEMBL2063275	4	65	3	0	-1	0.0
21	CHEMBL2063277-CHEMBL2063276	4	65	3	0	-1	0.0
22	CHEMBL2442890-CHEMBL2063276	4	65	3	0	-1	0.0
23	CHEMBL2442891-CHEMBL2063276	4	65	3	0	-1	0.0
24	CHEMBL2442892-CHEMBL2063276	4	65	3	0	-1	0.0
25	CHEMBL2442890-CHEMBL2063277	4	65	3	0	-1	0.0
26	CHEMBL2442891-CHEMBL2063277	4	65	3	0	-1	0.0
27	CHEMBL2442892-CHEMBL2063277	4	65	3	0	-1	0.0
28	CHEMBL24347-CHEMBL283427	4	65	3	0	-1	0.0015151515151515152
29	CHEMBL2442878-CHEMBL2442892	4	65	3	0	-1	0.0030303030303030303
30	CHEMBL2442893-CHEMBL2442878	4	65	3	0	-1	0.010606060606060607
31	CHEMBL2442881-CHEMBL2442887	4	65	3	0	-1	0.0
32	CHEMBL2442881-CHEMBL2442888	4	65	3	0	-1	0.0
33	CHEMBL2442885-CHEMBL2442886	4	65	3	0	-1	0.0
34	CHEMBL2442885-CHEMBL2442887	4	65	3	0	-1	0.0
35	CHEMBL3618463_CHEMBL3618464_CHEMBL485492-CHEMBL2442885	4	65	3	0	-1	0.0
36	CHEMBL2442886-CHEMBL2442887	4	65	3	0	-1	0.0
37	CHEMBL2442888-CHEMBL2442886	4	65	3	0	-1	0.0
38	CHEMBL3618463_CHEMBL3618464_CHEMBL485492-CHEMBL2442886	4	65	3	0	-1	0.0
39	CHEMBL2442888-CHEMBL2442887	4	65	3	0	-1	0.0
40	CHEMBL3618463_CHEMBL3618464_CHEMBL485492-CHEMBL2442887	4	65	3	0	-1	0.0
41	CHEMBL2442890-CHEMBL2442891	4	65	3	0	-1	0.0
42	CHEMBL2442892-CHEMBL2442890	4	65	3	0	-1	0.0
43	CHEMBL2442892-CHEMBL2442891	4	65	3	0	-1	0.0
44	CHEMBL2442893-CHEMBL2442892	4	65	3	0	-1	0.0
45	CHEMBL26058-CHEMBL283222	4	65	3	0	-1	0.006060606060606061
46	CHEMBL26058-CHEMBL283690	4	65	3	0	-1	0.0030303030303030303
47	CHEMBL283222-CHEMBL283690	4	65	3	0	-1	0.007575757575757576
48	CHEMBL330727-CHEMBL288664	4	65	3	0	-1	0.0
49	CHEMBL93067-CHEMBL288843	4	65	3	0	-1	0.0
50	CHEMBL325015-CHEMBL419301	4	65	3	0	-1	0.030303030303030304
51	CHEMBL327578-CHEMBL58577_CHEMBL93620	4	65	3	0	-1	0.0015151515151515152
52	CHEMBL343216-CHEMBL357675	4	65	3	0	-1	0.016666666666666666
53	CHEMBL359251-CHEMBL343216	4	65	3	0	-1	0.024242424242424242
54	CHEMBL359424-CHEMBL343216	4	65	3	0	-1	0.048484848484848485
55	CHEMBL359251-CHEMBL357675	4	65	3	0	-1	0.010606060606060607
56	CHEMBL359424-CHEMBL357675	4	65	3	0	-1	0.04696969696969697
57	CHEMBL359424-CHEMBL359251	4	65	3	0	-1	0.03939393939393939
58	CHEMBL87229-CHEMBL410259	4	65	3	0	-1	0.05
59	CHEMBL43087-CHEMBL419503	4	65	3	0	-1	0.0015151515151515152
60	CHEMBL419503-CHEMBL58577_CHEMBL93620	4	65	3	0	-1	0.0015151515151515152
61	CHEMBL419503-CHEMBL60536	4	65	3	0	-1	0.0
62	CHEMBL43087-CHEMBL58577_CHEMBL93620	4	65	3	0	-1	0.0015151515151515152
63	CHEMBL43087-CHEMBL60536	4	65	3	0	-1	0.0
64	CHEMBL58577_CHEMBL93620-CHEMBL60536	4	65	3	0	-1	0.0
