	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL564746-CHEMBL1629808	108	243	11	-1	-1	-0.10460275738804192
1	CHEMBL270492-CHEMBL1773092	108	243	11	1	-1	-1.5103920365841168
2	CHEMBL401447-CHEMBL1775036	108	243	11	-1	-1	-1.2324012266766824
3	CHEMBL1775041-CHEMBL401447	108	243	11	-1	-1	-1.2073145184302099
4	CHEMBL1775041-CHEMBL428029	108	243	11	-1	-1	-1.2150842031943552
5	CHEMBL1775045-CHEMBL1775046	108	243	11	-1	-1	-1.3420580717006112
6	CHEMBL406658-CHEMBL1775046	108	243	11	-1	-1	-1.6485736171575867
7	CHEMBL408966-CHEMBL1775046	108	243	11	-1	-1	-0.9519598476148842
8	CHEMBL270492-CHEMBL1775047	108	243	11	1	-1	-1.59605091433189
9	CHEMBL1836676-CHEMBL1836675	108	243	11	-1	-1	-1.2530040763601973
10	CHEMBL1836675-CHEMBL514140	108	243	11	-1	-1	-1.1728257399642619
11	CHEMBL1836676-CHEMBL1836677	108	243	11	-1	-1	-1.2551626409590377
12	CHEMBL1836676-CHEMBL475740	108	243	11	-1	-1	-1.1060866921520547
13	CHEMBL1836677-CHEMBL236375	108	243	11	-1	-1	-1.0814484628864345
14	CHEMBL564746-CHEMBL235756	108	243	11	-1	-1	-1.444101996306435
15	CHEMBL564746-CHEMBL235757	108	243	11	-1	-1	-1.2706336917334144
16	CHEMBL564746-CHEMBL235758	108	243	11	-1	-1	-1.4377697957380038
17	CHEMBL564746-CHEMBL236375	108	243	11	-1	-1	-0.30547956741549065
18	CHEMBL238304-CHEMBL241749	108	243	11	-1	-1	-0.6926658465564937
19	CHEMBL475337-CHEMBL238304	108	243	11	-1	-1	-1.3133815168770646
20	CHEMBL515135-CHEMBL238304	108	243	11	-1	-1	-1.109449758338143
21	CHEMBL515885-CHEMBL238304	108	243	11	-1	-1	-1.0742523679612224
22	CHEMBL238561-CHEMBL3394092	108	243	11	-1	-1	-1.1325851726089904
23	CHEMBL2397804-CHEMBL2397796	108	243	11	-1	-1	-0.3107880725227883
24	CHEMBL2397806-CHEMBL2397796	108	243	11	-1	-1	-0.6403655000997355
25	CHEMBL2397806-CHEMBL2397803	108	243	11	-1	-1	-0.8747141359322107
26	CHEMBL2397807-CHEMBL2397803	108	243	11	-1	-1	-0.6873835575403883
27	CHEMBL2397808-CHEMBL2397803	108	243	11	-1	-1	-0.8590864517693806
28	CHEMBL2397809-CHEMBL2397803	108	243	11	-1	-1	-0.640657062180247
29	CHEMBL2397810-CHEMBL2397803	108	243	11	-1	-1	-0.6469030432852051
30	CHEMBL2397812-CHEMBL2397803	108	243	11	-1	-1	-0.6864849838508628
31	CHEMBL2397814-CHEMBL2397803	108	243	11	-1	-1	-1.3253174959374834
32	CHEMBL2397804-CHEMBL2397805	108	243	11	-1	-1	-0.03880312654531792
33	CHEMBL2397804-CHEMBL2397815	108	243	11	1	-1	-0.41716259864045035
34	CHEMBL2397807-CHEMBL2397805	108	243	11	1	-1	-1.1369445381228485
35	CHEMBL2397808-CHEMBL2397805	108	243	11	1	-1	-1.0348791476599843
36	CHEMBL2397809-CHEMBL2397805	108	243	11	1	-1	-0.780685581044622
37	CHEMBL2397810-CHEMBL2397805	108	243	11	1	-1	-0.9600071754328137
38	CHEMBL2397812-CHEMBL2397805	108	243	11	1	-1	-0.8505945437629239
39	CHEMBL2397814-CHEMBL2397805	108	243	11	1	-1	-1.1353606152541929
40	CHEMBL2397807-CHEMBL2397815	108	243	11	-1	-1	-0.3253403331326059
41	CHEMBL2397808-CHEMBL2397815	108	243	11	-1	-1	-0.8198407106770375
42	CHEMBL2397809-CHEMBL2397815	108	243	11	-1	-1	-0.523833012783996
43	CHEMBL2397810-CHEMBL2397815	108	243	11	-1	-1	-0.35717959308065317
44	CHEMBL2397812-CHEMBL2397815	108	243	11	-1	-1	-0.5283373437283124
45	CHEMBL2397814-CHEMBL2397815	108	243	11	-1	-1	-1.5132685421328342
46	CHEMBL564746-CHEMBL241539	108	243	11	-1	-1	-0.6142350432734771
47	CHEMBL475740-CHEMBL241540	108	243	11	-1	-1	-0.8429172529253776
48	CHEMBL564746-CHEMBL241540	108	243	11	-1	-1	-0.261768678736634
49	CHEMBL475336-CHEMBL241749	108	243	11	-1	-1	-0.9019450062826188
50	CHEMBL475739-CHEMBL241750	108	243	11	-1	-1	-1.217995000116916
51	CHEMBL475740-CHEMBL241750	108	243	11	-1	-1	-1.464297194897796
52	CHEMBL255164-CHEMBL270454	108	243	11	-1	-1	-1.1984195449794932
53	CHEMBL255164-CHEMBL271010	108	243	11	-1	-1	-1.2317429661898749
54	CHEMBL255164-CHEMBL402288	108	243	11	-1	-1	-1.240364665305759
55	CHEMBL255164-CHEMBL408291	108	243	11	-1	-1	-1.2318101740062557
56	CHEMBL261827-CHEMBL270492	108	243	11	-1	-1	-1.5161263966684853
57	CHEMBL429600-CHEMBL270492	108	243	11	-1	-1	-1.0402126686383735
58	CHEMBL272169-CHEMBL270958	108	243	11	-1	-1	-1.1822686479613864
59	CHEMBL411043-CHEMBL270958	108	243	11	-1	-1	-0.9029827970390918
60	CHEMBL472822-CHEMBL270958	108	243	11	-1	-1	-0.9878586271110736
61	CHEMBL473516-CHEMBL288280	108	243	11	-1	-1	-1.1987032780508335
62	CHEMBL564746-CHEMBL288280	108	243	11	-1	-1	-0.020997710443252604
