	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL200067-CHEMBL197917	19	676	38	1	-1	-0.3844305262493281
1	CHEMBL199647-CHEMBL199518	19	676	38	-1	-1	-0.9427675222247874
2	CHEMBL199518-CHEMBL202238	19	676	38	-1	-1	-0.8633349849616399
3	CHEMBL232738-CHEMBL199518	19	676	38	-1	-1	-0.8766063782106975
4	CHEMBL233143-CHEMBL199518	19	676	38	-1	-1	-0.7734102635542653
5	CHEMBL392266-CHEMBL199518	19	676	38	-1	-1	-0.8641254203174867
6	CHEMBL392477-CHEMBL199518	19	676	38	-1	-1	-0.9266344961593329
7	CHEMBL199647-CHEMBL202238	19	676	38	-1	-1	-0.9117713848049553
8	CHEMBL199647-CHEMBL232738	19	676	38	-1	-1	-0.9781304484348514
9	CHEMBL199647-CHEMBL233143	19	676	38	-1	-1	-0.8522525280099083
10	CHEMBL199647-CHEMBL392266	19	676	38	-1	-1	-0.958366111904527
11	CHEMBL392477-CHEMBL199647	19	676	38	-1	-1	-0.9908202954342327
12	CHEMBL426470-CHEMBL199647	19	676	38	-1	-1	-0.9252739256857059
13	CHEMBL199647-CHEMBL436323	19	676	38	-1	-1	-0.9272538717726565
14	CHEMBL200067-CHEMBL199871	19	676	38	-1	-1	-0.39771981093772274
15	CHEMBL232738-CHEMBL202238	19	676	38	-1	-1	-0.8180816767121791
16	CHEMBL233143-CHEMBL202238	19	676	38	-1	-1	-0.7308334094666634
17	CHEMBL392266-CHEMBL202238	19	676	38	-1	-1	-0.8115356742463764
18	CHEMBL392477-CHEMBL202238	19	676	38	-1	-1	-0.8801827284290726
19	CHEMBL426470-CHEMBL202238	19	676	38	-1	-1	-0.8348235598268416
20	CHEMBL202238-CHEMBL436323	19	676	38	-1	-1	-0.8032308983469135
21	CHEMBL393965-CHEMBL231783	19	676	38	-1	-1	-0.9094363202408692
22	CHEMBL393965-CHEMBL232548	19	676	38	-1	-1	-0.9574221750326505
23	CHEMBL437397-CHEMBL232548	19	676	38	-1	-1	-0.45293099509735424
24	CHEMBL232738-CHEMBL233143	19	676	38	-1	-1	-0.7381897781724571
25	CHEMBL232738-CHEMBL392266	19	676	38	-1	-1	-0.8619911493633712
26	CHEMBL392477-CHEMBL232738	19	676	38	-1	-1	-0.8953880916272428
27	CHEMBL426470-CHEMBL232738	19	676	38	-1	-1	-0.8370869741875779
28	CHEMBL232738-CHEMBL436323	19	676	38	-1	-1	-0.8213065374155836
29	CHEMBL392266-CHEMBL233143	19	676	38	-1	-1	-0.7332498204777983
30	CHEMBL392477-CHEMBL233143	19	676	38	-1	-1	-0.8066000099130548
31	CHEMBL393965-CHEMBL236506	19	676	38	1	-1	-0.7320849718619241
32	CHEMBL255354_CHEMBL403633-CHEMBL256010	19	676	38	-1	-1	-0.15577641606589865
33	CHEMBL255354_CHEMBL403633-CHEMBL257895	19	676	38	-1	-1	-0.19622098531477217
34	CHEMBL316086-CHEMBL315551	19	676	38	-1	-1	-0.8231037926693376
35	CHEMBL392477-CHEMBL392266	19	676	38	-1	-1	-0.9000643038959686
36	CHEMBL392266-CHEMBL436323	19	676	38	-1	-1	-0.8156086206182454
37	CHEMBL426470-CHEMBL436323	19	676	38	-1	-1	-0.8369500916859028
38	CHEMBL569728-CHEMBL568803	19	676	38	-1	-1	-0.9802225218984263
39	CHEMBL570233-CHEMBL568803	19	676	38	-1	-1	-0.9398172384428585
40	CHEMBL570233-CHEMBL569728	19	676	38	-1	-1	-0.9337772906743486
41	CHEMBL575498-CHEMBL575926	19	676	38	-1	-1	-0.7879991170895748
42	CHEMBL577786-CHEMBL575498	19	676	38	-1	1	0.021648780106146792
43	CHEMBL577786-CHEMBL575926	19	676	38	-1	1	0.05970733461187361
