	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL1090030_CHEMBL1091073-CHEMBL1093729_CHEMBL1094036	3	1393	93	-1	-1	-1.0000318588473336
1	CHEMBL3342248-CHEMBL1090030_CHEMBL1091073	3	1393	93	-1	-1	-1.0001904155880394
2	CHEMBL3342253-CHEMBL1090030_CHEMBL1091073	3	1393	93	-1	-1	-1.0002003076840362
3	CHEMBL3342248-CHEMBL1093729_CHEMBL1094036	3	1393	93	-1	-1	-1.000340841509066
4	CHEMBL3342253-CHEMBL1093729_CHEMBL1094036	3	1393	93	-1	-1	-1.0000705363024542
5	CHEMBL1164420-CHEMBL1163376	3	1393	93	-1	-1	-0.999853969205502
6	CHEMBL1164486-CHEMBL1163376	3	1393	93	-1	-1	-0.9998126688219886
7	CHEMBL1164966-CHEMBL1163376	3	1393	93	-1	-1	-1.0004655058812237
8	CHEMBL1165117-CHEMBL1163376	3	1393	93	-1	-1	-0.9998116167104656
9	CHEMBL1165321-CHEMBL1163376	3	1393	93	-1	-1	-0.9999650804255726
10	CHEMBL1164486-CHEMBL1164420	3	1393	93	-1	-1	-0.9996057696803952
11	CHEMBL1164966-CHEMBL1164420	3	1393	93	-1	-1	-0.999993099607381
12	CHEMBL1165117-CHEMBL1164420	3	1393	93	-1	-1	-1.0002371653248743
13	CHEMBL1165321-CHEMBL1164420	3	1393	93	-1	-1	-1.0169547031883814
14	CHEMBL1164966-CHEMBL1164486	3	1393	93	-1	-1	-1.0004791288031583
15	CHEMBL1165117-CHEMBL1164486	3	1393	93	-1	-1	-1.0003308425693198
16	CHEMBL1165321-CHEMBL1164486	3	1393	93	-1	-1	-1.0824980727982472
17	CHEMBL1164966-CHEMBL1165117	3	1393	93	-1	-1	-0.999956139659829
18	CHEMBL1164966-CHEMBL1165321	3	1393	93	-1	-1	-1.000255220019412
19	CHEMBL1165321-CHEMBL1165117	3	1393	93	-1	-1	-1.0048509051812458
20	CHEMBL1240572-CHEMBL1240574	3	1393	93	-1	-1	-0.9999932955860771
21	CHEMBL1240572-CHEMBL2208439	3	1393	93	-1	-1	-0.9997511088246821
22	CHEMBL1240572-CHEMBL2208440	3	1393	93	-1	-1	-0.9995584245928877
23	CHEMBL1240574-CHEMBL2208439	3	1393	93	-1	-1	-0.9998174859262406
24	CHEMBL1240574-CHEMBL2208440	3	1393	93	-1	-1	-1.0001625470786641
25	CHEMBL1240574-CHEMBL2208442	3	1393	93	-1	-1	-0.9997475267210358
26	CHEMBL1288594-CHEMBL1288596	3	1393	93	-1	-1	-0.9996580379497988
27	CHEMBL1288594-CHEMBL1288620	3	1393	93	-1	-1	-1.0000186898644297
28	CHEMBL1288594-CHEMBL1290111	3	1393	93	-1	-1	-0.9999834142775135
29	CHEMBL1288596-CHEMBL1288620	3	1393	93	-1	-1	-0.9998829312340615
30	CHEMBL1288596-CHEMBL1290111	3	1393	93	-1	-1	-1.008637973470437
31	CHEMBL1288620-CHEMBL1290111	3	1393	93	-1	-1	-1.0135806338505178
32	CHEMBL1288621-CHEMBL1288622	3	1393	93	-1	-1	-0.9997490266844552
33	CHEMBL2333964-CHEMBL1338403	3	1393	93	1	1	0.9999036579365435
34	CHEMBL2333966-CHEMBL1338403	3	1393	93	-1	-1	-1.0002669717426342
35	CHEMBL1338403-CHEMBL3359169	3	1393	93	-1	-1	-1.0048915466078217
36	CHEMBL1338403-CHEMBL3359170	3	1393	93	-1	-1	-1.0222282190633563
37	CHEMBL3402958-CHEMBL1338403	3	1393	93	-1	-1	-1.0000851935653803
38	CHEMBL3402960-CHEMBL1338403	3	1393	93	-1	-1	-1.0000867218417555
39	CHEMBL3402961-CHEMBL1338403	3	1393	93	-1	-1	-0.9999779034050565
40	CHEMBL1338403-CHEMBL4462614	3	1393	93	-1	-1	-0.9999012213051819
41	CHEMBL2337531-CHEMBL1347917	3	1393	93	-1	-1	-1.00018404622968
42	CHEMBL2337541-CHEMBL1347917	3	1393	93	-1	-1	-1.000145453401705
43	CHEMBL1441824-CHEMBL1466024	3	1393	93	-1	-1	-0.9998905487830216
44	CHEMBL4160467-CHEMBL1441824	3	1393	93	-1	-1	-0.9997725367954498
45	CHEMBL4160467-CHEMBL1466024	3	1393	93	-1	-1	-1.0063821524296517
46	CHEMBL146816-CHEMBL1940391	3	1393	93	-1	-1	-1.0004459979376326
47	CHEMBL146816-CHEMBL2074640	3	1393	93	-1	-1	-1.0002905757506397
48	CHEMBL3633776-CHEMBL1479002	3	1393	93	-1	-1	-0.9999311005073631
49	CHEMBL361191-CHEMBL148680	3	1393	93	-1	-1	-1.0001618793525562
50	CHEMBL1593568_CHEMBL419-CHEMBL4558023	3	1393	93	1	1	0.9998836077137228
51	CHEMBL1688312-CHEMBL1688306_CHEMBL1688309_CHEMBL1688310	3	1393	93	-1	-1	-1.0000488651189021
52	CHEMBL3609195-CHEMBL1736901	3	1393	93	-1	-1	-1.2731685006725106
53	CHEMBL1736901-CHEMBL3609199	3	1393	93	-1	-1	-1.3926333282741508
54	CHEMBL1736901-CHEMBL3609200	3	1393	93	-1	-1	-1.4095646244307678
55	CHEMBL1736901-CHEMBL3609201	3	1393	93	-1	-1	-1.274558961576321
56	CHEMBL1736901-CHEMBL3609475	3	1393	93	-1	-1	-1.2539072555411095
57	CHEMBL1736901-CHEMBL3609481	3	1393	93	-1	-1	-1.2541052843028009
58	CHEMBL1813209-CHEMBL1738792	3	1393	93	-1	-1	-1.021102496448496
59	CHEMBL1813210-CHEMBL1738792	3	1393	93	-1	-1	-1.0087420631542814
60	CHEMBL1738792-CHEMBL1813211	3	1393	93	-1	-1	-1.0001938389319383
61	CHEMBL3120748-CHEMBL1738792	3	1393	93	-1	-1	-0.9997910156142222
62	CHEMBL1738792-CHEMBL3120749	3	1393	93	-1	-1	-0.9996889388053296
63	CHEMBL309431-CHEMBL1778435	3	1393	93	-1	-1	-1.0002145877120117
64	CHEMBL180323-CHEMBL217569	3	1393	93	-1	-1	-0.9999976858585431
65	CHEMBL386542-CHEMBL180323	3	1393	93	-1	-1	-0.9998769530936618
66	CHEMBL4553372-CHEMBL180323	3	1393	93	1	1	0.9999301607690079
67	CHEMBL1813209-CHEMBL1813210	3	1393	93	-1	-1	-0.9997776644299692
68	CHEMBL3120748-CHEMBL1813209	3	1393	93	-1	-1	-1.0000483863745686
69	CHEMBL1813210-CHEMBL1813211	3	1393	93	-1	-1	-1.000002389202387
70	CHEMBL3120748-CHEMBL1813210	3	1393	93	-1	-1	-0.9998063429942718
71	CHEMBL1813210-CHEMBL3120749	3	1393	93	-1	-1	-1.000184666974675
72	CHEMBL1813211-CHEMBL3120749	3	1393	93	-1	-1	-0.9997960431107173
73	CHEMBL184674-CHEMBL204740	3	1393	93	-1	-1	-0.9999973159912596
