	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL128222-CHEMBL132884	1	189	10	1	-1	0.42576277256011963
1	CHEMBL132884-CHEMBL128524	1	189	10	-1	-1	0.2640778422355652
2	CHEMBL22892-CHEMBL128524	1	189	10	-1	-1	0.3804980516433716
3	CHEMBL132884-CHEMBL22892	1	189	10	-1	-1	0.12647892534732819
4	CHEMBL387951-CHEMBL233214	1	189	10	-1	-1	0.017803989350795746
5	CHEMBL234826-CHEMBL234825	1	189	10	-1	-1	0.020526627078652382
6	CHEMBL2420892-CHEMBL2420779	1	189	10	-1	-1	0.07792425900697708
7	CHEMBL2430441-CHEMBL2430439	1	189	10	-1	-1	0.08199948817491531
8	CHEMBL2430442-CHEMBL2430439	1	189	10	-1	-1	0.0840979665517807
9	CHEMBL2430442-CHEMBL2430441	1	189	10	-1	-1	0.0580090768635273
10	CHEMBL351612-CHEMBL439646	1	189	10	-1	-1	0.014841782860457897
