	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL179270-CHEMBL180857	10	525	30	0	-1	0.4629767835140228
1	CHEMBL360313-CHEMBL180857	10	525	30	0	-1	0.4629358649253845
2	CHEMBL371051-CHEMBL196182	10	525	30	0	-1	0.4629767835140228
3	CHEMBL381148-CHEMBL202433	10	525	30	0	-1	0.4630395174026489
4	CHEMBL202799-CHEMBL202784	10	525	30	0	-1	0.4614661931991577
5	CHEMBL202850-CHEMBL202784	10	525	30	0	-1	0.4670718312263489
6	CHEMBL202784-CHEMBL203008	10	525	30	0	-1	0.4615466296672821
7	CHEMBL202784-CHEMBL203825	10	525	30	0	-1	0.47087934613227844
8	CHEMBL204159-CHEMBL202784	10	525	30	0	-1	0.46151208877563477
9	CHEMBL202784-CHEMBL204228	10	525	30	0	-1	0.46456193923950195
10	CHEMBL202784-CHEMBL204283	10	525	30	0	-1	0.4615466296672821
11	CHEMBL205771-CHEMBL202784	10	525	30	0	-1	0.47855445742607117
12	CHEMBL206337-CHEMBL202784	10	525	30	0	-1	0.4772830307483673
13	CHEMBL202784-CHEMBL206429	10	525	30	0	-1	0.46276602149009705
14	CHEMBL379018-CHEMBL202784	10	525	30	0	-1	0.46141308546066284
15	CHEMBL202784-CHEMBL381120	10	525	30	0	-1	0.4615466296672821
16	CHEMBL382157-CHEMBL202784	10	525	30	0	-1	0.4612811505794525
17	CHEMBL202784-CHEMBL382418	10	525	30	0	-1	0.462534099817276
18	CHEMBL202784-CHEMBL383431	10	525	30	0	-1	0.4615466296672821
19	CHEMBL202784-CHEMBL426307	10	525	30	0	-1	0.4612380266189575
20	CHEMBL202799-CHEMBL202850	10	525	30	0	-1	0.4662174582481384
21	CHEMBL202799-CHEMBL203008	10	525	30	0	-1	0.46328797936439514
22	CHEMBL202799-CHEMBL203046	10	525	30	0	-1	0.4614661931991577
23	CHEMBL202799-CHEMBL203055	10	525	30	0	-1	0.46133220195770264
24	CHEMBL202799-CHEMBL204159	10	525	30	0	-1	0.4615195095539093
25	CHEMBL202799-CHEMBL204228	10	525	30	0	-1	0.464529424905777
26	CHEMBL202799-CHEMBL204283	10	525	30	0	-1	0.46364250779151917
27	CHEMBL202799-CHEMBL205208	10	525	30	0	-1	0.4614661931991577
28	CHEMBL202799-CHEMBL205771	10	525	30	0	-1	0.4759470820426941
29	CHEMBL202799-CHEMBL206069	10	525	30	0	-1	0.46716898679733276
30	CHEMBL206330-CHEMBL202799	10	525	30	0	-1	0.4614163339138031
31	CHEMBL202799-CHEMBL206337	10	525	30	0	-1	0.474728524684906
32	CHEMBL202799-CHEMBL206429	10	525	30	0	-1	0.46435949206352234
33	CHEMBL202799-CHEMBL377080	10	525	30	0	-1	0.4614661931991577
34	CHEMBL379018-CHEMBL202799	10	525	30	0	-1	0.46136629581451416
35	CHEMBL202799-CHEMBL379906	10	525	30	0	-1	0.47013598680496216
36	CHEMBL202799-CHEMBL381120	10	525	30	0	-1	0.46380671858787537
37	CHEMBL382157-CHEMBL202799	10	525	30	0	-1	0.46136629581451416
38	CHEMBL202799-CHEMBL382418	10	525	30	0	-1	0.4613552391529083
39	CHEMBL202799-CHEMBL383431	10	525	30	0	-1	0.46364250779151917
40	CHEMBL202799-CHEMBL426307	10	525	30	0	-1	0.4614661931991577
41	CHEMBL202850-CHEMBL203008	10	525	30	0	-1	0.46823760867118835
42	CHEMBL202850-CHEMBL203046	10	525	30	0	-1	0.4670718312263489
43	CHEMBL202850-CHEMBL203055	10	525	30	0	-1	0.46830862760543823
44	CHEMBL203728-CHEMBL202850	10	525	30	0	-1	0.4680770933628082
45	CHEMBL204159-CHEMBL202850	10	525	30	0	-1	0.4662875533103943
46	CHEMBL202850-CHEMBL204228	10	525	30	0	-1	0.4722195863723755
47	CHEMBL202850-CHEMBL204283	10	525	30	0	-1	0.4679672122001648
48	CHEMBL202850-CHEMBL205128	10	525	30	0	-1	0.46707019209861755
49	CHEMBL202850-CHEMBL205208	10	525	30	0	-1	0.4670718312263489
50	CHEMBL202850-CHEMBL205771	10	525	30	0	-1	0.4706822335720062
51	CHEMBL202850-CHEMBL206069	10	525	30	0	-1	0.474507600069046
52	CHEMBL206330-CHEMBL202850	10	525	30	0	-1	0.4671677052974701
53	CHEMBL202850-CHEMBL206337	10	525	30	0	-1	0.4707639217376709
54	CHEMBL202850-CHEMBL206429	10	525	30	0	-1	0.47085532546043396
55	CHEMBL202850-CHEMBL206514	10	525	30	0	-1	0.4670718312263489
56	CHEMBL202850-CHEMBL206726	10	525	30	0	-1	0.4679672122001648
57	CHEMBL202850-CHEMBL377080	10	525	30	0	-1	0.4670718312263489
58	CHEMBL379018-CHEMBL202850	10	525	30	0	-1	0.46749255061149597
59	CHEMBL379671-CHEMBL202850	10	525	30	0	-1	0.46827030181884766
60	CHEMBL202850-CHEMBL379906	10	525	30	0	-1	0.4723813235759735
61	CHEMBL202850-CHEMBL381120	10	525	30	0	-1	0.4679672122001648
62	CHEMBL382157-CHEMBL202850	10	525	30	0	-1	0.46735191345214844
63	CHEMBL202850-CHEMBL382418	10	525	30	0	-1	0.4672987461090088
64	CHEMBL202850-CHEMBL382776	10	525	30	0	-1	0.4670718312263489
65	CHEMBL202850-CHEMBL383431	10	525	30	0	-1	0.4679672122001648
66	CHEMBL202850-CHEMBL426307	10	525	30	0	-1	0.4670718312263489
67	CHEMBL203046-CHEMBL203008	10	525	30	0	-1	0.4615466296672821
68	CHEMBL203055-CHEMBL203008	10	525	30	0	-1	0.4615466296672821
69	CHEMBL203728-CHEMBL203008	10	525	30	0	-1	0.464772492647171
70	CHEMBL204159-CHEMBL203008	10	525	30	0	-1	0.46364250779151917
71	CHEMBL203008-CHEMBL204228	10	525	30	0	-1	0.46191054582595825
72	CHEMBL204283-CHEMBL203008	10	525	30	0	-1	0.462013840675354
73	CHEMBL205128-CHEMBL203008	10	525	30	0	-1	0.4615466296672821
74	CHEMBL205208-CHEMBL203008	10	525	30	0	-1	0.4615466296672821
75	CHEMBL205771-CHEMBL203008	10	525	30	0	-1	0.4730904996395111
76	CHEMBL206069-CHEMBL203008	10	525	30	0	-1	0.4665749967098236
77	CHEMBL206330-CHEMBL203008	10	525	30	0	-1	0.46303874254226685
78	CHEMBL206337-CHEMBL203008	10	525	30	0	-1	0.4716362953186035
79	CHEMBL206429-CHEMBL203008	10	525	30	0	-1	0.46182969212532043
80	CHEMBL206514-CHEMBL203008	10	525	30	0	-1	0.4615466296672821
81	CHEMBL203008-CHEMBL206726	10	525	30	0	-1	0.462013840675354
82	CHEMBL377080-CHEMBL203008	10	525	30	0	-1	0.4615466296672821
83	CHEMBL379018-CHEMBL203008	10	525	30	0	-1	0.46278971433639526
84	CHEMBL379671-CHEMBL203008	10	525	30	0	-1	0.46250128746032715
85	CHEMBL379906-CHEMBL203008	10	525	30	0	-1	0.4705673158168793
86	CHEMBL203008-CHEMBL381120	10	525	30	0	-1	0.462013840675354
87	CHEMBL382157-CHEMBL203008	10	525	30	0	-1	0.46269527077674866
