	ids	cid	trueY	predY	prob
0	321883-321897	0	-1	-1	0.048
1	299332-299335	0	-1	-1	0.12
2	380388-380485	0	-1	-1	0.382
3	577904-1250280	0	-1	-1	0.052
4	1370550-1370583	0	-1	-1	0.054
5	416318-417109	0	-1	-1	0.0
6	351085-351089	0	-1	-1	0.474
7	439200-457191	0	-1	-1	0.0
8	299131-299328	0	-1	-1	0.01
9	375951-375954	0	-1	-1	0.046
10	302643-303036	0	-1	-1	0.002
11	374860-374947	0	-1	-1	0.0
12	416321-417105	0	-1	-1	0.012
13	302746-303213	0	-1	-1	0.0
14	1370579-1370583	0	-1	-1	0.038
15	597704-597813	0	1	1	0.846
16	418657-439199	0	-1	-1	0.002
17	416382-417107	0	-1	-1	0.0
18	1170422-1170648	0	-1	-1	0.012
19	15022-259958	0	-1	-1	0.21
20	417106-417114	0	-1	-1	0.002
21	418657-439200	0	-1	-1	0.002
22	496847-496848	0	-1	-1	0.0
23	321838-323017	0	-1	-1	0.11
24	417110-417114	0	-1	-1	0.002
25	416391-417108	0	-1	-1	0.0
26	1170416-1170423	0	-1	-1	0.0
27	578657-1250280	0	-1	-1	0.034
28	556823-1163667	0	-1	-1	0.002
29	284164-1253822	0	-1	-1	0.08
30	1170419-1170435	0	-1	-1	0.0
31	372685-387117	0	-1	-1	0.0
32	1170406-1170661	0	-1	-1	0.004
33	1666246-1697789	0	-1	-1	0.04
34	416387-416391	0	-1	-1	0.0
35	416310-417182	0	-1	-1	0.002
36	493531-498568	0	-1	-1	0.0
37	33858-138925	0	1	-1	0.254
38	372673-387161	0	-1	-1	0.0
39	1170423-1170667	0	-1	-1	0.004
40	439318-457124	0	-1	-1	0.002
41	299331-299391	0	1	1	0.784
42	495655-496849	0	-1	-1	0.0
43	15022-259912	0	-1	-1	0.036
44	578657-1250281	0	1	1	0.522
45	133674-380351	0	-1	-1	0.16
46	380351-380388	0	-1	-1	0.136
47	299143-299391	0	1	1	0.658
48	375994-375998	0	-1	-1	0.0
49	1170408-1170654	0	-1	-1	0.0
50	1643941-1648502	0	-1	-1	0.03
51	372676-372683	0	-1	-1	0.042
52	416319-417106	0	-1	-1	0.0
53	259952-259954	0	-1	-1	0.116
54	1243935-1329016	0	-1	-1	0.006
55	500422-1170408	0	-1	-1	0.0
56	1170406-1170410	0	-1	-1	0.006
57	351084-351085	0	-1	-1	0.45
58	289354-302643	0	-1	-1	0.0
59	482673-498568	0	-1	-1	0.0
60	551350-551445	0	1	-1	0.078
61	495087-495134	0	-1	-1	0.0
62	372673-387119	0	-1	-1	0.002
63	416316-417181	0	-1	-1	0.0
64	482308-498581	0	-1	-1	0.0
65	324359-324391	0	-1	-1	0.0
66	299335-299553	0	-1	-1	0.102
67	416321-417109	0	-1	-1	0.0
68	1170408-1170419	0	-1	-1	0.0
69	1371157-1371159	0	-1	-1	0.404
70	299143-299344	0	-1	-1	0.06
71	1163662-1163664	0	-1	-1	0.064
72	1370559-1370571	0	-1	-1	0.058
73	578640-578786	0	-1	-1	0.126
74	372658-372680	0	-1	-1	0.03
75	372657-372683	0	-1	-1	0.06
76	522738-522747	0	-1	-1	0.016
77	1262630-1262633	0	1	1	0.64
78	1329011-1333288	0	-1	-1	0.038
79	1170406-1170434	0	-1	-1	0.002
80	496849-498568	0	-1	-1	0.0
81	1170406-1170409	0	-1	-1	0.0
82	597813-598257	0	-1	-1	0.1
83	279099-1516610	0	-1	-1	0.13
84	372667-372674	0	-1	-1	0.004
85	416382-416384	0	-1	-1	0.0
86	302816-303213	0	-1	-1	0.002
87	1370566-1370579	0	-1	-1	0.002
88	1170423-1170434	0	-1	-1	0.0
89	441505-441562	0	1	1	0.764
90	439318-457337	0	-1	-1	0.002
91	1170408-1170660	0	-1	-1	0.0
92	1370572-1370583	0	-1	-1	0.038
93	486843-488484	0	-1	-1	0.0
94	1669478-1717421	0	-1	-1	0.068
95	522721-522747	0	-1	-1	0.01
96	439318-457125	0	-1	-1	0.002
97	1170415-1170418	0	-1	-1	0.0
98	1137267-1137283	0	-1	-1	0.034
99	374860-375044	0	-1	-1	0.002
100	375041-375044	0	-1	-1	0.016
101	15270-259954	0	-1	-1	0.076
102	289354-303242	0	-1	-1	0.0
103	496849-498597	0	-1	-1	0.0
104	597813-598356	0	-1	-1	0.306
105	1667306-1693407	0	-1	-1	0.042
106	302610-303036	0	-1	-1	0.0
107	302643-302746	0	-1	-1	0.0
108	522644-522675	0	-1	-1	0.008
109	302816-303036	0	-1	-1	0.0
110	416311-416318	0	-1	-1	0.046
111	1243955-1333229	0	-1	-1	0.07
112	387117-387119	0	-1	-1	0.0
113	324348-324378	0	-1	-1	0.0
114	321877-321883	0	-1	-1	0.026
115	374813-374946	0	-1	-1	0.0
116	89651-351089	0	-1	-1	0.192
117	299141-299344	0	-1	-1	0.402
118	486853-496849	0	-1	-1	0.008
119	1370571-1370583	0	-1	-1	0.074
120	595170-1394282	0	1	1	0.8677069731000261
121	416316-417108	0	-1	-1	0.0
122	418657-418658	0	-1	-1	0.004
123	116844-204974	0	1	-1	0.464
124	372673-387555	0	-1	-1	0.002
125	387525-387555	0	-1	-1	0.0
126	372685-387160	0	-1	-1	0.002
127	416387-417109	0	-1	-1	0.0
128	33858-321838	0	1	-1	0.234
129	302610-303241	0	-1	-1	0.0
130	416310-416391	0	-1	-1	0.0
131	289390-303036	0	-1	-1	0.0
132	324350-324392	0	-1	-1	0.002
133	551513-551515	0	-1	-1	0.076
134	495655-522615	0	-1	-1	0.0
135	551350-551447	0	-1	1	0.578
