	ids	cid	trueY	predY	prob
0	1410340-1410343	0	-1	-1	0.006
1	1170408-1170422	0	-1	-1	0.19
2	169512-1170655	0	-1	-1	0.0
3	33858-321838	0	-1	-1	0.0
4	1170415-1170433	0	-1	-1	0.0
5	434937-1572168	0	1	1	0.526
6	299143-299353	0	-1	-1	0.0
7	589247-589373	0	-1	-1	0.034
8	567552-567651	0	1	-1	0.312
9	541829-541832	0	-1	-1	0.174
10	383944-387117	0	-1	-1	0.006
11	372685-383625	0	-1	-1	0.0
12	322960-322994	0	1	-1	0.042
13	23217-413030	0	-1	-1	0.064
14	501598-1170648	0	-1	-1	0.0
15	501102-501115	0	-1	-1	0.002
16	413099-1138005	0	-1	-1	0.052
17	1170415-1170656	0	-1	-1	0.0
18	490077-495655	0	-1	-1	0.036
19	322965-323053	0	-1	-1	0.002
20	372644-383990	0	-1	-1	0.0
21	1243942-1329012	0	-1	-1	0.024
22	192878-500423	0	-1	-1	0.006
23	1410345-1410348	0	-1	-1	0.004
24	1329012-1333287	0	-1	-1	0.002
25	589373-589707	0	-1	-1	0.1
26	416319-416391	0	-1	-1	0.016
27	541752-541893	0	-1	1	0.506
28	402964-403867	0	-1	-1	0.024
29	299136-299376	0	-1	-1	0.006
30	1329029-1333259	0	1	-1	0.004
31	374856-374944	0	-1	-1	0.002
32	293737-1170435	0	-1	-1	0.0
33	197701-235172	0	-1	-1	0.138
34	374739-375456	0	-1	-1	0.082
35	164695-351085	0	-1	-1	0.006
36	351085-1161444	0	-1	-1	0.114
37	524532-524575	0	-1	-1	0.078
38	383580-387159	0	-1	-1	0.0
39	500073-501107	0	-1	-1	0.024
40	1170409-1170669	0	-1	-1	0.0
41	23749-589247	0	-1	-1	0.032
42	417110-417114	0	-1	-1	0.0
43	904254-904257	0	-1	-1	0.002
44	417032-417052	0	-1	-1	0.018
45	387525-387553	0	-1	-1	0.0
46	416312-417113	0	-1	-1	0.018
47	322926-322936	0	-1	-1	0.038
48	1170655-1170667	0	-1	-1	0.0
49	541754-541890	0	-1	-1	0.022
50	416383-416387	0	-1	-1	0.066
51	1170648-1170650	0	1	1	0.592
52	1170420-1170661	0	-1	-1	0.008
53	439200-457191	0	-1	-1	0.124
54	439427-457601	0	-1	-1	0.026
55	23747-24126	0	-1	-1	0.244
56	416390-417106	0	-1	-1	0.008
57	1243928-1243932	0	-1	-1	0.008
58	323035-323038	0	-1	-1	0.004
59	293762-1170433	0	-1	-1	0.0
60	522655-522688	0	1	1	0.82
61	1329017-1333287	0	-1	-1	0.026
62	522738-522778	0	-1	-1	0.016
63	439202-457126	0	1	1	0.94
64	551441-551445	0	-1	-1	0.016
65	322925-323052	0	-1	-1	0.012
66	1170409-1170431	0	-1	-1	0.0
67	1170426-1170671	0	-1	-1	0.0
68	439272-457529	0	-1	-1	0.02
69	1370545-1370547	0	-1	-1	0.368
70	321869-321910	0	-1	-1	0.008
71	439277-439428	0	-1	-1	0.038
72	522610-522675	0	-1	-1	0.01
73	1170410-1170439	0	-1	-1	0.0
74	375997-376074	0	-1	-1	0.148
75	416318-416321	0	-1	-1	0.006
76	1370550-1370583	0	-1	-1	0.106
77	374813-374859	0	-1	-1	0.0
78	403604-403612	0	-1	-1	0.062
79	384092-387119	0	-1	-1	0.0
80	522634-522717	0	-1	-1	0.004
81	375997-376081	0	-1	-1	0.158
82	591940-592554	0	-1	-1	0.202
83	498581-498597	0	-1	-1	0.01
84	416382-416387	0	-1	-1	0.0
85	416311-417108	0	-1	-1	0.002
86	290913-291139	0	-1	-1	0.062
87	1044952-1044971	0	1	1	0.762
88	1243945-1243962	0	-1	-1	0.0
89	1410330-1410339	0	-1	-1	0.0
90	1170432-1170661	0	-1	-1	0.0
91	1044972-1045153	0	-1	-1	0.024
92	383990-387654	0	-1	-1	0.0
93	1170418-1170652	0	-1	-1	0.282
94	322994-323017	0	-1	-1	0.0
95	1170432-1170656	0	-1	-1	0.0
96	541753-541894	0	-1	-1	0.016
97	522633-522707	0	-1	-1	0.02
98	403734-403802	0	1	-1	0.478
99	1596857-1596861	0	-1	-1	0.048
100	375386-375387	0	1	1	0.684
101	321877-321910	0	-1	-1	0.004
102	1170650-1170672	0	1	1	0.848
103	1170656-1170674	0	-1	-1	0.0
104	1170432-1170667	0	-1	-1	0.0
105	387119-387160	0	-1	-1	0.0
106	299129-299135	0	1	-1	0.07
107	372657-387549	0	-1	-1	0.012
108	1170431-1170654	0	-1	-1	0.0
109	15030-15057	0	1	-1	0.014
110	495134-495655	0	-1	-1	0.062
111	284165-1253822	0	-1	-1	0.344
112	522610-522616	0	-1	-1	0.008
113	23263-413031	0	-1	-1	0.288
114	592192-592553	0	-1	-1	0.16
115	293934-1170418	0	-1	-1	0.062
116	1170418-1170649	0	-1	-1	0.148
117	591745-592554	0	-1	-1	0.176
118	402957-403805	0	-1	-1	0.01
119	1370535-1370555	0	1	1	0.832
120	387240-387553	0	-1	-1	0.0
121	321877-321904	0	-1	-1	0.004
122	439202-457337	0	1	1	0.52
123	293737-1170414	0	-1	-1	0.0
124	192781-1170429	0	-1	-1	0.01
125	23748-413031	0	-1	-1	0.334
126	322948-322965	0	-1	-1	0.002
127	372683-387119	0	-1	-1	0.0
128	24081-589247	0	-1	-1	0.022
129	235866-501126	0	-1	-1	0.236
130	322928-323039	0	-1	-1	0.002
131	439199-439200	0	-1	-1	0.13
132	1329029-1333232	0	1	-1	0.018
133	1370557-1370572	0	-1	-1	0.0
134	323038-323039	0	-1	-1	0.006
135	1170648-1170670	0	-1	-1	0.0
136	322936-323035	0	-1	-1	0.0
137	293737-1170666	0	-1	-1	0.0
138	1410317-1410345	0	-1	-1	0.022
139	383627-387525	0	-1	-1	0.0
140	1044974-1591595	0	1	-1	0.076
141	1170425-1170665	0	-1	-1	0.232
142	293737-1170432	0	-1	-1	0.0
143	457191-457436	0	-1	-1	0.054
144	591460-591555	0	-1	-1	0.34
145	23263-413101	0	-1	-1	0.018
146	322965-323039	0	-1	-1	0.004
147	1170658-1170667	0	-1	-1	0.0
148	1572170-1572174	0	-1	-1	0.426
149	402957-403804	0	-1	-1	0.014
150	522626-522633	0	-1	-1	0.008
151	299325-299547	0	-1	-1	0.0
152	1170413-1170418	0	-1	-1	0.158
153	372644-387162	0	-1	-1	0.002
154	589137-956684	0	-1	-1	0.006
155	1170413-1170415	0	-1	-1	0.0
156	33858-322936	0	-1	-1	0.014
157	1410336-1410341	0	-1	-1	0.01
158	589247-956640	0	-1	-1	0.02
159	424039-424105	0	-1	-1	0.032
160	169512-1170412	0	-1	-1	0.0
161	1170423-1170666	0	-1	-1	0.02
162	374861-374903	0	1	1	0.594
163	522721-522758	0	-1	-1	0.004
164	372666-383944	0	-1	-1	0.002
165	1596857-1596864	0	-1	-1	0.042
166	1370560-1370578	0	1	1	0.922
167	1170413-1170662	0	-1	-1	0.0
168	15267-259912	0	-1	-1	0.336
169	1410326-1410349	0	1	-1	0.408
170	1170406-1170408	0	-1	-1	0.246
171	416319-417107	0	-1	-1	0.008
172	1370560-1370572	0	-1	-1	0.01
173	387117-387191	0	-1	-1	0.0
174	23764-589247	0	-1	-1	0.016
