	ids	cid	trueY	predY	prob
0	310116-1162610	0	-1	-1	0.006666666666666667
1	1285901-1285966	0	-1	-1	0.24666666666666667
2	262536-282260	0	-1	-1	0.0
3	24958-559205	0	-1	-1	0.02666666666666667
4	24931-310116	0	-1	-1	0.006666666666666667
5	1135878-1255146	0	-1	-1	0.016666666666666666
6	1376007-1707370	0	1	1	0.5533333333333333
7	1383168-1383284	0	-1	-1	0.05
8	1502323-1502329	0	1	1	0.7266666666666667
9	500536-1255146	0	-1	-1	0.01
10	827541-1294703	0	-1	-1	0.22666666666666666
11	1391180-1391181	0	1	-1	0.37666666666666665
12	261680-298864	0	1	1	0.9966666666666667
13	282260-633009	0	-1	-1	0.44333333333333336
14	1285967-1286173	0	1	1	0.6166666666666667
15	897274-897275	0	1	1	0.9266666666666666
16	1512174-1512188	0	-1	-1	0.09666666666666666
17	1499366-1499372	0	1	1	0.88
18	1366408-1383251	0	-1	-1	0.09
19	24958-1255148	0	1	1	0.9
20	500599-1255134	0	-1	-1	0.05
21	634713-735529	0	-1	-1	0.023333333333333334
22	1296979-1614320	0	1	1	0.7633333333333333
23	1341003-1341009	0	1	-1	0.20333333333333334
24	1498987-1502587	0	-1	1	0.67
25	147126-322557	0	-1	-1	0.0033333333333333335
26	298864-1255148	0	1	1	1.0
27	110960-827541	0	-1	1	0.63
28	1366408-1383274	0	1	-1	0.3433333333333333
29	1502589-1502809	0	1	-1	0.29
30	261663-298781	0	1	1	0.99
31	1623787-1624380	0	-1	-1	0.36666666666666664
32	1512171-1512173	0	-1	-1	0.03666666666666667
33	1623467-1623551	0	1	1	0.5366666666666666
34	802906-1278691	0	-1	-1	0.20333333333333334
35	802906-1255140	0	-1	1	0.63
36	310186-1255156	0	-1	-1	0.0
37	1383048-1383284	0	-1	-1	0.03333333333333333
38	927191-1502807	0	-1	-1	0.17333333333333334
39	147126-633009	0	-1	-1	0.4666666666666667
40	419431-1394040	0	-1	-1	0.013333333333333334
41	1512167-1512171	0	-1	-1	0.0033333333333333335
42	298408-500641	0	1	1	0.9933333333333333
43	147126-1403497	0	-1	-1	0.013333333333333334
44	897265-897268	0	-1	-1	0.10333333333333333
45	1499365-1499373	0	-1	-1	0.13
46	1294703-1295702	0	-1	-1	0.30333333333333334
47	1499365-1499370	0	-1	-1	0.07
