	ids	cid	trueY	predY	prob
0	500519-500556	0	-1	-1	0.07333333333333333
1	1263461-1263470	0	-1	-1	0.006666666666666667
2	1499302-1499368	0	-1	-1	0.38666666666666666
3	559204-1255147	0	-1	-1	0.45
4	295453-1620859	0	-1	1	0.6566666666666666
5	261721-310116	0	-1	-1	0.043333333333333335
6	1263463-1263479	0	-1	-1	0.19666666666666666
7	1499365-1499371	0	-1	-1	0.056666666666666664
8	24931-558319	0	1	1	0.84
9	500599-1255135	0	-1	-1	0.013333333333333334
10	24799-262536	0	-1	-1	0.07
11	1502334-1502335	0	-1	-1	0.37333333333333335
12	735529-897268	0	-1	-1	0.11666666666666667
13	299333-299406	0	-1	-1	0.44666666666666666
14	500600-1027898	0	-1	-1	0.02666666666666667
15	1376016-1376017	0	-1	-1	0.03666666666666667
16	267804-267921	0	1	-1	0.24
17	897267-897273	0	-1	-1	0.14666666666666667
18	207200-254801	0	-1	-1	0.0
19	927191-1502588	0	-1	-1	0.08
20	267889-1620859	0	-1	-1	0.5
21	298864-310116	0	1	1	0.9866666666666667
22	207200-388207	0	-1	-1	0.0
23	897268-897278	0	-1	-1	0.06
24	500567-1255138	0	-1	-1	0.016666666666666666
25	261704-261737	0	-1	-1	0.31333333333333335
26	310186-1255156	0	-1	-1	0.006666666666666667
27	24957-500536	0	1	-1	0.27666666666666667
28	1502332-1502335	0	1	1	0.6533333333333333
29	298762-309867	0	1	1	0.9766666666666667
30	1653354-1671459	0	-1	-1	0.0
31	388207-1403508	0	-1	-1	0.006666666666666667
32	24958-261721	0	1	1	0.9333333333333333
33	500566-1255155	0	-1	-1	0.01
34	207200-419431	0	-1	-1	0.0
35	1502584-1502807	0	-1	-1	0.05
36	1376007-1376016	0	-1	-1	0.16333333333333333
37	1598584-1598585	0	-1	1	0.75
38	322557-1162610	0	-1	-1	0.05
39	500536-1135878	0	-1	-1	0.043333333333333335
40	267804-282180	0	-1	-1	0.31
41	419431-1214676	0	-1	-1	0.0
42	1375994-1376007	0	-1	-1	0.15333333333333332
43	1376017-1713031	0	-1	-1	0.0033333333333333335
44	419431-633009	0	-1	-1	0.05333333333333334
45	267804-295453	0	1	1	0.6866666666666666
46	500536-1222736	0	-1	-1	0.16666666666666666
47	261680-1255148	0	-1	-1	0.20333333333333334
48	1502584-1502806	0	-1	-1	0.06333333333333334
49	1499367-1499370	0	-1	-1	0.043333333333333335
50	1512164-1512188	0	-1	-1	0.03666666666666667
51	251666-254801	0	-1	-1	0.28
52	1499370-1499372	0	1	1	0.91
53	24799-558319	0	1	-1	0.44
54	261680-310116	0	-1	-1	0.18666666666666668
55	254801-388207	0	-1	-1	0.0033333333333333335
56	1394038-1394044	0	-1	-1	0.45666666666666667
57	322681-1376011	0	-1	-1	0.12666666666666668
58	897271-897275	0	-1	-1	0.013333333333333334
59	559205-887499	0	-1	-1	0.01
60	927191-948386	0	-1	-1	0.056666666666666664
61	1502807-1502813	0	-1	1	0.5833333333333334
62	529097-802906	0	1	-1	0.03
63	25002-559205	0	-1	-1	0.07333333333333333
64	207200-1403507	0	-1	-1	0.023333333333333334
65	25602-25916	0	1	-1	0.06333333333333334
66	1512188-1598584	0	-1	-1	0.016666666666666666
67	897275-1596454	0	-1	-1	0.02
68	500556-1222736	0	-1	-1	0.14333333333333334
69	298864-500519	0	1	1	0.9933333333333333
70	1263468-1263470	0	-1	-1	0.0033333333333333335
71	1162610-1219161	0	-1	-1	0.48
72	1502332-1502333	0	1	1	0.6833333333333333
73	500600-1255140	0	-1	-1	0.21333333333333335
74	1263465-1263470	0	-1	-1	0.0033333333333333335
75	1214676-1394041	0	-1	-1	0.0
76	298381-1255156	0	1	1	1.0
77	1391173-1391186	0	1	-1	0.46
78	295453-1406128	0	1	1	0.59
79	298381-500566	0	1	1	1.0
80	322557-1403497	0	-1	-1	0.006666666666666667
81	1499302-1499363	0	-1	-1	0.04666666666666667
82	1502583-1502586	0	-1	-1	0.09
83	13448-251666	0	-1	1	0.51
84	24957-298864	0	1	1	0.9933333333333333
85	1502583-1502807	0	-1	-1	0.02
86	282260-1222736	0	-1	1	0.7733333333333333
87	1512173-1512188	0	-1	-1	0.05
88	1502583-1502587	0	-1	-1	0.14333333333333334
89	1512164-1512170	0	-1	-1	0.08666666666666667
90	24892-419431	0	-1	-1	0.0033333333333333335
91	559204-887499	0	-1	-1	0.02666666666666667
92	13448-1394041	0	1	-1	0.056666666666666664
93	948386-1502591	0	1	1	0.63
94	298381-1255158	0	1	1	1.0
95	24903-558319	0	1	1	0.6866666666666666
96	500567-1255140	0	-1	-1	0.05333333333333334
97	456646-456703	0	-1	-1	0.49333333333333335
98	24931-25003	0	-1	-1	0.30666666666666664
99	261680-261721	0	-1	-1	0.22333333333333333
100	24892-207200	0	-1	-1	0.0
101	267839-1620859	0	1	1	0.69
102	24931-559204	0	-1	-1	0.38333333333333336
103	298864-887499	0	1	1	0.97
104	1512168-1512174	0	-1	-1	0.13666666666666666
105	1499363-1499365	0	-1	-1	0.05
106	1623551-1623787	0	-1	-1	0.36333333333333334
107	280144-280719	0	1	-1	0.04666666666666667
108	559204-1135878	0	-1	1	0.5766666666666667
109	13448-282260	0	1	1	0.5166666666666667
110	1502587-1502588	0	-1	-1	0.09666666666666666
111	510685-510731	0	-1	-1	0.09
112	500590-1255132	0	-1	-1	0.013333333333333334
113	891365-897279	0	1	-1	0.38333333333333336
114	500600-1255138	0	-1	-1	0.03333333333333333
115	25003-1369871	0	1	1	0.5733333333333334
116	13448-1394040	0	1	-1	0.06
117	1512165-1512174	0	-1	-1	0.06333333333333334
118	1263466-1263470	0	-1	-1	0.013333333333333334
119	1502583-1502806	0	-1	-1	0.06
120	309730-500600	0	-1	-1	0.006666666666666667
121	299337-299406	0	-1	-1	0.28
122	298781-500584	0	1	1	1.0
123	282260-633009	0	-1	-1	0.07666666666666666
124	275856-294319	0	1	1	0.81
125	1502584-1502809	0	-1	-1	0.16333333333333333
126	1219161-1403506	0	-1	-1	0.18666666666666668
127	298864-500536	0	1	1	1.0
128	891366-897268	0	-1	-1	0.13333333333333333
129	1512168-1512188	0	-1	-1	0.07666666666666666
130	322681-1376007	0	-1	-1	0.13666666666666666
131	1376007-1653354	0	-1	-1	0.013333333333333334
132	310186-1255158	0	-1	-1	0.10333333333333333
133	322557-388207	0	-1	-1	0.0033333333333333335
134	500536-500556	0	-1	-1	0.07
135	1263462-1672188	0	1	1	0.8866666666666667
136	1219161-1394041	0	-1	-1	0.0
137	500519-1222736	0	-1	-1	0.16666666666666666
138	261737-298864	0	1	1	0.5966666666666667
139	1632788-1660532	0	-1	-1	0.02
140	125678-282191	0	-1	-1	0.06
141	94023-240988	0	-1	-1	0.31666666666666665
142	207200-1214676	0	-1	-1	0.0
143	280034-1162612	0	-1	-1	0.2733333333333333
144	24931-24958	0	-1	-1	0.23333333333333334
145	322681-1376016	0	-1	-1	0.18666666666666668
146	298381-500650	0	1	1	1.0
