	ids	cid	trueY	predY	prob
0	310113-310506	2	-1	-1	0.004
1	345294-345300	2	-1	-1	0.0
2	339631-339643	2	-1	-1	0.002
3	309790-310537	2	-1	-1	0.0
4	1567537-1567626	2	-1	-1	0.0
5	1567636-1567677	2	-1	-1	0.0
6	310232-310311	2	-1	-1	0.0
7	356349-356360	2	-1	-1	0.012
8	1657879-1702042	2	-1	-1	0.0
9	177785-318422	2	-1	-1	0.002
10	309842-310689	2	-1	-1	0.0
11	1567630-1567667	2	-1	-1	0.0
12	1655246-1698945	2	-1	-1	0.0
13	318480-1595927	2	-1	-1	0.004
14	1567652-1567653	2	-1	-1	0.0
15	1162990-1162993	2	-1	-1	0.076
16	1567625-1567631	2	-1	-1	0.0
17	310444-310523	2	-1	-1	0.002
18	1567648-1567654	2	-1	-1	0.0
19	310257-310507	2	-1	-1	0.004
20	1567624-1567669	2	-1	-1	0.0
21	310252-310641	2	1	-1	0.072
22	1567617-1567663	2	-1	-1	0.0
23	345377-384922	2	-1	-1	0.004
24	310247-310477	2	-1	-1	0.086
25	975924-1162993	2	-1	-1	0.014
26	1567621-1567673	2	-1	-1	0.0
27	310312-310680	2	-1	-1	0.0
28	1601114-1601129	2	-1	-1	0.0
29	339626-339632	2	-1	-1	0.0
30	1567616-1567634	2	-1	-1	0.0
31	1567618-1567648	2	-1	-1	0.0
32	1567641-1567665	2	-1	-1	0.0
33	1567615-1567648	2	-1	-1	0.0
34	1692773-1692858	2	-1	-1	0.0
35	1567641-1567653	2	-1	-1	0.004
36	1601112-1601126	2	-1	-1	0.138
37	282125-909882	2	-1	-1	0.0
38	487083-487443	2	-1	-1	0.012
39	345305-345349	2	-1	-1	0.0
40	1657879-1698945	2	-1	-1	0.0
41	310020-310087	2	-1	-1	0.0
42	1649638-1692773	2	-1	-1	0.0
43	310181-310281	2	-1	-1	0.004
44	1567639-1567662	2	-1	-1	0.0
45	177483-180652	2	-1	-1	0.016
46	1216279-1216285	2	-1	-1	0.044
47	356329-561329	2	-1	-1	0.182
48	201673-909882	2	-1	-1	0.0
49	1567638-1567659	2	-1	-1	0.0
50	1601118-1601133	2	-1	-1	0.0
51	1633091-1657582	2	-1	-1	0.0
52	1567502-1567638	2	-1	-1	0.0
53	345298-345313	2	-1	-1	0.0
54	309817-310281	2	-1	-1	0.0
55	1567609-1567647	2	-1	-1	0.0
56	310208-310389	2	1	-1	0.046
57	339667-339669	2	-1	-1	0.018
58	310182-310614	2	-1	-1	0.0
59	1567612-1567646	2	-1	-1	0.0
60	201673-290008	2	-1	-1	0.0
61	227113-1162993	2	-1	-1	0.01
62	310114-310310	2	-1	-1	0.016
63	116466-116499	2	1	1	0.506
64	177483-201254	2	-1	-1	0.0
65	1216282-1216286	2	-1	-1	0.006
66	1657582-1692773	2	-1	-1	0.0
67	1681580-1702484	2	-1	-1	0.0
68	1629607-1713010	2	-1	-1	0.0
69	1601117-1601127	2	-1	-1	0.0
70	1647906-1676584	2	-1	-1	0.0
71	310230-310256	2	-1	-1	0.0
72	310208-310345	2	-1	-1	0.022
73	310218-310475	2	-1	-1	0.002
74	1648934-1692858	2	-1	-1	0.0
75	310151-310230	2	-1	-1	0.0
76	1601127-1601132	2	-1	-1	0.002
77	324621-337294	2	-1	-1	0.038
78	1648628-1704414	2	-1	-1	0.002
79	1567629-1567661	2	-1	-1	0.0
80	1108830-1108832	2	-1	-1	0.044
81	1567537-1567675	2	-1	-1	0.0
82	1567644-1567678	2	-1	-1	0.0
83	1567537-1567671	2	-1	-1	0.0
84	309724-310287	2	-1	-1	0.012
85	1682866-1715169	2	-1	-1	0.0
86	339629-339643	2	-1	-1	0.0
87	1664013-1682866	2	-1	-1	0.0
88	310151-310507	2	-1	-1	0.0
89	1670516-1691342	2	-1	-1	0.0
90	1567675-1567679	2	-1	-1	0.0
91	1690209-1692773	2	-1	-1	0.0
92	345286-345377	2	-1	-1	0.006
93	1567611-1567649	2	-1	-1	0.0
94	1567652-1567667	2	-1	-1	0.008
95	309724-310231	2	-1	-1	0.0
96	310113-310445	2	-1	-1	0.0
97	1494157-1595933	2	1	-1	0.094
98	309791-310220	2	-1	-1	0.0
99	310537-310689	2	-1	-1	0.0
100	310680-310882	2	-1	-1	0.0
101	324627-337295	2	-1	-1	0.0
102	1567620-1567669	2	-1	-1	0.0
103	1601117-1601132	2	-1	-1	0.0
104	1567643-1567657	2	-1	-1	0.0
105	310087-310281	2	-1	-1	0.0
106	1364266-1364274	2	-1	-1	0.102
107	345300-345365	2	-1	-1	0.0
108	1567659-1567668	2	-1	-1	0.0
109	1601112-1601121	2	-1	-1	0.024
110	1567482-1567652	2	-1	-1	0.0
111	1567632-1567667	2	-1	-1	0.0
112	227621-975925	2	-1	-1	0.018
113	339634-339667	2	-1	-1	0.006
114	310231-310252	2	-1	-1	0.0
115	1648934-1655246	2	-1	-1	0.0
116	1567636-1567667	2	-1	-1	0.0
117	1567619-1567644	2	-1	-1	0.0
118	1567637-1567643	2	-1	-1	0.0
119	310256-310420	2	-1	-1	0.002
120	309842-310254	2	-1	-1	0.0
121	310182-310230	2	-1	-1	0.002
122	310182-310319	2	-1	-1	0.0
123	1664013-1717538	2	-1	-1	0.0
124	282117-909881	2	-1	-1	0.0
125	309817-310256	2	-1	-1	0.0
126	310282-310476	2	-1	-1	0.002
127	1567659-1567677	2	-1	-1	0.0
128	324628-337294	2	-1	-1	0.0
129	310310-310419	2	-1	-1	0.0
130	1567631-1567676	2	-1	-1	0.0
131	310114-310256	2	-1	-1	0.004
132	309724-310232	2	-1	-1	0.008
133	177483-201239	2	-1	-1	0.0
134	1639011-1682866	2	-1	-1	0.0
135	1657879-1675668	2	-1	-1	0.0
136	1567637-1567638	2	-1	-1	0.0
137	310209-310507	2	-1	-1	0.0
138	1567649-1567679	2	-1	-1	0.002
139	1567620-1567675	2	-1	-1	0.0
140	1567637-1567639	2	-1	-1	0.0
141	1567502-1567649	2	-1	-1	0.0
142	310218-310281	2	-1	-1	0.0
