	ids	cid	trueY	predY	prob
0	1272114-1272129	2	-1	-1	0.0
1	394888-438822	2	1	1	1.0
2	374953-375003	2	1	-1	0.49
3	332375-332381	2	-1	1	0.52
4	132063-276910	2	-1	-1	0.01
5	352334-352347	2	-1	-1	0.0
6	254747-297676	2	-1	-1	0.0
7	250354-251265	2	-1	-1	0.08
8	319799-319971	2	-1	-1	0.0
9	352526-394743	2	-1	-1	0.0
10	319428-394981	2	-1	-1	0.01
11	332382-332394	2	-1	-1	0.0
12	1532679-1532687	2	-1	-1	0.01
13	319808-319977	2	-1	-1	0.0
14	332371-332397	2	-1	-1	0.1
15	319756-319766	2	-1	-1	0.0
16	1272111-1272133	2	1	-1	0.02
17	438689-438757	2	-1	-1	0.05
18	395126-438756	2	1	1	0.82
19	332374-332403	2	-1	-1	0.0
20	319428-438890	2	-1	-1	0.0
21	346706-346722	2	1	-1	0.45
22	438314-1370106	2	-1	-1	0.0
23	1272103-1272113	2	-1	-1	0.01
24	394887-394984	2	1	1	1.0
25	132506-132507	2	-1	-1	0.04
26	1370113-1394466	2	-1	-1	0.03
27	370107-523846	2	-1	-1	0.0
28	346694-346745	2	-1	-1	0.04
29	132064-276910	2	-1	-1	0.0
30	438544-1370108	2	-1	-1	0.0
31	319749-319879	2	-1	-1	0.0
32	332404-332410	2	-1	-1	0.06
33	1532673-1532680	2	-1	-1	0.0
34	438618-438950	2	-1	-1	0.01
35	1272098-1272125	2	-1	-1	0.0
36	332378-332398	2	-1	-1	0.0
37	319428-438692	2	-1	-1	0.0
38	395126-395198	2	-1	-1	0.01
39	263582-263666	2	-1	-1	0.24
40	306306-319783	2	-1	-1	0.0
41	1272123-1272130	2	-1	-1	0.0
42	394821-438756	2	-1	-1	0.21
43	381773-381868	2	-1	-1	0.01
44	131316-276946	2	1	1	1.0
45	266908-267047	2	1	1	0.94
46	252516-332425	2	-1	-1	0.0
47	273323-273675	2	-1	-1	0.02
48	438690-438949	2	-1	-1	0.0
49	394743-438253	2	-1	-1	0.44
