	ids	cid	trueY	predY	prob
0	335900-335903	2	-1	-1	0.01
1	1105304-1105590	2	-1	-1	0.004
2	1105304-1105583	2	-1	-1	0.0
3	333152-1331119	2	-1	-1	0.0
4	1703313-1720021	2	-1	-1	0.0
5	377177-1245949	2	1	-1	0.378
6	335908-335911	2	-1	-1	0.0
7	386097-588676	2	-1	-1	0.0
8	386186-439044	2	-1	-1	0.004
9	1223880-1223910	2	-1	-1	0.0
10	386716-387429	2	-1	-1	0.0
11	953659-953666	2	-1	-1	0.04
12	977764-977766	2	-1	-1	0.082
13	386760-387228	2	-1	-1	0.068
14	272435-1378414	2	-1	-1	0.0
15	377256-588434	2	-1	-1	0.206
16	377340-386184	2	1	1	0.926
17	1245951-1378416	2	-1	-1	0.0
18	342682-342925	2	-1	-1	0.0
19	272710-311028	2	-1	-1	0.002
20	386236-1245955	2	1	1	0.58
21	310799-377256	2	-1	-1	0.196
22	385824-1331114	2	1	1	0.972
23	387143-404439	2	-1	-1	0.0
24	386762-404438	2	-1	-1	0.0
25	1331116-1378411	2	-1	-1	0.006
26	1223883-1636644	2	-1	-1	0.0
27	386235-1378420	2	1	1	0.786
28	1105591-1105596	2	-1	-1	0.004
29	511057-1118956	2	-1	-1	0.0
30	333157-439321	2	-1	-1	0.03
31	310995-1386895	2	-1	1	0.522
32	1223899-1629487	2	-1	-1	0.0
33	377337-1378422	2	-1	-1	0.002
34	386235-1245953	2	1	1	0.962
35	311192-1331117	2	-1	-1	0.0
36	377454-1386896	2	-1	-1	0.016
37	335908-335917	2	-1	-1	0.0
38	1223894-1684037	2	-1	-1	0.0
39	342915-342918	2	-1	-1	0.0
40	335903-335909	2	-1	-1	0.0
41	377261-386147	2	-1	-1	0.0
42	335907-335908	2	-1	-1	0.0
43	1248426-1248581	2	-1	-1	0.188
44	387185-387574	2	-1	-1	0.0
45	1223884-1672073	2	-1	-1	0.0
46	310995-1378426	2	1	1	0.668
47	335905-335918	2	-1	-1	0.0
48	386147-1245953	2	-1	-1	0.014
49	1223884-1561994	2	-1	-1	0.0
50	1331116-1378414	2	-1	-1	0.0
51	1223900-1351334	2	-1	-1	0.0
