	ids	cid	trueY	predY	prob
0	398320-398376	1	-1	-1	0.013333333333333334
1	310961-311065	1	-1	-1	0.006666666666666667
2	267327-267544	1	-1	-1	0.01
3	310184-310927	1	-1	-1	0.0
4	310572-311340	1	-1	-1	0.0
5	311339-311371	1	-1	-1	0.0033333333333333335
6	270737-270968	1	-1	-1	0.19
7	397885-398190	1	-1	-1	0.0033333333333333335
8	363616-363630	1	-1	-1	0.01
9	310863-311263	1	1	1	0.99
10	264179-1138197	1	-1	-1	0.0
11	363538-363640	1	-1	-1	0.04666666666666667
12	264178-264908	1	-1	-1	0.0
13	264197-1138189	1	-1	-1	0.26666666666666666
14	264907-1138199	1	-1	-1	0.013333333333333334
15	303917-304328	1	-1	-1	0.0
16	363554-363621	1	-1	-1	0.0
17	298974-299056	1	1	-1	0.31
18	363476-363640	1	-1	-1	0.07666666666666666
19	363475-363620	1	-1	-1	0.0
20	363523-363617	1	-1	-1	0.0
21	270890-398188	1	-1	-1	0.22333333333333333
22	303693-1138196	1	1	1	0.99
23	270732-271041	1	-1	-1	0.0
24	267327-267524	1	-1	-1	0.01
25	264960-1138188	1	-1	-1	0.0033333333333333335
26	398375-398376	1	-1	-1	0.0033333333333333335
27	363620-363630	1	-1	-1	0.0
28	285487-1138194	1	-1	-1	0.0
29	310599-311225	1	1	1	0.9933333333333333
30	310391-310446	1	-1	-1	0.15333333333333332
31	176573-262630	1	-1	-1	0.0
32	311129-311688	1	1	1	1.0
33	309764-372265	1	-1	-1	0.03666666666666667
34	363476-363581	1	-1	-1	0.05333333333333334
35	310038-310573	1	-1	-1	0.25666666666666665
36	363497-363538	1	-1	-1	0.0
37	363643-363649	1	-1	-1	0.12189908052052784
38	310791-310927	1	-1	-1	0.0
39	304111-304434	1	-1	-1	0.0
40	371364-372265	1	-1	-1	0.0
41	363643-363644	1	-1	-1	0.13257947419355862
42	363476-363569	1	-1	-1	0.0
43	298111-298434	1	1	1	0.67
44	363564-363623	1	-1	-1	0.0
45	363524-363564	1	-1	-1	0.0
46	347250-347269	1	-1	-1	0.0
47	270828-1138088	1	-1	-1	0.047700531585844294
48	363598-363605	1	-1	-1	0.013333333333333334
49	304434-304482	1	-1	-1	0.0
50	363475-363639	1	-1	-1	0.42
51	310569-311300	1	1	1	1.0
52	398068-398375	1	-1	-1	0.0
53	234191-1138205	1	-1	-1	0.23
54	270732-271059	1	-1	-1	0.0
55	385778-386232	1	1	-1	0.44333333333333336
56	363476-363643	1	-1	-1	0.006666666666666667
57	347277-347278	1	-1	-1	0.0
58	347205-347224	1	-1	-1	0.45666666666666667
59	363523-363533	1	-1	-1	0.0
60	270733-271090	1	-1	-1	0.006405439255680802
61	363523-363628	1	-1	-1	0.0
62	363629-363637	1	1	1	0.9066666666666666
63	347264-347276	1	-1	-1	0.0
64	309865-311263	1	-1	-1	0.11
65	347245-347272	1	-1	-1	0.0
66	310571-371366	1	-1	-1	0.0033333333333333335
67	363475-363644	1	-1	-1	0.47
68	347236-347269	1	-1	-1	0.0
69	347258-347278	1	-1	-1	0.006327230456262714
70	347228-347269	1	-1	-1	0.0
71	347244-347276	1	-1	-1	0.0
72	385641-386275	1	-1	-1	0.38
73	397885-398189	1	-1	-1	0.0033333333333333335
74	363516-363633	1	-1	-1	0.15333333333333332
75	363559-363630	1	-1	-1	0.0
76	347245-347266	1	-1	-1	0.0
77	271089-271220	1	-1	-1	0.0
78	397823-397824	1	-1	-1	0.0
79	264846-1138193	1	-1	-1	0.0
80	264845-304046	1	-1	-1	0.03333333333333333
81	271061-271091	1	-1	-1	0.002848846855815497
