	ids	cid	trueY	predY	prob
0	289100-289145	2	-1	-1	0.03
1	527396-1412711	2	1	1	1.0
2	113017-113254	2	-1	-1	0.02
3	254764-254812	2	-1	-1	0.09
4	144302-255096	2	-1	-1	0.0
5	527174-581374	2	-1	-1	0.01
6	527258-581408	2	1	1	1.0
7	581408-1412502	2	1	1	0.99
8	144096-255097	2	-1	-1	0.01
9	254960-255009	2	-1	-1	0.0
10	352357-352376	2	-1	-1	0.22
11	527299-1412713	2	-1	-1	0.0
12	255096-255097	2	-1	-1	0.01
13	352285-352378	2	-1	-1	0.0
14	142887-527117	2	1	1	1.0
15	280488-281105	2	-1	1	0.73
16	527299-1412711	2	-1	-1	0.0
17	527056-1412697	2	-1	-1	0.01
18	527116-1412705	2	-1	-1	0.0
19	527307-1412919	2	-1	-1	0.0
20	255009-255010	2	1	1	1.0
21	352343-352344	2	-1	-1	0.0
22	527116-1412700	2	-1	-1	0.0
23	382304-382386	2	1	-1	0.43
24	352332-352347	2	-1	-1	0.03
25	106879-527347	2	1	1	1.0
26	527117-1412704	2	-1	-1	0.0
27	527386-1412922	2	-1	-1	0.0
28	289090-289265	2	-1	-1	0.08
29	254747-254802	2	-1	-1	0.0
30	352344-352378	2	-1	-1	0.0
31	527056-527228	2	1	1	0.96
32	165022-289144	2	1	1	0.75
33	305190-305358	2	1	-1	0.05
34	527395-1412922	2	-1	-1	0.02
35	527307-1412502	2	-1	-1	0.0
36	255085-1276653	2	-1	-1	0.21
37	254778-297412	2	-1	1	0.6
38	527120-527306	2	1	1	0.99
39	254764-254791	2	-1	-1	0.0
40	527174-1412705	2	1	1	1.0
41	527116-527238	2	1	1	1.0
42	352333-352343	2	-1	-1	0.14
43	113018-113253	2	-1	-1	0.0
44	254785-254802	2	-1	-1	0.0
45	144197-255096	2	-1	-1	0.0
46	284517-284546	2	1	-1	0.08
47	289090-289131	2	-1	-1	0.11
48	527174-1412700	2	1	1	1.0
49	254800-297676	2	-1	-1	0.01
50	527347-1412922	2	-1	-1	0.0
51	254988-255085	2	-1	-1	0.39
52	527056-1412704	2	-1	-1	0.0
53	527228-581349	2	1	1	0.68
54	527116-527306	2	1	1	1.0
55	254769-254785	2	-1	-1	0.01
56	254791-254802	2	-1	-1	0.0
57	527115-1412697	2	-1	-1	0.01
58	289081-289272	2	1	-1	0.0
59	113018-382590	2	1	-1	0.08
60	527328-1412502	2	-1	-1	0.0
61	382345-382386	2	-1	-1	0.44
62	527237-1412701	2	1	1	1.0
63	254988-1276653	2	-1	-1	0.31
64	106879-527299	2	1	1	1.0
65	142887-527228	2	-1	-1	0.0
66	254939-254971	2	-1	1	0.58
67	275080-275391	2	-1	-1	0.13
68	527258-527457	2	1	1	1.0
69	382303-382345	2	-1	1	0.6
70	527056-527240	2	1	1	1.0
71	289197-289271	2	-1	-1	0.03
72	289081-289124	2	-1	-1	0.01
73	527117-527132	2	-1	-1	0.0
74	254947-254999	2	1	1	1.0
75	254769-297627	2	-1	-1	0.0
76	527237-1412705	2	1	1	1.0
77	527228-1412703	2	1	1	1.0
78	527237-527306	2	-1	-1	0.0
79	527057-1412703	2	-1	-1	0.0
80	352333-352357	2	-1	-1	0.32
81	527171-527240	2	1	1	1.0
82	527115-527239	2	1	1	1.0
83	144197-255009	2	-1	-1	0.0
84	527056-527306	2	1	1	1.0
85	305220-305472	2	1	-1	0.06
86	527228-581374	2	-1	-1	0.0
87	255010-255036	2	1	1	0.99
88	254769-254800	2	-1	-1	0.02
89	144340-255097	2	-1	-1	0.01
90	527167-527240	2	1	-1	0.0
91	254824-297676	2	-1	-1	0.0
92	382193-382700	2	1	1	1.0
93	254947-255015	2	1	1	1.0
94	527056-1412705	2	-1	-1	0.0
95	352347-352357	2	-1	-1	0.25
96	527172-527238	2	1	1	0.89
97	254962-254979	2	1	1	0.7
98	144197-255010	2	1	1	0.98
99	527055-1412700	2	-1	-1	0.0
100	527116-527237	2	1	1	1.0
101	527349-1412713	2	-1	-1	0.0
102	275391-275425	2	1	-1	0.24
103	352337-352362	2	-1	-1	0.01
104	527349-1412712	2	-1	-1	0.0
105	527057-527238	2	1	1	1.0
106	254769-297676	2	-1	-1	0.0
107	352343-352362	2	-1	-1	0.0
108	527056-527239	2	1	1	1.0
109	352267-352325	2	-1	-1	0.0
110	280922-280946	2	-1	1	0.65
111	527258-527454	2	1	1	0.74
112	527115-527240	2	1	1	1.0
113	305187-305530	2	-1	-1	0.01
114	527237-527238	2	-1	-1	0.0
115	527348-527396	2	-1	-1	0.0
116	254931-297627	2	-1	-1	0.0
117	352267-352377	2	-1	-1	0.0
118	254978-254979	2	1	1	0.61
119	305305-305530	2	-1	-1	0.0
120	527056-1412703	2	-1	-1	0.0
121	382193-382699	2	1	1	1.0
122	352333-352347	2	-1	-1	0.14
123	527396-1412917	2	1	1	1.0
124	289125-289265	2	-1	-1	0.02
125	527396-1412709	2	1	1	1.0
126	527299-1412922	2	-1	-1	0.0
127	527258-1412710	2	-1	-1	0.0
128	527348-1412502	2	-1	-1	0.0
129	254796-254824	2	-1	-1	0.0
130	581349-1412698	2	-1	-1	0.0
131	581374-1412700	2	1	1	1.0
132	144096-255010	2	1	1	0.99
133	527345-527456	2	1	1	1.0
134	144096-144197	2	-1	-1	0.0
135	289271-289272	2	-1	-1	0.05
136	255009-255124	2	-1	-1	0.0
137	254769-254802	2	-1	-1	0.0
138	352325-352363	2	-1	-1	0.0
139	254764-254796	2	-1	-1	0.0
140	382064-382152	2	1	1	0.84
141	255010-255096	2	1	1	0.99
142	289098-289286	2	-1	-1	0.36
143	527328-581408	2	1	1	0.8
144	527454-1412712	2	1	1	1.0
145	254931-297412	2	-1	-1	0.0
146	352334-352362	2	1	-1	0.01
147	527396-1412919	2	1	1	1.0
148	289090-289273	2	-1	-1	0.03
149	527348-1412922	2	-1	-1	0.0
150	352343-352377	2	-1	-1	0.0
151	254769-254791	2	-1	-1	0.01
152	527116-1412706	2	-1	-1	0.0
153	255009-255097	2	-1	-1	0.0
154	305187-305499	2	-1	-1	0.01
155	527167-527172	2	-1	-1	0.02
156	527117-527306	2	1	1	1.0
157	254947-255096	2	1	1	1.0
158	527457-1412917	2	1	1	1.0
159	527299-527396	2	1	-1	0.01
160	144096-254939	2	-1	-1	0.01
161	352349-352362	2	-1	-1	0.0
162	382191-382699	2	-1	-1	0.03
163	527456-1412919	2	1	1	1.0
164	144302-254960	2	-1	-1	0.0
165	352337-352357	2	-1	-1	0.27
166	527057-1412698	2	-1	-1	0.0
167	352349-352377	2	-1	-1	0.0
168	527455-1412712	2	1	1	1.0
169	289098-289216	2	-1	-1	0.24
170	352337-352363	2	-1	-1	0.01
171	255010-255097	2	1	1	1.0
172	382101-382193	2	1	1	1.0
173	527055-527237	2	1	1	1.0
174	527349-527395	2	-1	-1	0.0
175	581374-1412699	2	1	1	1.0
176	382101-382699	2	-1	-1	0.03
177	527117-1412705	2	-1	-1	0.0
178	142887-527171	2	1	1	1.0
179	527307-527454	2	1	1	0.57
180	254728-254769	2	-1	-1	0.01
181	289090-289272	2	1	-1	0.05
182	527307-527458	2	1	1	1.0
183	527396-1412713	2	1	1	1.0
184	527348-1412921	2	-1	-1	0.0
185	527115-1412701	2	-1	-1	0.0
186	254957-255096	2	-1	-1	0.02
187	254791-254796	2	-1	-1	0.0
188	280922-281105	2	-1	1	0.66
189	527116-581374	2	1	1	1.0
190	527120-527237	2	1	1	0.97
191	352343-352363	2	-1	-1	0.0
192	352285-352377	2	-1	-1	0.0
193	527239-527306	2	-1	-1	0.0
194	527055-527238	2	1	1	1.0
195	527228-1412701	2	1	1	1.0
196	527345-1412917	2	-1	-1	0.0
197	527116-1412698	2	-1	-1	0.0
198	527258-527456	2	1	1	1.0
199	352349-352357	2	-1	-1	0.26
200	581374-1412697	2	1	1	1.0
201	114456-382681	2	-1	-1	0.14
202	527055-527174	2	1	1	0.79
203	527307-581408	2	1	1	1.0
204	289090-289124	2	-1	-1	0.03
205	254769-297412	2	-1	-1	0.0
206	289117-289273	2	1	1	0.87
207	581382-1412921	2	-1	-1	0.0
208	289145-289279	2	-1	-1	0.07
209	254957-255124	2	-1	-1	0.02
210	113254-114456	2	-1	-1	0.03
211	527174-1412699	2	1	1	1.0
212	54008-289145	2	-1	-1	0.14
213	255021-255106	2	1	-1	0.17
214	254952-255085	2	-1	-1	0.41
215	527115-527306	2	1	1	1.0
216	527258-1412709	2	-1	-1	0.0
217	382346-382386	2	1	-1	0.41
218	527394-527396	2	-1	-1	0.01
219	527349-527457	2	1	1	1.0
220	527307-1412921	2	-1	-1	0.0
221	527456-1412917	2	1	1	1.0
222	352349-352376	2	-1	-1	0.0
223	527056-1412701	2	-1	-1	0.0
224	254728-254802	2	-1	-1	0.0
225	527228-527239	2	-1	-1	0.0
226	254960-254971	2	1	1	0.6
227	527345-1412918	2	-1	-1	0.0
228	106879-527349	2	1	1	1.0
229	352267-352344	2	-1	-1	0.0
230	527328-527395	2	-1	-1	0.0
231	254802-254824	2	-1	-1	0.0
232	255010-255015	2	1	1	1.0
233	527117-1412703	2	-1	-1	0.0
234	527307-527395	2	-1	-1	0.0
235	352343-352349	2	-1	-1	0.0
236	142887-527239	2	-1	-1	0.0
237	254939-255015	2	-1	-1	0.24
238	305189-305499	2	-1	-1	0.01
239	255009-255096	2	-1	-1	0.0
240	527457-1412502	2	1	1	0.99
241	527117-1412699	2	-1	-1	0.0
242	352333-352349	2	-1	-1	0.14
243	581374-1412703	2	1	1	1.0
244	113018-113254	2	-1	-1	0.02
245	297412-297801	2	-1	-1	0.0
246	352333-352337	2	-1	-1	0.15
247	352343-352376	2	-1	-1	0.0
248	527348-581408	2	1	1	1.0
249	106879-527328	2	1	1	0.8
250	527057-1412705	2	-1	-1	0.0
251	527299-1412709	2	-1	-1	0.01
