	ids	cid	trueY	predY	prob
0	416321-416382	2	-1	-1	-1.2057022036141638
1	1394282-1394287	2	-1	-1	-0.9308961133438278
2	486843-496848	2	-1	-1	-1.356003573447413
3	1170426-1170664	2	-1	-1	-1.512924309018051
4	578661-1250278	2	-1	-1	-0.8736775036412044
5	416380-417052	2	-1	-1	-1.1931232742913112
6	417105-417181	2	-1	-1	-1.1624344604769528
7	33858-322936	2	1	-1	-0.5739587865365796
8	279475-351089	2	1	-1	-0.44566732122079994
9	416309-416316	2	-1	-1	-1.1071784264533622
10	321838-323022	2	-1	-1	-1.0219721290932295
11	279733-351089	2	-1	-1	-1.1595533113734156
12	284164-1253822	2	-1	-1	-0.7935686576821992
13	309288-595711	2	-1	-1	-0.8992134349581095
14	375181-375289	2	-1	-1	-0.3213124277798612
15	1370571-1370583	2	-1	-1	-0.9072376667203074
16	496848-498597	2	-1	-1	-1.1271549104847944
17	324365-324392	2	-1	-1	-1.0162198031502638
18	374859-374948	2	-1	-1	-1.2574317187201198
19	321847-323006	2	1	1	0.3659156559194475
20	524532-524547	2	-1	-1	-0.6481574758392505
21	416310-417110	2	-1	-1	-1.004568330648048
22	416389-417112	2	-1	-1	-0.8675865277237307
23	441428-441505	2	1	1	0.9821894412519329
24	1170418-1170425	2	-1	1	0.059996140401487374
25	522699-522739	2	-1	-1	-0.909342048726568
26	1329011-1329012	2	-1	-1	-0.7792036407738113
27	416380-417049	2	-1	-1	-1.1492781520311985
28	1329012-1333288	2	-1	-1	-0.941817274878033
29	1370535-1370583	2	1	1	0.6776441959404084
30	1370556-1370559	2	-1	-1	-0.8531179133975112
31	417106-417109	2	-1	-1	-1.0118548650530483
32	299131-299334	2	-1	-1	-1.127999289262732
33	1163660-1163665	2	1	-1	-0.4493602218434222
34	375123-375126	2	-1	-1	-0.9927999425142373
35	439272-439318	2	-1	-1	-1.334947368410547
36	1262630-1262631	2	1	-1	-0.09314818486026644
37	417112-417183	2	-1	-1	-0.9327718563930352
38	89651-1161444	2	-1	-1	-0.5250704403036599
39	416385-416391	2	-1	-1	-1.0277266833699115
40	1370550-1370565	2	-1	-1	-1.191793913141801
41	372679-387584	2	-1	-1	-1.2741788405934709
42	1250280-1250281	2	1	1	0.6196234483051523
43	416311-416318	2	-1	-1	-0.815231267312504
44	372666-387161	2	-1	-1	-1.4314986727621148
45	372685-387204	2	-1	-1	-1.5870530601767265
46	387162-387549	2	-1	-1	-0.7853507299884843
47	414224-524547	2	-1	-1	-0.9269287213569998
48	302644-302675	2	-1	-1	-1.0824908230843255
49	1370575-1370583	2	1	1	0.8845902362181363
50	321878-321895	2	-1	-1	-1.2032225025705827
51	280612-594726	2	-1	-1	-0.6623227885958092
52	416318-417107	2	-1	-1	-0.9896640588896746
53	299325-299344	2	-1	-1	-1.5053119588076198
54	1669478-1685759	2	-1	-1	-0.7653646655498131
55	302907-303212	2	-1	-1	-1.3999438213316804
56	416315-416390	2	-1	-1	-1.4618167666738102
57	1370555-1370579	2	-1	-1	-1.0752299340430045
58	324365-324384	2	-1	-1	-0.9935026938833897
59	289390-302817	2	-1	-1	-1.0644079512305604
60	1370550-1370566	2	-1	-1	-1.3799004376802644
61	417114-417182	2	-1	-1	-1.101717759242514
62	1648502-1717421	2	-1	-1	-0.9760913617020204
63	372644-387191	2	-1	-1	-0.6748557583190041
64	372666-387654	2	-1	-1	-1.3919788921091667
65	1170425-1170658	2	1	1	0.04728960048990527
66	522695-522719	2	-1	-1	-0.983223755079309
67	321869-321878	2	-1	-1	-1.0427145726847986
68	1170408-1170439	2	-1	-1	-1.3226978167989785
69	1370566-1370575	2	-1	-1	-0.8963758731780167
70	416391-417107	2	-1	-1	-1.0711873630298219
71	1370556-1370583	2	-1	-1	-0.7040520003698616
72	372671-372674	2	-1	-1	-1.054927897817201
73	417105-417106	2	-1	-1	-0.9779270395409768
74	299131-299553	2	-1	-1	-1.0402695296789837
75	321855-321877	2	-1	-1	-1.1924064913649302
76	1170420-1170432	2	-1	-1	-1.3466700961005986
77	416379-417037	2	-1	-1	-0.37507066411229834
78	302816-302817	2	-1	-1	-1.200084912199741
79	556962-1163658	2	-1	-1	-1.0422432175185972
80	299335-299344	2	-1	-1	-1.6285815213574568
81	299132-299376	2	-1	-1	-1.8607658320776639
82	577904-1250281	2	1	1	0.586877840948474
83	551441-551448	2	1	1	0.3952422744454448
84	1170422-1170667	2	-1	-1	-1.0254711478095329
85	302854-303404	2	-1	-1	-0.4144646289391625
86	498597-522615	2	-1	-1	-1.0211154287421902
87	372674-372685	2	-1	-1	-0.9979179891290013
88	324359-324365	2	-1	-1	-0.8256226804636283
89	439272-439427	2	-1	-1	-1.3179203402452002
90	387118-387159	2	-1	-1	-1.3173970142456646
91	268667-1044961	2	1	-1	-0.7976446600220279
92	299129-299533	2	-1	-1	-1.0001810409122998
93	302643-302746	2	-1	-1	-0.9642547765643851
94	556962-1163662	2	-1	-1	-1.037125196179367
95	387191-387553	2	-1	-1	-1.0933227173326214
96	498568-498581	2	-1	-1	-1.4074414091858256
97	416382-416385	2	-1	-1	-1.1377257026038228
98	372657-372674	2	-1	-1	-1.0356115468926728
99	1596863-1596867	2	1	1	0.40835163521673723
100	578657-1250281	2	1	1	0.7523120982121186
101	289354-302746	2	-1	-1	-0.9667380763307025
102	372674-372679	2	-1	-1	-1.1267253370080037
103	434936-498790	2	-1	-1	-0.6924180844511238
104	1329013-1333285	2	-1	-1	-1.334022344436642
105	1170406-1170664	2	-1	-1	-1.5686627858751048
106	1243955-1333226	2	-1	-1	-0.9905550753315553
107	522699-522738	2	-1	-1	-0.7723264157960875
108	375083-375084	2	-1	-1	-0.6152290046773138
109	439427-457337	2	-1	-1	-0.9052570236135679
110	374946-375043	2	-1	-1	-0.9059358057281147
111	387240-387588	2	-1	-1	-1.4791426533332273
112	321869-321910	2	-1	-1	-0.8603175550217677
113	1370558-1370574	2	1	1	0.9974668346487613
114	417105-417107	2	-1	-1	-1.0353545375002104
115	594726-1394287	2	1	1	1.2018184141045958
116	1370535-1370555	2	-1	-1	-0.8356209086655685
117	279559-351084	2	-1	-1	-0.8753887755884233
118	372666-387162	2	-1	-1	-0.46433099876132616
119	374813-374947	2	-1	-1	-1.120759666872091
120	1137283-1709807	2	-1	-1	-0.8476638228843929
121	556962-557103	2	-1	-1	-0.9032745488147925
122	14321-450394	2	1	-1	-0.04157419821994479
123	416311-416391	2	-1	-1	-0.874327967029418
124	380389-380446	2	-1	-1	-1.0177808408830389
125	321883-321917	2	-1	-1	-1.0375956725397846
126	1370557-1370579	2	-1	-1	-1.107633250867047
127	557103-1163659	2	-1	-1	-0.8256676216474798
128	1170408-1170662	2	-1	-1	-1.0233428077987257
129	1333287-1333288	2	-1	-1	-1.1582700444842002
130	556962-1163664	2	-1	-1	-1.0476141521934288
131	495142-498597	2	-1	-1	-1.1595731610649667
132	416309-416321	2	-1	-1	-0.9771760491669352
133	416318-417110	2	-1	-1	-0.894410549463786
134	372657-372681	2	-1	-1	-0.9911407368738121
135	416382-416387	2	-1	-1	-1.4269451088563638
136	1243957-1333229	2	-1	-1	-0.9255388526777046
137	372657-387654	2	-1	-1	-1.251323396519156
138	522695-522739	2	-1	-1	-0.9582668262143748
139	522615-522776	2	-1	-1	-1.0542853644846693
140	1170407-1170650	2	-1	-1	-0.043460873158081226
141	387117-387159	2	-1	-1	-1.1678051977646278
142	1170409-1170419	2	-1	-1	-1.0200355769203422
143	595262-1394288	2	1	1	1.6325935869707098
144	417107-417181	2	-1	-1	-1.1381063093680468
145	1170406-1170422	2	-1	-1	-1.5798876674744098
146	299330-299331	2	1	1	0.28992058925005104
147	133674-380509	2	1	1	0.9446731620212846
148	594726-595170	2	-1	-1	-0.2765195221602509
149	387159-387555	2	-1	-1	-1.5325612279916596
150	372666-372676	2	-1	-1	-0.9139106677917609
151	1137262-1137283	2	-1	-1	-0.9176015519408482
152	299136-299143	2	1	1	0.21959203325054644
153	374860-374947	2	-1	-1	-1.6030848447645685
154	302643-302644	2	-1	-1	-1.0944889218487361
155	416316-416319	2	-1	-1	-1.1907174600026529
156	321883-321910	2	-1	-1	-1.06976863771223
157	324026-324384	2	-1	-1	-0.8520087237938261
158	416385-417108	2	-1	-1	-1.0669996038543852
159	417109-417182	2	-1	-1	-1.196232541826939
160	321878-321917	2	-1	-1	-1.1464349431941805
161	375042-375043	2	-1	-1	-0.7526809446790458
162	380446-380484	2	-1	-1	-1.1341401056221967
163	302610-303036	2	-1	-1	-1.1010213394370008
164	439427-457123	2	-1	-1	-0.8500358818084599
165	372658-372681	2	-1	-1	-1.0069117160070609
166	416311-417106	2	-1	-1	-0.827026624186631
167	374278-1137264	2	-1	-1	-1.0699779922384005
168	1669478-1713492	2	-1	-1	-0.5444068209075462
169	416390-417110	2	-1	-1	-1.0667690252763053
170	495159-496847	2	-1	-1	-1.2556711660815125
171	416382-417107	2	-1	-1	-1.0840077761483755
172	578786-1250280	2	-1	-1	-0.9418806640038304
173	299135-299328	2	-1	-1	-0.7310868636336122
174	1370558-1370563	2	1	1	0.792212163622864
175	416309-416317	2	-1	-1	-1.0797318030839338
176	416309-416385	2	-1	-1	-0.9419131024861771
177	324384-324392	2	-1	-1	-0.7753963946390631
178	416321-417109	2	-1	-1	-1.131559233847371
179	416378-416383	2	-1	-1	-1.2013354996323922
180	299325-299334	2	-1	-1	-1.1461593106859567
181	416316-416318	2	-1	-1	-1.0959805150348672
182	1370539-1370584	2	-1	1	0.5802208067368139
183	387549-387654	2	-1	-1	-0.8448861277092212
184	279688-279733	2	-1	-1	-1.1440543057774244
185	439272-457191	2	-1	-1	-1.341081222126776
186	374948-375043	2	-1	-1	-0.9302385870947353
187	416309-416382	2	-1	-1	-1.207485578468888
188	1170652-1170674	2	-1	-1	-1.1154460408090965
189	493531-496848	2	-1	-1	-1.1581357990213372
190	1329014-1329016	2	-1	-1	-1.5159798074657713
191	416319-417182	2	-1	-1	-1.2867071576558635
192	457123-457125	2	-1	-1	-0.7933935204633719
193	1170406-1170419	2	-1	-1	-1.8789134212961516
194	488484-496848	2	-1	-1	-1.0960804217982045
195	439272-439277	2	-1	-1	-1.3856733488477473
196	416310-416311	2	-1	-1	-1.0226229743230102
197	387160-387588	2	-1	-1	-1.0743348898103897
198	372685-387584	2	-1	-1	-1.4565758396055046
199	598463-598584	2	-1	-1	-0.37982853923201604
200	457123-457124	2	-1	-1	-1.1017923572457176
201	488479-498597	2	-1	-1	-1.048025976562844
202	416310-416316	2	-1	-1	-1.1138877667568665
203	372685-387160	2	-1	-1	-1.1561729209737175
204	1170426-1170649	2	-1	-1	-1.4039651085728055
205	387161-387525	2	-1	-1	-1.1185318439046048
206	380419-380447	2	-1	-1	-0.47822873623119094
207	324373-324383	2	-1	-1	-1.016646748915412
208	302643-302936	2	-1	-1	-1.3191383688414646
209	416315-417178	2	-1	-1	-1.2831954316889478
210	1170426-1170655	2	-1	-1	-1.6476348696178156
211	374813-374948	2	-1	-1	-1.062621983238174
212	1472577-1517435	2	-1	-1	-1.0321193596843536
213	1163664-1163667	2	-1	-1	-0.9180266978214993
214	1170406-1170413	2	-1	-1	-1.4536740496555538
215	374947-375044	2	-1	-1	-1.1803544139339648
216	416318-416385	2	-1	-1	-0.9998347187942871
217	33858-321838	2	1	-1	-0.8648249805571026
218	380484-380716	2	-1	-1	-1.133978693900973
219	1667306-1685759	2	-1	-1	-0.6856724878289275
220	299331-299332	2	1	1	0.13310763790539548
221	522758-522776	2	-1	-1	-1.0804187723437406
222	302885-303036	2	-1	-1	-1.2426770342118871
223	303241-303266	2	-1	-1	-1.168793049576303
224	551444-551448	2	1	-1	-0.2048568288379512
225	578657-1250277	2	-1	-1	-0.9306094277620305
226	1163659-1163661	2	-1	-1	-1.1577840363081628
227	1137262-1137267	2	-1	-1	-1.1690852992313583
228	578572-1250280	2	-1	-1	-0.9110735964846981
229	375037-375042	2	-1	-1	-0.9224877120942276
230	1170408-1170414	2	-1	-1	-1.3145396770007909
231	374856-374948	2	-1	-1	-1.2563160766419672
232	299129-299391	2	1	1	0.864685501553574
233	457126-457191	2	-1	-1	-0.5405233742750348
234	303212-303213	2	-1	-1	-1.2467932189482585
235	324349-324384	2	-1	-1	-0.987767530804148
236	495087-496848	2	-1	-1	-1.1440778971427208
237	457126-457337	2	-1	-1	-0.5737349570750859
238	324360-324366	2	-1	-1	-0.8736793523416715
239	597704-598467	2	1	1	0.6476593148912725
240	493531-495134	2	-1	-1	-0.9751496582171796
241	524547-524624	2	1	1	0.9024964503663405
242	439199-439201	2	-1	-1	-0.9810434464648297
243	322936-1138508	2	-1	-1	-0.9588028784181735
244	387191-387549	2	-1	-1	-0.8492607958900037
245	1370550-1370571	2	-1	-1	-0.9987377237891691
246	439318-457191	2	-1	-1	-1.1452331938820182
247	372679-387525	2	-1	-1	-1.199148011825166
248	1170416-1170650	2	-1	-1	-1.3401836885456313
249	387118-387549	2	-1	-1	-0.8914278602423582
250	387191-387584	2	-1	-1	-1.1839018429742658
251	302644-303212	2	-1	-1	-1.3244039424285572
252	495087-496849	2	-1	-1	-1.2922566318373705
253	375183-375289	2	-1	-1	-0.306743955474241
254	289390-303242	2	-1	-1	-1.087531826346697
255	299376-299553	2	-1	-1	-0.8582364842492887
256	374859-375041	2	-1	-1	-1.026609008714959
257	279688-286021	2	1	1	0.15702363909516004
258	416316-416378	2	-1	-1	-1.1771743454606254
259	33858-138925	2	1	-1	-0.7797245463037554
260	371970-441328	2	-1	-1	-0.770251225093918
261	416390-417114	2	-1	-1	-1.120969427413872
262	302610-302777	2	-1	-1	-1.1917176041443618
263	417108-417182	2	-1	-1	-1.196852982955066
264	482673-486853	2	-1	-1	-0.6227289954872877
265	279099-1516610	2	-1	-1	-0.7926350983617788
266	372647-372666	2	1	1	0.4731527643616448
267	324378-324384	2	-1	-1	-0.9564734332934346
268	522721-522831	2	-1	-1	-1.1511775512546458
269	302754-303242	2	-1	-1	-0.8912536710513397
270	375956-375993	2	-1	-1	-0.9027185023130511
271	578572-578657	2	-1	-1	-0.9045792999233442
272	289390-302746	2	-1	-1	-0.9845554475778318
273	1170407-1170669	2	1	-1	-0.2529456871652771
274	416321-417108	2	-1	-1	-1.1322322109162297
275	1370579-1370583	2	-1	-1	-1.087001531779649
276	372685-387118	2	-1	-1	-1.4981038418721802
277	441325-1516610	2	-1	-1	-0.8566379269670118
278	522615-522719	2	-1	-1	-0.9992473066664813
279	1370560-1370572	2	-1	-1	-0.8951570708890808
280	289390-303213	2	-1	-1	-1.0361648531959622
281	299132-299344	2	-1	-1	-1.77651325989167
282	372666-387553	2	-1	-1	-0.8458927305810147
283	375083-375123	2	-1	-1	-0.6488537896851497
284	321838-322926	2	-1	-1	-1.200053857908025
285	387525-387588	2	-1	-1	-1.1677280904877756
286	1370550-1370559	2	-1	-1	-0.9796551644999416
287	1596862-1596869	2	-1	-1	-0.5154562986077563
288	417108-417114	2	-1	-1	-1.0505418539531197
289	495655-496849	2	-1	-1	-1.3722364702967682
290	302754-303266	2	-1	-1	-0.8275109506632828
291	302746-302816	2	-1	-1	-1.0123518864127652
292	496847-496848	2	-1	-1	-1.1238135728547178
293	1170406-1170409	2	-1	-1	-1.0797463789656585
294	416310-417177	2	-1	-1	-1.3951059580402
295	1262624-1262635	2	1	-1	-0.06535602545214858
296	380318-380449	2	-1	-1	-1.1477812027028618
297	321878-321904	2	-1	-1	-1.2254345875019728
298	380485-380512	2	-1	-1	-1.4731210027818622
299	1596867-1596870	2	1	-1	-0.28551374519519906
300	482308-522615	2	-1	-1	-0.9449356453044488
301	488479-496848	2	-1	-1	-1.1509039764327207
302	416318-416383	2	-1	-1	-1.0139775744840291
303	416321-416390	2	-1	-1	-1.0652115443870012
304	551444-551515	2	-1	-1	-0.3874469472233161
305	387159-387553	2	-1	-1	-1.1371797685756986
306	299326-299332	2	-1	-1	-0.9132100971397534
307	321863-321909	2	-1	-1	-1.0996004627495708
308	254533-1044960	2	-1	-1	-0.8702200103768547
309	303036-303404	2	-1	-1	-0.9803341935631098
310	1596864-1596868	2	-1	-1	-0.07175361747184239
311	551444-551445	2	-1	-1	-0.07761534355598232
312	1170426-1170435	2	-1	-1	-1.471158320760404
313	324026-324378	2	-1	-1	-0.9511697097590546
314	324359-324383	2	-1	-1	-1.0149333561224267
315	1170408-1170664	2	-1	-1	-1.3669215842903117
316	1170419-1170667	2	-1	-1	-0.9682640716463501
317	551350-551447	2	-1	1	0.5822953562771688
318	133674-380351	2	-1	-1	-0.9383829473950107
319	321863-321910	2	-1	-1	-1.1109411559740296
320	321878-321910	2	-1	-1	-1.1778441422562982
321	1253822-1253824	2	-1	-1	-0.5905028821036524
322	1370559-1370571	2	-1	-1	-0.8743990201194154
323	380419-380716	2	1	-1	-0.5847654722613448
324	1329013-1329016	2	-1	-1	-1.4011889800634063
325	372647-387553	2	1	1	0.49143308389795226
326	1243934-1329017	2	-1	-1	-0.9414600930213085
327	1170406-1170408	2	-1	-1	-1.5409742577691246
328	1170423-1170669	2	-1	-1	-0.9284716624059174
329	522699-522747	2	-1	-1	-0.9538548058620244
330	441428-441562	2	-1	-1	-0.7789410123694888
331	15030-259958	2	-1	-1	-0.6808020802487698
332	279733-351085	2	-1	-1	-1.2573808307720444
333	1170408-1170650	2	-1	-1	-1.2915693478945867
334	374813-374998	2	-1	-1	-0.14414017664209716
335	1329011-1333288	2	-1	-1	-0.7599067349529247
336	284165-1253822	2	-1	-1	-0.7527187531463395
337	324365-324378	2	-1	-1	-0.9834004502941507
338	387119-387525	2	-1	-1	-1.1122408403842543
339	416388-417108	2	-1	-1	-1.1719867131207589
340	416383-417106	2	-1	-1	-0.9866852180231906
341	1170426-1170654	2	-1	-1	-2.0958772338528986
342	417106-417114	2	-1	-1	-0.9343002240441066
343	1370571-1370572	2	-1	-1	-1.0000768605132644
344	302643-303266	2	-1	-1	-1.1560466290260258
345	380449-380483	2	-1	-1	-1.297236622906856
346	302817-303241	2	-1	-1	-1.3448439893319595
347	1667306-1717421	2	-1	-1	-0.6776831632149504
348	133674-380447	2	-1	-1	-0.7081251424486262
349	1253822-1253828	2	-1	-1	-0.7221367121906341
350	556962-557748	2	-1	-1	-0.8682533508321872
351	387204-387525	2	-1	-1	-1.2399811743290867
352	457123-457191	2	-1	-1	-0.9338491385816863
353	387204-387654	2	-1	-1	-1.2048243435431978
354	372685-387653	2	-1	-1	-1.4465149213185087
355	380483-380716	2	-1	-1	-1.3086111812118062
356	15270-259912	2	-1	-1	-1.0669633185538496
357	1262630-1262634	2	-1	1	0.5825451241888348
358	1170422-1170650	2	-1	-1	-1.254994947216308
359	1666246-1667306	2	-1	1	0.07187182756666066
360	299143-299331	2	-1	-1	-0.9999376518752339
361	1170411-1170426	2	-1	-1	-1.2279226541114787
362	374946-375041	2	-1	-1	-1.0854433952863596
363	597704-597813	2	1	1	0.6213832865368875
364	1370557-1370584	2	-1	-1	-0.45930117365796347
365	1371157-1371162	2	1	-1	-0.05083624903899142
366	1170408-1170660	2	-1	-1	-1.5195180225280889
367	302675-302817	2	-1	-1	-1.1634809153256387
