	ids	cid	trueY	predY	prob
0	293746-1170654	2	-1	-1	-1.2917940383288498
1	1170408-1170674	2	-1	-1	-1.0722660029126263
2	416310-416387	2	-1	-1	-1.1666671063685388
3	1170439-1170650	2	1	1	1.0254338513187855
4	1170664-1170670	2	-1	-1	-1.354193324385402
5	374860-374944	2	-1	-1	-0.6664095455506862
6	372644-387654	2	-1	-1	-1.1175698551468114
7	387162-387585	2	-1	-1	-1.4051432023762502
8	1596861-1596868	2	-1	-1	-0.7776035078611128
9	1370571-1370578	2	1	1	1.0224246162853534
10	1170407-1170422	2	-1	-1	-0.8430391499362206
11	1596863-1596864	2	-1	-1	-1.0116724714929457
12	293746-1170661	2	-1	-1	-1.3354843813189827
13	23748-413031	2	-1	-1	-0.6926927871096933
14	522615-522738	2	-1	-1	-0.7677470493311215
15	321869-321870	2	-1	-1	-0.5913394457079373
16	1410331-1410344	2	-1	-1	-1.214587479168175
17	1243934-1243962	2	-1	-1	-1.735826170003124
18	375997-376078	2	-1	-1	-1.0804724656818168
19	1170419-1170655	2	-1	-1	-0.8750926309679072
20	291045-291046	2	-1	-1	-0.9487657124198907
21	395174-589137	2	-1	-1	-0.8495913380163167
22	1410337-1410349	2	-1	-1	-0.9307913696187213
23	23748-413030	2	-1	-1	-1.0112844426928298
24	322936-323065	2	-1	-1	-1.2410628626695197
25	417106-417177	2	-1	-1	-1.24735901522389
26	1370567-1370572	2	-1	-1	-1.017767464412771
27	1170423-1170425	2	-1	-1	-0.7039121636992849
28	522644-522655	2	-1	-1	-1.1058170769133986
29	169512-1170670	2	-1	-1	-1.333333733712808
30	1170413-1170426	2	-1	-1	-1.085984889440443
31	293935-1170649	2	-1	-1	-1.3608777841698656
32	375250-375458	2	-1	-1	-0.8117066117813073
33	14849-204567	2	1	1	0.13155908108278858
34	1170409-1170415	2	-1	-1	-1.2901863001383023
35	413031-1138005	2	-1	-1	-0.7177693120866081
36	293746-1170416	2	-1	-1	-1.3246174062805032
37	522739-522746	2	-1	-1	-1.2682587926478552
38	375386-375387	2	1	1	1.05529788766551
39	522643-522644	2	-1	-1	-0.844744369176571
40	235114-235115	2	-1	-1	-1.2140083813637994
41	293934-1170432	2	-1	-1	-1.2996400776254258
42	293762-1170655	2	-1	-1	-1.158578153136843
43	1243945-1243952	2	-1	-1	-1.5359942047958306
44	23692-1138005	2	1	-1	-1.5497411539246593
45	1170433-1170661	2	-1	-1	-1.283347828433718
46	375041-375042	2	-1	-1	-1.125692362500587
47	43944-1056047	2	-1	-1	-0.8430137025201465
48	439272-457191	2	-1	-1	-0.6510643011246141
49	1170412-1170418	2	-1	-1	-0.8726551392613577
50	1109618-1109620	2	-1	-1	-0.8425973831475372
51	1170406-1170431	2	-1	-1	-1.0612712010918666
52	387191-387654	2	-1	-1	-1.5292995197025518
53	1044952-1045153	2	-1	-1	-0.974091862453625
54	1370535-1370579	2	1	1	1.0277260123327676
55	416384-417109	2	-1	-1	-1.100505437935352
56	522675-522707	2	-1	-1	-1.4052366865746158
57	293762-1170433	2	-1	-1	-1.3133641299658358
58	1329017-1333288	2	-1	-1	-0.5822656415628533
59	591747-591941	2	1	-1	-0.40802454479214517
60	522643-522655	2	-1	-1	-0.7665115596919627
61	293736-1170660	2	-1	-1	-1.3031503257097006
62	417106-417182	2	-1	-1	-1.303128796696213
63	321862-321883	2	-1	-1	-1.1276495766994556
64	383900-387655	2	-1	-1	-1.0006655696945674
65	1329011-1333285	2	-1	-1	-1.3474865056437868
66	522747-522765	2	-1	-1	-0.9407615262113294
67	323014-1056046	2	-1	-1	-1.2307365028502124
68	293935-1170414	2	-1	-1	-1.3638966683223468
69	416312-417113	2	-1	-1	-0.9062786411885738
70	387240-387654	2	-1	-1	-1.4991044604188748
71	1370555-1370572	2	-1	-1	-0.9790652783389353
72	290868-290912	2	-1	-1	-1.0205350361158425
73	374861-374903	2	1	1	0.6077790647449
74	279733-351085	2	-1	-1	-0.9783571472973249
75	439318-457528	2	-1	-1	-1.1850213669153997
76	529733-529734	2	-1	-1	-1.375901439174243
77	1170661-1170672	2	-1	-1	-1.3428821394593708
78	293934-1170433	2	-1	-1	-1.451323813189167
79	457191-457337	2	-1	-1	-1.068100166411619
80	1410326-1410331	2	-1	-1	-0.7809180515148165
81	522610-522643	2	-1	-1	-1.2018696168112237
82	457373-457601	2	-1	-1	-0.992536927685
83	1170417-1170670	2	-1	-1	-1.2514142188972577
84	1410340-1410350	2	-1	-1	-1.0866894807665393
85	1170650-1170655	2	1	1	0.32716979814557556
86	578660-1250278	2	-1	-1	-0.9997996459346447
87	23263-23733	2	-1	-1	-0.7369338901068788
88	904934-904937	2	1	1	0.5710986087489212
89	169512-1170658	2	-1	-1	-1.2597454647373225
90	1243928-1243963	2	-1	-1	-1.182177298131759
91	322926-1138544	2	-1	-1	-0.8828952175310403
92	1243950-1244081	2	-1	-1	-0.11819732942509753
93	416384-416388	2	-1	-1	-0.987617873762892
94	236366-501100	2	1	-1	-0.32460034753345657
95	1596869-1596872	2	1	1	0.5614249954034574
96	235172-236493	2	-1	-1	-1.22696468072009
97	416310-416311	2	-1	-1	-1.1414023633692794
98	293762-1170409	2	-1	-1	-1.1848682754992352
99	1370572-1370584	2	-1	-1	-1.1273927869641902
100	1170649-1170650	2	1	1	0.7969492307573129
101	293736-1170434	2	-1	-1	-1.272760142990065
102	383900-387654	2	-1	-1	-1.098902536840837
103	1170425-1170662	2	-1	-1	-0.8985892853574187
104	416319-417181	2	-1	-1	-1.0835893693938545
105	454343-454412	2	-1	-1	-0.6199408544690671
106	522770-522847	2	1	1	0.8698771167809463
107	417109-417182	2	-1	-1	-1.183965461165363
108	1170414-1170658	2	-1	-1	-1.291576139253952
109	541830-541832	2	-1	-1	-0.7471670984439283
110	23217-394154	2	-1	-1	-1.3978635781074797
111	321846-321869	2	-1	-1	-0.8849693339216185
112	321862-321910	2	-1	-1	-1.1018372467326856
113	591940-592554	2	-1	-1	-0.872032027301239
114	1170414-1170423	2	-1	-1	-1.0003931084654276
115	457337-457365	2	-1	-1	-1.315091272893266
116	1243938-1329012	2	-1	-1	-0.9737369279275878
117	1410334-1410344	2	-1	-1	-1.27134816886669
118	356174-356175	2	-1	-1	-1.2678947271958623
119	375201-375251	2	-1	-1	-0.9352727999359118
120	416378-416383	2	-1	-1	-1.0969859939372835
121	383625-387191	2	-1	-1	-1.1304758817687681
122	383580-383990	2	-1	-1	-0.9834014387944271
123	500432-501102	2	-1	-1	-1.1963887041013266
124	1370571-1370583	2	-1	-1	-0.9981066099351033
125	1170410-1170420	2	-1	-1	-1.2887446662597055
126	1410337-1410350	2	-1	-1	-1.100694236862278
127	1170431-1170671	2	-1	-1	-1.2864164242899079
128	322953-323053	2	-1	-1	-0.9979290764706966
129	501598-1170409	2	-1	-1	-1.006330295779547
130	387162-387204	2	-1	-1	-1.4805669583358245
131	482308-495655	2	-1	-1	-1.0135301661459084
132	432192-432454	2	-1	-1	-1.2907414482349253
133	235489-501114	2	-1	-1	-1.6410867522954002
134	24081-956650	2	-1	-1	-1.2374044453880622
135	1370559-1370583	2	-1	-1	-1.0273870770668574
136	291174-423925	2	-1	-1	-0.2028127014590702
137	372666-387588	2	1	1	0.732683822631321
138	23692-589589	2	-1	-1	-0.9526926185623749
139	372685-387525	2	-1	-1	-1.0551141502759327
140	372658-387585	2	-1	-1	-0.6686904086465748
141	589253-956684	2	-1	-1	-0.9539407416815118
142	416387-416391	2	-1	-1	-1.0822597631890973
143	23763-589253	2	1	1	0.4624694280274426
144	592351-592453	2	-1	-1	-0.986134990392677
145	501598-1170435	2	-1	-1	-1.0309175481676525
146	522616-522707	2	-1	-1	-1.1758453062747403
147	23043-1138005	2	1	-1	-1.1513611438777065
148	1243934-1333287	2	-1	-1	-0.9906707102585199
149	235113-235490	2	-1	-1	-1.1903695768930578
150	293934-1170411	2	-1	-1	-1.3574168329337244
151	522626-522718	2	-1	-1	-0.9599033904159722
152	374947-375044	2	-1	-1	-1.0760225004635342
153	416311-417176	2	-1	-1	-1.011759288972038
154	299132-299325	2	-1	-1	-1.7140903103911989
155	356173-356178	2	-1	-1	-1.4920368807754163
156	1370565-1370579	2	-1	-1	-1.1236619842176767
157	522626-522634	2	-1	-1	-1.043338754310606
158	322928-323035	2	-1	-1	-1.2514156282852018
159	323023-323053	2	-1	-1	-0.8618412897409067
160	351084-441564	2	-1	-1	-1.1800762926421144
161	321869-321910	2	-1	-1	-0.9674512027700415
162	372683-387240	2	-1	-1	-0.999028492115233
163	1170415-1170429	2	-1	-1	-1.5189156355781397
164	383988-387555	2	-1	-1	-1.0241144601668297
165	322953-323052	2	-1	-1	-1.1837209437195304
166	291039-291046	2	-1	-1	-0.9446271120493817
167	1170412-1170426	2	-1	-1	-0.981903847695667
168	529936-529940	2	1	-1	-0.5674099465834278
169	416387-417106	2	-1	-1	-1.0093539068900812
170	1170417-1170669	2	-1	-1	-1.2464036758909294
171	293737-1170434	2	-1	-1	-1.2353589244151326
172	501598-1170417	2	-1	-1	-1.022163471215191
173	463557-464387	2	-1	-1	-1.0476804038738639
174	1370559-1370576	2	-1	-1	-1.0238328651687527
175	439204-439272	2	-1	-1	-1.4035874650110363
176	522765-522847	2	-1	-1	-1.1472073269729088
177	577904-1250277	2	-1	-1	-1.006790720019733
178	416384-417106	2	-1	-1	-1.1059938717470421
179	387191-387655	2	-1	-1	-1.6958012177585775
180	321878-321903	2	-1	-1	-1.2383088717762818
181	500422-1170432	2	-1	-1	-0.9994708529722196
182	1170654-1170672	2	-1	-1	-1.0918658048702474
183	23692-395174	2	-1	-1	-2.0472339883015254
184	1170648-1170656	2	-1	-1	-1.2318794169724079
185	1410347-1410349	2	-1	-1	-0.7692741773552262
186	522686-522688	2	1	1	1.0623123429791665
187	383801-387240	2	-1	-1	-0.993387151731659
188	293736-1170433	2	-1	-1	-1.4351180722092687
189	413030-413100	2	-1	-1	-1.2038651831606129
190	1044963-1044967	2	-1	-1	-1.0408456705038611
191	457125-457337	2	-1	-1	-1.3139570108551295
192	541753-541832	2	-1	-1	-0.8999696751069135
193	323022-1138508	2	-1	-1	-1.0958928893148836
194	1410337-1410339	2	-1	-1	-1.333070450219361
195	1410332-1410344	2	-1	-1	-1.3341279517842066
196	387118-387204	2	-1	-1	-1.1188565156356562
197	387118-387240	2	-1	-1	-1.025904557954834
198	23705-589137	2	-1	1	0.8252282618030033
199	1044962-1044975	2	-1	-1	-0.7183058581023009
200	1138496-1588626	2	-1	-1	-1.3399525628988433
201	387240-387549	2	-1	-1	-0.9920043520362196
202	375996-376081	2	-1	-1	-1.1689093965591817
203	1243947-1244079	2	-1	-1	-0.024697825535396234
204	293935-1170423	2	-1	-1	-1.220674094393179
205	1243934-1243940	2	-1	-1	-0.6796231429278577
206	169512-1170435	2	-1	-1	-1.274106245851665
207	416390-417109	2	-1	-1	-1.223093409976285
208	384092-387525	2	-1	-1	-1.133765215041536
209	15164-30219	2	1	-1	-1.410557842966079
210	1243949-1243962	2	-1	-1	-0.9934707133833083
211	416317-416321	2	-1	-1	-0.8509865516733841
212	439200-439202	2	1	-1	-0.635643198040753
213	1170655-1170671	2	-1	-1	-1.2318763142626195
214	279733-351083	2	-1	-1	-1.023817154236735
215	1170415-1170433	2	-1	-1	-1.1826256322584052
216	498581-498597	2	-1	-1	-1.0746774420212477
217	500422-1170670	2	-1	-1	-1.000002535197045
218	372685-383988	2	-1	-1	-1.0154373830974257
219	1370564-1370584	2	-1	-1	-0.8979812278599419
220	501622-589137	2	1	1	0.5114840584101266
221	1170649-1170666	2	-1	-1	-1.1710834260103504
222	322951-322991	2	-1	-1	-0.3123712303090364
223	293736-1170411	2	-1	-1	-1.3075704737760856
224	322948-322965	2	-1	-1	-1.0624075516657667
225	1170411-1170672	2	-1	-1	-1.2822865373935985
226	541829-541896	2	-1	-1	-1.076297308409401
227	323038-1056046	2	-1	-1	-1.4231305513229588
228	589590-956645	2	-1	-1	-1.1109641102035006
229	416309-416317	2	-1	-1	-0.9666914775991099
230	1138496-1138508	2	-1	-1	-1.491246125019456
231	14921-23250	2	-1	-1	-0.9934818229144746
232	541829-541890	2	-1	-1	-0.9069327351869585
233	1138496-1216634	2	-1	-1	-0.9788353631126638
234	374856-374948	2	-1	-1	-1.0987057184902493
235	1170429-1170670	2	-1	-1	-1.5788042787538439
236	1170433-1170666	2	-1	-1	-1.3181461304179665
237	501598-1170654	2	-1	-1	-0.8658262455070596
238	493531-496847	2	-1	-1	-1.067602721786793
239	322994-323035	2	-1	-1	-1.1197380623273994
240	293935-1170648	2	-1	-1	-1.357623830631824
241	416317-416383	2	-1	-1	-0.8807478414016032
242	416317-416390	2	-1	-1	-0.9656069271014931
243	1170648-1170662	2	-1	-1	-1.2915263327696436
244	904937-904939	2	-1	-1	-1.0870300839625444
245	577954-1250278	2	-1	-1	-0.9923509682471554
246	299131-299344	2	-1	-1	-1.5784074827554049
247	416317-417114	2	-1	-1	-1.0204418750044457
248	375386-375389	2	-1	-1	-0.9662603853886261
249	904255-1401849	2	-1	-1	-1.4208511961307062
250	495087-495134	2	-1	-1	-1.058964655913995
251	1170408-1170656	2	-1	-1	-0.73823535112352
252	416309-417113	2	-1	-1	-1.0080679801556198
253	23250-23717	2	-1	-1	-1.1600447128572005
254	439201-457452	2	1	1	0.2693668814390353
255	541829-541894	2	-1	-1	-1.0295860319365058
256	1170412-1170423	2	-1	-1	-0.9428178732524652
257	567596-567599	2	-1	-1	-0.9424042024517495
258	374859-374998	2	-1	-1	-0.8535264536569694
259	403742-403802	2	1	1	0.7667897332986033
260	299131-299376	2	-1	-1	-1.5557337786179195
261	383627-387240	2	-1	-1	-0.9772965466289625
262	197701-501121	2	1	-1	-0.7907876297962427
