	ids	cid	trueY	predY	prob
0	500566-1255156	2	-1	-1	-0.7531409879978772
1	927191-1502588	2	-1	-1	-0.7263892369377677
2	1502589-1502813	2	1	-1	-0.3454857516445214
3	948386-1502807	2	-1	-1	-1.547791829767027
4	1383256-1383283	2	-1	-1	-0.9421227279410715
5	500536-1135878	2	-1	-1	-0.9243860933750849
6	309867-500602	2	-1	-1	-0.8944531541583127
7	897275-897278	2	1	-1	-0.9553710333251519
8	24799-1255148	2	1	1	0.1029830803524539
9	1285966-1286172	2	1	1	0.6641614473572282
10	261721-558319	2	-1	-1	-0.9511074755029469
11	1162610-1394040	2	-1	-1	-0.952753939794893
12	948386-1502587	2	-1	-1	-0.593866917337526
13	1499302-1499365	2	-1	-1	-0.903068918779824
14	24892-322557	2	-1	-1	-1.2367591920309473
15	282260-633009	2	-1	-1	-0.699192242738615
16	1623968-1624098	2	-1	-1	-0.01015183567307032
17	298408-1255150	2	1	1	0.8912282406758689
18	1653354-1671459	2	-1	-1	-0.6739668058535655
19	267680-1406128	2	-1	-1	-0.01518744133511113
20	1383251-1383280	2	-1	-1	-0.8852385932393376
21	1594533-1594534	2	-1	-1	-1.041262412319339
22	24931-887499	2	-1	-1	-1.0063198386543937
23	1369858-1395451	2	1	-1	-0.5430627442587854
24	24799-254801	2	-1	-1	-0.928592334089491
25	110960-1295697	2	-1	-1	-0.6354565605342539
26	1391177-1391184	2	1	1	0.8065841424715725
27	1340999-1341003	2	1	-1	-0.5032544563397072
28	891366-897276	2	-1	-1	-0.9789226502988067
29	891366-897267	2	-1	-1	-0.7597150182501078
30	282260-1403497	2	-1	-1	-1.004331529648466
31	267565-299406	2	-1	1	0.2506098509473695
32	1512165-1598585	2	-1	-1	-1.1873226913137984
33	147126-1162610	2	-1	-1	-0.8352375200383053
34	1391180-1391183	2	-1	1	0.29769754003639065
35	258241-262536	2	-1	-1	-1.4002550089496555
36	1512171-1598584	2	-1	-1	-0.04147338401748163
37	1383033-1383283	2	-1	-1	-1.0021225189178031
38	298408-500565	2	1	1	1.053605779308694
39	1255150-1255153	2	-1	-1	-0.9935997348714045
40	207200-254801	2	-1	-1	-1.1907961278868417
41	558319-1255146	2	-1	-1	-0.759847820177038
42	500536-559205	2	-1	-1	-1.0561527253721137
43	500518-500590	2	-1	-1	-0.8885952633137135
44	1502324-1502329	2	1	1	0.9822155509782742
45	1512174-1598587	2	1	1	0.28612157077965744
46	1499367-1499372	2	1	1	0.6216395548647704
47	561001-1395451	2	-1	-1	-0.7978496287823278
48	897265-1243095	2	-1	1	0.2881174428201118
49	298864-500519	2	1	1	0.5274697923971834
50	1219161-1222736	2	-1	1	0.07240632011233494
51	948386-1502588	2	-1	-1	-1.162785191465591
52	1502591-1502807	2	-1	-1	-1.009147139917309
53	207200-1403497	2	-1	-1	-1.0488829618937718
54	24957-887499	2	-1	-1	-0.9496789254070508
55	1214676-1403507	2	1	1	0.5549265140818984
56	1643884-1671459	2	-1	-1	-0.5531461271804838
57	1222736-1255146	2	-1	-1	-0.9811550671622584
58	897267-897271	2	-1	-1	-1.1194456541354743
59	262536-1394040	2	-1	-1	-1.197308280318128
60	1376016-1643884	2	1	1	0.5520702102273487
61	1512168-1598585	2	-1	-1	-1.183139573265276
62	110960-827541	2	-1	1	0.5058565216489292
63	1376007-1707370	2	1	1	0.12260304234451502
64	310116-500536	2	-1	-1	-1.0536735429008386
65	897270-897277	2	1	1	0.006802075618694503
66	735529-897273	2	-1	-1	-0.6940403615851534
67	1354270-1594533	2	1	-1	-0.47162090904597986
68	298381-1255158	2	1	1	0.9624490463608535
69	1512171-1512174	2	-1	-1	-0.5217723694248666
70	352288-352408	2	-1	-1	-0.5296933964542596
71	322681-1376011	2	-1	-1	-0.7058814880946236
72	1255140-1278691	2	-1	-1	-0.5544858993705718
73	25602-25916	2	1	-1	-0.949748979873595
74	891366-897265	2	-1	1	0.02048322392764257
75	558320-559201	2	-1	1	0.1926915622014837
76	1135878-1255147	2	-1	-1	-0.9643563411177642
77	891366-897274	2	1	1	0.9871002949714285
78	735529-897267	2	-1	-1	-1.1896144156685027
79	24900-897265	2	-1	-1	-0.31296039983151114
80	1296977-1614209	2	1	1	0.5214303882828033
81	1255136-1369857	2	1	1	0.45797421344413597
82	1512164-1598585	2	-1	-1	-1.1576381423777384
83	254801-419431	2	-1	-1	-1.1460590865293168
84	1623467-1623787	2	-1	1	0.6544772592774917
85	1502583-1502586	2	-1	-1	-0.586348989231098
86	25003-261737	2	-1	-1	-0.08999451194297667
87	1502324-1502328	2	1	1	1.1408980682576728
88	207200-282260	2	-1	-1	-1.0493439641054692
89	891365-897279	2	-1	-1	-0.21394514583918645
90	254801-262536	2	-1	-1	-1.5380454488963036
91	310116-1222736	2	-1	-1	-1.0353138239179673
92	279916-280144	2	-1	1	0.017569574796416687
93	24903-500536	2	-1	-1	-1.1481612541685182
94	261680-261721	2	-1	-1	-0.9300512511849088
95	24903-1135878	2	-1	-1	-0.8671423029578964
96	897272-897275	2	-1	-1	-0.7983067141494894
97	298864-558319	2	1	1	0.9658797821744625
98	735529-897278	2	-1	-1	-1.5266356008056514
99	897265-897267	2	-1	1	0.3786198761736312
