	ids	cid	trueY	predY	prob
0	24799-558319	1	1	1	0.044172132074786485
1	1502583-1502587	1	-1	-1	-0.7485470460882817
2	500619-1278691	1	-1	-1	-1.0510573141779198
3	1499367-1499370	1	-1	-1	-0.8644799107357268
4	1214676-1403508	1	-1	-1	-0.6902021697466448
5	13448-1219161	1	1	1	0.020199002539852906
6	310186-1255158	1	-1	-1	-0.8226995501179606
7	559145-887499	1	-1	-1	-1.798995816283198
8	1512170-1512188	1	-1	-1	-0.8076541441526277
9	275884-330741	1	1	-1	-0.3482685107781246
10	322681-1376017	1	-1	-1	-0.738615180626127
11	559201-559206	1	-1	-1	-0.5940541153599523
12	500536-1222736	1	-1	-1	-0.28088376606436016
13	261721-500519	1	-1	-1	-0.6479177976381147
14	267880-267921	1	-1	-1	-0.5787206689409921
15	500566-1255155	1	-1	-1	-0.9525977163321
16	207200-1403507	1	-1	-1	-0.9096944808356402
17	275776-294317	1	1	1	0.4311718590058263
18	1502332-1502335	1	1	-1	-0.8663944971215609
19	1499302-1499362	1	-1	-1	-1.0626627389367245
20	1512164-1512188	1	-1	-1	-1.0884471716984736
21	1653354-1671459	1	-1	-1	-1.057344069240221
22	1502588-1502806	1	-1	-1	-0.8351299089433355
23	1255134-1369857	1	-1	-1	-0.2554457508760903
24	1512170-1512174	1	-1	-1	-0.8801770726876441
25	261642-261736	1	1	-1	-0.6636613357185714
26	309730-529097	1	-1	-1	-1.0491959449950239
27	1375994-1671459	1	-1	-1	-0.9510521965158425
28	261706-309867	1	-1	-1	-0.057981228513649896
29	1671459-1713031	1	-1	-1	-1.0979415447804757
30	1221827-1221830	1	-1	-1	-0.8879983919537515
31	897275-897278	1	-1	-1	-1.0871054406443872
32	280034-1162612	1	-1	-1	-0.8991531494619658
33	558319-559145	1	1	1	0.9202294624564169
34	1376016-1643884	1	1	1	0.755252925475417
35	1394043-1394044	1	-1	-1	-0.3126431737927576
36	1263469-1263471	1	-1	-1	-1.3285372690633488
37	25002-559205	1	-1	-1	-0.5002684309214122
38	1502314-1502317	1	1	1	0.6652613675582992
39	24799-1219161	1	1	-1	-0.3493611034690558
40	24903-298864	1	1	1	0.3286811988303941
41	500599-1255135	1	-1	-1	-1.1452152084891851
42	1375994-1707370	1	-1	-1	-0.9337774457918806
43	24958-1255148	1	1	1	0.7617473574797542
44	13448-1403506	1	1	1	1.158731605120089
45	261680-559204	1	1	-1	-0.45636078762517135
46	529097-1255138	1	-1	-1	-0.19305788173432215
47	310116-887499	1	-1	-1	-0.952880913999457
48	125678-298781	1	1	1	0.6251605183640501
49	1376007-1671459	1	-1	-1	-0.9100570064622451
50	322681-1376007	1	-1	-1	-0.6021907370041473
51	280034-298769	1	1	1	0.2846442318062808
52	64968-294319	1	1	-1	-0.3261400367908661
53	1512167-1512175	1	-1	-1	-1.1997651702789847
54	1255140-1369858	1	1	1	0.28368828488672965
55	558318-559201	1	-1	-1	-0.32580678340420777
56	1502591-1502807	1	1	-1	-0.35085365276036967
57	1633863-1660532	1	-1	-1	-1.0695135801412363
58	267889-1620859	1	-1	-1	-0.0746129190811759
59	24958-1219161	1	1	-1	-1.0277496815549714
60	298864-887499	1	1	-1	-0.2716728274775772
61	309730-500619	1	-1	-1	-1.15414949276352
62	280144-280719	1	1	-1	-1.1669754565677688
63	1027898-1369858	1	1	-1	-0.600335684302661
64	1263463-1263470	1	-1	-1	-0.944523143051746
65	634713-897272	1	1	1	0.0013100604543315186
66	298781-500584	1	1	1	0.6901664404273136
67	261680-298864	1	1	1	0.6867934722178597
68	298864-310116	1	1	1	1.1115977889475745
69	559204-887499	1	-1	-1	-1.5338668126007566
70	267839-1162615	1	1	1	0.14171088255529168
71	261704-261737	1	-1	-1	-1.1514449932274207
72	634713-1596454	1	-1	1	0.22297168074402346
73	1502806-1502807	1	-1	-1	-1.0422039193308297
74	261737-1135878	1	-1	-1	-0.876641393887793
75	24799-207200	1	-1	-1	-1.6344445217836834
76	500567-529097	1	-1	-1	-0.4487192422448101
77	1263468-1263479	1	-1	-1	-0.9983813687085397
78	559206-887499	1	-1	-1	-1.463306193619653
79	25003-1255148	1	1	1	0.746359377833087
80	267659-267804	1	-1	-1	-0.5346972881700924
81	310186-500650	1	-1	-1	-1.0140900107457202
82	1219161-1403508	1	-1	-1	-0.7404230832476036
83	1391165-1391178	1	-1	-1	-0.8841843369488276
84	310116-500536	1	-1	-1	-0.5823093287971634
85	1512164-1512175	1	-1	-1	-1.150753496839159
86	24957-298864	1	1	1	1.1221985160269905
87	24903-559205	1	-1	-1	-1.0648656386665516
88	125678-500584	1	-1	-1	-1.0093046478552923
89	24799-254801	1	-1	-1	-1.2695190954507358
90	500519-1222736	1	-1	-1	-0.3543317226313239
91	1502584-1502591	1	1	1	0.20524412339271064
92	1499370-1499372	1	1	1	1.052925714329922
93	322557-1214676	1	-1	-1	-1.4804107303040577
94	267804-267839	1	-1	1	0.4295408013485113
95	1214676-1403497	1	-1	-1	-1.125532470641388
96	310116-1135878	1	-1	-1	-0.5138865114284236
97	24958-261680	1	1	1	0.3955821276698945
98	1499365-1499370	1	-1	-1	-0.878434183711071
99	559147-559205	1	-1	-1	-0.6371259516208623
100	1512169-1512175	1	-1	-1	-0.885820351526557
101	1625010-1719309	1	-1	-1	-1.1621110233619971
102	1499367-1499372	1	1	1	0.5174002752123654
103	298382-1255132	1	1	1	0.9045924678291637
104	310116-1222736	1	-1	-1	-0.9423421015297404
105	1214676-1394041	1	-1	-1	-0.9375525586263247
106	25002-559204	1	-1	-1	-0.4367609363859596
107	24931-559204	1	-1	-1	-0.7100921384057659
108	298864-500519	1	1	1	1.1344019561372944
109	261721-500556	1	-1	-1	-0.6361127331389784
110	1512174-1598585	1	1	-1	-0.5093016770254277
111	1376016-1376017	1	-1	-1	-0.899139918336125
112	558313-559201	1	-1	-1	-0.22947015881777455
113	735529-897275	1	-1	-1	-0.9466936834041659
114	94023-240988	1	-1	-1	-0.004379329039207791
115	1502314-1502316	1	-1	1	0.976636123454675
116	254801-1394040	1	-1	-1	-0.9356188056611741
117	558319-559206	1	1	1	0.8064192264969254
118	298864-559145	1	1	1	0.5963879626834476
119	1221824-1221827	1	-1	1	0.10995901625673377
120	891366-897274	1	1	1	0.2913286722601364
121	298408-500641	1	1	1	0.9797744530567167
122	207200-262536	1	-1	-1	-0.8742609322074752
123	388207-1214676	1	-1	-1	-1.6841908611747212
124	294317-1596453	1	1	-1	-0.4523486069869962
125	309730-1255138	1	-1	-1	-0.8940535404141441
126	735529-897267	1	-1	-1	-0.4064476391633721
127	309867-500602	1	-1	-1	-0.6881477457121761
128	24931-298864	1	1	1	0.9584910814057648
129	927191-1502588	1	-1	-1	-0.8324765586659697
130	1027898-1278691	1	-1	-1	-1.1459717523989237
131	1502583-1502806	1	-1	-1	-1.13966601776913
132	1512170-1512175	1	-1	-1	-0.840855407007703
133	25002-559206	1	-1	-1	-0.7239769561396336
134	322557-419431	1	-1	-1	-1.5366615070207534
135	261663-309867	1	-1	-1	-0.6066901227663619
136	1587354-1587491	1	1	-1	-0.42368349767800845
137	261642-298864	1	1	-1	-0.333757867858071
138	1135878-1222736	1	-1	-1	-1.145041542638418
139	1162610-1394041	1	-1	-1	-1.0083634137586002
140	388207-1219161	1	-1	-1	-1.067493551223746
141	1263464-1263479	1	-1	-1	-1.0388157283128343
142	24931-559147	1	-1	-1	-1.3052563844110368
143	634713-891366	1	1	1	0.3272259576638045
144	261721-500536	1	-1	-1	-0.6337981187254125
145	897268-897273	1	-1	-1	-0.595819428682933
146	1263460-1263463	1	-1	-1	-0.796887408766634
147	500556-558319	1	-1	-1	-0.6306407858002039
148	282180-1406128	1	-1	1	0.1102591717204971
149	24892-251666	1	-1	1	0.5040658684467256
150	500567-500600	1	-1	-1	-0.9226300456765497
151	633009-1162610	1	-1	-1	-1.1299186755276396
152	254801-1403508	1	-1	-1	-0.8569607149774685
153	207200-388207	1	-1	-1	-1.9013705897700186
154	948386-1502809	1	-1	-1	-1.119769378751128
155	500600-1255140	1	-1	-1	-0.9449880728924627
156	1499367-1499371	1	-1	-1	-0.9219815966048623
157	1221829-1221830	1	-1	-1	-1.0560530828831465
158	24892-262536	1	-1	-1	-0.5153149368201237
159	1512165-1512170	1	-1	-1	-0.6522332441793615
160	282260-1219161	1	-1	-1	-0.01148819568917303
161	500599-1255134	1	-1	-1	-0.9009740410005622
162	1499366-1499367	1	-1	-1	-0.9062247754933472
163	25002-559145	1	-1	-1	-0.2509489693427776
164	267880-267889	1	-1	-1	-0.31847441933202036
165	1263464-1263470	1	-1	-1	-0.9722214555771467
166	1632788-1633863	1	-1	-1	-1.0716764542619825
167	1263468-1263470	1	-1	-1	-0.9339267678541723
168	1623551-1624098	1	-1	1	0.8871912946772536
