	ids	cid	trueY	predY	prob
0	1657879-1670516	0	-1	-1	-1.1900854150732008
1	177483-318422	0	-1	-1	-1.2119067957753684
2	264176-1374388	0	-1	-1	-1.4451895986634002
3	1494157-1595933	0	1	-1	-0.6360292957522283
4	345312-345324	0	-1	-1	-1.2283597263095138
5	1406391-1406397	0	-1	-1	-0.8321107359551445
6	1567670-1567676	0	-1	-1	-1.0102647607714743
7	1216289-1216300	0	1	1	0.486667001395674
8	27999-177483	0	-1	-1	-1.3749755764946303
9	310311-310507	0	-1	-1	-1.1950493695857223
10	1633091-1702484	0	-1	-1	-1.1807478901316548
11	345298-345324	0	-1	-1	-1.3696732883940554
12	201254-589557	0	-1	-1	-1.1337653170868367
13	310310-310507	0	-1	-1	-1.4652118726420562
14	27999-30372	0	-1	-1	-1.500136675603486
15	1697754-1699082	0	-1	-1	-0.7116257416123541
16	1108826-1108830	0	-1	-1	-1.527821561683107
17	8408-133804	0	1	-1	-0.4720298597261624
18	1108817-1108824	0	1	-1	-0.5677409995190379
19	310087-310218	0	-1	-1	-1.2789548362883374
20	310270-310537	0	-1	-1	-1.8283273513564757
21	310181-310680	0	-1	-1	-1.0169790948922217
22	1567663-1567670	0	-1	-1	-1.0135151332897616
23	221364-964245	0	1	-1	-0.7582837897387302
24	339637-339668	0	-1	-1	-1.1560034953889455
25	345294-385188	0	-1	-1	-0.7879441481977436
26	290008-353973	0	-1	-1	-1.3721001695719193
27	1567649-1567664	0	-1	-1	-1.2252810055367043
28	310152-310257	0	-1	-1	-1.270700633132078
29	1567645-1567646	0	-1	-1	-1.089079161368855
30	282117-290016	0	-1	-1	-1.3132669215452533
31	1697071-1702017	0	-1	-1	-1.046770223752344
32	1670516-1702484	0	-1	-1	-1.215638849276313
33	310680-310689	0	-1	-1	-1.417937560614969
34	324627-337301	0	-1	-1	-1.285510004081778
35	264134-318430	0	-1	1	0.5883686742136811
36	1601114-1601126	0	-1	-1	-1.098033893332493
37	345302-345317	0	-1	-1	-1.2964354746537357
38	1567634-1567669	0	-1	-1	-1.1253357618941786
39	1634438-1672915	0	-1	-1	-1.2276080113668457
40	177842-200891	0	-1	-1	-1.2116296933929374
41	1670516-1698945	0	-1	-1	-1.0698919976644823
42	1709993-1718507	0	-1	-1	-1.0690827013455915
43	201254-318527	0	-1	-1	-0.8957285962926842
44	1567618-1567622	0	-1	-1	-1.0257027868685025
45	310209-310246	0	-1	-1	-1.5137573434297975
46	345377-345382	0	-1	-1	-1.122728342262274
47	76324-356348	0	1	1	0.19576495217292433
48	909881-1367178	0	-1	-1	-1.2385957800904344
49	68684-953255	0	-1	-1	-0.5067697623259914
50	310231-310476	0	-1	-1	-1.1813386641570665
51	1567636-1567667	0	-1	-1	-1.0176263010919855
52	1494157-1595932	0	-1	-1	-0.891685166464193
53	310247-310419	0	-1	-1	-1.1113283968863716
54	1108828-1108830	0	-1	-1	-1.7156519022754972
55	1567634-1567668	0	-1	-1	-1.0627305466271963
56	310151-310208	0	-1	-1	-1.414916307289149
57	339634-339637	0	-1	-1	-1.1002939799351485
58	309817-310220	0	-1	-1	-1.2312858445858488
59	310113-310252	0	-1	-1	-1.1258899726146
60	1640466-1688404	0	-1	-1	-1.0243218230318278
61	1565837-1567643	0	-1	-1	-1.1403058953575755
62	310218-310311	0	-1	-1	-1.073993474873457
63	310310-310477	0	-1	-1	-0.9165874054694098
64	1567610-1567638	0	-1	-1	-1.0512188374907625
65	309816-310209	0	-1	-1	-1.3180289834552135
66	1567658-1567660	0	-1	-1	-1.4281517115773172
67	1567617-1567638	0	-1	-1	-1.1289103688281543
68	201254-318422	0	-1	-1	-0.936924794505452
69	1567647-1567652	0	-1	-1	-1.0831234307677886
70	1567618-1567639	0	-1	-1	-1.051232691226746
71	1567537-1567659	0	-1	-1	-1.2178719076567757
72	1567637-1567648	0	-1	-1	-1.108319342428156
73	339627-339670	0	1	1	0.5733478256799096
74	310345-310616	0	-1	-1	-0.018544180334526983
75	264176-589557	0	-1	-1	-1.2958367436556113
76	909883-1595932	0	-1	-1	-0.9985414291718072
77	1681039-1692773	0	-1	-1	-1.371061058453624
78	1567632-1567656	0	-1	-1	-1.0696475144689004
79	1567630-1567636	0	-1	-1	-1.0765383167493012
80	588679-588804	0	-1	-1	-1.0471975595117835
81	1567613-1567622	0	-1	-1	-1.2971107239392188
82	282111-353973	0	-1	-1	-1.6542062146454652
83	345324-345366	0	-1	-1	-0.9970087299727541
84	1567652-1567664	0	-1	-1	-1.082624872956559
85	310248-310680	0	-1	-1	-1.8288394786453008
86	318422-1494156	0	-1	-1	-1.068286703198318
87	1567624-1567669	0	-1	-1	-1.1040846956117132
88	318430-353980	0	1	1	0.6439435460837177
89	1567640-1567671	0	-1	-1	-1.1700020816743817
90	1567502-1567617	0	-1	-1	-1.022548011777395
91	219789-1595927	0	-1	-1	-1.0756718194763109
92	227113-227519	0	-1	-1	-0.9808857757091998
93	1664013-1691342	0	-1	-1	-1.086696686846638
94	310476-310680	0	-1	-1	-1.1646774314313837
95	1567622-1567660	0	-1	-1	-1.0999111159691444
96	1648934-1702042	0	-1	-1	-1.0598177515081735
97	339641-339643	0	-1	-1	-0.9841705978509027
98	282116-1163534	0	-1	-1	-1.09099704040512
99	1633091-1681580	0	-1	-1	-1.0920708683103597
100	1567637-1567652	0	-1	-1	-0.9920907862450302
101	1567667-1567677	0	-1	-1	-1.0092001914882187
102	282111-290016	0	-1	-1	-1.3700996900748996
103	310151-310256	0	-1	-1	-1.5244488366286228
104	345302-345324	0	-1	-1	-1.3963449374225787
105	494050-495702	0	1	-1	-0.8343661038959989
106	310256-310291	0	-1	-1	-1.298926365050948
107	309842-310444	0	-1	-1	-1.16279814713947
108	282132-1163534	0	-1	-1	-1.1079899905588784
109	345355-384965	0	-1	-1	-1.1358446268987477
110	227519-975925	0	-1	-1	-0.8150966394117086
111	310114-310232	0	-1	-1	-1.4405125897356115
112	1632258-1709955	0	-1	-1	-0.9247140555581913
113	589557-909883	0	-1	-1	-1.1651153781075019
114	339631-339655	0	-1	-1	-1.2024626471507893
115	1567613-1567672	0	-1	-1	-1.2715880093713927
116	310181-310218	0	-1	-1	-1.1133596261528018
117	1567611-1567652	0	-1	-1	-1.0806050035230024
118	1647906-1702042	0	-1	-1	-1.1664822432848614
119	309817-310020	0	-1	-1	-1.3069928019029253
120	1703528-1709993	0	-1	-1	-1.1751291433181263
121	1567617-1567621	0	-1	-1	-1.095875352059902
122	310270-310420	0	-1	-1	-1.1565142997369435
123	1567644-1567646	0	-1	-1	-1.1325839000115718
124	310444-310523	0	-1	-1	-1.7224082811308774
125	1713010-1717538	0	-1	-1	-1.299006050377555
126	309790-310270	0	-1	-1	-1.3962868841930476
127	1630181-1675668	0	-1	-1	-1.0758641272935958
128	310231-310444	0	-1	-1	-1.1431141431290672
129	1567636-1567638	0	-1	-1	-1.1142002553185777
130	227560-1162994	0	-1	-1	-0.16351464354352518
131	1567626-1567628	0	-1	-1	-1.1256883308751284
132	1567624-1567644	0	-1	-1	-1.0892539397271026
133	1638794-1688404	0	-1	-1	-1.089028956683134
134	1567675-1567678	0	-1	-1	-1.1260335908207835
135	1676584-1716862	0	-1	-1	-1.1760098986253218
136	1567631-1567639	0	-1	-1	-0.9912759206794728
137	1601118-1601132	0	-1	-1	-1.1625543712608208
138	310319-310507	0	-1	-1	-1.5157741275036027
139	1567650-1567660	0	-1	-1	-1.1428928944796288
140	1595934-1595936	0	-1	-1	-1.3343798041877117
141	180648-289991	0	-1	-1	-1.139922940519605
142	309724-310346	0	-1	-1	-2.0931715791606837
143	345281-345382	0	-1	-1	-1.251294528230418
144	345294-345329	0	-1	-1	-1.261463505426946
145	1567623-1567679	0	-1	-1	-1.0234167206958353
146	313684-313712	0	-1	-1	-0.7676762125353214
147	1595927-1595928	0	-1	-1	-1.2228416796505122
148	1567609-1567664	0	-1	-1	-1.0137948086057895
149	309816-310689	0	-1	-1	-1.5325891470442667
150	1567608-1567668	0	-1	-1	-1.0199672428379951
151	356354-356360	0	-1	-1	-0.9831487951815485
152	1631956-1672915	0	-1	-1	-1.144983430863118
153	310208-310689	0	-1	-1	-1.512928362966067
154	1633091-1692773	0	-1	-1	-1.047342356302306
155	588556-588680	0	-1	-1	-0.42240792509328623
156	1567631-1567656	0	-1	-1	-1.2390888875324322
157	310181-310388	0	-1	-1	-0.6461965596042964
158	339629-339635	0	-1	-1	-1.1585116238731268
159	1567482-1567676	0	-1	-1	-1.0683583051272842
160	1567659-1567663	0	-1	-1	-1.183507056712671
161	1567643-1567645	0	-1	-1	-1.2063383544067534
162	309817-310681	0	-1	-1	-1.1297581985914849
163	201673-1163535	0	-1	-1	-1.314921254522217
164	1567628-1567639	0	-1	-1	-1.122288067709428
165	1517200-1648777	0	1	1	0.6808566955506872
166	1567621-1567671	0	-1	-1	-1.052495999173417
167	1567482-1567659	0	-1	-1	-1.0910328988879414
168	310247-310346	0	-1	-1	-1.2279050305728128
169	177483-201300	0	-1	-1	-1.4895217380845978
170	1567649-1567657	0	-1	-1	-1.174992180659286
171	909882-1374388	0	-1	-1	-1.3301160026496548
172	310218-310689	0	-1	-1	-1.4859224383709952
173	1630181-1631956	0	-1	-1	-1.1203069891715463
174	1567613-1567671	0	-1	-1	-1.359468778935241
175	201673-318527	0	-1	-1	-1.0511065392060308
