	ids	cid	trueY	predY	prob
0	56228-57037	0	-1	-1	-1.2797500380842233
1	1330235-1330238	0	-1	-1	-0.9972514150061571
2	319791-319926	0	-1	-1	-0.959552825838265
3	332401-332412	0	-1	-1	-0.6888659307536263
4	346765-1370108	0	-1	-1	-0.9302469376888193
5	1249487-1249649	0	1	-1	-0.40566296207009556
6	352520-438313	0	1	1	1.0290303715807714
7	131997-132095	0	-1	-1	-0.7192734820508115
8	1370108-1370115	0	-1	-1	-0.3493789687073017
9	394887-395127	0	1	1	1.6031567216233493
10	352325-1370107	0	-1	-1	-1.0417862433790381
11	394022-438546	0	-1	-1	-0.22933085354137916
12	394742-394743	0	-1	-1	-1.4540715514500386
13	352518-394984	0	1	1	1.809696678806119
14	332389-332403	0	-1	-1	-1.2045068505294867
15	332381-332410	0	1	1	0.053254536504516226
16	352519-394742	0	1	1	0.9337157499140991
17	131671-276910	0	-1	-1	-0.9952370335211979
18	395060-438618	0	-1	-1	-0.03549946433324058
19	332398-332403	0	-1	-1	-1.3543893584081614
20	375004-375005	0	-1	-1	-0.7696367969755001
21	346700-346712	0	-1	-1	-1.0779635775587422
22	346765-438417	0	-1	-1	-1.0591192881851987
23	394888-438824	0	1	1	1.8870510295225151
24	254778-297316	0	-1	-1	-0.9579106900131107
25	352522-394981	0	-1	-1	-0.8141354197821323
26	381774-381967	0	-1	-1	-0.9011257105601693
27	131316-277037	0	1	1	0.6549574123993738
28	1532672-1532673	0	-1	-1	-1.0727034087314906
29	352518-438546	0	1	1	0.6866014876443978
30	263623-263665	0	-1	-1	-0.9723638116221067
31	132094-132095	0	-1	-1	-1.0609541800723392
32	273947-273973	0	-1	-1	-0.8115866343717102
33	319489-352526	0	-1	-1	-0.7305843519126349
34	1272119-1272127	0	-1	-1	-0.8816522410535388
35	395063-395198	0	-1	-1	-0.9074335506544675
36	438757-438889	0	1	1	1.5163464772777933
37	352532-438063	0	-1	-1	-1.207891449791959
38	394820-438755	0	-1	-1	-1.2023296572371291
39	438619-438889	0	-1	1	0.17240967612133223
40	346697-346700	0	1	1	0.6803106849568952
41	276617-276990	0	-1	-1	-0.9927251424408778
42	394743-438690	0	-1	-1	-0.9438103739682324
43	332378-332394	0	-1	-1	-1.414303055207528
44	438689-438949	0	-1	-1	-0.8996126949802372
45	352520-438950	0	1	1	0.5410514468593672
46	263627-263698	0	-1	-1	-0.9572251698688103
47	381825-381868	0	-1	-1	-1.2458793170736855
48	394821-438757	0	-1	1	0.10785719686555933
49	306342-319774	0	-1	1	1.6983669086150441
50	453143-453215	0	1	-1	-0.480513555210129
51	352400-438417	0	-1	-1	-1.2806506599224146
52	254769-254796	0	-1	-1	-1.0326684257459837
53	131972-132443	0	1	1	0.6315113532256595
54	319428-394888	0	1	1	0.7287556516551905
55	366554-366564	0	-1	-1	-0.7188033050060489
56	306376-319894	0	1	1	0.7619064231501291
57	332368-332401	0	-1	-1	-1.1609304151616011
58	352349-352363	0	-1	-1	-1.1589677803731342
59	332385-332421	0	-1	-1	-0.8997295348396437
60	370111-370119	0	-1	-1	-1.073891604642129
61	319756-319765	0	-1	-1	-0.6004279054506116
62	346718-346720	0	-1	-1	-1.1455100912880434
63	381771-381871	0	-1	-1	-1.0081774037613689
64	319783-319816	0	-1	-1	-1.2813973153264067
65	381720-381824	0	-1	-1	-0.18111562593471764
66	332401-332421	0	-1	-1	-0.9886374535529088
67	1272113-1272114	0	-1	-1	-1.3459143537072928
68	395128-439020	0	1	-1	-0.128454816965484
69	319487-533214	0	-1	-1	-1.114043786074306
70	332382-332398	0	-1	-1	-1.7021887450075628
71	381720-381774	0	-1	-1	-0.3257622757318033
72	346700-346711	0	-1	-1	-1.008360207894889
73	332394-332397	0	-1	-1	-1.1796604338199144
74	352524-438758	0	-1	-1	-0.4088829841727726
75	332379-332386	0	-1	-1	-1.102595825593054
76	438690-438950	0	-1	-1	-1.1159972883807128
77	352519-394022	0	1	1	0.5427602749304212
78	438822-438949	0	1	1	0.21447259276603808
79	319774-319792	0	-1	-1	-0.0035119028529532748
80	332377-332396	0	-1	1	0.09661953016885644
81	352519-438618	0	1	1	1.1293066711015183
82	319377-352285	0	-1	-1	-1.3226262509560809
83	131972-132506	0	-1	-1	-0.8999952675111492
84	438690-439020	0	-1	-1	-0.6405916435407844
85	1604358-1604359	0	-1	-1	-0.0723718127659349
86	332403-332421	0	-1	-1	-0.902845438825195
87	352354-352363	0	-1	-1	-1.2362595707915387
88	438689-438758	0	-1	-1	-0.7859599330047111
89	132064-277071	0	-1	-1	-1.0609966319095756
90	332381-332396	0	-1	-1	-0.5902038316064689
91	346765-352399	0	-1	-1	-1.0049089446175792
92	394023-438758	0	-1	-1	-0.9559713227406874
93	332385-332402	0	-1	-1	-0.9543676208591114
94	395063-395200	0	-1	-1	-0.8668501630305944
95	254764-533150	0	-1	1	0.28020858385783537
96	394820-394983	0	-1	-1	-0.9265907967481688
97	332379-332425	0	-1	-1	-0.9952389324867167
98	352290-352343	0	-1	-1	-0.6767454803032994
99	352333-352377	0	-1	-1	-1.2421112200705295
100	438315-1370112	0	1	1	0.3364554982756471
101	346765-438358	0	-1	-1	-1.1561703799103307
102	394820-438253	0	-1	-1	-1.114034073610701
103	332389-332412	0	-1	-1	-1.0256935993075775
104	319428-352526	0	-1	-1	-0.9356960363648427
105	132475-132478	0	-1	1	0.15934619962510782
106	332376-332397	0	-1	-1	-0.9676888307338398
107	319774-319895	0	1	1	0.6829084461866
108	319377-352357	0	-1	-1	-1.0918499452968846
109	254791-297419	0	-1	-1	-1.3647160720273646
110	297419-297801	0	-1	-1	-1.4012232713875348
111	332379-332396	0	-1	-1	-1.1134057545259557
112	438420-1370115	0	-1	-1	-0.8350053641998991
113	319766-319800	0	1	1	0.9109607460488047
114	438691-438822	0	1	1	1.0332367231117323
115	352325-438315	0	-1	-1	-1.0963006477912602
116	1532673-1532677	0	-1	-1	-0.9491916669234388
117	131355-277141	0	1	1	0.9198210586114866
118	381769-381906	0	1	1	0.06387225078748221
119	346702-346718	0	-1	-1	-1.0380753876031177
120	306376-319800	0	1	1	0.20828763161732505
121	394743-438950	0	-1	-1	-1.4205779288474678
122	254796-297419	0	-1	-1	-1.0927747342920164
123	394675-395061	0	-1	-1	-1.189927224755269
124	332375-332396	0	-1	-1	-0.317275933533373
125	332387-332402	0	-1	-1	-1.0911884131605922
126	131878-276946	0	-1	-1	-0.9961572563174408
127	116424-954464	0	-1	-1	-0.19350022293949437
128	1272098-1272124	0	-1	-1	-1.2438012574140416
129	381665-381961	0	1	1	0.40166795714532927
130	352401-438252	0	-1	-1	-1.1630512318843595
131	381917-381965	0	-1	-1	-0.7161095760873921
132	394024-438755	0	-1	-1	-1.0422647797763926
133	370132-370136	0	-1	-1	-0.13525146539652438
134	438315-1370107	0	-1	-1	-1.102556185584074
135	306376-319816	0	-1	-1	-1.0126364900442881
136	352520-394982	0	1	1	1.23548233512224
137	1532672-1532684	0	-1	-1	-1.053738608688561
138	352402-438483	0	-1	-1	-1.1626874233552877
139	319808-319977	0	-1	-1	-1.0525631948850667
140	131878-276943	0	-1	-1	-0.6756800681860812
141	319724-319737	0	-1	-1	-1.179327498228827
142	394024-438948	0	-1	-1	-1.0035440525035593
143	131878-277141	0	-1	-1	-1.0002932288072537
144	394821-395198	0	1	1	0.642667504623869
145	346703-346721	0	1	-1	-0.009606319889045145
146	346707-346715	0	-1	-1	-0.9177977535263093
147	346702-346709	0	-1	-1	-1.0467622472710718
148	1272117-1272130	0	-1	-1	-0.8501537512447522
149	319889-319909	0	-1	-1	-1.0023289894255185
150	56187-57036	0	-1	-1	-1.0224744447187597
151	319377-352526	0	-1	-1	-0.9739924683264478
152	394982-438690	0	-1	-1	-0.7628015641780429
153	352526-394983	0	-1	-1	-1.0474417135697738
154	438358-1370106	0	-1	-1	-0.9150869144083909
155	352521-438619	0	-1	-1	-1.0985972165969657
156	438690-438757	0	-1	1	0.2081895805054525
157	263698-263740	0	-1	-1	-0.13712148553713233
158	346800-346801	0	1	-1	-0.5286411747928791
159	346711-346716	0	-1	-1	-0.9430819972820331
160	352518-352522	0	1	-1	-0.6551858525704669
161	352521-394024	0	-1	-1	-1.258873626663119
162	273358-273675	0	-1	-1	-0.9392055813979445
163	395198-438621	0	-1	-1	-0.16424347906806314
164	352399-1370106	0	-1	-1	-1.09238685036324
165	352325-438063	0	-1	-1	-1.0806817192569778
166	332402-332409	0	-1	-1	-1.4605857015973234
167	306305-306341	0	-1	-1	-0.6480636887216944
168	319708-321841	0	-1	-1	-0.7493404792020198
169	438619-438825	0	-1	-1	-1.3478975288693307
170	394982-438692	0	-1	-1	-1.708692570690471
171	319708-319723	0	-1	-1	-1.368061040001289
172	394822-394981	0	-1	-1	-1.1601012399262427
173	438546-438619	0	-1	-1	-1.4256722815167713
174	332384-332412	0	-1	-1	-0.8629740454741097
175	381824-381825	0	-1	-1	-1.1732562457928848
176	346715-346722	0	-1	-1	-0.19530261033667606
177	332390-332400	0	-1	-1	-1.1243975853370425
178	319489-394887	0	1	1	0.8445849581682454
179	374953-375048	0	1	-1	-0.019353626698874415
180	306375-306376	0	1	1	0.43290824267834843
181	1272115-1272131	0	-1	-1	-1.4393846983217868
182	394742-438758	0	-1	-1	-1.4157176477955205
183	346709-346716	0	-1	-1	-0.92185030406655
184	352398-352532	0	-1	-1	-1.3497979985574589
185	319765-319880	0	-1	-1	-1.0776438639196098
186	263627-263776	0	-1	-1	-0.8203248455332186
187	1272110-1272122	0	-1	-1	-1.153349246384498
188	306306-319816	0	-1	-1	-0.7550341991579601
189	319799-319918	0	-1	-1	-0.82738750429699
190	57043-57062	0	-1	-1	-1.0088283748286344
191	319765-319875	0	-1	-1	-1.0219308724911793
192	352400-438315	0	-1	-1	-1.1382225982805874
193	319406-319408	0	-1	-1	-1.241118682214643
194	394822-395198	0	1	1	0.9648481937894577
195	394982-438948	0	-1	-1	-0.6009196697197842
196	352532-438255	0	-1	-1	-1.3015516427528473
197	254747-254769	0	-1	-1	-1.4121290214835223
198	332373-332409	0	-1	-1	-1.9473497922706438
199	332370-332398	0	-1	-1	-1.3419178349234113
200	277072-277093	0	-1	-1	-1.0356407152087312
201	394675-438756	0	1	1	0.3414866343753758
202	252516-332375	0	1	1	0.8159337095424404
