	ids	cid	trueY	predY	prob
0	335900-335903	2	-1	-1	-0.9791269035834467
1	1105304-1105590	2	-1	-1	-1.1118395478806136
2	1105304-1105583	2	-1	-1	-1.4071317521275857
3	333152-1331119	2	-1	-1	-1.0864398953842036
4	1703313-1720021	2	-1	-1	-1.1478457234911355
5	377177-1245949	2	1	1	0.15674473079809648
6	335908-335911	2	-1	-1	-1.0192948113810205
7	386097-588676	2	-1	-1	-1.3560137182559142
8	386186-439044	2	-1	-1	-1.4176155510255901
9	1223880-1223910	2	-1	-1	-1.0185074672405499
10	386716-387429	2	-1	-1	-1.016435698907192
11	953659-953666	2	-1	-1	-1.0265110963400506
12	977764-977766	2	-1	-1	-1.073418328763135
13	386760-387228	2	-1	-1	-0.9889773595793492
14	272435-1378414	2	-1	-1	-1.1082833546765958
15	377256-588434	2	-1	-1	-0.9043359227095135
16	377340-386184	2	1	1	0.7360020154178528
17	1245951-1378416	2	-1	-1	-1.1580461640702246
18	342682-342925	2	-1	-1	-1.0781910720899566
19	272710-311028	2	-1	-1	-0.9934512981592872
20	386236-1245955	2	1	1	0.14180514272299238
21	310799-377256	2	-1	-1	-0.758819637308624
22	385824-1331114	2	1	1	0.9347307547389947
23	387143-404439	2	-1	-1	-1.0231972804533496
24	386762-404438	2	-1	-1	-0.9879029951822902
25	1331116-1378411	2	-1	-1	-1.3058297077443821
26	1223883-1636644	2	-1	-1	-1.0033141197736617
27	386235-1378420	2	1	1	0.3084015574931397
28	1105591-1105596	2	-1	-1	-1.0086762224266863
29	511057-1118956	2	-1	-1	-1.3172488105690188
30	333157-439321	2	-1	-1	-1.0786793091714166
31	310995-1386895	2	-1	1	0.6806379393765283
32	1223899-1629487	2	-1	-1	-1.1170552603755637
33	377337-1378422	2	-1	-1	-1.4646351745400148
34	386235-1245953	2	1	1	0.8946403221052293
35	311192-1331117	2	-1	-1	-1.293849889917126
36	377454-1386896	2	-1	-1	-0.9359291275972822
37	335908-335917	2	-1	-1	-1.0312749433373933
38	1223894-1684037	2	-1	-1	-1.0215822881013685
39	342915-342918	2	-1	-1	-1.140763771687387
40	335903-335909	2	-1	-1	-1.0105694338741167
41	377261-386147	2	-1	-1	-1.3238263095733678
42	335907-335908	2	-1	-1	-1.0127474347016336
43	1248426-1248581	2	-1	-1	-0.5426297145978447
44	387185-387574	2	-1	-1	-0.9705164491671512
45	1223884-1672073	2	-1	-1	-1.0294655153946604
46	310995-1378426	2	1	1	0.13838063452430005
47	335905-335918	2	-1	-1	-1.045796674778471
48	386147-1245953	2	-1	-1	-0.7544915775195166
49	1223884-1561994	2	-1	-1	-0.9557022999431173
50	1331116-1378414	2	-1	-1	-1.1862714878745368
51	1223900-1351334	2	-1	-1	-1.253940270699261
52	377259-1386896	2	1	-1	-0.11663406736613968
53	1223878-1720021	2	-1	-1	-0.7498581413941415
54	1351636-1666704	2	-1	-1	-1.4622112713646058
55	439321-1105597	2	-1	-1	-1.1422168399650037
56	272551-1378413	2	-1	-1	-1.213971149095638
57	272710-386140	2	-1	-1	-1.6682310771073585
58	1223909-1687725	2	-1	-1	-1.0782578084225949
59	272392-377180	2	-1	1	0.4509022548069641
60	316175-316193	2	-1	-1	-0.8095315075725038
61	272442-1378410	2	-1	-1	-1.580085036745058
62	1561993-1640432	2	-1	-1	-1.0322892596824236
63	335903-335904	2	-1	-1	-1.0115335906022038
64	311028-377259	2	1	1	0.36550635293388534
65	985377-1351631	2	-1	-1	-1.82147340465223
66	376886-377259	2	-1	-1	-0.9890683110271741
67	272320-377261	2	-1	-1	-1.3778123527338706
68	377256-1245957	2	-1	-1	-1.4619941700814842
69	311192-386097	2	-1	-1	-1.279858740279672
70	1245952-1378414	2	-1	-1	-0.8521367994628737
71	386147-587989	2	-1	-1	-1.2172289281219686
72	511041-541771	2	-1	-1	-1.803872638417093
73	1223907-1709705	2	-1	-1	-0.9946734143429613
74	451512-451569	2	1	1	0.967808279930473
75	1245948-1331109	2	1	1	0.3066424870982287
76	386140-1331116	2	-1	-1	-0.9380924718185278
77	346850-346853	2	-1	-1	-0.9433595598789434
78	1351334-1709705	2	-1	-1	-1.7936275633530054
79	386817-404439	2	-1	-1	-1.0359328685861469
80	1648872-1693689	2	-1	-1	-1.824971288621271
81	386185-588800	2	1	1	0.9528624526475977
82	1638339-1703313	2	-1	-1	-1.0348767841068203
83	1223906-1629487	2	-1	-1	-1.2996395882805039
84	272588-386100	2	-1	-1	-0.5347829561388604
85	336612-1118954	2	-1	-1	-1.0797367222764376
86	1660093-1660664	2	-1	-1	-0.5792195778564531
87	336613-511041	2	1	-1	-0.8512587887718495
88	342915-342924	2	-1	-1	-1.2835863159244054
89	1223894-1687725	2	-1	-1	-1.051927416263435
90	333147-439208	2	1	1	0.932637423756937
91	335883-335900	2	1	-1	-0.8505998938733372
92	335883-335908	2	1	-1	-0.8261917617875814
93	377337-1245960	2	-1	-1	-1.0315891462547662
94	1640432-1693843	2	-1	-1	-0.9005909577340815
95	1634626-1665979	2	-1	-1	-1.719248966583705
96	1223906-1634626	2	-1	-1	-1.0961086107474896
97	311192-1245957	2	-1	-1	-0.8747499637233074
98	342869-342915	2	-1	-1	-1.169974933743235
99	316152-316184	2	-1	-1	-1.1296710281431646
100	377261-1245951	2	-1	-1	-1.216678153138913
101	342921-342935	2	-1	-1	-1.2217679583960828
102	985379-1223907	2	1	1	0.9458257856537573
103	1105597-1331119	2	-1	-1	-1.2078357587628183
104	376886-1245953	2	-1	-1	-0.7011716895996152
105	1561994-1660664	2	-1	-1	-1.1559407891407352
106	386186-1245957	2	-1	1	0.01913727828295475
107	377457-1245952	2	-1	-1	-1.1656997431082887
108	310968-377418	2	-1	-1	-0.7666242487530271
109	311027-1052474	2	-1	-1	-1.3329899927802706
110	386714-387185	2	-1	-1	-1.0112117733628314
111	459637-460213	2	1	1	0.15899485365906274
112	1223878-1223906	2	-1	-1	-0.9983222500199136
113	386716-386868	2	-1	-1	-1.0765119482058234
114	342927-342964	2	-1	-1	-1.1289049100930812
115	310732-1386901	2	-1	-1	-0.8716957987612888
116	377177-385824	2	-1	-1	-0.59126862348759
117	377180-1386896	2	1	1	0.7839374643925512
118	1223894-1690930	2	-1	-1	-1.0283121678138567
119	1223900-1223913	2	-1	-1	-0.9910356846121711
120	386140-1331114	2	1	1	0.11732462216325235
121	953647-953659	2	-1	-1	-0.7096840520940009
