	ids	cid	trueY	predY	prob
0	310833-311371	0	-1	-1	-0.9973133459456245
1	347228-347271	0	-1	-1	-1.611331119656389
2	311224-347824	0	-1	-1	-1.1768508797112935
3	363526-363629	0	-1	-1	-1.1089517087916303
4	363475-363569	0	-1	-1	-0.9943179884051845
5	303921-304434	0	-1	-1	-0.8586764115105047
6	176573-1138197	0	-1	-1	-1.01299124184564
7	298434-298598	0	1	1	0.6296880470663421
8	363524-363624	0	-1	-1	-1.3259551050636276
9	347244-347265	0	-1	-1	-1.1159027640275307
10	304328-304507	0	-1	-1	-2.0135116249238663
11	271091-1138088	0	-1	-1	-1.9951045958264033
12	347266-347268	0	-1	-1	-1.1655019505384616
13	363635-363640	0	1	1	1.5656871036719613
14	310422-310478	0	-1	-1	-1.2602464868088243
15	309718-310481	0	1	1	0.6127911982782605
16	264977-303694	0	-1	1	0.8809796744192492
17	270969-1138088	0	-1	-1	-1.4576410843811995
18	304433-304507	0	-1	-1	-1.0164082847115752
19	363524-363636	0	-1	-1	-0.9307006838276268
20	385695-386276	0	-1	-1	-1.1709501079805553
21	311688-347824	0	-1	-1	-0.9148955362622896
22	363632-363643	0	1	-1	-0.02606272612446814
23	304390-304649	0	-1	-1	-1.1994496638728358
24	363476-363516	0	-1	-1	-1.004493760383069
25	310864-311300	0	1	1	1.4295092059865362
26	270735-271059	0	-1	-1	-1.3115580584112116
27	303965-304357	0	1	1	0.5819071017485548
28	363513-363634	0	-1	-1	-1.1973076326729621
29	385640-386275	0	1	1	0.36157208701606136
30	304331-398320	0	-1	-1	-1.0211291980491901
31	310347-310422	0	-1	-1	-0.6216141806145552
32	176573-1138199	0	-1	-1	-1.1405447165444809
33	279716-279786	0	-1	-1	-1.0933304018645473
34	363569-363619	0	-1	-1	-0.5598218147008143
35	363589-363601	0	-1	-1	-1.3374100481619347
36	363635-363643	0	1	1	1.2794752256105189
37	278715-278873	0	-1	-1	-1.1415233231498183
38	347266-347272	0	-1	-1	-1.4638111409141463
39	309793-311300	0	1	1	0.9831222201994038
40	347255-347267	0	-1	-1	-1.226463110546448
41	347236-347245	0	-1	-1	-1.055278820800415
42	303915-304389	0	-1	-1	-1.084764325279262
43	347263-347272	0	-1	-1	-1.3899241149307588
44	363513-363638	0	-1	-1	-0.9429010284556103
45	363523-363634	0	-1	-1	-0.8498288342953426
46	310863-311688	0	1	1	0.9854712867547054
47	311129-311688	0	1	1	0.8410933256705065
48	397515-397885	0	1	1	0.586786593899118
49	363564-363625	0	-1	-1	-0.15654784181080472
50	310600-371364	0	-1	-1	-1.3019067458035147
51	363637-363647	0	1	1	1.739027526334969
52	270736-270865	0	-1	-1	-1.220452121142835
53	363475-363637	0	1	1	0.951631925040079
54	310038-348061	0	-1	-1	-0.83155395432885
55	385601-386276	0	-1	-1	-1.3032497378141026
56	397885-398376	0	-1	-1	-1.0316723148659237
57	385735-386232	0	-1	-1	-0.7344524112864822
58	310447-348061	0	-1	-1	-2.3219312258865226
59	270828-270966	0	-1	-1	-0.7256081840572697
60	397515-397939	0	1	-1	-0.16854017417104405
61	285487-1138194	0	-1	-1	-1.0434884848129626
62	309865-310481	0	-1	-1	-0.23300275856983366
63	311018-371366	0	-1	-1	-1.0849464419695034
