	ids	cid	trueY	predY	prob
0	527299-527457	1	1	1	2.0107953567853487
1	289081-289117	1	1	1	0.7061878669494919
2	144096-255010	1	1	1	0.7743259982274786
3	289081-289090	1	-1	-1	-0.2747213686650416
4	527455-1412713	1	1	1	0.6424197362803519
5	527454-1412709	1	1	1	1.1398163770078678
6	254980-255106	1	1	1	0.131634876979833
7	527115-527237	1	1	1	0.9333437279818535
8	527307-1412502	1	-1	-1	-0.9556891982109608
9	581349-1412701	1	-1	-1	-0.945797819064863
10	289125-289197	1	-1	-1	-0.8362868776382515
11	144197-255097	1	-1	-1	-0.6512307629466271
12	254796-254931	1	-1	-1	-0.8274219984917075
13	527348-581408	1	1	1	0.3210352850672609
14	527456-1412917	1	1	1	1.2034519772595411
15	254747-254769	1	-1	-1	-0.9291468536738687
16	144340-255124	1	-1	-1	-0.9233677171330141
17	352349-352377	1	-1	-1	-1.610044010244832
18	113253-114456	1	-1	-1	-0.9325714779171885
19	527132-1412701	1	-1	-1	-0.4834524835837031
20	527307-527454	1	1	-1	-0.21203348610041617
21	527228-1412698	1	1	1	1.0753480723955404
22	527056-527240	1	1	1	1.541681454171821
23	113014-113254	1	-1	-1	-0.9514764098785695
24	527115-1412699	1	-1	-1	-0.944238988290999
25	527116-1412697	1	-1	-1	-1.0373466706724046
26	352325-352363	1	-1	-1	-1.1454442511550165
27	144197-254947	1	1	1	0.5367254900802567
28	23193-23255	1	1	1	0.454966148102436
29	352337-352378	1	-1	-1	-1.0296334584012143
30	527057-527306	1	1	1	0.87697348106375
31	382062-382193	1	1	1	1.544105881273287
32	527307-527458	1	1	1	0.7541937560649112
33	254791-254802	1	-1	-1	-1.0958014975491628
34	254952-254978	1	-1	-1	-0.08106207922091052
35	527345-527457	1	1	1	1.29235223748853
36	527115-1412706	1	-1	-1	-0.924692742068405
37	142887-527240	1	-1	-1	-0.7299724539373242
38	527457-1412710	1	1	1	1.211065235756427
39	527112-527167	1	-1	-1	-0.5878831195047081
40	54008-289279	1	-1	-1	-0.7332360910871578
41	581374-1412704	1	1	1	0.8988366542167436
42	527386-581408	1	1	1	0.17060438336402645
43	352344-352376	1	-1	-1	-1.2044568745369342
44	254962-254979	1	1	-1	-0.11598396087037621
45	527328-1412921	1	-1	-1	-0.8056024018393747
46	527348-527395	1	-1	-1	-1.2517977204198603
47	527299-1412712	1	-1	-1	-0.9714621331637388
48	527132-527171	1	-1	-1	-1.1125881581974222
49	527299-1412922	1	-1	-1	-0.9778536501702071
50	305629-305724	1	-1	-1	-0.6674957139725309
51	305305-305499	1	-1	-1	-0.8252290805379732
52	254802-254824	1	-1	-1	-1.0953446067762997
53	527117-1412706	1	-1	-1	-0.9051211238252053
54	255010-255124	1	1	1	1.0060425455724449
55	305189-305499	1	-1	-1	-0.9292143429004014
56	254952-255027	1	1	-1	-0.676738207419645
57	289117-289273	1	1	1	0.7702446673633248
58	527258-1412917	1	-1	-1	-1.0505971285347477
59	527116-527239	1	1	1	1.2690893101876648
60	527056-527174	1	1	1	0.6697370971441947
61	144302-255010	1	1	1	0.664244722297852
62	23193-23601	1	-1	-1	-0.15823169243270588
63	305358-305499	1	-1	-1	-0.6378730181660294
64	254769-254800	1	-1	-1	-0.9101877285374547
65	352267-352363	1	-1	-1	-0.9929103656741718
66	527349-1412712	1	-1	-1	-0.9168502908729317
67	113018-113253	1	-1	-1	-0.785598950261625
68	254979-255085	1	1	1	0.3567051732288898
69	1249487-1300222	1	-1	-1	-0.5443453383826748
70	527173-1412698	1	1	-1	-0.8584684786719721
71	254947-254993	1	1	1	0.9104700499336458
72	527116-1412698	1	-1	-1	-0.9747549305276177
73	352332-352363	1	-1	-1	-1.007741808946917
74	289144-289279	1	1	-1	-0.2170198212053173
75	319377-352344	1	-1	-1	-1.4207317248408684
76	527394-527396	1	-1	-1	-0.9756726581737698
77	527395-581382	1	-1	-1	-1.0102924749407538
78	352285-352378	1	-1	-1	-1.1353870930699403
79	527117-527167	1	-1	-1	-0.615028651842183
80	106879-527348	1	1	1	0.8608556573303254
81	112782-113253	1	-1	-1	-0.6028559165148738
82	527237-527306	1	-1	-1	-0.9038769996600418
83	254764-254778	1	1	-1	-0.38599639029780103
84	527396-1412713	1	1	1	0.7772177584561366
85	254800-254812	1	-1	-1	-0.466211583652793
86	144096-255124	1	-1	-1	-0.957996770781538
87	527258-527454	1	1	1	0.5118662452316243
88	131007-289197	1	-1	-1	-0.9112060301155076
89	106879-581382	1	1	1	0.6444628492069879
90	352337-352363	1	-1	-1	-1.0289673727500799
91	254952-1276653	1	-1	-1	-0.7839469323899629
92	254943-255021	1	-1	-1	-0.46516272079574383
93	527258-1412711	1	-1	-1	-1.0939046568991262
94	289197-289272	1	-1	1	0.2885095362463627
95	144302-254939	1	-1	-1	-1.2476300410738992
96	254988-255027	1	1	-1	-0.8616112767932964
97	527238-581349	1	1	1	1.213787512843154
98	527386-1412921	1	-1	-1	-0.8747506699650893
99	254993-255096	1	-1	-1	-0.9947065120709924
100	255004-255106	1	-1	1	1.0485395741868546
101	527120-527238	1	1	1	1.1172276355371809
102	254796-254802	1	-1	-1	-0.9463401168079892
103	297676-297801	1	-1	-1	-1.1223800215239412
104	527299-527454	1	1	1	0.4233749095152904
105	527237-527239	1	-1	-1	-0.6772453089962229
106	382064-382193	1	1	1	1.566601208917213
107	527055-1412697	1	-1	-1	-1.0407038030794218
108	305187-305530	1	-1	-1	-1.008999490411048
109	144197-254993	1	-1	-1	-0.8806628327291066
110	352343-352357	1	-1	-1	-1.044030814459873
111	352337-352376	1	-1	-1	-1.0347932454902171
112	254778-297627	1	-1	-1	-0.38453171100124084
