	ids	cid	trueY	predY
0	321883-321897	0	-1	-1
1	299332-299335	0	-1	-1
2	380388-380485	0	-1	-1
3	577904-1250280	0	-1	-1
4	1370550-1370583	0	-1	-1
5	416318-417109	0	-1	-1
6	351085-351089	0	-1	1
7	439200-457191	0	-1	-1
8	299131-299328	0	-1	-1
9	375951-375954	0	-1	-1
10	302643-303036	0	-1	-1
11	374860-374947	0	-1	-1
12	416321-417105	0	-1	-1
13	302746-303213	0	-1	-1
14	1370579-1370583	0	-1	-1
15	597704-597813	0	1	1
16	418657-439199	0	-1	-1
17	416382-417107	0	-1	-1
18	1170422-1170648	0	-1	-1
19	15022-259958	0	-1	-1
20	417106-417114	0	-1	-1
21	418657-439200	0	-1	-1
22	496847-496848	0	-1	-1
23	321838-323017	0	-1	-1
24	417110-417114	0	-1	-1
25	416391-417108	0	-1	-1
26	1170416-1170423	0	-1	-1
27	578657-1250280	0	-1	-1
28	556823-1163667	0	-1	-1
29	284164-1253822	0	-1	-1
30	1170419-1170435	0	-1	-1
31	372685-387117	0	-1	-1
32	1170406-1170661	0	-1	-1
33	1666246-1697789	0	-1	-1
34	416387-416391	0	-1	-1
35	416310-417182	0	-1	-1
36	493531-498568	0	-1	-1
37	33858-138925	0	1	1
38	372673-387161	0	-1	-1
39	1170423-1170667	0	-1	-1
40	439318-457124	0	-1	-1
41	299331-299391	0	1	1
42	495655-496849	0	-1	-1
43	15022-259912	0	-1	-1
44	578657-1250281	0	1	1
45	133674-380351	0	-1	-1
46	380351-380388	0	-1	-1
47	299143-299391	0	1	1
48	375994-375998	0	-1	-1
49	1170408-1170654	0	-1	-1
50	1643941-1648502	0	-1	-1
51	372676-372683	0	-1	-1
52	416319-417106	0	-1	-1
53	259952-259954	0	-1	-1
54	1243935-1329016	0	-1	-1
55	500422-1170408	0	-1	-1
56	1170406-1170410	0	-1	-1
57	351084-351085	0	-1	-1
58	289354-302643	0	-1	-1
59	482673-498568	0	-1	-1
60	551350-551445	0	1	-1
61	495087-495134	0	-1	-1
62	372673-387119	0	-1	-1
63	416316-417181	0	-1	-1
64	482308-498581	0	-1	-1
65	324359-324391	0	-1	-1
66	299335-299553	0	-1	-1
67	416321-417109	0	-1	-1
68	1170408-1170419	0	-1	-1
69	1371157-1371159	0	-1	-1
70	299143-299344	0	-1	-1
71	1163662-1163664	0	-1	-1
72	1370559-1370571	0	-1	-1
73	578640-578786	0	-1	-1
74	372658-372680	0	-1	-1
75	372657-372683	0	-1	-1
76	522738-522747	0	-1	-1
77	1262630-1262633	0	1	1
78	1329011-1333288	0	-1	-1
79	1170406-1170434	0	-1	-1
80	496849-498568	0	-1	-1
81	1170406-1170409	0	-1	-1
82	597813-598257	0	-1	-1
83	279099-1516610	0	-1	-1
84	372667-372674	0	-1	-1
85	416382-416384	0	-1	-1
86	302816-303213	0	-1	-1
87	1370566-1370579	0	-1	-1
88	1170423-1170434	0	-1	-1
89	441505-441562	0	1	1
90	439318-457337	0	-1	-1
91	1170408-1170660	0	-1	-1
92	1370572-1370583	0	-1	-1
93	486843-488484	0	-1	-1
94	1669478-1717421	0	-1	-1
95	522721-522747	0	-1	-1
96	439318-457125	0	-1	-1
97	1170415-1170418	0	-1	-1
98	1137267-1137283	0	-1	-1
99	374860-375044	0	-1	-1
