	ids	cid	trueY	predY
0	1410340-1410343	0	-1	-1
1	1170408-1170422	0	-1	-1
2	169512-1170655	0	-1	-1
3	33858-321838	0	-1	-1
4	1170415-1170433	0	-1	-1
5	434937-1572168	0	1	1
6	299143-299353	0	-1	-1
7	589247-589373	0	-1	-1
8	567552-567651	0	1	1
9	541829-541832	0	-1	-1
10	383944-387117	0	-1	-1
11	372685-383625	0	-1	-1
12	322960-322994	0	1	-1
13	23217-413030	0	-1	-1
14	501598-1170648	0	-1	-1
15	501102-501115	0	-1	-1
16	413099-1138005	0	-1	-1
17	1170415-1170656	0	-1	-1
18	490077-495655	0	-1	-1
19	322965-323053	0	-1	-1
20	372644-383990	0	-1	-1
21	1243942-1329012	0	-1	-1
22	192878-500423	0	-1	-1
23	1410345-1410348	0	-1	-1
24	1329012-1333287	0	-1	-1
25	589373-589707	0	-1	-1
26	416319-416391	0	-1	-1
27	541752-541893	0	-1	-1
28	402964-403867	0	-1	-1
29	299136-299376	0	-1	-1
30	1329029-1333259	0	1	-1
31	374856-374944	0	-1	-1
32	293737-1170435	0	-1	-1
33	197701-235172	0	-1	-1
34	374739-375456	0	-1	-1
35	164695-351085	0	-1	-1
36	351085-1161444	0	-1	-1
37	524532-524575	0	-1	-1
38	383580-387159	0	-1	-1
39	500073-501107	0	-1	-1
40	1170409-1170669	0	-1	-1
41	23749-589247	0	-1	-1
42	417110-417114	0	-1	-1
43	904254-904257	0	-1	-1
44	417032-417052	0	-1	-1
45	387525-387553	0	-1	-1
46	416312-417113	0	-1	-1
47	322926-322936	0	-1	-1
48	1170655-1170667	0	-1	-1
49	541754-541890	0	-1	-1
50	416383-416387	0	-1	-1
51	1170648-1170650	0	1	1
52	1170420-1170661	0	-1	-1
53	439200-457191	0	-1	-1
54	439427-457601	0	-1	-1
55	23747-24126	0	-1	-1
56	416390-417106	0	-1	-1
57	1243928-1243932	0	-1	-1
58	323035-323038	0	-1	-1
59	293762-1170433	0	-1	-1
60	522655-522688	0	1	1
61	1329017-1333287	0	-1	-1
62	522738-522778	0	-1	-1
63	439202-457126	0	1	1
64	551441-551445	0	-1	-1
65	322925-323052	0	-1	-1
66	1170409-1170431	0	-1	-1
67	1170426-1170671	0	-1	-1
68	439272-457529	0	-1	-1
69	1370545-1370547	0	-1	-1
70	321869-321910	0	-1	-1
71	439277-439428	0	-1	-1
72	522610-522675	0	-1	-1
73	1170410-1170439	0	-1	-1
74	375997-376074	0	-1	-1
75	416318-416321	0	-1	-1
76	1370550-1370583	0	-1	-1
77	374813-374859	0	-1	-1
78	403604-403612	0	-1	-1
79	384092-387119	0	-1	-1
80	522634-522717	0	-1	-1
81	375997-376081	0	-1	-1
82	591940-592554	0	-1	-1
83	498581-498597	0	-1	-1
84	416382-416387	0	-1	-1
85	416311-417108	0	-1	-1
86	290913-291139	0	-1	-1
87	1044952-1044971	0	1	1
88	1243945-1243962	0	-1	-1
89	1410330-1410339	0	-1	-1
90	1170432-1170661	0	-1	-1
91	1044972-1045153	0	-1	-1
92	383990-387654	0	-1	-1
93	1170418-1170652	0	-1	-1
94	322994-323017	0	-1	-1
95	1170432-1170656	0	-1	-1
96	541753-541894	0	-1	-1
97	522633-522707	0	-1	-1
98	403734-403802	0	1	1
99	1596857-1596861	0	-1	-1
100	375386-375387	0	1	1
101	321877-321910	0	-1	-1
102	1170650-1170672	0	1	1
103	1170656-1170674	0	-1	-1
104	1170432-1170667	0	-1	-1
105	387119-387160	0	-1	-1
106	299129-299135	0	1	-1
107	372657-387549	0	-1	-1
108	1170431-1170654	0	-1	-1
109	15030-15057	0	1	-1
110	495134-495655	0	-1	-1
111	284165-1253822	0	-1	-1
112	522610-522616	0	-1	-1
113	23263-413031	0	-1	-1
114	592192-592553	0	-1	-1
115	293934-1170418	0	-1	-1
116	1170418-1170649	0	-1	-1
117	591745-592554	0	-1	-1
118	402957-403805	0	-1	-1
119	1370535-1370555	0	1	1
120	387240-387553	0	-1	-1
121	321877-321904	0	-1	-1
122	439202-457337	0	1	1
123	293737-1170414	0	-1	-1
124	192781-1170429	0	-1	-1
125	23748-413031	0	-1	-1
126	322948-322965	0	-1	-1
127	372683-387119	0	-1	-1
128	24081-589247	0	-1	-1
129	235866-501126	0	-1	-1
130	322928-323039	0	-1	-1
131	439199-439200	0	-1	-1
132	1329029-1333232	0	1	-1
133	1370557-1370572	0	-1	-1
134	323038-323039	0	-1	-1
135	1170648-1170670	0	-1	-1
136	322936-323035	0	-1	-1
137	293737-1170666	0	-1	-1
138	1410317-1410345	0	-1	-1
139	383627-387525	0	-1	-1
140	1044974-1591595	0	1	-1
141	1170425-1170665	0	-1	-1
142	293737-1170432	0	-1	-1
143	457191-457436	0	-1	-1
144	591460-591555	0	-1	-1
145	23263-413101	0	-1	-1
146	322965-323039	0	-1	-1
147	1170658-1170667	0	-1	-1
148	1572170-1572174	0	-1	-1
149	402957-403804	0	-1	-1
150	522626-522633	0	-1	-1
151	299325-299547	0	-1	-1
152	1170413-1170418	0	-1	-1
153	372644-387162	0	-1	-1
154	589137-956684	0	-1	-1
155	1170413-1170415	0	-1	-1
156	33858-322936	0	-1	-1
157	1410336-1410341	0	-1	-1
158	589247-956640	0	-1	-1
159	424039-424105	0	-1	-1
160	169512-1170412	0	-1	-1
161	1170423-1170666	0	-1	-1
162	374861-374903	0	1	1
163	522721-522758	0	-1	-1
164	372666-383944	0	-1	-1
165	1596857-1596864	0	-1	-1
166	1370560-1370578	0	1	1
167	1170413-1170662	0	-1	-1
168	15267-259912	0	-1	-1
169	1410326-1410349	0	1	-1
170	1170406-1170408	0	-1	-1
171	416319-417107	0	-1	-1
172	1370560-1370572	0	-1	-1
173	387117-387191	0	-1	-1
174	23764-589247	0	-1	-1
175	215358-421127	0	-1	-1
176	375042-375044	0	-1	-1
177	522634-522707	0	-1	-1
178	24126-413100	0	-1	-1
179	322936-1056047	0	-1	-1
180	416390-417182	0	-1	-1
181	1370561-1370572	0	-1	-1
182	384092-387160	0	-1	-1
183	416315-417178	0	-1	-1
184	24140-589372	0	-1	-1
185	439201-457530	0	1	-1
186	169512-1170658	0	-1	-1
187	290877-378091	0	-1	-1
188	457191-457528	0	-1	-1
189	1170423-1170665	0	-1	-1
190	192781-1170665	0	-1	-1
191	1044952-1044963	0	-1	-1
192	457125-457436	0	-1	-1
193	1370575-1370578	0	-1	-1
194	1170661-1170674	0	-1	-1
195	1370560-1370579	0	-1	-1
196	1370556-1370558	0	-1	-1
197	439202-457599	0	1	1
198	1243942-1333285	0	-1	-1
199	464386-464387	0	-1	-1
200	1410342-1410346	0	-1	-1
201	591747-592046	0	1	1
202	418658-439200	0	-1	-1
203	293935-1170669	0	-1	-1
204	1170662-1170667	0	-1	-1
205	416388-417106	0	-1	-1
206	417111-417114	0	-1	-1
207	43944-1138509	0	-1	-1
208	374806-374856	0	-1	-1
209	290803-379137	0	-1	-1
210	416387-417113	0	-1	-1
211	1410337-1410346	0	-1	-1
212	321878-321897	0	-1	-1
213	541753-541833	0	-1	-1
214	192781-1170649	0	-1	-1
215	1401847-1401853	0	-1	-1
216	457528-457601	0	-1	-1
217	235113-501114	0	-1	-1
218	23043-23733	0	1	-1
219	321878-321909	0	-1	-1
220	416315-416389	0	-1	1
221	1170658-1170669	0	-1	-1
222	88937-395174	0	-1	-1
223	387159-387655	0	-1	-1
224	1170417-1170670	0	-1	-1
225	416383-417182	0	-1	-1
226	22872-23763	0	-1	-1
227	423981-424039	0	-1	-1
228	1170416-1170420	0	-1	-1
229	321883-321895	0	-1	-1
230	323022-1138509	0	-1	-1
231	1044962-1044975	0	-1	-1
232	541833-541896	0	-1	-1
233	1170435-1170658	0	-1	-1
234	501107-501606	0	-1	-1
235	1170426-1170660	0	-1	-1
236	432192-432454	0	-1	-1
237	321838-323022	0	-1	-1
238	1243932-1244076	0	-1	-1
239	299131-299330	0	-1	-1
240	423982-424040	0	1	1
241	1170417-1170656	0	-1	-1
242	321862-321917	0	-1	-1
243	33858-1138490	0	-1	-1
244	235114-236493	0	-1	-1
245	23263-23705	0	1	-1
246	321903-321909	0	-1	-1
247	372666-387588	0	1	1
248	321869-321904	0	-1	-1
249	591941-592554	0	-1	-1
250	1170439-1170661	0	-1	-1
251	541601-541893	0	-1	-1
252	501100-501126	0	-1	-1
253	1410334-1410345	0	-1	-1
254	1170415-1170664	0	-1	-1
255	1410338-1410342	0	-1	-1
256	23717-956645	0	-1	-1
257	299129-299328	0	-1	-1
258	235734-235873	0	-1	-1
259	23217-24141	0	-1	-1
260	457125-457365	0	-1	-1
261	321878-321884	0	-1	-1
262	589589-956650	0	-1	-1
263	1044976-1591583	0	-1	-1
264	158826-158886	0	-1	-1
265	192781-1170432	0	-1	-1
266	15022-15154	0	-1	-1
267	299325-299391	0	-1	-1
268	1243929-1243950	0	1	-1
269	1410333-1410341	0	-1	-1
270	1044967-1044970	0	-1	-1
271	423925-424040	0	-1	-1
272	383990-387118	0	-1	-1
273	416318-417105	0	-1	-1
274	1170429-1170670	0	-1	-1
275	169394-1170413	0	-1	-1
276	541753-541890	0	-1	-1
277	383988-387162	0	-1	-1
278	321855-321870	0	-1	-1
279	423981-424105	0	-1	-1
280	1170406-1170435	0	-1	-1
281	372683-384092	0	-1	-1
282	1170423-1170674	0	-1	-1
283	1410340-1410350	0	-1	-1
284	1170662-1170669	0	-1	-1
285	387118-387553	0	-1	-1
286	372683-387240	0	-1	-1
287	86990-235113	0	-1	-1
288	1410335-1410344	0	-1	-1
289	299131-299346	0	-1	-1
290	522634-522688	0	1	1
291	322972-323035	0	-1	-1
292	1170407-1170674	0	-1	-1
293	1370555-1370563	0	1	1
294	439200-457530	0	-1	-1
295	387159-387161	0	-1	-1
296	1243932-1243963	0	-1	-1
297	1410331-1410347	0	-1	-1
298	416310-416388	0	-1	-1
299	299326-299391	0	-1	-1
300	14921-395239	0	-1	-1
301	1243939-1329012	0	-1	-1
302	372673-384092	0	-1	-1
303	293746-1170435	0	-1	-1
304	1243934-1243962	0	-1	-1
305	279688-351089	0	-1	-1
306	372685-383944	0	-1	-1
307	372683-383988	0	-1	-1
308	15030-15267	0	1	-1
309	1243932-1244081	0	-1	-1
310	387240-387555	0	-1	-1
311	290838-423984	0	-1	-1
312	1170431-1170666	0	-1	-1
313	500432-501129	0	-1	-1
314	1410326-1410328	0	-1	-1
315	299346-299376	0	-1	-1
316	235489-501121	0	-1	-1
317	372644-387119	0	-1	-1
318	1596857-1596867	0	1	-1
319	24107-394154	0	-1	-1
320	416312-417175	0	-1	-1
321	235114-235351	0	-1	-1
322	500422-1170672	0	-1	-1
323	1170406-1170672	0	-1	-1
324	416387-417176	0	-1	-1
325	1243950-1244079	0	1	-1
326	567550-567651	0	1	-1
327	387161-387549	0	-1	-1
328	387118-387654	0	-1	-1
329	33858-1600378	0	-1	-1
330	1370555-1370572	0	-1	-1
331	322951-323023	0	-1	-1
332	432114-432388	0	-1	-1
333	416390-416391	0	-1	-1
334	1170432-1170669	0	-1	-1
335	439318-457599	0	-1	-1
336	416384-416390	0	-1	-1
337	421129-421343	0	-1	-1
338	416378-417051	0	1	-1
339	1410329-1410339	0	-1	-1
340	322951-323017	0	1	-1
341	522695-522699	0	1	-1
342	439277-457601	0	-1	-1
343	293934-1170669	0	-1	-1
344	372666-387555	0	-1	-1
345	1666246-1670436	0	-1	-1
346	501598-1170652	0	1	1
347	291039-378482	0	-1	-1
348	290861-291046	0	-1	-1
349	904255-904257	0	-1	-1
350	416388-417108	0	-1	-1
351	1370535-1370544	0	1	1
352	23748-24107	0	1	-1
353	387549-387555	0	-1	-1
354	1410331-1410346	0	-1	-1
355	490077-498568	0	-1	-1
356	235114-235489	0	-1	-1
357	495655-496847	0	-1	-1
358	1170420-1170422	0	-1	-1
359	522633-522688	0	1	1
360	1243938-1329014	0	-1	-1
361	421194-421278	0	-1	-1
362	1243952-1243963	0	-1	-1
363	486843-493531	0	-1	-1
364	578661-1250281	0	1	-1
365	416312-416383	0	-1	-1
366	1370556-1370564	0	-1	-1
367	567551-567554	0	-1	-1
368	417105-417107	0	-1	-1
369	1243948-1243953	0	-1	-1
370	522695-522770	0	1	1
371	383627-387655	0	-1	-1
372	904257-1401850	0	1	-1
373	291039-291046	0	-1	-1
374	372679-387160	0	-1	-1
375	421043-421122	0	1	-1
376	500422-1170409	0	-1	-1
377	43944-323017	0	1	-1
378	416310-416321	0	-1	-1
379	495087-496848	0	-1	-1
380	293935-1170418	0	-1	-1
381	402957-402964	0	-1	-1
382	1596862-1596871	0	1	1
383	158731-158825	0	1	1
384	1170434-1170661	0	-1	-1
385	418657-457529	0	-1	-1
386	1410339-1410343	0	-1	-1
387	14789-395239	0	-1	-1
388	591653-591941	0	-1	-1
389	417110-417178	0	-1	-1
390	589373-956645	0	-1	-1
391	541830-541832	0	-1	-1
392	1170410-1170666	0	-1	-1
393	403604-403681	0	1	-1
394	416382-417182	0	-1	-1
395	524532-524547	0	-1	-1
396	322979-323039	0	-1	-1
397	387159-387654	0	-1	-1
398	387118-387119	0	-1	-1
399	1163659-1163660	0	-1	-1
400	1410330-1410346	0	-1	-1
401	1370550-1370558	0	-1	-1
