	ids	cid	trueY	predY
0	310116-1162610	0	-1	-1
1	1285901-1285966	0	-1	-1
2	262536-282260	0	-1	-1
3	24958-559205	0	-1	-1
4	24931-310116	0	-1	-1
5	1135878-1255146	0	-1	-1
6	1376007-1707370	0	1	1
7	1383168-1383284	0	-1	-1
8	1502323-1502329	0	1	1
9	500536-1255146	0	-1	-1
10	827541-1294703	0	-1	-1
11	1391180-1391181	0	1	-1
12	261680-298864	0	1	1
13	282260-633009	0	-1	-1
14	1285967-1286173	0	1	-1
15	897274-897275	0	1	1
16	1512174-1512188	0	-1	-1
17	1499366-1499372	0	1	1
18	1366408-1383251	0	-1	-1
19	24958-1255148	0	1	1
20	500599-1255134	0	-1	-1
21	634713-735529	0	-1	-1
22	1296979-1614320	0	1	-1
23	1341003-1341009	0	1	-1
24	1498987-1502587	0	-1	1
25	147126-322557	0	-1	-1
26	298864-1255148	0	1	1
27	110960-827541	0	-1	1
28	1366408-1383274	0	1	-1
29	1502589-1502809	0	1	-1
30	261663-298781	0	1	1
31	1623787-1624380	0	-1	-1
32	1512171-1512173	0	-1	-1
33	1623467-1623551	0	1	-1
34	802906-1278691	0	-1	-1
35	802906-1255140	0	-1	1
36	310186-1255156	0	-1	-1
37	1383048-1383284	0	-1	-1
38	927191-1502807	0	-1	-1
39	147126-633009	0	-1	-1
40	419431-1394040	0	-1	-1
41	1512167-1512171	0	-1	-1
42	298408-500641	0	1	1
43	147126-1403497	0	-1	-1
44	897265-897268	0	-1	-1
45	1499365-1499373	0	-1	-1
46	1294703-1295702	0	-1	-1
47	1499365-1499370	0	-1	-1
48	1512173-1598587	0	1	-1
49	1502584-1502587	0	-1	-1
50	1499366-1499370	0	-1	-1
51	258241-262536	0	-1	-1
52	735529-897268	0	-1	-1
53	1295091-1295698	0	1	-1
54	1376007-1376011	0	-1	-1
55	1499363-1499366	0	-1	-1
56	500584-500602	0	-1	-1
57	241024-1162610	0	-1	-1
58	1598584-1598587	0	1	1
59	24958-261680	0	-1	-1
60	24958-261704	0	-1	-1
61	1162610-1403497	0	-1	-1
62	261660-261680	0	-1	-1
63	1512174-1598584	0	-1	-1
64	1366408-1383283	0	-1	-1
65	24957-1219161	0	-1	-1
