	ids	cid	trueY	predY
0	267804-267839	2	-1	-1
1	1660532-1711675	2	-1	-1
2	24799-25002	2	-1	-1
3	1630248-1632788	2	-1	-1
4	1512165-1512174	2	-1	-1
5	529097-1369858	2	-1	1
6	1391173-1391186	2	1	1
7	1263464-1263471	2	-1	-1
8	634713-897273	2	1	-1
9	267680-1406128	2	-1	-1
10	310186-500566	2	-1	-1
11	24957-251666	2	-1	1
12	500536-887499	2	-1	-1
13	559145-559204	2	-1	-1
14	25003-1222736	2	1	1
15	634713-1596454	2	-1	1
16	1376011-1713031	2	-1	-1
17	24903-25002	2	-1	-1
18	1499302-1499363	2	-1	-1
19	25002-1222736	2	1	-1
20	24892-24931	2	-1	-1
21	1499367-1499368	2	-1	-1
22	24799-1255148	2	1	1
23	298415-510731	2	1	1
24	24931-558319	2	1	-1
25	24892-254801	2	-1	-1
26	24799-24931	2	-1	-1
27	299333-299406	2	-1	-1
28	298864-887499	2	1	1
29	1263469-1263471	2	-1	-1
30	802906-1255140	2	-1	-1
31	295453-1620859	2	-1	-1
32	24799-1403497	2	-1	-1
33	581806-1156222	2	-1	-1
34	1499365-1499366	2	-1	-1
35	275884-330741	2	1	1
36	280144-280719	2	1	-1
37	261663-298781	2	1	1
38	1499302-1499365	2	-1	-1
39	633009-1219161	2	-1	-1
40	261721-310116	2	-1	-1
41	633009-1162610	2	-1	-1
42	1633863-1719309	2	-1	-1
43	1498987-1502587	2	1	-1
44	1623055-1624380	2	-1	-1
45	24958-310116	2	1	1
46	310116-887499	2	-1	-1
47	1512173-1598585	2	-1	-1
48	500519-558319	2	-1	-1
49	310155-1255150	2	-1	-1
50	500565-1255152	2	-1	-1
51	500519-1255146	2	-1	-1
52	1502584-1502806	2	-1	-1
53	24892-25002	2	-1	-1
54	1156222-1394045	2	1	-1
55	1375994-1707370	2	-1	-1
56	1263459-1263470	2	-1	-1
57	1512168-1512175	2	-1	-1
58	1221824-1221830	2	-1	-1
59	24958-1255148	2	1	1
60	1263465-1263470	2	-1	-1
61	25002-558319	2	1	-1
62	261660-1135878	2	-1	-1
63	275884-341067	2	-1	-1
64	298781-500602	2	1	1
65	24957-1222736	2	1	-1
66	558319-1255148	2	-1	-1
67	261660-261704	2	-1	-1
68	1632788-1703864	2	-1	-1
69	94023-240988	2	-1	1
70	508618-1059143	2	1	-1
71	510685-510732	2	-1	-1
72	1502583-1502807	2	-1	-1
73	1214676-1403508	2	-1	-1
74	1502583-1502806	2	-1	-1
75	25003-1255146	2	1	1
76	24958-25002	2	-1	-1
77	254801-1403508	2	-1	-1
78	309730-500567	2	-1	-1
79	1499367-1499371	2	-1	-1
80	261721-500519	2	-1	-1
81	1263465-1672188	2	1	-1
82	1512168-1598585	2	1	1
83	500536-1255146	2	-1	-1
84	24958-1214676	2	-1	1
85	25002-559204	2	-1	1
86	298408-1255152	2	1	1
87	280034-1162612	2	-1	-1
88	948386-1502591	2	1	1
89	309730-1255138	2	-1	-1
90	558319-559147	2	1	-1
91	1263471-1263477	2	-1	-1
92	275776-1596453	2	-1	-1
93	261721-1222736	2	-1	-1
94	200731-240988	2	1	1
95	24958-500519	2	1	1
96	267804-267921	2	1	-1
97	1630248-1711675	2	-1	-1
98	1162610-1394041	2	-1	-1
99	419431-633009	2	-1	-1
100	388207-633009	2	-1	-1
101	897267-897275	2	-1	-1
102	559145-887499	2	-1	-1
103	1512168-1512170	2	-1	-1
104	261721-558319	2	-1	-1
105	24958-261680	2	1	1
106	559204-1255147	2	-1	-1
107	24957-558319	2	1	-1
108	298382-1255132	2	1	1
109	559145-559201	2	-1	-1
110	254801-262536	2	-1	-1
111	1512169-1512170	2	-1	-1
112	251666-310116	2	1	-1
113	267839-267921	2	1	-1
114	948386-1502806	2	-1	-1
115	1630248-1703864	2	-1	-1
116	500600-1278691	2	-1	-1
117	897268-897272	2	-1	-1
118	267804-295453	2	1	-1
119	1632788-1660532	2	-1	-1
120	559206-887499	2	-1	-1
121	1623968-1624481	2	1	-1
122	207200-1214676	2	-1	-1
123	322557-1394041	2	-1	-1
124	207200-1162610	2	-1	-1
125	1499366-1499367	2	-1	-1
126	1499365-1499373	2	-1	-1
127	1502807-1502809	2	-1	-1
128	500600-1027898	2	-1	-1
129	558319-559204	2	1	-1
130	1623968-1624098	2	-1	-1
131	1499367-1499373	2	-1	-1
132	25002-298864	2	1	1
133	388207-1403508	2	-1	-1
134	207200-1403497	2	-1	-1
135	456703-1598578	2	1	-1
136	559204-1255148	2	1	-1
137	267804-1620859	2	1	1
138	261680-310116	2	-1	-1
139	262536-282260	2	1	-1
140	1512164-1512174	2	-1	-1
141	125678-298762	2	1	1
142	1502314-1502316	2	-1	1
143	558319-1222736	2	-1	-1
144	1376017-1653354	2	-1	-1
145	1598584-1598585	2	-1	1
146	267880-267889	2	-1	-1
147	261737-1135878	2	-1	-1
148	1502587-1502813	2	1	-1
149	298864-500536	2	1	1
150	1162610-1394040	2	-1	-1
151	897268-897278	2	-1	-1
152	64968-294319	2	1	1
153	1502314-1502317	2	1	1
154	1512169-1512175	2	-1	-1
155	529097-1255138	2	-1	-1
156	897272-897274	2	1	-1
157	1499368-1499372	2	1	1
158	897271-897278	2	-1	-1
159	634713-891366	2	1	1
160	927191-948386	2	-1	-1
161	388007-1504434	2	-1	1
162	1623655-1624481	2	-1	1
163	125678-282191	2	-1	-1
164	299333-299338	2	-1	-1
165	500556-1135878	2	-1	-1
166	1219161-1394040	2	-1	-1
167	1499302-1499370	2	-1	-1
168	298408-1255153	2	1	1
169	500599-1255135	2	-1	-1
170	1512165-1512175	2	-1	-1
171	1263466-1263479	2	-1	-1
172	1502586-1502813	2	1	-1
173	897267-897268	2	-1	-1
174	1512168-1512174	2	-1	-1
175	948386-1502807	2	-1	-1
176	388207-1214676	2	-1	-1
177	1255138-1278691	2	-1	-1
178	24957-1219161	2	1	-1
179	1135878-1222736	2	-1	-1
180	25003-559204	2	-1	1
181	262536-322557	2	-1	-1
182	897267-897273	2	-1	-1
183	24892-207200	2	-1	-1
184	207200-322557	2	-1	-1
185	891366-897275	2	-1	-1
186	25916-93536	2	-1	1
187	25003-1255148	2	1	1
188	891366-897272	2	-1	-1
189	1221827-1221829	2	-1	-1
190	298864-1255148	2	1	1
191	254801-419431	2	-1	-1
192	500567-529097	2	-1	-1
193	1671459-1707370	2	-1	-1
194	508781-1059143	2	-1	-1
195	24903-559145	2	-1	-1
196	322557-419431	2	-1	-1
197	24958-559204	2	-1	1
198	13448-1403508	2	1	1
199	1162610-1403508	2	-1	-1
200	125678-500584	2	-1	-1
201	1263460-1263464	2	-1	-1
202	559201-559206	2	-1	1
203	24903-558319	2	1	-1
204	1512170-1512175	2	-1	-1
205	500599-1255134	2	-1	-1
206	13448-24892	2	-1	-1
207	1623551-1623655	2	1	-1
208	261663-500602	2	-1	-1
209	1499370-1499372	2	1	1
210	1263463-1672188	2	1	-1
211	500599-500618	2	-1	-1
212	1376007-1653354	2	-1	-1
213	251666-322557	2	-1	-1
214	207200-1403508	2	-1	-1
215	1221824-1221827	2	-1	-1
216	1255136-1369857	2	1	1
217	1376011-1376017	2	-1	-1
218	1219161-1403506	2	-1	1
219	322681-1643884	2	1	1
220	927191-1502806	2	-1	-1
221	897272-897273	2	-1	-1
222	299333-299337	2	-1	-1
223	294317-1596453	2	1	1
224	1512167-1598584	2	-1	-1
225	261680-261721	2	-1	-1
226	529097-1278691	2	-1	-1
227	1502332-1502335	2	1	1
228	419431-1403507	2	-1	-1
229	1499363-1499372	2	1	1
230	735529-897267	2	-1	-1
231	298381-1255156	2	1	1
232	1263469-1263470	2	-1	-1
233	24957-500536	2	1	1
234	1502332-1502334	2	1	1
235	1630248-1652589	2	1	-1
236	298864-1255146	2	1	1
237	299337-299406	2	-1	1
238	1263471-1672188	2	-1	-1
239	1263459-1263460	2	-1	-1
240	24799-419431	2	-1	-1
241	261737-1369871	2	-1	-1
242	1162610-1403507	2	-1	-1
243	322681-1376017	2	-1	-1
244	1502583-1502588	2	-1	1
245	1502315-1502317	2	1	1
