	ids	cid	trueY	predY
0	310113-310506	2	-1	-1
1	345294-345300	2	-1	-1
2	339631-339643	2	-1	-1
3	309790-310537	2	-1	-1
4	1567537-1567626	2	-1	-1
5	1567636-1567677	2	-1	-1
6	310232-310311	2	-1	-1
7	356349-356360	2	-1	-1
8	1657879-1702042	2	-1	-1
9	177785-318422	2	-1	-1
10	309842-310689	2	-1	-1
11	1567630-1567667	2	-1	-1
12	1655246-1698945	2	-1	-1
13	318480-1595927	2	-1	-1
14	1567652-1567653	2	-1	-1
15	1162990-1162993	2	-1	-1
16	1567625-1567631	2	-1	-1
17	310444-310523	2	-1	-1
18	1567648-1567654	2	-1	-1
19	310257-310507	2	-1	-1
20	1567624-1567669	2	-1	-1
21	310252-310641	2	1	-1
22	1567617-1567663	2	-1	-1
23	345377-384922	2	-1	-1
24	310247-310477	2	-1	-1
25	975924-1162993	2	-1	-1
26	1567621-1567673	2	-1	-1
27	310312-310680	2	-1	-1
28	1601114-1601129	2	-1	-1
29	339626-339632	2	-1	-1
30	1567616-1567634	2	-1	-1
31	1567618-1567648	2	-1	-1
32	1567641-1567665	2	-1	-1
33	1567615-1567648	2	-1	-1
34	1692773-1692858	2	-1	-1
35	1567641-1567653	2	-1	-1
36	1601112-1601126	2	-1	-1
37	282125-909882	2	-1	-1
38	487083-487443	2	-1	-1
39	345305-345349	2	-1	-1
40	1657879-1698945	2	-1	-1
41	310020-310087	2	-1	-1
42	1649638-1692773	2	-1	-1
43	310181-310281	2	-1	-1
44	1567639-1567662	2	-1	-1
45	177483-180652	2	-1	-1
46	1216279-1216285	2	-1	-1
47	356329-561329	2	-1	-1
48	201673-909882	2	-1	-1
49	1567638-1567659	2	-1	-1
50	1601118-1601133	2	-1	-1
51	1633091-1657582	2	-1	-1
52	1567502-1567638	2	-1	-1
53	345298-345313	2	-1	-1
54	309817-310281	2	-1	-1
55	1567609-1567647	2	-1	-1
56	310208-310389	2	1	-1
57	339667-339669	2	-1	-1
58	310182-310614	2	-1	-1
59	1567612-1567646	2	-1	-1
60	201673-290008	2	-1	-1
61	227113-1162993	2	-1	-1
