	ids	cid	trueY	predY
0	56228-57037	0	-1	-1
1	1330235-1330238	0	-1	-1
2	319791-319926	0	-1	-1
3	332401-332412	0	-1	-1
4	346765-1370108	0	-1	-1
5	1249487-1249649	0	1	1
6	352520-438313	0	1	1
7	131997-132095	0	-1	-1
8	1370108-1370115	0	-1	-1
9	394887-395127	0	1	1
10	352325-1370107	0	-1	-1
11	394022-438546	0	-1	-1
12	394742-394743	0	-1	-1
13	352518-394984	0	1	1
14	332389-332403	0	-1	-1
15	332381-332410	0	1	-1
16	352519-394742	0	1	1
17	131671-276910	0	-1	-1
18	395060-438618	0	-1	-1
19	332398-332403	0	-1	-1
20	375004-375005	0	-1	-1
21	346700-346712	0	-1	-1
22	346765-438417	0	-1	-1
23	394888-438824	0	1	1
24	254778-297316	0	-1	-1
25	352522-394981	0	-1	-1
26	381774-381967	0	-1	-1
27	131316-277037	0	1	1
28	1532672-1532673	0	-1	-1
29	352518-438546	0	1	1
30	263623-263665	0	-1	-1
31	132094-132095	0	-1	-1
32	273947-273973	0	-1	-1
33	319489-352526	0	-1	-1
34	1272119-1272127	0	-1	-1
35	395063-395198	0	-1	-1
36	438757-438889	0	1	1
37	352532-438063	0	-1	-1
38	394820-438755	0	-1	-1
39	438619-438889	0	-1	-1
40	346697-346700	0	1	1
41	276617-276990	0	-1	-1
42	394743-438690	0	-1	-1
43	332378-332394	0	-1	-1
44	438689-438949	0	-1	-1
45	352520-438950	0	1	1
46	263627-263698	0	-1	-1
47	381825-381868	0	-1	-1
48	394821-438757	0	-1	-1
49	306342-319774	0	-1	1
50	453143-453215	0	1	-1
51	352400-438417	0	-1	-1
52	254769-254796	0	-1	-1
53	131972-132443	0	1	-1
54	319428-394888	0	1	-1
55	366554-366564	0	-1	-1
56	306376-319894	0	1	1
57	332368-332401	0	-1	-1
58	352349-352363	0	-1	-1
59	332385-332421	0	-1	-1
60	370111-370119	0	-1	-1
61	319756-319765	0	-1	-1
62	346718-346720	0	-1	-1
63	381771-381871	0	-1	-1
64	319783-319816	0	-1	-1
65	381720-381824	0	-1	-1
66	332401-332421	0	-1	-1
67	1272113-1272114	0	-1	-1
68	395128-439020	0	1	-1
69	319487-533214	0	-1	-1
70	332382-332398	0	-1	-1
71	381720-381774	0	-1	-1
72	346700-346711	0	-1	-1
73	332394-332397	0	-1	-1
74	352524-438758	0	-1	-1
75	332379-332386	0	-1	-1
76	438690-438950	0	-1	-1
77	352519-394022	0	1	1
78	438822-438949	0	1	-1
79	319774-319792	0	-1	-1
80	332377-332396	0	-1	-1
81	352519-438618	0	1	1
82	319377-352285	0	-1	-1
83	131972-132506	0	-1	-1
84	438690-439020	0	-1	-1
85	1604358-1604359	0	-1	-1
86	332403-332421	0	-1	-1
87	352354-352363	0	-1	-1
88	438689-438758	0	-1	-1
89	132064-277071	0	-1	-1
90	332381-332396	0	-1	-1
91	346765-352399	0	-1	-1
92	394023-438758	0	-1	-1
93	332385-332402	0	-1	-1
94	395063-395200	0	-1	-1
95	254764-533150	0	-1	1
96	394820-394983	0	-1	-1
97	332379-332425	0	-1	-1
98	352290-352343	0	-1	-1
99	352333-352377	0	-1	-1
100	438315-1370112	0	1	-1
101	346765-438358	0	-1	-1
102	394820-438253	0	-1	-1
103	332389-332412	0	-1	-1
104	319428-352526	0	-1	-1
105	132475-132478	0	-1	-1
106	332376-332397	0	-1	-1
107	319774-319895	0	1	-1
108	319377-352357	0	-1	-1
109	254791-297419	0	-1	-1
110	297419-297801	0	-1	-1
111	332379-332396	0	-1	-1
112	438420-1370115	0	-1	-1
113	319766-319800	0	1	1
114	438691-438822	0	1	1
115	352325-438315	0	-1	-1
116	1532673-1532677	0	-1	-1
117	131355-277141	0	1	1
118	381769-381906	0	1	-1
119	346702-346718	0	-1	-1
120	306376-319800	0	1	-1
121	394743-438950	0	-1	-1
122	254796-297419	0	-1	-1
123	394675-395061	0	-1	-1
124	332375-332396	0	-1	-1
125	332387-332402	0	-1	-1
126	131878-276946	0	-1	-1
127	116424-954464	0	-1	-1
128	1272098-1272124	0	-1	-1
129	381665-381961	0	1	1
130	352401-438252	0	-1	-1
131	381917-381965	0	-1	-1
132	394024-438755	0	-1	-1
133	370132-370136	0	-1	1
134	438315-1370107	0	-1	-1
135	306376-319816	0	-1	-1
136	352520-394982	0	1	1
137	1532672-1532684	0	-1	-1
138	352402-438483	0	-1	-1
139	319808-319977	0	-1	-1
140	131878-276943	0	-1	-1
141	319724-319737	0	-1	-1
142	394024-438948	0	-1	-1
143	131878-277141	0	-1	-1
144	394821-395198	0	1	1
145	346703-346721	0	1	-1
146	346707-346715	0	-1	-1
147	346702-346709	0	-1	-1
148	1272117-1272130	0	-1	-1
149	319889-319909	0	-1	-1
150	56187-57036	0	-1	-1
151	319377-352526	0	-1	-1
152	394982-438690	0	-1	-1
153	352526-394983	0	-1	-1
154	438358-1370106	0	-1	-1
155	352521-438619	0	-1	-1
156	438690-438757	0	-1	-1
157	263698-263740	0	-1	-1
158	346800-346801	0	1	-1
159	346711-346716	0	-1	-1
160	352518-352522	0	1	1
161	352521-394024	0	-1	-1
162	273358-273675	0	-1	-1
163	395198-438621	0	-1	-1
164	352399-1370106	0	-1	-1
165	352325-438063	0	-1	-1
166	332402-332409	0	-1	-1
167	306305-306341	0	-1	-1
168	319708-321841	0	-1	-1
169	438619-438825	0	-1	-1
170	394982-438692	0	-1	-1
171	319708-319723	0	-1	-1
172	394822-394981	0	-1	-1
