	ids	cid	trueY	predY
0	488384-1105304	0	-1	-1
1	377457-1386896	0	-1	-1
2	377375-377377	0	-1	-1
3	1351337-1351582	0	-1	-1
4	342940-342960	0	-1	-1
5	1223912-1351636	0	-1	-1
6	1351631-1561993	0	-1	-1
7	335892-335912	0	-1	-1
8	336612-511036	0	-1	-1
9	1223903-1690930	0	-1	-1
10	310705-1245956	0	1	1
11	439321-1105304	0	-1	-1
12	272392-1245948	0	1	1
13	377217-587989	0	-1	-1
14	258996-291860	0	-1	-1
15	377416-1331114	0	-1	-1
16	588551-1386901	0	-1	-1
17	377177-385603	0	1	1
18	1223877-1223910	0	-1	-1
19	311139-439044	0	-1	-1
20	439208-1105587	0	-1	-1
21	310732-377457	0	-1	-1
22	387143-404387	0	-1	-1
23	439278-1105590	0	-1	-1
24	342875-342960	0	-1	-1
25	333152-1105583	0	-1	-1
26	335896-335904	0	-1	-1
27	377256-386186	0	-1	-1
28	386097-1378426	0	-1	-1
29	1105587-1105590	0	-1	-1
30	1223900-1561991	0	-1	-1
31	1223899-1651777	0	-1	-1
32	1634626-1666704	0	-1	-1
33	1351334-1720021	0	-1	-1
34	335894-335899	0	-1	-1
35	1105585-1105592	0	1	-1
36	386147-1245960	0	-1	-1
37	1245957-1386896	0	-1	-1
38	272551-588676	0	-1	-1
39	440213-1252381	0	1	1
40	310799-386147	0	-1	-1
41	272551-1378405	0	-1	-1
42	377377-1378420	0	-1	-1
43	1666569-1675365	0	-1	-1
44	336607-1118947	0	-1	-1
45	310705-1378404	0	-1	-1
46	439281-1105590	0	-1	-1
47	376813-386186	0	-1	-1
48	333152-1105591	0	-1	-1
49	310873-1245948	0	-1	1
50	311139-1378426	0	-1	-1
51	377454-1245954	0	-1	-1
52	459457-459639	0	-1	-1
53	310994-377337	0	1	1
54	357406-357408	0	-1	-1
55	1223897-1561994	0	-1	-1
56	377259-1245948	0	1	1
57	272551-1378422	0	-1	-1
58	342605-342917	0	-1	-1
59	22687-1690930	0	-1	-1
60	272320-1245957	0	-1	-1
61	1223880-1703313	0	-1	-1
62	977667-977766	0	-1	-1
63	985377-1665979	0	-1	-1
64	1633289-1660664	0	-1	-1
65	377337-1331114	0	-1	-1
66	341479-1118948	0	-1	-1
67	301581-301586	0	1	1
68	272718-1386895	0	1	1
69	440210-502635	0	-1	1
70	1378419-1386897	0	-1	-1
71	311159-377256	0	-1	-1
72	310732-386147	0	-1	-1
73	1223909-1561992	0	-1	-1
74	272464-386186	0	-1	-1
75	1245952-1378412	0	-1	-1
76	1684037-1709705	0	-1	-1
77	439278-439280	0	-1	-1
78	1638339-1648872	0	-1	-1
79	272710-386097	0	-1	-1
80	310994-386100	0	-1	-1
81	272594-1386895	0	1	-1
82	311192-377456	0	-1	-1
83	377259-377377	0	-1	-1
84	272392-386235	0	1	1
85	310840-1245957	0	-1	-1
86	385870-1378404	0	-1	-1
87	1223894-1720021	0	-1	-1
88	439281-1105597	0	-1	-1
89	272435-1245954	0	-1	-1
90	1351636-1561994	0	-1	-1
91	335895-335918	0	-1	-1
92	377340-386184	0	1	1
93	588551-1386896	0	-1	-1
94	311028-377259	0	1	-1
95	311139-377456	0	-1	-1
96	377177-1378414	0	-1	-1
97	377377-1245949	0	1	1
98	310840-376813	0	-1	-1
99	272464-1378406	0	-1	-1
100	335891-335911	0	-1	-1
101	439281-1105586	0	-1	-1
102	387103-404438	0	-1	-1
103	272588-377340	0	1	1
104	1378426-1386900	0	-1	-1
105	541771-541799	0	1	1
106	311139-377177	0	-1	-1
107	1223904-1687725	0	-1	-1
108	1636644-1666569	0	-1	-1
109	1223913-1654957	0	-1	-1
110	1351337-1561992	0	-1	-1
111	272464-272551	0	-1	-1
112	1223901-1223906	0	-1	-1
113	1669902-1674868	0	-1	-1
114	310968-377177	0	-1	-1
115	386762-387613	0	-1	-1
116	342915-342918	0	-1	-1
117	1660664-1677106	0	-1	-1
118	333152-1331119	0	-1	-1
119	1648872-1684037	0	-1	-1
120	440211-1278131	0	1	1
121	385870-1245955	0	-1	-1
122	1223894-1223910	0	-1	-1
123	1632197-1635698	0	1	-1
124	311027-1378414	0	-1	-1
125	1351338-1684037	0	-1	-1
126	342802-342915	0	-1	-1
127	357399-357408	0	1	-1
128	335912-335919	0	-1	-1
129	439044-439097	0	-1	-1
130	335876-335904	0	-1	-1
131	1223880-1665979	0	-1	-1
132	439211-439321	0	-1	-1
133	1245957-1245959	0	-1	-1
134	342945-342964	0	-1	-1
135	1629487-1654957	0	-1	-1
136	272588-377337	0	1	1
137	310732-1331117	0	-1	-1
138	335896-335916	0	-1	-1
139	1223912-1674868	0	-1	-1
140	1223903-1223912	0	-1	-1
141	1650666-1693843	0	1	1
142	541720-1118955	0	-1	-1
143	377217-1386897	0	-1	-1
144	377416-386102	0	-1	-1
145	310995-1245955	0	1	1
146	1561992-1666569	0	-1	-1
147	272594-1245949	0	1	-1
148	1351636-1665979	0	-1	-1
149	377217-1378418	0	-1	-1
150	272435-386186	0	-1	-1
151	335895-335916	0	-1	-1
152	386714-387228	0	-1	-1
153	272464-1378407	0	-1	-1
154	985364-1693689	0	-1	-1
155	439211-1105591	0	-1	-1
156	386868-494491	0	-1	-1
157	272710-1245952	0	-1	-1
158	386185-1245960	0	1	1
159	1561991-1674868	0	-1	-1
160	1223901-1351337	0	-1	-1
161	385870-1378418	0	-1	-1
162	1331109-1386901	0	-1	-1
163	1223907-1709705	0	-1	-1
164	1223899-1684037	0	-1	-1
165	272320-1245954	0	-1	-1
166	1223900-1709319	0	-1	-1
167	1223884-1636644	0	-1	-1
168	336613-1118955	0	1	-1
169	258960-291860	0	-1	-1
170	588551-1378408	0	-1	-1
171	377340-386102	0	-1	-1
172	377144-377216	0	-1	-1
173	1351334-1677106	0	-1	-1
174	1245957-1378420	0	-1	-1
175	1223910-1223913	0	-1	-1
176	386140-587989	0	-1	-1
177	977668-977767	0	-1	-1
178	272710-587989	0	-1	-1
179	386184-1245949	0	-1	-1
180	953653-953656	0	1	-1
181	1351626-1636644	0	-1	-1
182	1223902-1223907	0	-1	-1
183	310994-1331114	0	1	1
184	386924-387103	0	1	-1
185	1245957-1331109	0	-1	-1
186	272435-1378420	0	-1	-1
187	272551-1378410	0	-1	-1
188	1223905-1223910	0	-1	-1
189	310995-1245948	0	-1	1
190	310873-1245953	0	1	-1
191	342916-342942	0	-1	-1
192	1650666-1660093	0	-1	-1
193	377261-1245951	0	-1	-1
194	1105586-1105592	0	-1	-1
195	1245955-1386900	0	-1	-1
196	272320-385870	0	-1	-1
197	1245952-1378410	0	-1	-1
198	336606-511128	0	-1	-1
199	310968-1378407	0	-1	-1
200	377457-1386900	0	-1	-1
201	1351334-1665979	0	-1	-1
202	1690930-1709319	0	-1	-1
203	316152-316185	0	-1	-1
204	135293-151230	0	1	1
205	1561993-1654957	0	-1	-1
206	985378-985379	0	-1	1
207	342925-342940	0	-1	-1
208	272551-1386897	0	-1	-1
209	291821-291860	0	-1	-1
210	310705-1378412	0	-1	-1
211	459684-460272	0	-1	-1
212	377457-1378416	0	-1	-1
213	377418-1245948	0	1	1
214	342917-342942	0	-1	-1
215	377375-1378416	0	-1	-1
216	335887-335916	0	-1	-1
217	377217-377416	0	-1	-1
218	1105583-1105587	0	-1	-1
219	377340-1245957	0	-1	-1
220	357333-357400	0	-1	-1
221	1245948-1378416	0	1	1
222	387143-387574	0	-1	-1
223	439044-1105590	0	-1	-1
224	335917-335919	0	-1	-1
225	342916-342945	0	-1	-1
226	1223899-1223910	0	-1	-1
227	1223912-1703313	0	-1	-1
228	376813-1378404	0	-1	-1
229	1245960-1331116	0	-1	-1
230	335895-335908	0	-1	-1
231	386097-1378408	0	-1	-1
232	272710-1245956	0	1	-1
233	377259-377456	0	-1	-1
234	377375-386102	0	-1	-1
235	1245951-1378414	0	-1	-1
236	386102-1378413	0	-1	-1
237	488384-1105589	0	-1	-1
238	377456-1378426	0	-1	-1
239	272588-386185	0	-1	1
240	1223899-1223903	0	-1	-1
241	588434-588800	0	-1	-1
242	387429-387616	0	-1	-1
243	377217-1386900	0	-1	-1
244	386236-1386895	0	-1	-1
245	335892-335904	0	-1	-1
246	386102-1245957	0	-1	-1
247	335892-335918	0	-1	-1
248	1648872-1677106	0	-1	-1
249	386714-387613	0	-1	-1
250	1223883-1223910	0	-1	-1
251	1351631-1665979	0	-1	-1
252	459456-459457	0	-1	-1
253	985379-1223900	0	1	1
254	377454-386185	0	1	1
255	1651777-1693689	0	-1	-1
256	335877-335906	0	-1	-1
257	376813-386140	0	-1	-1
258	272392-1331116	0	-1	-1
259	439210-1105587	0	-1	-1
260	278925-310732	0	-1	-1
261	272392-310732	0	-1	-1
262	1640432-1666569	0	-1	-1
263	335883-335913	0	-1	-1
264	488384-1105302	0	-1	-1
265	1561991-1654957	0	-1	-1
266	1052467-1105302	0	-1	-1
267	386976-404387	0	-1	-1
268	348842-350282	0	1	-1
269	1105585-1105586	0	1	-1
270	1633289-1714249	0	-1	-1
271	335887-335914	0	-1	-1
272	311192-377177	0	-1	-1
273	1331116-1378410	0	-1	-1
274	588551-1386900	0	-1	-1
275	377177-377416	0	-1	-1
276	335900-335919	0	-1	-1
277	376813-377457	0	-1	-1
278	291861-334530	0	-1	-1
279	1223901-1351636	0	-1	-1
280	1223907-1651777	0	-1	-1
281	1245951-1331109	0	-1	-1
282	336614-511029	0	-1	-1
283	377180-1245950	0	1	1
284	386924-404385	0	1	1
285	1245957-1331116	0	-1	-1
286	385970-1378406	0	-1	-1
287	342918-342942	0	-1	-1
288	301581-1105589	0	-1	1
289	386714-404387	0	-1	-1
290	342933-342943	0	-1	-1
291	262850-262863	0	1	-1
292	977668-977777	0	-1	-1
293	404385-494491	0	1	-1
294	376886-377418	0	-1	-1
295	439280-1105587	0	-1	-1
296	377337-1245953	0	-1	-1
297	310840-1245951	0	-1	-1
298	1245957-1245960	0	-1	-1
299	1223906-1654957	0	-1	-1
300	1561992-1660664	0	-1	-1
301	386140-588676	0	-1	-1
302	377375-1245955	0	-1	-1
303	1378405-1378416	0	-1	-1
304	1105303-1105584	0	-1	-1
305	587989-1386896	0	-1	-1
306	1378412-1386900	0	-1	-1
307	1245957-1386901	0	-1	-1
308	376813-1378405	0	-1	-1
309	1223901-1654957	0	-1	-1
310	377180-385824	0	1	1
311	1378405-1378422	0	-1	-1
312	311192-377217	0	-1	-1
313	1223907-1660093	0	1	1
314	386147-1378420	0	-1	-1
315	335883-335896	0	1	-1
316	387513-387529	0	-1	-1
317	1629487-1640432	0	-1	-1
318	335896-335907	0	-1	-1
319	316184-316193	0	-1	-1
320	342869-342922	0	-1	-1
321	1351582-1634626	0	-1	-1
322	1629487-1667760	0	1	1
323	1245949-1378405	0	1	-1
324	1223908-1672073	0	-1	-1
325	272435-377261	0	-1	-1
326	272594-376813	0	-1	-1
327	278925-386147	0	-1	-1
328	459456-460217	0	-1	-1
329	22687-1677106	0	1	-1
330	1223901-1223908	0	-1	-1
331	335904-335913	0	-1	-1
332	439208-1105304	0	-1	-1
333	272588-310994	0	-1	-1
334	376886-386235	0	1	1
335	258960-291861	0	-1	-1
336	1223877-1709705	0	-1	-1
337	1245957-1378422	0	-1	-1
338	377261-1245948	0	1	1
339	333156-333157	0	-1	-1
340	439211-439281	0	-1	-1
341	1378404-1378411	0	-1	-1
342	272551-1378411	0	-1	-1
343	459518-460269	0	-1	-1
344	335900-335932	0	-1	-1
345	377418-1378405	0	-1	-1
346	1245955-1331114	0	-1	1
347	377457-1378420	0	-1	-1
348	1223907-1351636	0	-1	-1
349	335895-335909	0	-1	-1
350	377177-386186	0	-1	-1
351	342917-342925	0	-1	-1
352	377261-1378413	0	-1	-1
353	1245950-1245956	0	1	1
354	342927-342942	0	-1	-1
355	311192-439044	0	-1	-1
356	387103-387613	0	-1	-1
357	439209-1105583	0	-1	-1
358	335877-335913	0	-1	-1
359	439211-1105596	0	-1	-1
360	310732-386097	0	-1	-1
361	1245959-1331114	0	1	1
362	1105304-1105583	0	-1	-1
363	310732-376886	0	-1	-1
364	272718-310705	0	1	-1
365	387616-404387	0	-1	-1
366	541771-1118955	0	-1	-1
367	333147-1105585	0	1	1
368	1561991-1672073	0	-1	-1
369	985377-1677106	0	-1	-1
370	311159-1331109	0	-1	-1
371	272551-386186	0	-1	-1
372	335914-335917	0	-1	-1
373	439044-1331114	0	1	1
374	1687725-1693843	0	-1	-1
375	1223913-1709705	0	-1	-1
376	377261-377337	0	-1	-1
377	1223903-1693843	0	-1	-1
378	386147-1331109	0	-1	-1
379	386186-1331114	0	1	1
380	1223905-1648872	0	-1	-1
381	1223903-1687725	0	-1	-1
382	376813-377217	0	-1	-1
383	1105304-1105591	0	-1	-1
384	316146-316184	0	-1	-1
385	451512-451569	0	1	1
386	377177-385970	0	1	1
387	1223904-1720021	0	-1	-1
388	377261-1386896	0	-1	-1
389	511036-1118956	0	-1	-1
390	377457-386102	0	-1	-1
391	377337-1378416	0	-1	-1
392	1406209-1406244	0	1	1
393	335899-342945	0	-1	-1
394	387429-404385	0	-1	-1
395	1105586-1105596	0	-1	-1
396	387143-387185	0	-1	-1
397	272442-1378419	0	-1	-1
398	439044-1378404	0	-1	-1
399	316193-316195	0	-1	-1
400	272392-1378406	0	1	-1
401	342933-342947	0	-1	-1
402	341482-541771	0	-1	-1
403	341481-1118948	0	-1	-1
404	272442-588551	0	-1	-1
405	439097-488384	0	-1	-1
406	1351334-1709319	0	-1	-1
407	953656-953659	0	-1	-1
408	387103-387574	0	-1	-1
409	1651777-1709705	0	-1	-1
410	310799-311027	0	-1	-1
411	1223905-1223907	0	-1	-1
412	1223901-1666704	0	-1	-1
413	377217-377340	0	-1	-1
414	541720-1118953	0	-1	-1
415	1223884-1223907	0	-1	-1
416	1351337-1636644	0	-1	-1
417	335894-335919	0	-1	-1
418	1223908-1351338	0	-1	-1
419	587989-1245948	0	1	1
420	387513-404438	0	-1	-1
421	335903-335918	0	-1	-1
422	541771-1118954	0	-1	-1
423	272435-588551	0	-1	-1
424	1223894-1351626	0	-1	-1
425	1223880-1666569	0	-1	-1
426	272551-1386901	0	-1	-1
427	1331109-1386900	0	-1	-1
428	459455-459457	0	-1	-1
429	1223877-1223904	0	-1	-1
430	440211-1252375	0	1	1
431	377337-385870	0	-1	-1
432	272588-1378406	0	-1	-1
433	1640432-1666704	0	-1	-1
434	342682-342947	0	-1	-1
435	953658-953665	0	-1	-1
436	377144-377337	0	-1	-1
437	272710-311027	0	-1	-1
438	377259-377337	0	-1	-1
439	272464-377261	0	-1	-1
440	386186-588434	0	-1	-1
441	1245956-1378404	0	1	-1
442	291821-334518	0	-1	-1
443	310968-1378412	0	-1	-1
444	342924-342964	0	-1	-1
445	1651777-1703313	0	-1	-1
446	357332-357407	0	-1	-1
447	377416-1245954	0	-1	-1
448	1223903-1561993	0	-1	-1
449	377375-1331114	0	-1	-1
450	1245948-1378410	0	1	1
451	377216-1245954	0	-1	-1
452	511041-1118956	0	-1	-1
453	459518-460217	0	-1	-1
454	377256-1245955	0	-1	-1
455	310799-386186	0	-1	-1
456	1223899-1223907	0	-1	-1
457	342916-342960	0	-1	-1
458	22687-1223906	0	-1	-1
459	336607-511024	0	-1	-1
460	1223907-1351582	0	-1	-1
461	1223905-1351582	0	-1	-1
462	291736-291860	0	-1	-1
463	1351334-1660664	0	-1	-1
464	385870-1378408	0	-1	-1
465	1561993-1675365	0	-1	-1
466	1666704-1720021	0	-1	-1
467	1666704-1667760	0	1	1
468	417501-451569	0	1	-1
469	1223884-1709705	0	-1	-1
470	1223899-1667760	0	1	1
471	376813-377456	0	-1	-1
472	1223884-1561992	0	-1	-1
473	1223899-1687725	0	-1	-1
474	311192-1378413	0	-1	-1
475	342877-342943	0	-1	-1
476	135293-259035	0	-1	1
477	377457-385824	0	-1	-1
478	310732-311139	0	-1	-1
479	386762-404439	0	-1	-1
480	511097-1118940	0	-1	-1
481	1223901-1684037	0	-1	-1
482	272464-439044	0	-1	-1
483	387185-404439	0	-1	-1
484	1640432-1693689	0	-1	-1
485	335903-335904	0	-1	-1
486	310994-385603	0	-1	-1
487	1245952-1386896	0	-1	-1
488	439211-1105597	0	-1	-1
489	313470-440213	0	1	1
490	588551-1245959	0	-1	-1
491	1633289-1690930	0	-1	-1
492	377256-1331117	0	-1	-1
493	1245950-1245952	0	-1	1
494	342925-342933	0	-1	-1
495	1223878-1351631	0	1	-1
496	1223899-1351582	0	-1	-1
497	342875-342964	0	-1	-1
498	1245954-1245960	0	-1	-1
499	1351582-1665979	0	-1	-1
500	272588-377180	0	1	1
501	377217-377454	0	-1	-1
502	1245949-1245955	0	1	-1
503	310994-386184	0	-1	-1
504	342869-342942	0	-1	-1
505	376886-377416	0	-1	-1
506	1648872-1660664	0	-1	-1
507	404819-502574	0	-1	-1
