	ids	cid	trueY	predY
0	363523-363629	2	-1	-1
1	363629-363638	2	-1	-1
2	311016-311300	2	1	1
3	310572-311340	2	-1	-1
4	310572-310927	2	-1	-1
5	311015-371366	2	-1	-1
6	311413-371364	2	-1	1
7	363497-363640	2	-1	-1
8	310184-310961	2	-1	-1
9	310864-311263	2	1	1
10	270828-271220	2	-1	-1
11	347212-347215	2	-1	-1
12	347260-347276	2	-1	-1
13	363584-363600	2	-1	-1
14	264179-1138192	2	-1	-1
15	264845-1138193	2	-1	-1
16	363617-363628	2	-1	-1
17	279428-279780	2	-1	-1
18	270737-271089	2	-1	-1
19	309967-310390	2	-1	-1
20	304389-304390	2	-1	-1
21	363619-363637	2	1	1
22	363516-363636	2	-1	-1
23	363475-363581	2	-1	-1
24	264197-1138193	2	-1	-1
25	310509-371366	2	-1	-1
26	363621-363630	2	-1	-1
27	310508-371364	2	-1	-1
28	310347-310510	2	1	-1
29	304111-304330	2	1	1
30	415614-415615	2	1	1
31	278602-278715	2	-1	-1
32	397515-397937	2	1	1
33	271088-271220	2	-1	-1
34	363560-363564	2	-1	-1
35	264178-265156	2	-1	-1
36	385641-385735	2	-1	-1
37	310901-371366	2	-1	-1
38	363620-363622	2	-1	-1
39	363542-363635	2	1	1
40	310833-311339	2	-1	-1
41	309793-310962	2	-1	-1
42	271219-1138088	2	-1	-1
43	310447-310448	2	-1	-1
44	363625-363647	2	1	1
45	311095-371364	2	-1	-1
46	363497-363524	2	-1	-1
47	363554-363618	2	-1	-1
48	347206-347208	2	-1	-1
49	1138194-1138199	2	-1	-1
50	363524-363623	2	-1	-1
51	310480-310510	2	1	-1
52	267327-267544	2	-1	-1
53	311371-372265	2	-1	-1
54	298119-298898	2	-1	-1
55	298740-299054	2	-1	1
56	397711-397765	2	-1	-1
57	347261-347264	2	-1	-1
58	1138164-1138189	2	-1	-1
59	363524-363554	2	-1	-1
60	310927-311095	2	-1	-1
61	304328-304649	2	-1	-1
62	310985-311688	2	1	1
63	304027-304433	2	-1	-1
64	264179-264845	2	-1	-1
65	347267-347271	2	-1	-1
66	310509-310927	2	-1	-1
67	347224-347229	2	1	1
68	311339-371410	2	-1	-1
69	310833-371366	2	-1	-1
70	271061-271220	2	-1	-1
71	353639-371461	2	-1	-1
72	270866-271092	2	-1	-1
73	363628-363638	2	-1	-1
74	347206-347224	2	-1	-1
75	270969-271089	2	-1	-1
76	363542-363638	2	-1	-1
77	363475-363643	2	-1	-1
78	262630-303692	2	-1	-1
79	304328-304503	2	-1	-1
80	304293-304356	2	-1	-1
81	271041-271220	2	-1	-1
82	303912-304330	2	1	1
83	310183-311300	2	1	1
84	310038-310510	2	1	1
85	270969-271090	2	-1	-1
86	347266-347274	2	-1	-1
87	303914-304390	2	-1	-1
88	310538-311688	2	1	1
89	303913-304330	2	1	1
90	363513-363523	2	-1	-1
91	310901-311033	2	1	1
92	311129-311300	2	1	1
93	270733-271092	2	-1	-1
94	347259-347272	2	-1	-1
95	398249-398375	2	-1	-1
96	363542-363624	2	-1	-1
97	311224-371401	2	-1	-1
98	397765-398008	2	1	1
99	363616-363625	2	-1	-1
100	310791-371410	2	-1	-1
101	309996-310481	2	-1	-1
102	363477-363554	2	-1	-1
103	1138188-1138196	2	-1	-1
104	347268-347280	2	-1	-1
105	363476-363623	2	-1	-1
106	310863-311263	2	1	1
107	304264-304390	2	-1	-1
108	363616-363623	2	-1	-1
109	363635-363647	2	1	1
110	363524-363629	2	-1	-1
111	363581-363647	2	-1	-1
112	304433-304507	2	-1	-1
113	310184-311371	2	-1	-1
114	363559-363636	2	-1	-1
115	363533-363559	2	-1	-1
116	347208-347212	2	-1	-1
117	415615-415756	2	1	-1
118	363478-363640	2	-1	-1
119	304433-304503	2	-1	-1
120	347244-347278	2	-1	-1
121	270737-271090	2	-1	-1
122	347267-347277	2	-1	-1
123	363526-363621	2	-1	-1
124	310540-310961	2	-1	-1
125	265157-1138205	2	-1	-1
126	303915-304299	2	-1	-1
127	309940-310422	2	-1	-1
128	363497-363533	2	-1	-1
129	363635-363644	2	1	1
130	310599-311263	2	1	1
131	270733-270737	2	-1	-1
132	397885-398249	2	-1	-1
133	311413-347824	2	-1	-1
134	397768-397823	2	-1	-1
135	385694-385696	2	-1	-1
136	347236-347252	2	-1	-1
137	270732-1138088	2	-1	-1
138	397885-398248	2	-1	-1
139	385601-385695	2	-1	-1
140	303693-1138190	2	1	1
141	264179-1138194	2	-1	-1
142	363564-363618	2	-1	-1
143	310540-371364	2	-1	-1
144	347260-347268	2	-1	-1
145	176573-1138194	2	-1	-1
146	304299-304389	2	-1	-1
147	311179-415615	2	-1	1
148	363584-363601	2	-1	-1
149	347264-347269	2	-1	-1
150	304293-304330	2	1	1
151	397769-398248	2	-1	-1
152	347258-347270	2	-1	-1
153	1138190-1138194	2	-1	-1
154	279524-279586	2	1	-1
155	311095-311263	2	1	1
156	264197-1138189	2	-1	-1
157	304264-304356	2	-1	-1
158	363564-363615	2	1	-1
159	363630-363634	2	-1	-1
160	363616-363629	2	-1	-1
161	270732-271041	2	-1	-1
162	363476-363533	2	-1	-1
