	ids	cid	trueY	predY
0	142887-527055	0	1	1
1	113014-113254	0	-1	-1
2	255010-255036	0	1	1
3	527237-527240	0	-1	-1
4	527057-1412703	0	-1	-1
5	297627-297801	0	-1	-1
6	289197-289271	0	-1	-1
7	352332-352378	0	-1	-1
8	527056-1412698	0	-1	-1
9	352343-352376	0	-1	-1
10	527345-1412502	0	-1	-1
11	319377-352363	0	-1	-1
12	527328-527457	0	1	1
13	527345-1412712	0	-1	-1
14	23193-23255	0	1	-1
15	289131-289197	0	-1	-1
16	305189-305530	0	-1	-1
17	352343-352363	0	-1	-1
18	527299-527454	0	1	1
19	527345-1412713	0	-1	-1
20	106879-527328	0	1	1
21	527307-1412713	0	-1	-1
22	144096-144302	0	-1	-1
23	254785-254796	0	-1	-1
24	352285-352344	0	-1	-1
25	144302-255096	0	-1	-1
26	527228-527306	0	-1	-1
27	527347-1412921	0	-1	-1
28	254939-255036	0	-1	-1
29	254778-254812	0	1	-1
30	144197-255097	0	-1	-1
31	352267-352378	0	-1	-1
32	527115-527306	0	1	1
33	527328-527396	0	-1	1
34	254747-297627	0	-1	-1
35	527174-1412705	0	1	1
36	527348-527395	0	-1	-1
37	254960-255096	0	-1	-1
38	254796-254824	0	-1	-1
39	527454-1412919	0	1	1
40	527055-527237	0	1	1
41	352332-352377	0	-1	-1
42	144197-144302	0	-1	-1
43	254947-254971	0	1	1
44	305358-305499	0	-1	-1
45	527454-1412712	0	1	1
46	527174-1412700	0	1	1
47	275080-275425	0	1	-1
48	352332-352357	0	-1	-1
49	527348-581408	0	1	1
50	527455-1412917	0	1	1
51	527056-1412701	0	-1	-1
52	144340-255096	0	-1	-1
53	297676-297801	0	-1	-1
54	352332-352343	0	-1	-1
55	527115-1412700	0	-1	-1
56	255009-255124	0	-1	-1
57	254947-255010	0	-1	-1
58	131007-289197	0	-1	-1
59	527299-1412917	0	-1	-1
60	254962-255027	0	-1	-1
61	527237-581374	0	-1	-1
62	144340-254947	0	1	1
63	527386-527455	0	-1	1
64	319377-352377	0	-1	-1
65	581382-1412922	0	-1	-1
66	254978-1276653	0	-1	-1
67	527055-1412699	0	-1	-1
68	527112-527167	0	-1	1
69	142887-527171	0	1	1
70	255096-255097	0	-1	-1
71	382191-382193	0	1	1
72	289124-289131	0	-1	-1
73	527299-527458	0	1	1
74	527055-527306	0	1	1
75	352325-352334	0	-1	-1
76	254957-255124	0	-1	-1
77	527258-1412917	0	-1	-1
78	144302-254939	0	-1	-1
79	144197-254971	0	1	-1
80	144302-254947	0	1	1
81	527056-527239	0	1	1
82	527057-1412697	0	-1	-1
83	289117-289265	0	1	-1
84	527115-1412703	0	-1	-1
85	527174-527238	0	-1	-1
86	114456-382047	0	-1	-1
87	254957-254993	0	-1	-1
88	581408-1412917	0	1	1
89	527454-1412502	0	1	1
90	144096-255124	0	-1	-1
91	382304-382345	0	1	-1
92	305629-306041	0	-1	-1
93	527345-1412921	0	-1	-1
94	254778-297627	0	-1	-1
95	144197-254960	0	-1	-1
96	527167-1412698	0	1	1
97	527299-527457	0	1	1
98	527116-1412704	0	-1	-1
99	254953-255106	0	1	1
100	254802-254812	0	-1	-1
101	352285-352343	0	-1	-1
102	527057-527237	0	1	1
103	527237-527238	0	-1	-1
104	112782-113019	0	-1	-1
105	352267-352325	0	-1	-1
106	527120-527240	0	1	1
107	527112-527239	0	1	1
108	527307-527457	0	1	1
109	527056-527228	0	1	1
110	254824-297412	0	-1	-1
111	144096-255036	0	-1	-1
112	352334-352377	0	-1	-1
113	527349-1412919	0	-1	-1
114	527057-1412698	0	-1	-1
115	131007-289272	0	-1	-1
116	527396-1412711	0	1	1
117	54008-289144	0	1	1
118	527116-1412701	0	-1	-1
119	527055-581374	0	1	1
120	114456-382681	0	-1	-1
121	144197-255009	0	-1	-1
122	284517-284524	0	-1	-1
123	352285-352337	0	-1	-1
124	254931-297627	0	-1	-1
125	527396-1412919	0	1	1
126	255085-1276653	0	-1	-1
127	254962-254979	0	1	-1
128	113018-114456	0	-1	-1
129	255010-255097	0	1	1
130	352337-352349	0	-1	-1
131	254778-254796	0	1	-1
132	275080-275237	0	-1	-1
133	527239-581349	0	1	1
134	527055-1412700	0	-1	-1
135	112782-113014	0	-1	-1
136	284517-284546	0	1	-1
137	54007-165022	0	-1	-1
138	297412-297801	0	-1	-1
139	527115-581374	0	1	1
140	527393-527396	0	-1	1
141	527112-527132	0	-1	-1
142	305189-305499	0	-1	-1
143	527112-527306	0	1	1
144	144197-255124	0	-1	-1
145	144340-255097	0	-1	-1
146	289090-289265	0	-1	-1
147	527167-527172	0	-1	1
148	527307-527395	0	-1	-1
149	254824-297627	0	-1	-1
150	144197-255096	0	-1	-1
151	527258-1412710	0	-1	-1
152	54007-289279	0	-1	-1
153	289098-289216	0	-1	-1
154	254939-254971	0	-1	-1
155	527456-1412922	0	1	1
156	527167-527171	0	-1	1
157	527457-1412919	0	1	1
158	254802-297801	0	-1	-1
159	131007-289131	0	-1	-1
160	352332-352376	0	-1	-1
161	305305-305499	0	-1	-1
162	527171-527174	0	-1	1
163	527456-1412711	0	1	1
164	352333-352357	0	-1	-1
165	527055-1412704	0	-1	-1
166	527055-1412703	0	-1	-1
167	527386-527457	0	1	1
168	527457-1412917	0	1	1
169	527258-1412713	0	-1	-1
170	527172-527240	0	1	1
171	382062-382103	0	1	-1
172	144096-255010	0	1	1
173	289090-289272	0	1	-1
174	319377-352349	0	-1	-1
175	527307-1412711	0	-1	-1
176	254952-255027	0	1	-1
177	113014-113018	0	-1	-1
178	527455-1412710	0	1	1
179	527056-527174	0	1	1
180	364404-364413	0	1	-1
181	144302-255010	0	1	1
182	527237-527306	0	-1	-1
183	527055-527167	0	1	1
184	254978-254979	0	1	-1
185	581349-1412705	0	-1	-1
186	527171-527240	0	1	1
187	527132-1412701	0	-1	1
188	527457-1412709	0	1	1
189	254764-254796	0	-1	-1
190	254943-255021	0	-1	1
191	106879-527348	0	1	1
192	527455-1412712	0	1	1
193	527057-527306	0	1	1
194	382193-382700	0	1	1
195	527394-527395	0	-1	-1
196	305220-305629	0	-1	-1
197	254999-255010	0	1	1
198	527056-1412700	0	-1	-1
199	352349-352376	0	-1	-1
200	527455-1412919	0	1	1
201	254957-255009	0	-1	-1
202	527116-527174	0	1	1
203	527055-1412705	0	-1	-1
204	255021-255106	0	1	1
205	527457-1412711	0	1	1
206	527299-1412712	0	-1	-1
207	352357-352376	0	-1	-1
208	319377-352378	0	-1	-1
209	254960-255009	0	-1	-1
210	527056-1412705	0	-1	-1
211	142887-527112	0	1	1
212	352333-352347	0	-1	-1
213	305629-305724	0	-1	-1
214	527306-581349	0	1	1
215	254960-255097	0	-1	-1
216	527386-1412921	0	-1	-1
217	113019-382047	0	-1	-1
218	527174-1412697	0	1	1
219	527456-1412709	0	1	1
220	527228-1412697	0	1	1
221	144302-255036	0	-1	-1
222	527386-581408	0	1	1
223	527228-527238	0	-1	-1
224	254939-255009	0	-1	-1
225	527396-1412918	0	1	1
226	352333-352362	0	-1	-1
227	23606-23667	0	1	-1
228	254947-255036	0	1	1
229	144340-255124	0	-1	-1
230	527396-1412713	0	1	1
231	142887-527057	0	1	1
232	352344-352378	0	-1	-1
233	254993-255010	0	1	1
234	527349-1412502	0	-1	-1
235	254947-255015	0	1	1
236	23193-23601	0	-1	-1
237	527328-1412502	0	-1	-1
238	581408-1412712	0	1	1
239	527056-527306	0	1	1
240	352267-352285	0	-1	-1
241	527394-527396	0	-1	1
242	382303-382386	0	-1	1
243	527115-1412704	0	-1	-1
244	23193-23606	0	1	-1
245	254796-254931	0	-1	-1
246	254796-254812	0	-1	-1
247	352344-352377	0	-1	-1
248	527173-1412698	0	1	-1
249	142887-527120	0	1	1
250	144340-254957	0	-1	-1
251	289124-289125	0	-1	-1
