	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL3314184-CHEMBL1085238	1	172	86	0	1.0	0.9999663829803467
1	CHEMBL3314168-CHEMBL1085555	1	172	86	0	0.0	0.1303034871816635
2	CHEMBL3360587-CHEMBL1085555	1	172	86	0	1.0	0.999936580657959
3	CHEMBL3342249-CHEMBL1090030_CHEMBL1091073	1	172	86	0	0.0	4.967948825651547e-07
4	CHEMBL3342250-CHEMBL1090030_CHEMBL1091073	1	172	86	0	0.0	8.198426075978205e-05
5	CHEMBL3342249-CHEMBL1093729_CHEMBL1094036	1	172	86	0	0.0	6.142898882899317e-07
6	CHEMBL1164420-CHEMBL1163376	1	172	86	0	1.0	0.9828885793685913
7	CHEMBL1164486-CHEMBL1163376	1	172	86	0	1.0	0.982607901096344
8	CHEMBL1164966-CHEMBL1163376	1	172	86	0	1.0	0.925010621547699
9	CHEMBL1165319-CHEMBL1163376	1	172	86	0	1.0	0.9272757768630981
10	CHEMBL1165321-CHEMBL1163376	1	172	86	0	1.0	0.9152542352676392
11	CHEMBL1165117-CHEMBL1164420	1	172	86	0	0.0	0.22184661030769348
12	CHEMBL1165117-CHEMBL1164486	1	172	86	0	0.0	0.20458611845970154
13	CHEMBL1164966-CHEMBL1165117	1	172	86	0	1.0	0.874130368232727
14	CHEMBL1165319-CHEMBL1165117	1	172	86	0	0.0	0.2669505178928375
15	CHEMBL1165321-CHEMBL1165117	1	172	86	0	0.0	0.3288527727127075
16	CHEMBL120304-CHEMBL2164732	1	172	86	0	1.0	0.9988507032394409
17	CHEMBL364081-CHEMBL120304	1	172	86	0	1.0	0.898537814617157
18	CHEMBL1240572-CHEMBL2208440	1	172	86	0	0.0	0.18368098139762878
19	CHEMBL1240574-CHEMBL2208440	1	172	86	0	0.0	0.09006317704916
20	CHEMBL1338403-CHEMBL3359169	1	172	86	0	1.0	0.6413534879684448
21	CHEMBL2337531-CHEMBL1347917	1	172	86	0	0.0	0.15135952830314636
22	CHEMBL4067239-CHEMBL1363627	1	172	86	0	1.0	0.6644874215126038
23	CHEMBL4083316-CHEMBL1363627	1	172	86	0	1.0	0.8067655563354492
24	CHEMBL1518113-CHEMBL4067239	1	172	86	0	1.0	0.6762778162956238
25	CHEMBL4083316-CHEMBL1518113	1	172	86	0	1.0	0.8152766227722168
26	CHEMBL1579806-CHEMBL3759307	1	172	86	0	0.0	0.3008670508861542
27	CHEMBL1588015-CHEMBL1762668	1	172	86	0	1.0	0.9471670985221863
28	CHEMBL449635-CHEMBL1588015	1	172	86	0	1.0	0.9316806197166443
29	CHEMBL1736901-CHEMBL3609200	1	172	86	1	0.0	0.13145481050014496
30	CHEMBL1736901-CHEMBL3609481	1	172	86	0	0.0	0.18219542503356934
31	CHEMBL1738792-CHEMBL1738787	1	172	86	0	0.0	0.04083305969834328
32	CHEMBL1738792-CHEMBL1813211	1	172	86	0	0.0	0.04095747321844101
33	CHEMBL3120748-CHEMBL1738792	1	172	86	0	0.0	0.024442384019494057
34	CHEMBL1738792-CHEMBL3120749	1	172	86	0	0.0	0.05890835449099541
35	CHEMBL174847-CHEMBL278395	1	172	86	0	0.0	0.31364190578460693
36	CHEMBL174847-CHEMBL3359169	1	172	86	0	1.0	0.9187816381454468
37	CHEMBL174847-CHEMBL4454802	1	172	86	0	1.0	0.9070032238960266
38	CHEMBL178560-CHEMBL254833	1	172	86	0	1.0	0.9141637682914734
39	CHEMBL386542-CHEMBL180323	1	172	86	0	1.0	0.9923147559165955
40	CHEMBL181082-CHEMBL254833	1	172	86	0	1.0	0.9178678393363953
41	CHEMBL184674-CHEMBL208531	1	172	86	0	0.0	0.0898890420794487
42	CHEMBL363931-CHEMBL187259	1	172	86	0	1.0	0.9999641180038452
43	CHEMBL187919-CHEMBL366082	1	172	86	0	0.0	0.00013862713240087032
44	CHEMBL366082-CHEMBL187947	1	172	86	0	0.0	0.00013773064711131155
45	CHEMBL366082-CHEMBL187974	1	172	86	0	0.0	0.0001384096103720367
46	CHEMBL189526-CHEMBL190024	1	172	86	0	0.0	0.04124388471245766
47	CHEMBL189526-CHEMBL190733	1	172	86	0	0.0	0.048058100044727325
48	CHEMBL278395-CHEMBL193648	1	172	86	0	0.0	0.0014980599517002702
49	CHEMBL4454802-CHEMBL193648	1	172	86	0	0.0	0.0009353345958516002
50	CHEMBL193964-CHEMBL195194	1	172	86	0	1.0	0.9446586966514587
51	CHEMBL193964-CHEMBL196198	1	172	86	0	1.0	0.9931405186653137
52	CHEMBL204740-CHEMBL208531	1	172	86	0	0.0	0.07912378758192062
53	CHEMBL2048921-CHEMBL2048922	1	172	86	0	0.0	0.38785630464553833
54	CHEMBL2048922-CHEMBL2048923	1	172	86	0	0.0	0.26009127497673035
55	CHEMBL2048929-CHEMBL2048930	1	172	86	0	0.0	0.3397493362426758
56	CHEMBL2048929-CHEMBL2048931	1	172	86	0	0.0	0.3107444941997528
57	CHEMBL2048933-CHEMBL2048934	1	172	86	0	0.0	0.24194715917110443
58	CHEMBL2048933-CHEMBL2048935	1	172	86	0	0.0	0.15977467596530914
59	CHEMBL205743-CHEMBL208531	1	172	86	0	0.0	0.06178916618227959
60	CHEMBL2070205-CHEMBL2070206	1	172	86	0	0.0	0.04637229070067406
61	CHEMBL214201-CHEMBL4454802	1	172	86	0	0.0	0.0682401955127716
62	CHEMBL215276-CHEMBL380158	1	172	86	0	1.0	0.8631876111030579
63	CHEMBL278395-CHEMBL2164729	1	172	86	0	0.0	0.001376403379254043
64	CHEMBL4454802-CHEMBL2164729	1	172	86	0	0.0	0.0008604188915342093
65	CHEMBL363931-CHEMBL2164735	1	172	86	1	1.0	0.9999017715454102
66	CHEMBL3823618-CHEMBL2164735	1	172	86	0	1.0	0.999651312828064
67	CHEMBL386542-CHEMBL217569	1	172	86	0	1.0	0.6732097268104553
68	CHEMBL4553372-CHEMBL217569	1	172	86	0	0.0	0.07090270519256592
69	CHEMBL2208440-CHEMBL2208439	1	172	86	0	1.0	0.913199245929718
70	CHEMBL2208442-CHEMBL2208440	1	172	86	0	0.0	0.10894530266523361
71	CHEMBL2325979-CHEMBL2325978	1	172	86	0	0.0	0.0032115622889250517
72	CHEMBL2326520-CHEMBL2326519	1	172	86	0	1.0	0.9516354203224182
73	CHEMBL3359169-CHEMBL2333400	1	172	86	0	1.0	0.5741012692451477
74	CHEMBL4454802-CHEMBL2333400	1	172	86	0	0.0	0.16902674734592438
75	CHEMBL486218-CHEMBL2333590	1	172	86	0	0.0	0.1406458467245102
76	CHEMBL278395-CHEMBL2333966	1	172	86	0	0.0	0.23503847420215607
77	CHEMBL2333966-CHEMBL3359169	1	172	86	0	1.0	0.7162159085273743
78	CHEMBL4454802-CHEMBL2333966	1	172	86	0	0.0	0.08063139766454697
79	CHEMBL2337531-CHEMBL2337541	1	172	86	0	0.0	0.11395090818405151
80	CHEMBL23417-CHEMBL278395	1	172	86	0	0.0	0.15377594530582428
81	CHEMBL23417-CHEMBL4454802	1	172	86	0	1.0	0.680017352104187
82	CHEMBL234529-CHEMBL234735	1	172	86	0	0.0	0.16292712092399597
83	CHEMBL278395-CHEMBL23591	1	172	86	0	0.0	0.21045567095279694
84	CHEMBL23591-CHEMBL4454802	1	172	86	0	1.0	0.7247904539108276
85	CHEMBL2407312-CHEMBL2407313	1	172	86	0	0.0	0.27663588523864746
86	CHEMBL2436867-CHEMBL2436876	1	172	86	0	0.0	0.1995137631893158
87	CHEMBL2436867-CHEMBL2436880	1	172	86	0	0.0	0.23329876363277435
88	CHEMBL2436877-CHEMBL2436876	1	172	86	0	0.0	0.18558980524539948
89	CHEMBL2436878-CHEMBL2436876	1	172	86	0	0.0	0.19607247412204742
90	CHEMBL2436876-CHEMBL2436879	1	172	86	0	0.0	0.19923582673072815
91	CHEMBL2436882-CHEMBL2436876	1	172	86	0	0.0	0.22875657677650452
